,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,49000,Utah,,80.1,80.0,80.2,74.3,72.8,75.8,83.9,83.0,84.9,76.6,75.3,77.8,83.5,82.9,84.0,79.9,79.8,80.0,24722.0,282.0,279.0,286.0,590.0,537.0,643.0,226.0,209.0,244.0,442.0,394.0,491.0,229.0,218.0,239.0,286.0,282.0,290.0,1770.0,48.0,45.0,50.0,59.0,38.0,88.0,74.0,60.0,91.0,73.0,54.0,96.0,50.0,45.0,56.0,45.0,43.0,48.0,1840.0,5.0,5.0,5.0,,,,7.0,5.0,8.0,7.0,5.0,9.0,6.0,5.0,6.0,5.0,5.0,5.0,10,10,11,12,11,13,8,,,2929.0,118.0,347370,11,160710,6,1845.0,19.0,19.0,20.0,35.0,24.0,49.0,5.0,3.0,8.0,21.0,14.0,30.0,12.0,10.0,14.0,21.0,20.0,22.0,1738.0,8.0,8.0,9.0,42.0,34.0,52.0,5.0,3.0,7.0,8.0,5.0,12.0,9.0,8.0,10.0,8.0,7.0,8.0,31,30,32,224845,12,12,13,69500,7,6,8,95,1054,,,6.0,5.0,6.0,3.2,3.0,2.5,2.6,3.3,3.1,2.9,2.4,2.5,3.3,75705,74454,76956,45957.0,39903.0,52011.0,73139.0,69704.0,76574.0,41752.0,37757.0,45747.0,53547.0,52338.0,54756.0,75227.0,74682.0,75772.0,33,66.0,41.0,2.0,2.0,2.0,9.0,6.0,14.0,2.0,1.0,3.0,8.0,5.0,12.0,4.0,3.0,5.0,2.0,2.0,2.0,3228.0,22.0,21.0,23.0,21.0,38.0,29.0,49.0,10.0,7.0,13.0,12.0,8.0,18.0,11.0,10.0,13.0,24.0,23.0,25.0,1938.0,12.0,12.0,13.0,21.0,15.0,29.0,6.0,4.0,8.0,13.0,8.0,18.0,8.0,7.0,9.0,14.0,13.0,14.0,7448,5517,420400,31.0,556,685699,70,70,71,98849,10,10,11,88,855181,87,88,3205958,29.0,11.4,38056,1.2,49720,1.6,85727,2.7,33979,1.1,462051,14.4,2493759,77.8,66618,2,2.0,2.0,49.6,260290,9.4,
1,2,49001,Utah,Beaver,76.8,74.9,78.8,,,,,,,,,,,,,,,,74.0,349.0,272.0,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,14,12,15,10,6.0,16.0,,,740,11,264,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,35,527,15,13,18,175,8,5,11,119,839,,,,,,3.7,,,3.3,3.7,3.5,,,3.2,3.6,58309,50867,65751,,,,,,,,,,49537.0,38055.0,61019.0,55977.0,44404.0,67550.0,47,,39.0,,,,,,,,,,,,,,,,,,,13.0,43.0,23.0,74.0,40.0,,,,,,,,,,,,,,,,10.0,31.0,15.0,57.0,,,,,,,,,,,,,,,,18,13,1000,31.0,58,1692,74,69,79,183,8,4,13,74,1692,69,80,6710,32.4,14.1,14,0.2,141,2.1,55,0.8,26,0.4,833,12.4,5626,83.8,188,3,1.0,5.0,49.2,3747,56.5,
2,3,49003,Utah,Box Elder,79.0,78.2,79.7,,,,,,,,,,79.0,75.1,83.0,79.1,78.3,79.9,511.0,318.0,290.0,346.0,,,,,,,,,,347.0,243.0,480.0,312.0,283.0,341.0,29.0,42.0,28.0,60.0,,,,,,,,,,,,,,,,27.0,5.0,3.0,7.0,,,,,,,,,,,,,,,,12,11,14,13,12,15,10,8.0,12.0,25.0,59.0,6120,12,3263,7,28.0,17.0,11.0,25.0,,,,,,,,,,,,,,,,43.0,12.0,8.0,16.0,,,,,,,,,,,,,,,,37,35,38,3094,10,9,12,1149,6,5,8,37,2669,,,8.0,4.0,12.0,3.2,,,2.7,3.3,3.1,,,2.5,3.2,69380,63494,75266,48696.0,46126.0,51266.0,48750.0,28818.0,68682.0,,,,47349.0,42353.0,52345.0,63973.0,61916.0,66030.0,35,,29.0,,,,,,,,,,,,,,,,,,,65.0,26.0,20.0,33.0,24.0,,,,,,,,,,35.0,17.0,64.0,24.0,18.0,32.0,36.0,13.0,9.0,18.0,,,,,,,,,,,,,,,,162,135,8000,37.0,217,13665,78,76,80,1451,8,7,10,87,15215,85,89,56046,31.2,13.2,232,0.4,632,1.1,470,0.8,117,0.2,5431,9.7,48585,86.7,492,1,1.0,1.0,49.0,15542,31.1,
3,4,49005,Utah,Cache,81.5,81.0,82.1,,,,,,,,,,87.7,81.2,94.3,81.3,80.7,81.9,729.0,241.0,224.0,259.0,,,,,,,,,,144.0,96.0,208.0,249.0,230.0,268.0,60.0,39.0,30.0,51.0,,,,,,,,,,,,,,,,72.0,4.0,3.0,6.0,,,,,,,,,,,,,,,,11,10,13,13,12,15,6,5.0,7.0,51.0,52.0,14600,12,10996,10,42.0,11.0,8.0,15.0,,,,,,,,,,,,,,,,80.0,9.0,7.0,12.0,,,,,,,,,,,,,,,,33,32,35,8712,12,10,14,2425,6,5,8,61,1645,,,4.0,3.0,6.0,3.4,3.0,,2.7,3.5,3.4,2.7,,2.5,3.5,63180,58798,67562,,,,43927.0,39677.0,48177.0,27052.0,11570.0,42534.0,42759.0,37045.0,48473.0,62153.0,59884.0,64422.0,35,64.0,30.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,94.0,17.0,13.0,21.0,15.0,,,,,,,,,,,,,,,,45.0,7.0,5.0,10.0,,,,,,,,,,,,,,,,471,168,17000,38.0,177,24180,63,62,64,4604,12,11,14,88,33726,87,89,128289,30.1,9.8,1068,0.8,1381,1.1,3001,2.3,644,0.5,14021,10.9,107176,83.5,2070,2,1.0,2.0,50.0,17673,15.7,
4,5,49007,Utah,Carbon,76.2,74.9,77.5,,,,,,,,,,76.4,71.7,81.1,76.3,75.0,77.7,298.0,428.0,376.0,479.0,,,,,,,,,,514.0,358.0,715.0,417.0,362.0,471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,15,11,9.0,14.0,14.0,84.0,3010,15,2298,11,21.0,34.0,21.0,53.0,,,,,,,,,,,,,,,,22.0,15.0,10.0,23.0,,,,,,,,,,,,,,,,36,35,38,1192,11,9,12,333,6,4,8,122,819,,,,,,3.2,,,3.1,3.3,3.4,,,2.9,3.5,52110,45043,59177,42321.0,36976.0,47666.0,,,,,,,42426.0,24139.0,60713.0,52204.0,48933.0,55475.0,47,,18.0,,,,,,,,,,,,,,,,,,,28.0,28.0,18.0,40.0,27.0,,,,,,,,,,,,,,,,22.0,22.0,14.0,33.0,,,,,,,,,,,,,,,,100,70,2500,68.0,186,5773,74,72,76,995,13,10,16,81,6318,78,83,20463,25.6,18.0,97,0.5,320,1.6,134,0.7,49,0.2,2746,13.4,16960,82.9,124,1,0.0,1.0,50.3,7216,33.7,
5,6,49009,Utah,Daggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,12,14,14,7.0,24.0,,,60,9,216,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,35,46,9,7,11,17,7,5,10,0,950,,,,,,,,,,,,,,,,63433,54096,72770,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1-4,100,,0,142,87,79,95,9,6,0,39,88,144,79,98,950,22.5,27.3,2,0.2,14,1.5,5,0.5,1,0.1,42,4.4,876,92.2,0,0,0.0,9.0,42.5,1059,100.0,
6,7,49011,Utah,Davis,80.7,80.4,81.0,76.6,72.1,81.2,83.2,80.9,85.6,76.9,74.0,79.8,84.4,82.4,86.4,80.6,80.2,80.9,2281.0,242.0,232.0,253.0,,,,195.0,149.0,251.0,366.0,254.0,512.0,212.0,176.0,247.0,244.0,234.0,255.0,186.0,41.0,35.0,47.0,,,,,,,,,,57.0,38.0,82.0,39.0,33.0,45.0,187.0,5.0,4.0,5.0,,,,,,,,,,6.0,4.0,9.0,5.0,4.0,5.0,10,9,11,11,10,13,8,8.0,9.0,208.0,77.0,32280,10,18820,6,151.0,14.0,12.0,17.0,,,,,,,,,,,,,,,,153.0,6.0,5.0,7.0,,,,,,,,,,8.0,5.0,13.0,6.0,5.0,7.0,32,30,33,17065,8,7,9,5210,4,3,5,57,1743,,,5.0,4.0,6.0,3.3,2.9,2.7,2.8,3.4,3.3,2.9,2.5,2.6,3.4,87610,82403,92817,63864.0,46359.0,81369.0,81467.0,71032.0,91902.0,68664.0,48548.0,88780.0,58295.0,53491.0,63099.0,87094.0,85294.0,88894.0,20,51.0,30.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,306.0,19.0,17.0,21.0,18.0,,,,,,,,,,7.0,3.0,12.0,20.0,18.0,22.0,160.0,9.0,8.0,11.0,,,,,,,,,,,,,,,,654,505,51300,23.0,663,80518,77,76,78,7847,8,7,8,91,95501,90,92,355481,31.7,10.3,4317,1.2,2869,0.8,7418,2.1,2853,0.8,36117,10.2,295816,83.2,3081,1,,,49.5,2818,0.9,
7,8,49013,Utah,Duchesne,76.4,74.9,77.9,,,,,,,,,,,,,,,,239.0,433.0,377.0,489.0,1015.0,620.0,1568.0,,,,,,,,,,420.0,362.0,479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,16,9,7.0,11.0,9.0,60.0,2750,14,1376,7,12.0,20.0,10.0,35.0,,,,,,,,,,,,,,,,30.0,21.0,14.0,30.0,,,,,,,,,,,,,,,,34,32,35,1920,18,16,20,776,11,8,14,100,997,,,15.0,10.0,20.0,2.9,,,2.7,3.0,2.9,,,2.6,3.1,59437,52304,66570,,,,,,,,,,55987.0,47183.0,64791.0,64114.0,61078.0,67150.0,38,,22.0,,,,,,,,,,,,,,,,,,,40.0,43.0,30.0,58.0,40.0,,,,,,,,,,,,,,,,26.0,26.0,17.0,38.0,,,,,,,,,,,,,,,,83,74,3000,52.0,78,5161,75,73,77,658,10,8,12,85,5811,83,87,19938,33.4,12.4,70,0.4,981,4.9,101,0.5,69,0.3,1656,8.3,16876,84.6,186,1,0.0,2.0,49.4,12692,68.2,
8,9,49015,Utah,Emery,76.5,74.7,78.2,,,,,,,,,,,,,,,,146.0,425.0,352.0,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,16,12,9.0,15.0,,,1450,14,163,1,14.0,47.0,25.0,78.0,,,,,,,,,,,,,,,,16.0,22.0,13.0,36.0,,,,,,,,,,,,,,,,33,32,35,542,10,8,12,184,6,4,8,50,2002,,,,,,3.1,,,,,3.1,,,,,61893,54596,69190,,,,,,,,,,34808.0,28515.0,41101.0,56545.0,52963.0,60127.0,50,,,,,,,,,,,,,,,,,,,,,15.0,30.0,17.0,51.0,30.0,,,,,,,,,,,,,,,,14.0,28.0,15.0,46.0,,,,,,,,,,,,,,,,14,15,1400,21.0,48,2818,77,75,79,143,4,2,7,80,2949,77,83,10012,28.4,17.7,31,0.3,116,1.2,54,0.5,11,0.1,648,6.5,9071,90.6,65,1,0.0,2.0,49.1,8083,73.6,
9,10,49017,Utah,Garfield,77.5,74.5,80.5,,,,,,,,,,,,,,,,64.0,365.0,274.0,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,14,14,12,15,9,5.0,15.0,,,850,17,1301,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,32,36,411,16,13,18,127,11,7,15,79,1263,,,,,,3.1,,,,,3.1,,,,,54625,47382,61868,,,,,,,,,,55192.0,25462.0,84922.0,53688.0,40982.0,66394.0,48,,31.0,,,,,,,,,,,,,,,,,,,11.0,43.0,21.0,80.0,44.0,,,,,,,,,,,,,,,,10.0,40.0,19.0,73.0,,,,,,,,,,,,,,,,1-4,6,600,,22,1399,79,77,82,221,13,8,18,81,1427,77,86,5051,23.0,24.0,21,0.4,150,3.0,54,1.1,16,0.3,329,6.5,4453,88.2,42,1,0.0,2.0,47.7,5172,100.0,
