,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,49000,Utah,,,24722.0,5882.0,5787.0,5976.0,,14011.0,12595.0,15426.0,,4997.0,4548.0,5446.0,,8481.0,7538.0,9424.0,,4898.0,4669.0,5127.0,,5921.0,5814.0,6029.0,,15,14,16,,3.5,3.4,3.7,,3.9,3.7,4.1,,,7.0,7.0,7.0,,7.0,6.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,7.0,7.0,7.0,9,8,10,,27,,,,8.0,,17,,,,86,,11,10,12,,282,1340,21,20,22,,10541.0,339.8,,16.0,16.0,16.0,,33.0,30.0,37.0,9.0,8.0,11.0,20.0,17.0,22.0,37.0,36.0,38.0,11.0,11.0,11.0,288573,10,10,11,,1832.0,58.0,1725,,2213,69,1449,,10985,343,292,,2341.0,,4078.0,1997.0,3372.0,2227.0,2312.0,40,,15.0,35.0,37.0,31.0,41.0,48,,38.0,47.0,37.0,37.0,48.0,1683252,1824052,92,92.0,92.0,,621762,878838,71,70.0,71.0,,41910,1607694,2.6,,10,9,10,,37.0,15.0,33.0,22.0,8.0,127110,33773,3.8,,131504,920266,14,14,15,,1106,3.5,,6877.0,229.0,,10384.0,67.0,66.0,68.0,,153.0,134.0,172.0,30.0,26.0,35.0,52.0,43.0,62.0,43.0,41.0,46.0,72.0,70.0,73.0,5.8,,,,14,13,14,10,10,10,3,3,4,1,1,1,,76,76,76,,71.0,68.0,73.0,71.0,69.0,73.0,73.0,69.0,76.0,73.0,72.0,74.0,77.0,77.0,77.0,1479469,25,25,25,,
1,2,49001,Utah,Beaver,,74.0,7101.0,4946.0,9876.0,0.05,,,,,,,,,,,,,,,,,,,,,17,14,19,0.14,4.2,3.7,4.6,0.16,4.1,3.7,4.5,-0.18,,8.0,6.0,9.0,0.02,,,,,,,,,,9.0,4.0,14.0,7.0,5.0,9.0,13,11,15,0.29,27,20.0,36.0,-0.17,8.2,-0.65,19,13.0,26.0,-0.03,78,-0.45,12,11,13,0.31,0,13,0,0,17,-1.77,9.0,140.9,-1.06,32.0,24.0,41.0,1.67,,,,,,,,,,,,,,,,689,12,10,14,0.37,6.0,91.0,1097,-1.26,5,75,1342,-0.63,5,75,1342,0.92,3964.0,1.15,,,,,,28,1.3,,,,,,21,2.03,,,,7.0,21.0,3405,3829,89,86.0,92.0,0.95,874,1515,58,46.0,69.0,0.74,86,2869,3.0,-0.33,12,7,18,-0.12,,,,28.0,9.0,95300,25971,3.7,-0.33,181,2138,8,4,13,-0.91,0,0.0,0.9,3.0,54.0,-1.06,35.0,108.0,75.0,150.0,0.7,,,,,,,,,,,,,,,,4.9,-0.98,No,-1.22,12,7,17,5,2,9,6,3,9,1,0,2,-0.16,75,68,81,-0.59,,,,,,,,,,,,,,,,2659,19,12,25,-0.46,
2,3,49003,Utah,Box Elder,,511.0,6293.0,5550.0,7035.0,-0.32,,,,,,,,,,,,,7542.0,5124.0,10705.0,,6076.0,5297.0,6855.0,,16,14,18,-0.08,4.1,3.7,4.5,0.0,4.2,3.8,4.6,0.07,,7.0,6.0,8.0,-0.29,,,,,,,,,,9.0,7.0,11.0,7.0,6.0,7.0,12,10,13,-0.3,34,30.0,38.0,1.15,7.9,-0.44,18,15.0,21.0,-0.23,76,-0.4,11,10,11,-0.57,7,54,13,7,20,-0.77,113.0,209.0,-0.28,22.0,20.0,24.0,0.36,,,,,,,,,,52.0,41.0,65.0,18.0,15.0,20.0,4155,9,8,10,-1.04,18.0,33.0,3053,0.65,37,66,1515,-0.3,259,462,216,-0.99,2645.0,-0.03,,,,1924.0,2531.0,43,-0.92,,,,21.0,44.0,45,-0.3,,36.0,,37.0,46.0,29668,31879,93,92.0,94.0,-0.43,8663,13662,63,59.0,67.0,0.21,682,25904,2.6,-0.68,9,6,12,-0.67,,,,9.0,10.0,108392,33033,3.3,-1.0,2063,17120,12,9,15,-0.4,16,2.9,-0.45,65.0,130.0,-0.36,219.0,81.0,70.0,92.0,-0.27,,,,,,,,,,98.0,64.0,145.0,80.0,68.0,91.0,8.2,1.24,Yes,0.79,9,8,11,8,6,9,2,1,2,0,0,1,-1.0,78,76,80,0.42,,,,,,,,,,78.0,69.0,87.0,76.0,75.0,78.0,23716,34,31,36,0.79,
3,4,49005,Utah,Cache,,729.0,4809.0,4374.0,5243.0,-1.01,,,,,,,,,,,,,3174.0,2185.0,4457.0,,4941.0,4459.0,5423.0,,15,13,17,-0.45,4.0,3.6,4.4,-0.12,4.1,3.8,4.5,-0.12,,6.0,6.0,7.0,-0.87,10.0,4.0,16.0,8.0,5.0,11.0,,,,8.0,7.0,9.0,6.0,6.0,7.0,10,8,12,-0.83,25,22.0,27.0,-0.6,7.6,-0.23,14,12.0,16.0,-1.29,86,-0.85,10,9,11,-0.94,6,50,12,6,20,-0.84,270.0,217.0,-0.19,10.0,9.0,11.0,-1.19,,,,9.0,5.0,17.0,,,,34.0,28.0,39.0,7.0,6.0,8.0,10883,10,9,11,-0.63,57.0,45.0,2229,0.26,85,66,1509,-0.31,221,172,580,0.44,1977.0,-0.62,,,,668.0,1945.0,44,-1.07,,54.0,,29.0,44.0,51,-0.89,,51.0,,27.0,52.0,58372,62670,93,92.0,94.0,-0.45,23807,31596,75,73.0,78.0,-0.9,1397,64176,2.2,-1.12,11,8,14,-0.31,54.0,41.0,43.0,27.0,12.0,105569,27134,3.9,0.05,4673,37781,12,10,15,-0.35,41,3.2,-0.59,79.0,65.0,-0.96,320.0,51.0,46.0,57.0,-1.35,,,,,,,,,,39.0,25.0,57.0,53.0,47.0,59.0,8.7,1.58,Yes,0.79,14,13,15,11,10,13,3,2,4,1,0,1,0.56,74,72,75,-0.83,,,,68.0,58.0,78.0,,,,68.0,62.0,73.0,75.0,74.0,77.0,60074,12,11,13,-1.02,
4,5,49007,Utah,Carbon,,298.0,9515.0,7941.0,11088.0,1.17,,,,,,,,,,,,,,,,,,,,,18,16,21,0.73,4.5,4.1,4.9,0.78,4.4,4.0,4.7,0.5,,11.0,9.0,12.0,2.56,,,,,,,,,,11.0,7.0,15.0,11.0,9.0,12.0,15,12,17,0.91,30,26.0,34.0,0.44,6.9,0.27,23,19.0,26.0,0.79,72,-0.21,12,11,12,0.07,3,19,16,5,30,-0.55,62.0,305.5,0.83,21.0,17.0,25.0,0.25,,,,,,,,,,18.0,10.0,29.0,22.0,17.0,27.0,1493,9,8,11,-0.87,10.0,49.0,2027,0.11,19,93,1077,-1.36,40,195,512,0.32,3626.0,0.85,,,,2061.0,3651.0,40,-0.48,,,,49.0,40.0,50,-0.79,,,,44.0,51.0,11978,13082,92,90.0,93.0,0.07,3641,4914,74,67.0,81.0,-0.79,315,8517,3.7,0.36,18,12,23,0.75,,,,39.0,16.0,91132,19909,4.6,1.24,1296,5306,24,18,31,1.36,12,5.9,-1.84,25.0,131.0,-0.34,115.0,113.0,92.0,133.0,0.89,,,,,,,,,,103.0,57.0,174.0,117.0,94.0,140.0,5.8,-0.38,No,-1.22,15,13,18,11,8,14,2,1,4,3,1,4,1.07,82,79,86,1.76,,,,,,,,,,79.0,73.0,84.0,83.0,80.0,85.0,8398,15,11,18,-0.78,
5,6,49009,Utah,Daggett,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,,3.7,3.3,4.0,,3.9,3.6,4.3,,,,,,,,,,,,,,,,,,,,,,12,10,14,,28,19.0,39.0,,7.2,,20,13.0,30.0,,99,,13,13,14,,1,4,25,2,54,,,,,,,,,,,,,,,,,,,,,,,,62,8,7,10,,0.0,0.0,980,,0,0,950,,0,0,950,,1123.0,,,,,,,34,,,,,,,54,,,,,,,378,402,94,87.0,100.0,,88,109,81,40.0,100.0,,15,393,3.8,,7,4,10,,,,,,,113714,29333,3.9,,0,132,0,0,14,,0,0.0,,1.0,87.0,,,,,,,,,,,,,,,,,,,,,,4.9,,Yes,,8,0,19,5,0,28,2,0,17,0,0,11,,51,20,82,,,,,,,,,,,,,,,,,303,25,0,59,,
6,7,49011,Utah,Davis,,2281.0,4984.0,4721.0,5248.0,-0.93,,,,,4335.0,3125.0,5860.0,,6931.0,4676.0,9895.0,,4725.0,3898.0,5552.0,,4988.0,4701.0,5275.0,,12,11,14,-1.33,3.6,3.2,4.0,-0.94,3.8,3.4,4.2,-1.01,,7.0,6.0,7.0,-0.63,,,,9.0,7.0,11.0,14.0,11.0,18.0,8.0,7.0,9.0,6.0,6.0,7.0,8,7,10,-1.59,27,25.0,29.0,-0.21,8.4,-0.79,16,15.0,17.0,-0.78,94,-1.22,10,9,10,-1.12,16,81,20,14,26,-0.25,1140.0,327.9,1.09,12.0,11.0,13.0,-0.99,,,,8.0,5.0,12.0,12.0,7.0,18.0,26.0,23.0,29.0,10.0,9.0,10.0,21773,7,6,8,-1.78,169.0,48.0,2081,0.15,244,69,1457,-0.4,770,217,462,0.22,1847.0,-0.74,,518.0,,2356.0,1804.0,42,-0.77,,46.0,53.0,40.0,42.0,51,-0.89,38.0,49.0,43.0,42.0,52.0,192839,201625,96,95.0,96.0,-1.29,75054,99617,75,73.0,77.0,-0.9,4211,173800,2.4,-0.88,6,4,8,-1.18,4.0,15.0,28.0,20.0,4.0,138660,44220,3.1,-1.25,12987,112031,12,10,13,-0.46,79,2.2,-0.14,346.0,103.0,-0.6,923.0,53.0,50.0,57.0,-1.28,119.0,57.0,220.0,27.0,15.0,44.0,44.0,23.0,78.0,31.0,23.0,40.0,57.0,53.0,60.0,8.4,1.38,No,-1.22,10,9,11,8,7,8,2,2,3,1,1,1,-0.74,81,80,81,1.2,,,,76.0,70.0,83.0,80.0,70.0,91.0,79.0,76.0,83.0,80.0,79.0,81.0,164394,29,27,30,0.38,
7,8,49013,Utah,Duchesne,,239.0,9691.0,8106.0,11276.0,1.25,,,,,,,,,,,,,,,,,,,,,18,16,21,0.75,4.3,3.9,4.7,0.37,4.4,4.1,4.8,0.68,,7.0,6.0,8.0,-0.02,10.0,5.0,16.0,,,,,,,6.0,3.0,9.0,7.0,6.0,8.0,15,13,17,1.13,32,28.0,35.0,0.68,7.5,-0.15,22,20.0,26.0,0.77,54,0.68,12,11,13,0.13,1,14,7,0,24,-1.22,41.0,204.7,-0.33,33.0,28.0,38.0,1.77,63.0,36.0,103.0,,,,,,,49.0,31.0,75.0,28.0,23.0,33.0,2651,15,13,17,1.54,9.0,45.0,2218,0.25,12,60,1662,-0.07,34,171,586,0.45,3090.0,0.37,,,,,,23,2.04,,,,23.0,23.0,42,-0.01,34.0,,,55.0,42.0,10457,11779,89,87.0,90.0,1.0,2930,5453,54,50.0,58.0,1.11,305,7762,3.9,0.58,15,10,19,0.28,60.0,,,33.0,12.0,106193,27557,3.9,-0.01,1034,6747,15,12,19,0.07,3,1.5,0.21,90.0,424.0,2.37,122.0,121.0,99.0,142.0,1.17,348.0,190.0,583.0,,,,,,,,,,118.0,95.0,141.0,5.9,-0.31,No,-1.22,13,11,15,9,7,10,5,3,6,1,0,1,0.33,79,77,81,0.82,,,,,,,,,,68.0,46.0,89.0,80.0,78.0,82.0,7931,24,21,27,-0.01,
8,9,49015,Utah,Emery,,146.0,8806.0,6670.0,10943.0,0.84,,,,,,,,,,,,,,,,,,,,,17,15,19,0.31,4.3,4.0,4.7,0.44,4.5,4.1,4.8,0.73,,7.0,5.0,8.0,-0.68,,,,,,,,,,,,,,,,13,11,15,0.37,32,27.0,36.0,0.66,7.9,-0.44,19,16.0,23.0,-0.01,43,1.16,12,11,12,-0.04,7,33,21,12,31,-0.13,17.0,168.7,-0.74,18.0,13.0,24.0,-0.19,,,,,,,,,,45.0,22.0,84.0,16.0,11.0,22.0,712,9,7,10,-1.08,1.0,10.0,10014,1.4,3,30,3337,1.12,11,110,910,0.74,1722.0,-0.85,,,,,,33,0.56,,,,,,36,0.57,,,,71.0,36.0,5920,6312,94,92.0,95.0,-0.67,1568,2308,68,60.0,76.0,-0.21,173,4312,4.0,0.66,14,8,19,0.08,,,,37.0,15.0,99000,25026,4.0,0.16,377,3010,13,8,17,-0.33,0,0.0,0.9,18.0,167.0,-0.02,71.0,140.0,109.0,177.0,1.88,,,,,,,,,,,,,,,,5.7,-0.44,Yes,0.79,10,7,12,5,2,7,3,1,4,2,1,3,-0.95,80,77,82,0.92,,,,,,,,,,,,,,,,3886,22,17,26,-0.19,
9,10,49017,Utah,Garfield,,64.0,10065.0,6741.0,14456.0,1.43,,,,,,,,,,,,,,,,,,,,,17,15,20,0.41,4.3,3.9,4.8,0.46,4.3,3.9,4.7,0.23,,7.0,5.0,10.0,-0.13,,,,,,,,,,,,,,,,14,11,16,0.5,21,14.0,29.0,-1.29,5.2,1.47,25,18.0,33.0,1.4,39,1.36,12,11,13,0.1,3,15,20,7,35,-0.23,7.0,137.8,-1.1,22.0,14.0,32.0,0.35,,,,,,,,,,,,,,,,531,14,12,16,1.12,2.0,39.0,2540,0.44,1,20,5051,1.52,6,119,842,0.7,4724.0,1.83,,,,,,41,-0.62,,,,,,28,1.35,,,,36.0,28.0,3194,3447,93,90.0,95.0,-0.29,639,1123,57,46.0,68.0,0.82,173,2784,6.2,2.81,13,8,19,0.0,75.0,,,,23.0,95431,24621,3.9,0.03,242,1172,21,10,31,0.83,0,0.0,0.9,,,0.0,30.0,119.0,80.0,170.0,1.12,,,,,,,,,,,,,,,,4.9,-0.98,Yes,0.79,12,7,17,9,4,14,2,0,5,1,0,2,-0.03,72,69,75,-1.23,,,,,,,,,,,,,,,,2172,16,10,22,-0.66,
