,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,50000,Vermont,,,7408.0,6277.0,6040.0,6514.0,,6368.0,3481.0,10684.0,x,2757.0,1784.0,4070.0,x,8581.0,6609.0,10958.0,,3523.0,2394.0,5001.0,,6338.0,6090.0,6585.0,,13,12,14,,3.7,3.4,4.0,,4.2,3.8,4.5,,,7,7.0,7.0,,,,,7.0,6.0,9.0,8.0,7.0,10.0,8.0,6.0,10.0,7.0,6.0,7.0,15,13,16,,27,,,,8.7,,18,,,,76,,20,19,22,,104,303,34,31,37,,1712,274.5,,11,11,12,,,,,4.0,2.0,6.0,13.0,9.0,17.0,8.0,6.0,11.0,11.0,11.0,12.0,23522,5,4,5,,702,112,892,,457,73,1365,,3001,481,208,,3256,,,1056.0,2123.0,2563.0,3267.0,45,,,33.0,26.0,35.0,46.0,49,,21.0,49.0,40.0,45.0,49.0,408184,440460,93,92,93,,98407,143189,69,67,70,,8157,342227,2.4,,11,10,12,,9.0,17.0,34.0,22.0,12.0,116865,26041,4.5,,24561,116073,21,20,23,,838,13.4,,806,129,,2674,86,82,89,,74.0,35.0,135.0,30.0,18.0,47.0,67.0,46.0,94.0,36.0,23.0,55.0,88.0,84.0,91.0,5.4,,,,17,16,17,15,14,15,2,2,2,1,1,1,,76,75,76,,75.0,64.0,86.0,59.0,53.0,64.0,58.0,49.0,66.0,61.0,56.0,67.0,77.0,77.0,78.0,322189,32,31,32,,
1,2,50001,Vermont,Addison,,341.0,4388.0,3590.0,5187.0,-1.65,,,,,,,,,,,,,,,,,,,,,12,10,14,-1.13,3.4,3.0,3.8,-1.68,4.3,3.9,4.7,-0.87,,7,5.0,8.0,-0.15,,,,,,,,,,,,,,,,14,11,17,-1.09,26,23.0,28.0,-0.68,8.9,-1.09,20,17.0,22.0,-0.19,72,-0.21,22,21,23,0.03,8,26,31,20,41,-0.33,73,198.5,-0.72,8,6,10,-1.22,,,,,,,,,,,,,,,,1285,5,4,5,-0.76,42,114,880,-0.7,19,52,1936,0.4,111,302,331,0.4,2389,-1.33,,,,,,43,0.78,,,,,,57,-1.2,,,,54.0,57.0,23766,25420,93,93,94,-0.78,5216,7596,69,64,73,-0.58,475,20566,2.3,-0.65,9,5,13,-0.9,,,8.0,12.0,8.0,122697,31991,3.8,-1.26,897,6333,14,11,17,-1.73,38,10.3,0.29,29,79,-0.42,119,64,53,76,-1.53,,,,,,,,,,,,,,,,5.4,-0.05,No,-0.96,15,13,17,13,11,15,1,1,2,1,1,2,-1.1,73,71,75,-1.3,,,,41.0,21.0,61.0,,,,38.0,25.0,52.0,73.0,71.0,75.0,19665,39,36,42,0.31,
2,3,50003,Vermont,Bennington,,530.0,7768.0,6635.0,8901.0,0.67,,,,,,,,,,,,,,,,,,,,,14,12,17,0.1,3.8,3.4,4.2,-0.24,4.7,4.2,5.2,0.39,,8,7.0,10.0,1.72,,,,,,,,,,,,,,,,17,14,20,-0.04,30,27.0,33.0,0.41,8.1,0.48,20,18.0,22.0,-0.14,100,-1.83,20,19,21,-0.75,6,17,35,22,48,0.13,82,230.4,-0.21,17,14,19,0.62,,,,,,,,,,,,,,,,1459,6,5,6,0.87,37,104,963,-0.43,34,96,1043,-1.45,170,479,209,-0.47,4404,1.2,,,,2574.0,4391.0,48,-1.25,,,,36.0,48.0,50,-0.38,,39.0,25.0,43.0,50.0,23235,25485,91,90,93,0.32,4322,6882,63,56,69,0.1,531,18070,2.9,0.39,13,7,20,0.38,,,,71.0,13.0,115259,24940,4.6,0.79,1829,6791,27,20,34,1.55,49,13.8,-0.57,57,156,1.06,162,90,76,104,-0.11,,,,,,,,,,,,,,,,5.0,-0.91,No,-0.96,15,13,18,13,11,15,1,1,2,1,1,2,-0.79,77,73,80,-0.09,,,,,,,,,,,,,,,,16937,22,19,24,-1.34,
3,4,50005,Vermont,Caledonia,,415.0,7565.0,6385.0,8745.0,0.53,,,,,,,,,,,,,,,,,,,,,15,12,17,0.41,3.9,3.4,4.3,0.04,4.7,4.3,5.2,0.65,,6,5.0,8.0,-0.18,,,,,,,,,,,,,,,,19,16,22,0.94,30,27.0,33.0,0.41,8.3,0.08,23,21.0,26.0,0.73,60,0.5,22,21,23,0.11,9,17,53,42,63,1.91,91,301.7,0.91,12,9,14,-0.45,,,,,,,,,,,,,,,,1197,5,4,6,0.31,24,79,1263,0.23,23,77,1304,-0.65,110,367,273,0.08,2733,-0.9,,,,,,42,1.19,,,,,,38,1.02,,,,31.0,39.0,19682,21556,91,90,93,0.25,3895,6584,59,54,65,0.53,430,14460,3.0,0.44,15,8,21,0.76,,,,67.0,18.0,97764,23021,4.2,-0.19,1077,5890,18,13,23,-0.67,39,12.9,-0.35,35,113,0.24,161,106,90,123,0.76,,,,,,,,,,,,,,,,5.0,-0.91,No,-0.96,15,13,18,13,11,15,2,1,3,1,1,2,-0.81,77,75,80,0.18,,,,,,,,,,,,,,,,14455,32,29,35,-0.38,
4,5,50007,Vermont,Chittenden,,1373.0,4994.0,4587.0,5400.0,-1.24,,,,,,,,,11633.0,8232.0,15967.0,,,,,,4815.0,4399.0,5231.0,,11,9,13,-1.61,3.7,3.3,4.1,-0.65,4.0,3.6,4.5,-1.86,,6,6.0,7.0,-0.24,,,,8.0,6.0,10.0,9.0,6.0,11.0,8.0,5.0,11.0,6.0,6.0,7.0,13,10,15,-1.8,22,21.0,24.0,-1.48,8.6,-0.5,14,12.0,15.0,-1.66,87,-1.1,19,19,20,-1.28,9,34,26,17,36,-0.76,591,364.0,1.89,5,4,6,-1.83,,,,7.0,4.0,11.0,18.0,12.0,25.0,,,,4.0,4.0,5.0,5722,4,4,5,-1.53,299,182,550,-2.52,161,98,1017,-1.56,1070,653,153,-1.31,2152,-1.63,,,,,,46,-0.43,,26.0,29.0,28.0,47.0,59,-1.43,,55.0,39.0,54.0,59.0,101093,107125,94,94,95,-1.2,33622,41573,81,78,84,-2.01,1728,96435,1.8,-1.5,8,6,11,-1.28,,15.0,48.0,25.0,10.0,136485,30502,4.5,0.41,6171,28997,21,18,24,0.1,199,12.1,-0.16,209,130,0.56,547,67,62,73,-1.38,,,,41.0,23.0,67.0,82.0,49.0,128.0,,,,68.0,62.0,74.0,5.5,0.17,No,-0.96,18,16,19,16,15,17,2,1,2,1,1,1,0.57,73,71,74,-1.43,,,,56.0,50.0,63.0,54.0,43.0,66.0,59.0,52.0,65.0,76.0,75.0,78.0,90442,26,24,27,-0.94,
5,6,50009,Vermont,Essex,,114.0,9190.0,6233.0,12146.0,1.65,,,,,,,,,,,,,,,,,,,,,18,16,21,2.36,4.4,4.0,4.9,2.2,4.9,4.4,5.3,1.13,x,5,,,-1.84,,,,,,,,,,,,,,,,21,18,24,1.62,30,26.0,34.0,0.49,7.1,2.43,28,24.0,32.0,1.78,44,1.49,21,19,22,-0.61,2,6,33,11,55,-0.07,10,160.5,-1.32,13,7,22,-0.07,,,,,,,,,,,,,,,,275,6,5,7,1.83,1,16,6250,1.92,3,49,2054,0.53,3,49,2054,1.63,4806,1.71,,,,,,39,2.41,,,,,,40,0.78,,,,,,4108,4733,87,85,89,2.39,545,1149,47,39,56,1.9,87,2682,3.2,0.89,19,10,28,2.2,,,,,,84500,20516,4.1,-0.52,206,1094,19,12,26,-0.53,4,6.4,1.25,1,16,-1.62,38,123,87,168,1.66,,,,,,,,,,,,,,,,5.2,-0.48,No,-0.96,16,13,19,15,12,18,1,0,2,1,0,3,-0.45,80,77,83,1.01,,,,,,,,,,,,,,,,2707,40,34,46,0.41,
6,7,50011,Vermont,Franklin,,609.0,6743.0,5928.0,7558.0,-0.03,,,,,,,,,,,,,,,,,,,,,14,12,16,0.08,3.8,3.4,4.2,-0.17,4.3,3.9,4.7,-0.81,,7,6.0,7.0,-0.15,,,,,,,,,,,,,,,,17,14,20,0.09,35,32.0,37.0,1.67,8.9,-1.09,26,24.0,29.0,1.42,49,1.19,19,18,20,-1.4,17,32,53,45,60,1.93,142,289.6,0.72,20,17,22,1.26,,,,,,,,,,,,,,,,1906,5,4,5,-0.95,27,55,1830,0.88,24,49,2058,0.53,128,259,386,0.61,4508,1.33,,,,,,45,-0.03,,,,,,45,0.2,,42.0,,55.0,45.0,31114,34316,91,89,92,0.55,7463,12312,61,56,65,0.36,639,27313,2.3,-0.6,11,7,16,-0.34,,,,,,113775,30652,3.7,-1.58,1878,10945,17,13,21,-0.96,44,8.9,0.63,68,140,0.75,204,83,72,94,-0.51,,,,,,,,,,,,,,,,5.6,0.38,Yes,0.96,15,13,17,12,10,14,2,1,2,1,0,1,-1.28,82,80,84,1.72,,,,,,,,,,,,,,,,24959,42,38,46,0.6,
7,8,50013,Vermont,Grand Isle,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,13,11,15,-0.8,3.7,3.2,4.1,-0.63,4.1,3.7,4.6,-1.51,x,5,3.0,7.0,-1.87,,,,,,,,,,,,,,,,15,12,18,-0.74,30,26.0,35.0,0.46,9.1,-1.48,22,18.0,26.0,0.33,62,0.38,24,23,25,1.54,1,4,25,2,54,-0.91,12,171.5,-1.14,14,9,23,0.17,,,,,,,,,,,,,,,,269,5,4,6,-0.61,4,56,1773,0.84,1,14,7235,1.99,2,28,3618,1.73,2953,-0.62,,,,,,46,-0.43,,,,,,49,-0.27,,,,,,4895,5271,93,91,94,-0.49,1019,1487,69,59,78,-0.57,116,4041,2.9,0.27,11,6,16,-0.34,,,,,,126577,31977,4.0,-0.94,228,1226,19,12,25,-0.59,4,5.6,1.43,3,43,-1.1,37,105,74,145,0.72,,,,,,,,,,,,,,,,5.7,0.6,Yes,0.96,17,13,20,16,12,20,1,0,2,0,0,1,0.01,78,75,81,0.35,,,,,,,,,,,,,,,,3565,64,57,70,2.65,
8,9,50015,Vermont,Lamoille,,266.0,5276.0,4230.0,6322.0,-1.04,,,,,,,,,,,,,,,,,,,,,14,12,17,0.21,3.8,3.4,4.2,-0.09,4.6,4.2,5.1,0.3,,6,5.0,7.0,-0.4,,,,,,,,,,,,,,,,17,14,20,0.12,24,21.0,26.0,-1.18,8.6,-0.5,19,16.0,21.0,-0.46,68,0.04,23,22,24,1.07,6,14,43,29,56,0.89,70,276.3,0.51,13,10,16,-0.17,,,,,,,,,,,,,,,,1090,5,4,6,0.61,23,91,1100,-0.09,13,51,1951,0.42,122,481,208,-0.47,3357,-0.11,,,,,,44,0.38,,25.0,25.0,33.0,45.0,58,-1.32,,51.0,50.0,41.0,58.0,16503,17779,93,91,95,-0.47,4541,6431,71,64,78,-0.81,434,13888,3.1,0.69,11,6,16,-0.37,,,32.0,38.0,18.0,116378,23227,5.0,1.81,1275,5138,25,16,34,1.0,21,8.3,0.78,14,53,-0.91,84,66,53,82,-1.43,,,,,,,,,,,,,,,,4.6,-1.77,No,-0.96,19,16,22,17,14,20,2,1,3,0,0,1,1.19,78,76,81,0.44,,,,,,,,,,,,,,,,13529,41,36,45,0.46,
9,10,50017,Vermont,Orange,,369.0,6025.0,4930.0,7119.0,-0.53,,,,,,,,,,,,,,,,,,,,,14,12,17,0.3,3.9,3.5,4.4,0.24,4.6,4.2,5.1,0.26,,7,6.0,9.0,0.77,,,,,,,,,,,,,,,,17,14,21,0.18,29,26.0,32.0,0.13,8.4,-0.11,18,16.0,20.0,-0.58,52,1.02,20,19,21,-0.76,2,7,29,9,50,-0.55,60,207.1,-0.58,11,8,14,-0.62,,,,,,,,,,,,,,,,1124,5,4,6,-0.06,24,83,1208,0.13,9,31,3210,1.26,99,343,292,0.2,3957,0.64,,,,,,45,-0.03,,,,,,44,0.32,,46.0,,36.0,44.0,19477,21216,92,91,93,0.02,3682,6292,59,54,63,0.61,378,15905,2.4,-0.54,11,6,17,-0.31,,,,6.0,12.0,106380,27770,3.8,-1.27,1078,5298,20,14,26,-0.14,29,10.0,0.36,6,19,-1.57,129,89,74,105,-0.18,,,,,,,,,,,,,,,,5.3,-0.26,Yes,0.96,16,14,18,14,12,15,2,1,3,1,1,1,-0.34,76,74,78,-0.34,,,,,,,,,,,,,,,,15089,45,41,49,0.86,
