,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,51000,Virginia,,79.5,79.5,79.6,90.0,87.2,92.8,89.5,89.0,90.1,76.5,76.3,76.7,89.5,88.8,90.2,79.5,79.4,79.6,95342,320,318,322,208.0,178.0,238.0,130.0,124.0,135.0,444.0,438.0,450.0,150.0,144.0,156.0,318.0,315.0,320.0,3571.0,48.0,46.0,49.0,,,,34.0,29.0,39.0,76.0,72.0,81.0,41.0,37.0,45.0,39.0,37.0,41.0,4156.0,6.0,6.0,6.0,,,,4.0,3.0,5.0,10.0,9.0,10.0,5.0,4.0,5.0,5.0,4.0,5.0,11,10,11,12,12,13,11,,,23081.0,322.0,842870,10,342355.0,4.0,4502.0,18.0,17.0,18.0,16.0,8.0,27.0,3.0,2.0,4.0,17.0,16.0,18.0,7.0,6.0,8.0,21.0,20.0,22.0,5692.0,10.0,9.0,10.0,7.0,3.0,12.0,3.0,3.0,4.0,12.0,11.0,12.0,6.0,5.0,7.0,10.0,10.0,11.0,39,37,40,618552,12,12,12,95977,5,4,5,100.0,1000,98009.0,88.0,5.0,5.0,5.0,3.2,3.5,2.8,2.8,3.4,,,,,,76471,75492,77450,62186.0,57521.0,66851.0,105931.0,103952.0,107910.0,51654.0,50891.0,52417.0,68772.0,67321.0,70223.0,80036.0,79569.0,80503.0,44,49.0,41.0,5.0,5.0,5.0,,,,1.0,1.0,2.0,15.0,14.0,15.0,3.0,3.0,4.0,2.0,2.0,2.0,5836.0,13.0,13.0,14.0,14.0,15.0,9.0,23.0,6.0,5.0,7.0,7.0,6.0,7.0,4.0,4.0,5.0,17.0,16.0,17.0,5096.0,12.0,12.0,12.0,13.0,8.0,21.0,2.0,2.0,3.0,18.0,17.0,19.0,4.0,3.0,4.0,12.0,12.0,13.0,6794,19633,844400,31.0,573,2087711,66,66,67,388573,13,13,13,84,2644577,84,84,8535519,21.8,15.9,1632226,19.1,46602,0.5,589710,6.9,10092,0.1,834422,9.8,5227904,61.2,212999,3,3.0,3.0,50.8,1963930,24.5,
1,2,51001,Virginia,Accomack,76.8,75.8,77.8,,,,,,,74.0,72.1,75.9,,,,77.8,76.6,79.1,592,425,387,463,,,,,,,536.0,454.0,617.0,,,,393.0,345.0,440.0,22.0,82.0,51.0,124.0,,,,,,,,,,,,,,,,20.0,8.0,5.0,12.0,,,,,,,,,,,,,,,,15,14,16,16,15,17,15,11.0,18.0,102.0,370.0,4150,13,694.0,2.0,14.0,14.0,8.0,24.0,,,,,,,,,,,,,,,,42.0,18.0,13.0,25.0,,,,,,,26.0,15.0,42.0,,,,14.0,9.0,22.0,41,39,42,3595,20,18,23,577,9,6,11,68.0,1469,381.0,83.0,,,,2.9,,2.8,2.7,3.2,,,,,,47335,41475,53195,,,,47857.0,36502.0,59212.0,32317.0,27052.0,37582.0,44408.0,35908.0,52908.0,52973.0,47520.0,58426.0,69,23.0,21.0,11.0,7.0,16.0,,,,,,,,,,,,,,,,30.0,16.0,10.0,24.0,18.0,,,,,,,,,,,,,,,,25.0,15.0,10.0,23.0,,,,,,,,,,,,,,,,27,45,3000,24.0,60,8977,67,66,68,1533,12,10,15,68,9204,66,71,32316,20.7,24.6,9104,28.2,239,0.7,257,0.8,54,0.2,2955,9.1,19352,59.9,1496,5,3.0,6.0,51.3,33164,100.0,
2,3,51003,Virginia,Albemarle,82.7,82.2,83.2,,,,95.1,81.7,108.4,77.2,75.5,79.0,90.6,80.0,101.2,83.0,82.4,83.6,882,225,209,240,,,,,,,404.0,334.0,474.0,179.0,110.0,277.0,214.0,197.0,231.0,20.0,23.0,14.0,36.0,,,,,,,,,,,,,,,,26.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,10,9,11,12,10,13,8,6.0,11.0,178.0,191.0,8890,8,3618.0,4.0,25.0,8.0,5.0,11.0,,,,,,,,,,,,,,,,61.0,8.0,6.0,11.0,,,,,,,15.0,7.0,26.0,,,,8.0,6.0,11.0,34,32,35,6922,11,10,13,1214,5,4,7,87.0,1151,,,,,,3.2,,2.5,2.4,3.5,,,,,,86332,80768,91896,,,,80156.0,53841.0,106471.0,55724.0,43464.0,67984.0,61711.0,42248.0,81174.0,86004.0,80883.0,91125.0,30,37.0,29.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,67.0,11.0,9.0,15.0,12.0,,,,,,,,,,,,,,,,45.0,8.0,6.0,11.0,,,,,,,,,,,,,,,,67,119,9900,19.0,223,26265,63,62,65,5058,13,11,14,85,35398,84,87,109330,19.7,19.3,10281,9.4,383,0.4,6051,5.5,100,0.1,6313,5.8,84045,76.9,1790,2,1.0,2.0,52.1,44559,45.0,
3,4,51005,Virginia,Alleghany,76.3,74.8,77.8,,,,,,,,,,,,,,,,296,449,393,504,,,,,,,734.0,448.0,1133.0,,,,430.0,374.0,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,16,17,15,18,15,10.0,20.0,17.0,131.0,2090,14,768.0,5.0,,,,,,,,,,,,,,,,,,,,20.0,18.0,11.0,29.0,,,,,,,,,,,,,,,,40,38,41,1024,12,10,14,147,5,4,7,47.0,2123,206.0,86.0,,,,2.9,,,,,,,,,,53341,47789,58893,,,,,,,22724.0,8735.0,36713.0,,,,49177.0,45847.0,52507.0,53,36.0,29.0,,,,,,,,,,,,,,,,,,,12.0,16.0,8.0,30.0,16.0,,,,,,,,,,,,,,,,10.0,13.0,6.0,24.0,,,,,,,,,,,,,,,,16,42,1400,41.0,115,5032,76,74,79,670,11,7,14,70,4603,67,73,14860,18.3,25.5,682,4.6,44,0.3,46,0.3,12,0.1,238,1.6,13583,91.4,17,0,0.0,1.0,51.1,8514,52.4,
4,5,51007,Virginia,Amelia,76.1,74.5,77.7,,,,,,,79.3,75.6,83.0,,,,75.1,73.3,77.0,230,439,378,500,,,,,,,390.0,277.0,533.0,,,,464.0,391.0,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,15,14,17,13,8.0,20.0,18.0,161.0,1300,10,730.0,6.0,,,,,,,,,,,,,,,,,,,,26.0,29.0,19.0,42.0,,,,,,,,,,,,,,,,38,37,40,1209,16,13,18,218,8,6,10,23.0,4382,134.0,93.0,,,,3.1,,2.6,,3.3,,,,,,60096,51577,68615,,,,,,,46074.0,36689.0,55459.0,,,,61601.0,54023.0,69179.0,50,6.0,0.0,,,,,,,,,,,,,,,,,,,18.0,25.0,14.0,40.0,28.0,,,,,,,,,,,,,,,,19.0,29.0,18.0,46.0,,,,,,,,,,,,,,,,5,39,1300,34.0,19,4181,84,80,89,462,10,5,14,72,3564,68,76,13145,20.8,20.1,2662,20.3,79,0.6,80,0.6,6,0.0,418,3.2,9729,74.0,111,1,0.0,2.0,50.7,12690,100.0,
5,6,51009,Virginia,Amherst,78.0,76.9,79.0,,,,,,,77.0,74.6,79.3,,,,78.0,76.8,79.2,494,378,342,414,,,,,,,412.0,328.0,496.0,,,,376.0,335.0,416.0,15.0,60.0,34.0,99.0,,,,,,,,,,,,,,,,20.0,9.0,6.0,14.0,,,,,,,,,,,,,,,,14,12,15,15,14,17,17,12.0,24.0,51.0,187.0,3440,11,1990.0,6.0,,,,,,,,,,,,,,,,,,,,30.0,13.0,9.0,19.0,,,,,,,25.0,13.0,45.0,,,,11.0,6.0,17.0,38,37,40,2579,14,12,16,373,6,4,7,44.0,2258,313.0,91.0,14.0,6.0,23.0,3.1,,2.7,,3.2,,,,,,56218,49068,63368,,,,,,,39286.0,28838.0,49734.0,23850.0,18581.0,29119.0,54866.0,50217.0,59515.0,54,22.0,18.0,,,,,,,,,,,,,,,,,,,23.0,15.0,9.0,23.0,15.0,,,,,,,,,,,,,,,,22.0,14.0,9.0,21.0,,,,,,,,,,,,,,,,10,64,2800,26.0,102,9378,77,75,80,994,9,6,11,69,8409,66,72,31605,19.3,21.6,5977,18.9,291,0.9,180,0.6,14,0.0,767,2.4,23671,74.9,132,0,0.0,1.0,51.4,20597,63.7,
6,7,51011,Virginia,Appomattox,77.4,75.9,78.9,,,,,,,73.5,70.1,76.9,,,,78.3,76.7,79.9,235,377,325,429,,,,,,,545.0,415.0,703.0,,,,340.0,284.0,395.0,12.0,89.0,46.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,15,15,14,17,18,10.0,27.0,18.0,134.0,1760,11,105.0,1.0,,,,,,,,,,,,,,,,,,,,19.0,17.0,11.0,27.0,,,,,,,,,,,,,,,,40,38,41,1273,14,12,16,221,6,4,8,19.0,5304,195.0,93.0,,,,3.0,,2.9,,3.2,,,,,,54609,46916,62302,,,,,,,30354.0,22844.0,37864.0,62886.0,48760.0,77012.0,67526.0,60012.0,75040.0,49,6.0,7.0,,,,,,,,,,,,,,,,,,,16.0,24.0,13.0,39.0,20.0,,,,,,,,,,,,,,,,17.0,22.0,13.0,35.0,,,,,,,,,,,,,,,,1-4,77,1500,,25,4737,78,75,81,507,9,6,12,69,4230,66,73,15911,21.0,21.2,2932,18.4,48,0.3,61,0.4,8,0.1,300,1.9,12262,77.1,40,0,0.0,1.0,51.5,14973,100.0,
7,8,51013,Virginia,Arlington,85.9,85.4,86.4,,,,90.3,87.6,93.0,80.6,79.0,82.2,91.8,88.8,94.8,85.8,85.2,86.3,1078,158,148,167,,,,136.0,109.0,168.0,317.0,273.0,361.0,117.0,95.0,140.0,145.0,134.0,156.0,50.0,30.0,22.0,39.0,,,,,,,68.0,35.0,119.0,33.0,17.0,58.0,21.0,13.0,32.0,70.0,3.0,2.0,4.0,,,,,,,,,,5.0,3.0,7.0,2.0,1.0,3.0,8,7,9,10,9,11,5,4.0,7.0,998.0,488.0,15570,7,174.0,0.0,48.0,7.0,5.0,9.0,,,,,,,19.0,10.0,33.0,,,,7.0,5.0,10.0,44.0,3.0,2.0,4.0,,,,,,,,,,5.0,2.0,8.0,2.0,1.0,3.0,31,30,32,12590,7,7,8,1608,4,3,5,67.0,1490,1603.0,85.0,10.0,6.0,15.0,3.5,,3.0,2.9,3.8,,,,,,118986,114377,123595,72719.0,55923.0,89515.0,98267.0,86308.0,110226.0,62048.0,56025.0,68071.0,80466.0,72289.0,88643.0,136935.0,134140.0,139730.0,29,50.0,32.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,82.0,7.0,6.0,9.0,7.0,,,,,,,,,,,,,,,,32.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,30,382,16700,25.0,2563,45752,43,42,44,13314,13,12,14,91,97674,91,92,236842,18.1,11.1,21492,9.1,1529,0.6,25945,11.0,311,0.1,36951,15.6,145305,61.4,8336,4,3.0,4.0,49.9,0,0.0,
8,9,51015,Virginia,Augusta,80.8,80.2,81.5,,,,,,,85.4,80.3,90.5,89.2,81.2,97.2,80.5,79.8,81.2,903,294,274,315,,,,,,,242.0,158.0,355.0,,,,305.0,283.0,327.0,14.0,24.0,13.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,14,13,16,17,13.0,21.0,74.0,113.0,6330,9,3037.0,4.0,35.0,15.0,11.0,22.0,,,,,,,,,,,,,,,,83.0,16.0,13.0,20.0,,,,,,,,,,,,,,,,37,35,38,5208,12,11,14,783,5,4,7,115.0,868,795.0,92.0,12.0,6.0,17.0,3.0,,,2.9,3.1,,,,,,63621,58051,69191,,,,99896.0,8180.0,191612.0,53250.0,24887.0,81613.0,47750.0,32069.0,63431.0,62886.0,60274.0,65498.0,41,43.0,28.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,73.0,19.0,15.0,24.0,19.0,,,,,,,,,,,,,,,,48.0,13.0,9.0,17.0,,,,,,,,,,,,,,,,18,155,7100,24.0,65,23430,79,78,81,2563,9,7,10,76,22398,74,78,75558,18.5,21.9,3381,4.5,191,0.3,490,0.6,32,0.0,2374,3.1,68150,90.2,475,1,0.0,1.0,49.2,48998,66.4,
9,10,51017,Virginia,Bath,76.5,73.5,79.4,,,,,,,,,,,,,,,,82,407,311,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,17,15,18,8,4.0,14.0,,,450,10,436.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,39,42,349,14,12,17,45,7,4,9,72.0,1382,,,,,,2.9,,,,,,,,,,54385,47269,61501,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,1-4,300,,12,1357,75,66,84,110,6,0,13,69,1236,63,74,4147,15.1,28.0,188,4.5,9,0.2,20,0.5,0,0.0,91,2.2,3778,91.1,38,1,0.0,3.0,49.4,4731,100.0,
