,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low,95% CI - High,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,% Broadband Access,Numerator,95% CI - Low,95% CI - High,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
1,53000,Washington,,80.4,80.4,80.5,74.4,73.7,75.0,87.0,86.6,87.3,77.8,77.4,78.3,85.1,84.6,85.6,80.1,80.0,80.1,76291,288,286,290,564,538,589,173,168,179,411,398,424,221,214,228,296,293,298,2532,38,37,40,68,54,85,32,28,36,69,61,77,38,35,41,35,33,37,2719,4,4,5,8,6,9,4,3,4,8,7,9,4,4,5,4,4,4,11,11,12,12,11,13,9,,,13614,215,804080,11,372493,6,3592,16,15,16,50,43,58,5,4,6,21,18,24,8,7,9,18,17,19,4107,8,8,8,25,22,29,4,3,4,7,6,8,8,8,9,8,8,9,32,31,33,426143,9,9,10,48112,3,2,3,99,1015:1,75394,89,6,6,7,3.0,3.4,2.6,2.5,3.2,3.0,3.5,2.4,2.5,3.1,78674,77604,79744,48699,46476,50922,96975,95044,98906,52742,50821,54663,54962,53927,55997,76454,76094,76814,43,59,38,3,3,3,9,7,11,2,1,2,13,11,14,5,5,6,2,2,2,6075,16,15,16,16,24,20,28,8,7,9,11,9,12,8,7,9,18,17,18,3904,11,10,11,15,12,19,4,3,4,16,14,18,8,7,9,11,11,12,9608,8953,733700,25,601,1793239,63,63,63,378153,14,13,14,88,2516185,88,89,7614893,21.8,15.9,304224,4.0,146799,1.9,727986,9.6,60349,0.8,991721,13.0,5140589,67.5,251866,4,4,4,49.9,1072671,16.0,
2,53001,Washington,Adams,80.2,78.8,81.6,,,,,,,,,,82.4,80.3,84.5,77.4,74.9,79.9,164,296,250,342,,,,,,,,,,185,134,249,391,311,471,11,39,20,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,19,16,14,17,9,7,12,14,96,2540,13,1398,7,,,,,,,,,,,,,,,,,,,,28,21,14,30,,,,,,,,,,,,,,,,33,32,34,2012,19,16,22,283,4,3,5,90,1110:1,268,90,19,7,31,2.4,,,2.3,3.2,2.7,,,2.6,3.2,53535,46629,60441,27500,10276,44724,79450,61030,97870,,,,43231,39225,47237,55114,47315,62913,77,38,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,33,3000,35,46,3771,63,60,67,579,10,7,14,75,4468,70,80,19983,35.9,11.3,127,0.6,1234,6.2,270,1.4,27,0.1,12936,64.7,6491,32.5,2876,16,13,20,48.9,7521,40.2,
3,53003,Washington,Asotin,79.3,78.1,80.6,,,,,,,,,,,,,,,,319,348,306,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,16,15,14,17,13,11,16,19,98,2950,13,1236,6,11,16,8,29,,,,,,,,,,,,,,,,14,9,5,15,,,,,,,,,,,,,,,,33,32,35,1088,9,7,10,116,2,2,3,49,2053:1,273,76,,,,2.9,,,,,2.9,,,,,54776,48850,60702,30658,26811,34505,,,,,,,28569,18382,38756,55559,50631,60487,51,,21,,,,,,,,,,,,,,,,,,,28,24,15,36,25,,,,,,,,,,,,,,,,22,20,12,30,,,,,,,,,,,,,,,,48,59,2200,49,186,6433,71,68,74,837,9,7,12,81,7386,78,84,22582,20.0,24.0,156,0.7,417,1.8,221,1.0,59,0.3,989,4.4,20275,89.8,128,1,0,1,51.1,1439,6.7,
4,53005,Washington,Benton,80.4,80.0,80.8,,,,86.4,82.5,90.2,84.8,73.9,95.7,84.6,82.3,87.0,80.1,79.6,80.5,1923,284,271,297,,,,207,150,277,331,223,472,221,185,257,295,279,310,84,39,31,49,,,,,,,,,,47,32,66,33,24,45,91,5,4,6,,,,,,,,,,5,3,7,5,3,6,13,11,14,13,12,14,9,8,11,152,93,22120,11,7739,4,88,15,12,18,,,,,,,,,,,,,,,,124,9,8,11,,,,,,,,,,11,7,15,8,7,10,33,32,35,13948,12,10,13,1385,2,2,3,112,896:1,2706,86,6,4,9,3.0,3.3,,2.5,3.3,2.9,3.3,,2.3,3.1,72847,67226,78468,48088,6150,90026,88860,68975,108745,32641,15623,49659,48519,43757,53281,75414,73317,77511,52,54,25,3,2,4,,,,,,,,,,6,3,9,2,1,3,175,18,15,21,18,,,,,,,,,,8,4,14,20,17,24,115,12,10,14,,,,,,,,,,8,5,13,13,10,16,717,435,24200,48,300,49637,69,68,70,7944,11,10,12,85,61252,84,86,204390,26.6,15.4,3008,1.5,2628,1.3,6765,3.3,526,0.3,46210,22.6,141820,69.4,7191,4,3,4,49.9,18518,10.6,
5,53007,Washington,Chelan,80.6,80.0,81.2,,,,,,,,,,88.6,84.3,92.8,79.8,79.0,80.5,792,268,248,288,,,,,,,,,,150,113,195,297,272,322,28,39,26,56,,,,,,,,,,,,,,,,28,4,3,6,,,,,,,,,,,,,,,,13,11,14,13,12,15,8,6,10,56,88,8110,11,4379,6,26,11,7,17,,,,,,,,,,,,,,,,48,9,7,12,,,,,,,,,,7,3,12,10,7,13,30,28,31,6197,14,12,16,709,4,3,5,163,613:1,949,92,6,2,11,2.8,,,2.4,3.2,2.7,,,2.4,3.0,59838,54977,64699,68108,24544,111672,,,,,,,47086,39914,54258,63703,60323,67083,55,73,34,2,1,4,,,,,,,,,,,,,,,,69,17,13,22,18,,,,,,,,,,,,,,,,47,12,9,16,,,,,,,,,,9,4,17,14,10,19,100,183,8000,35,283,18286,64,62,67,2982,11,9,13,81,23088,79,84,77200,23.2,19.6,400,0.5,1577,2.0,942,1.2,212,0.3,21805,28.2,52166,67.6,4952,7,6,8,49.9,19725,27.2,
6,53009,Washington,Clallam,78.8,78.1,79.4,72.7,69.1,76.3,85.1,80.0,90.3,,,,87.3,79.9,94.7,78.8,78.1,79.6,1225,349,326,372,644,507,807,,,,,,,232,152,340,341,316,366,18,35,21,55,,,,,,,,,,,,,,,,27,6,4,8,,,,,,,,,,,,,,,,13,12,15,14,13,16,14,11,17,76,113,10970,15,6309,9,51,22,17,29,,,,,,,,,,,,,,,,65,12,10,16,,,,,,,,,,,,,,,,35,33,36,4558,11,10,13,551,4,3,5,138,723:1,597,92,8,4,12,3.1,,,3.0,3.2,3.1,,,3.1,3.2,57571,52887,62255,37763,30782,44744,51399,25338,77460,31543,30170,32916,36367,25864,46870,55070,52736,57404,50,56,36,4,2,6,,,,,,,,,,,,,,,,108,26,21,32,29,,,,,,,,,,,,,,,,73,19,15,24,,,,,,,,,,,,,,,,114,125,5800,41,108,23198,70,68,72,4250,13,12,15,85,27861,83,86,77331,16.7,30.5,721,0.9,4355,5.6,1454,1.9,140,0.2,5076,6.6,63730,82.4,526,1,0,1,50.6,25315,35.5,
7,53011,Washington,Clark,80.1,79.8,80.3,83.2,79.7,86.7,85.8,83.9,87.7,77.2,75.0,79.4,85.7,83.3,88.2,79.8,79.5,80.1,4802,280,272,288,200,134,287,217,187,247,405,336,474,188,158,218,287,278,296,170,37,31,42,,,,38,19,68,79,43,132,38,26,55,34,28,41,154,4,3,5,,,,,,,,,,4,3,6,4,3,5,12,11,13,13,12,14,10,9,12,714,179,48480,10,19648,5,206,14,12,16,,,,,,,,,,,,,,,,248,8,7,9,,,,5,2,9,,,,7,5,11,8,7,9,32,31,34,25594,9,8,10,3128,3,2,3,67,1493:1,6082,89,7,5,8,3.0,,,2.5,3.1,2.9,3.2,,2.4,3.0,80407,77776,83038,68594,42956,94232,84410,76232,92588,50946,37880,64012,56757,52319,61195,77628,76140,79116,40,44,24,3,2,3,,,,,,,16,9,26,4,2,6,2,2,3,404,17,15,19,17,,,,10,6,17,,,,9,6,14,18,16,20,223,9,8,11,,,,,,,24,14,39,7,4,11,10,8,11,627,740,53900,25,484,116975,67,66,68,21300,12,12,13,90,157447,90,91,488241,23.5,16.0,10402,2.1,5806,1.2,24587,5.0,4443,0.9,49756,10.2,378396,77.5,11468,3,,,50.6,58566,13.8,
8,53013,Washington,Columbia,78.6,75.7,81.5,,,,,,,,,,,,,,,,75,386,293,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,14,14,12,15,12,10,16,,,570,14,435,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,30,33,182,8,7,10,24,3,2,4,151,664:1,,,,,,3.2,,,,,3.3,,,,,56338,48838,63838,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-4,1-4,300,,75,1219,68,63,72,186,11,5,17,78,1405,74,83,3985,18.0,28.5,25,0.6,70,1.8,57,1.4,81,2.0,315,7.9,3364,84.4,84,2,0,5,51.2,1397,34.3,
9,53015,Washington,Cowlitz,76.9,76.4,77.4,77.7,71.7,83.6,81.7,76.2,87.2,,,,86.7,79.2,94.3,76.7,76.1,77.2,1733,416,396,437,417,265,626,337,218,497,,,,233,167,318,427,404,449,47,48,35,63,,,,,,,,,,,,,,,,49,6,4,8,,,,,,,,,,,,,,,,14,13,16,15,14,17,13,11,15,143,157,15700,15,8808,9,60,18,14,24,,,,,,,,,,,,,,,,78,11,8,13,,,,,,,,,,,,,,,,37,36,38,6305,10,9,12,677,3,2,3,85,1177:1,1164,92,7,4,11,2.6,,,2.4,2.7,2.5,,,2.2,2.6,57316,52301,62331,39821,13578,66064,56699,25807,87591,53500,33247,73753,34315,29094,39536,57209,53741,60677,55,73,22,3,2,4,,,,,,,,,,,,,,,,114,21,17,25,21,,,,,,,,,,,,,,,,77,14,11,18,,,,,,,,,,,,,,,,195,284,11400,42,295,27719,66,65,68,5282,13,11,14,83,34644,81,84,110593,22.8,19.3,1024,0.9,2291,2.1,1752,1.6,478,0.4,10325,9.3,92005,83.2,1057,1,1,1,50.5,29342,28.7,
10,53017,Washington,Douglas,82.7,81.8,83.6,,,,,,,,,,92.2,82.9,101.5,81.8,80.7,82.8,381,243,218,268,,,,,,,,,,110,71,164,275,243,308,11,25,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,15,14,13,15,8,6,11,19,54,5020,12,6535,17,,,,,,,,,,,,,,,,,,,,25,9,6,13,,,,,,,,,,,,,,,,34,32,35,3605,15,13,17,402,4,2,5,41,2413:1,539,87,8,3,14,2.9,,,2.5,3.4,2.7,,,2.3,3.2,63086,56658,69514,78438,19471,137405,,,,,,,52754,48755,56753,68005,64503,71507,62,,25,,,,,,,,,,,,,,,,,,,28,12,8,18,13,,,,,,,,,,,,,,,,22,10,7,16,,,,,,,,,,,,,,,,87,63,5100,29,377,10486,69,66,71,1174,8,6,10,80,12257,78,82,43429,25.8,18.2,203,0.5,928,2.1,494,1.1,133,0.3,14036,32.3,27529,63.4,2935,7,6,9,49.4,10221,26.6,
