,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,53000,Washington,,,76291.0,5614.0,5554.0,5674.0,,12446.0,11727.0,13165.0,,3507.0,3356.0,3657.0,,8310.0,7985.0,8634.0,,4570.0,4420.0,4719.0,,5699.0,5626.0,5772.0,,15,14,16,,3.7,3.6,3.9,,4.0,3.8,4.2,,,6,6.0,7.0,,8.0,7.0,8.0,8.0,8.0,8.0,10.0,9.0,10.0,6.0,6.0,7.0,6.0,6.0,6.0,12,11,13,,29,,,,8.2,,16,,,,86,,17,16,18,,883,2715,33,32,33,,34449.0,465.2,,16.0,16.0,16.0,,31.0,29.0,33.0,7.0,6.0,7.0,18.0,17.0,19.0,33.0,32.0,33.0,12.0,12.0,12.0,469557,7,7,8,,6364.0,84.0,1184,,6354,83,1198,,30397,399,251,,2853,,5011.0,2376.0,4285.0,3442.0,2789.0,40,,29.0,32.0,31.0,31.0,41.0,47,,42.0,49.0,34.0,36.0,48.0,4659175,5101624,91,91.0,91.0,,1484203,2094506,71,70.0,71.0,,166445,3914158,4.3,,12,11,13,,26.0,10.0,29.0,24.0,9,141566,31895,4.4,,323524,1640318,20,19,20,,6431,8.5,,21080,294,,24755.0,67.0,66.0,68.0,,137.0,127.0,146.0,30.0,28.0,32.0,66.0,62.0,70.0,38.0,36.0,40.0,76.0,75.0,77.0,6.4,,,,17,17,17,14,13,14,3,3,3,1,1,1,,72,71,72,,76.0,74.0,78.0,62.0,62.0,63.0,68.0,67.0,69.0,70.0,69.0,71.0,74.0,73.0,74.0,3568208,37,37,38,,
1,2,53001,Washington,Adams,,164.0,5581.0,4442.0,6720.0,-0.58,,,,,,,,,,,,,3994.0,2853.0,5439.0,,8723.0,5645.0,11800.0,,29,25,32,3.0,5.6,5.2,6.1,2.51,4.7,4.3,5.1,1.11,,7,6.0,8.0,0.57,,,,,,,,,,7.0,6.0,8.0,5.0,4.0,7.0,17,15,19,0.44,35,30.0,41.0,0.88,7.6,-0.21,23,18.0,28.0,0.85,62,0.68,15,14,16,-2.41,6,40,15,8,24,-1.49,91.0,466.5,0.54,44.0,39.0,50.0,2.43,,,,,,,,,,54.0,47.0,61.0,17.0,11.0,26.0,2276,13,11,15,1.77,10.0,51.0,1976,0.61,24,120,833,-2.46,34,170,588,1.12,2294,-0.52,,,,4460.0,1916.0,34,0.88,,,,26.0,35.0,37,0.33,,,,25.0,38.0,7172,10713,67,63.0,71.0,3.0,1521,4695,32,27.0,38.0,2.44,558,9870,5.7,-0.02,22,16,28,1.27,73.0,,44.0,43.0,6,92867,22009,4.2,-0.22,1863,6888,27,19,35,1.34,23,11.6,-0.91,48,248,0.66,56.0,57.0,43.0,74.0,-1.11,,,,,,,,,,39.0,25.0,57.0,92.0,63.0,131.0,8.7,1.37,No,-0.78,23,18,28,12,8,15,13,9,17,1,0,2,2.23,72,67,77,-0.49,,,,,,,,,,70.0,62.0,77.0,76.0,71.0,81.0,7405,22,17,28,-0.66,
2,3,53003,Washington,Asotin,,319.0,7158.0,5780.0,8535.0,0.45,,,,,,,,,,,,,,,,,,,,,18,16,21,-0.01,4.7,4.3,5.2,0.66,4.8,4.4,5.2,1.39,,6,5.0,7.0,-0.25,,,,,,,,,,,,,,,,18,16,21,1.09,32,28.0,37.0,0.19,7.7,-0.32,19,16.0,22.0,-0.21,98,-1.4,19,18,20,-0.24,3,6,50,28,67,1.08,57.0,252.9,-0.63,29.0,24.0,34.0,0.81,,,,,,,,,,,,,,,,1194,7,6,8,-0.82,18.0,80.0,1256,-0.46,14,62,1613,0.08,86,381,263,-0.64,2492,-0.26,,,,,,49,-1.91,,64.0,,57.0,48.0,48,-0.78,41.0,50.0,,43.0,48.0,14812,16214,91,89.0,93.0,-0.35,3163,4993,63,56.0,71.0,-0.16,431,10400,4.1,-1.07,19,11,26,0.45,,,,61.0,11,101681,25648,4.0,-0.61,811,4575,18,12,23,-0.42,16,7.1,0.74,47,211,0.23,91.0,81.0,65.0,100.0,0.02,,,,,,,,,,,,,,,,7.8,0.78,No,-0.78,12,10,15,11,8,13,2,0,3,0,0,1,-1.46,80,77,82,0.83,,,,,,,,,,,,,,,,9474,9,6,11,-1.85,
3,4,53005,Washington,Benton,,1923.0,5586.0,5216.0,5956.0,-0.58,,,,,,,,,,,,,4618.0,3901.0,5336.0,,5713.0,5265.0,6160.0,,17,15,20,-0.2,4.3,3.9,4.8,-0.1,4.1,3.8,4.5,-0.91,,7,6.0,7.0,0.21,11.0,5.0,17.0,7.0,5.0,9.0,9.0,6.0,12.0,6.0,6.0,7.0,6.0,6.0,7.0,14,12,16,-0.82,35,31.0,38.0,0.72,8.2,-0.87,16,14.0,19.0,-0.76,77,-0.22,18,17,18,-0.81,24,74,32,26,38,-0.21,890.0,449.1,0.44,23.0,22.0,25.0,0.24,,,,,,,26.0,17.0,38.0,37.0,34.0,41.0,16.0,15.0,18.0,15177,9,8,10,-0.03,141.0,70.0,1432,-0.1,147,72,1390,-0.35,585,286,349,0.15,4160,1.95,2230.0,3030.0,9151.0,4404.0,4143.0,43,-0.8,22.0,41.0,41.0,36.0,44.0,52,-1.19,48.0,59.0,44.0,42.0,53.0,115380,127960,90,89.0,91.0,-0.17,33368,51364,65,62.0,68.0,-0.3,5396,103169,5.2,-0.31,16,13,19,-0.08,5.0,4.0,18.0,33.0,10,129480,30353,4.3,-0.15,11739,52799,22,20,25,0.43,179,8.9,0.09,371,195,0.05,612.0,62.0,57.0,67.0,-0.89,,,,46.0,26.0,75.0,,,,38.0,30.0,47.0,70.0,64.0,76.0,9.3,1.77,Yes,1.25,15,14,16,11,10,12,4,3,4,1,1,1,-0.62,82,80,83,1.13,,,,84.0,79.0,90.0,77.0,69.0,85.0,78.0,74.0,81.0,82.0,80.0,84.0,87101,22,20,23,-0.73,
4,5,53007,Washington,Chelan,,792.0,5232.0,4637.0,5826.0,-0.81,,,,,,,,,,,,,3136.0,2362.0,4081.0,,6086.0,5243.0,6929.0,,18,16,20,0.01,4.0,3.6,4.3,-0.85,4.2,3.9,4.6,-0.63,,6,6.0,7.0,-0.26,,,,,,,,,,7.0,6.0,8.0,5.0,5.0,6.0,14,12,17,-0.65,33,28.0,37.0,0.3,8.2,-0.87,20,16.0,24.0,0.17,85,-0.68,20,19,21,0.52,9,27,33,23,43,-0.14,286.0,373.7,0.03,23.0,21.0,26.0,0.27,,,,,,,,,,35.0,31.0,40.0,14.0,12.0,17.0,6852,11,10,13,0.88,94.0,122.0,820,-2.03,64,83,1206,-0.84,314,407,246,-0.86,2277,-0.54,9629.0,,,472.0,2275.0,39,-0.05,,33.0,,30.0,39.0,34,0.63,42.0,40.0,,24.0,35.0,42892,51907,83,81.0,84.0,0.99,9482,18131,52,48.0,57.0,0.77,2202,45113,4.9,-0.56,16,12,21,0.0,,,,26.0,10,111884,26439,4.2,-0.2,3788,18016,21,16,26,0.2,111,14.4,-1.91,112,148,-0.48,283.0,74.0,65.0,83.0,-0.32,,,,,,,,,,32.0,22.0,44.0,93.0,81.0,104.0,5.1,-1.01,Yes,1.25,15,13,18,11,9,13,4,2,5,1,1,2,-0.42,76,74,79,0.27,,,,,,,,,,77.0,72.0,82.0,79.0,77.0,81.0,35013,18,15,20,-1.05,
5,6,53009,Washington,Clallam,,1225.0,7340.0,6562.0,8119.0,0.57,15199.0,11244.0,20094.0,,,,,,,,,,,,,,7209.0,6318.0,8100.0,,17,15,19,-0.29,4.4,4.1,4.8,0.08,4.5,4.2,4.9,0.25,,6,5.0,7.0,-0.4,10.0,7.0,12.0,,,,,,,5.0,3.0,7.0,5.0,5.0,6.0,17,15,20,0.42,31,27.0,35.0,-0.2,7.1,0.33,21,17.0,24.0,0.27,77,-0.2,19,18,20,0.05,11,30,37,27,46,0.1,190.0,251.7,-0.64,23.0,20.0,26.0,0.24,54.0,40.0,71.0,,,,,,,26.0,18.0,36.0,20.0,17.0,23.0,5066,10,8,11,0.27,71.0,93.0,1081,-0.94,72,93,1074,-1.28,277,358,279,-0.45,1810,-1.16,4268.0,3930.0,,1710.0,1744.0,36,0.51,26.0,31.0,22.0,27.0,37.0,50,-0.98,35.0,51.0,36.0,42.0,51.0,53316,57648,92,92.0,93.0,-0.53,9382,15557,60,56.0,65.0,0.09,1906,28886,6.6,0.63,17,11,23,0.07,22.0,25.0,71.0,32.0,21,99471,22544,4.4,0.07,3091,12935,24,19,29,0.74,72,9.4,-0.09,206,280,1.01,399.0,106.0,95.0,116.0,1.19,157.0,107.0,222.0,,,,,,,55.0,29.0,94.0,110.0,98.0,121.0,4.6,-1.35,No,-0.78,17,15,19,14,13,16,2,1,3,1,1,2,0.11,77,74,79,0.29,79.0,75.0,82.0,,,,,,,78.0,70.0,85.0,77.0,75.0,80.0,28466,24,21,27,-0.5,
6,7,53011,Washington,Clark,,4802.0,5579.0,5339.0,5819.0,-0.58,,,,,4400.0,3547.0,5253.0,,8468.0,6733.0,10203.0,,4077.0,3423.0,4731.0,,5683.0,5410.0,5957.0,,16,14,18,-0.67,4.0,3.6,4.4,-0.81,4.2,3.8,4.6,-0.74,,6,6.0,6.0,-0.13,8.0,5.0,12.0,8.0,7.0,9.0,9.0,7.0,11.0,7.0,6.0,8.0,6.0,6.0,6.0,14,12,17,-0.63,32,30.0,35.0,0.17,8.4,-1.08,16,14.0,18.0,-0.86,93,-1.1,19,18,19,-0.32,46,132,35,30,39,-0.03,1966.0,414.2,0.25,16.0,15.0,16.0,-0.55,16.0,9.0,26.0,9.0,7.0,12.0,19.0,15.0,24.0,27.0,25.0,30.0,13.0,13.0,14.0,28374,7,6,8,-0.81,352.0,73.0,1369,-0.22,346,71,1411,-0.31,1756,360,278,-0.46,3547,1.14,4946.0,2606.0,1658.0,3694.0,3580.0,46,-1.35,38.0,39.0,41.0,40.0,47.0,45,-0.48,44.0,47.0,34.0,35.0,45.0,296487,319955,93,92.0,93.0,-0.56,85129,125351,68,,,-0.55,11479,241901,4.7,-0.65,12,9,15,-0.91,9.0,19.0,11.0,20.0,9,135940,35957,3.8,-0.89,19302,114781,17,15,18,-0.59,333,6.9,0.8,1011,220,0.34,1586.0,67.0,64.0,70.0,-0.66,64.0,35.0,108.0,38.0,28.0,49.0,70.0,51.0,93.0,32.0,25.0,41.0,73.0,69.0,77.0,6.6,-0.02,No,-0.78,15,15,16,13,12,13,3,2,3,1,1,1,-0.39,79,78,79,0.62,70.0,53.0,87.0,74.0,70.0,77.0,80.0,75.0,86.0,70.0,67.0,74.0,78.0,77.0,80.0,222844,36,35,37,0.54,
7,8,53013,Washington,Columbia,x,,,,,0.0,,,,,,,,,,,,,,,,,,,,,17,15,19,-0.33,4.3,3.9,4.7,-0.22,4.2,3.9,4.6,-0.61,,10,6.0,14.0,3.0,,,,,,,,,,,,,,,,16,14,19,0.27,32,27.0,37.0,0.07,7.1,0.33,23,18.0,27.0,0.77,39,1.97,20,19,21,0.67,3,4,75,57,86,2.92,4.0,98.8,-1.47,16.0,8.0,27.0,-0.51,,,,,,,,,,,,,,,,204,7,6,8,-0.79,3.0,74.0,1353,-0.25,3,75,1328,-0.5,12,301,332,0.02,3807,1.49,,,,,,25,2.55,,,,,,20,2.04,,,,,,2773,3042,91,89.0,94.0,-0.32,681,822,83,71.0,95.0,-1.81,101,1848,5.5,-0.15,17,10,23,0.09,,,,27.0,4,112800,17972,6.3,2.92,49,780,6,1,12,-2.58,5,12.3,-1.15,2,38,-1.73,24.0,120.0,77.0,179.0,1.87,,,,,,,,,,,,,,,,6.5,-0.09,No,-0.78,13,7,18,10,5,15,2,0,5,0,0,1,-1.4,65,59,72,-1.58,,,,,,,,,,,,,,,,1701,32,22,42,0.17,
8,9,53015,Washington,Cowlitz,,1733.0,8418.0,7788.0,9048.0,1.27,,,,,,,,,,,,,5699.0,4107.0,7703.0,,8578.0,7878.0,9277.0,,20,17,22,0.44,4.9,4.5,5.3,0.96,4.8,4.4,5.2,1.35,,6,6.0,7.0,-0.35,,,,10.0,6.0,14.0,,,,6.0,5.0,7.0,6.0,5.0,7.0,18,15,20,0.93,38,34.0,42.0,1.43,7.1,0.33,22,19.0,25.0,0.57,74,0.0,18,17,19,-0.8,17,51,33,26,41,-0.14,500.0,467.7,0.54,26.0,24.0,28.0,0.52,19.0,9.0,36.0,18.0,9.0,32.0,36.0,21.0,59.0,31.0,25.0,37.0,24.0,22.0,26.0,6913,8,7,9,-0.43,68.0,62.0,1603,0.18,67,61,1651,0.14,494,447,224,-1.19,4158,1.95,3464.0,,,2625.0,4235.0,46,-1.35,48.0,38.0,,39.0,46.0,47,-0.68,47.0,50.0,28.0,35.0,47.0,66282,74257,89,88.0,90.0,-0.03,14826,25317,59,55.0,62.0,0.24,2863,47949,6.0,0.2,18,12,23,0.24,52.0,,11.0,31.0,15,104188,23697,4.4,0.05,5914,24426,24,21,28,0.8,94,8.6,0.18,268,259,0.78,453.0,85.0,77.0,92.0,0.19,,,,,,,,,,50.0,32.0,74.0,90.0,81.0,99.0,5.9,-0.48,Yes,1.25,17,15,18,14,12,15,2,2,3,2,1,2,0.01,82,80,84,1.2,,,,71.0,57.0,86.0,,,,77.0,69.0,86.0,83.0,82.0,85.0,43638,31,28,33,0.07,
9,10,53017,Washington,Douglas,,381.0,4261.0,3590.0,4932.0,-1.44,,,,,,,,,,,,,2411.0,1589.0,3507.0,,5001.0,4037.0,5964.0,,20,18,23,0.63,4.5,4.1,4.9,0.2,4.4,4.0,4.7,-0.19,,6,5.0,6.0,-0.67,,,,,,,,,,5.0,4.0,7.0,6.0,5.0,7.0,16,14,18,0.15,31,26.0,37.0,-0.06,6.9,0.55,18,14.0,23.0,-0.26,77,-0.21,21,20,22,1.1,3,12,25,10,42,-0.76,181.0,431.5,0.34,23.0,20.0,26.0,0.25,,,,,,,,,,33.0,27.0,38.0,16.0,13.0,20.0,3974,11,10,13,0.97,10.0,23.0,4291,1.62,22,51,1974,0.58,30,69,1448,1.97,2736,0.07,,,,2071.0,2780.0,39,-0.05,36.0,15.0,,26.0,40.0,39,0.12,37.0,46.0,,26.0,40.0,22653,27593,82,81.0,84.0,1.07,5107,10122,50,45.0,56.0,0.92,1237,21968,5.6,-0.04,15,10,20,-0.29,,,13.0,22.0,10,115039,30654,3.8,-0.93,3006,10973,27,21,34,1.4,29,6.8,0.85,40,99,-1.04,120.0,57.0,47.0,67.0,-1.12,,,,,,,,,,27.0,16.0,43.0,73.0,59.0,87.0,6.5,-0.09,No,-0.78,17,15,19,9,7,12,7,6,9,1,0,2,0.14,83,80,85,1.33,,,,,,,,,,72.0,53.0,91.0,82.0,79.0,86.0,19108,17,15,20,-1.11,
