,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,55000,Wisconsin,,,64745.0,6323.0,6247.0,6399.0,,13480.0,12417.0,14543.0,,4178.0,3824.0,4532.0,,13424.0,13016.0,13831.0,,4930.0,4687.0,5174.0,,5816.0,5735.0,5897.0,,15,13,16,,3.7,3.4,4.0,,4.0,3.7,4.4,,,7.0,7.0,7.0,,7.0,7.0,8.0,8.0,8.0,8.0,15.0,14.0,15.0,7.0,7.0,7.0,6.0,6.0,6.0,17,16,19,,32,,,,9.0,,20,,,,85,,27,25,29,,1050,2940,36,35,37,,28027.0,483.6,,15.0,15.0,16.0,,36.0,33.0,39.0,14.0,13.0,15.0,47.0,46.0,48.0,32.0,31.0,33.0,9.0,9.0,10.0,306773,7,6,7,,4589,79,1267,,4138,71,1407,,12371,212,471,,3747,,6478.0,3371.0,7364.0,4440.0,3577.0,49,,33.0,34.0,40.0,38.0,50.0,53,,43.0,52.0,41.0,45.0,54.0,3647489,3955705,92,92.0,92.0,,996521,1431293,70,69.0,70.0,,103935,3105155,3.3,,14,13,14,,38.0,17.0,41.0,26.0,9.0,114594,27012,4.2,,293395,1278427,23,22,23,,6660,11.5,,17197.0,298.0,,24324,84,83,85,,127.0,114.0,140.0,25.0,22.0,28.0,105.0,100.0,109.0,41.0,38.0,44.0,87.0,86.0,89.0,7.0,,,,14,14,14,12,12,12,2,2,2,1,1,1,,81,81,81,,75.0,73.0,78.0,72.0,71.0,74.0,71.0,70.0,72.0,74.0,73.0,75.0,82.0,82.0,83.0,2939118,28,27,28,,
1,2,55001,Wisconsin,Adams,,388.0,9931.0,8021.0,11842.0,1.74,,,,,,,,,,,,,,,,,,,,,19,17,22,1.35,4.4,4.0,4.8,0.98,4.5,4.1,4.9,0.94,,8.0,7.0,10.0,1.67,,,,,,,,,,,,,,,,23,20,26,1.21,32,23.0,41.0,-0.19,8.1,0.8,26,17.0,34.0,0.95,53,1.2,26,24,27,-1.07,13,19,68,61,75,2.23,49.0,245.3,-0.32,21.0,16.0,27.0,0.75,,,,,,,,,,,,,,,,1119,9,7,10,0.61,2,10,10174,1.53,2,10,10110,1.92,12,59,1685,1.0,3797,0.27,,,,,,43,1.03,,,,,,34,1.54,,,,24.0,34.0,14093,16106,88,86.0,89.0,1.77,1832,3802,48,44.0,52.0,2.05,420,8153,5.2,1.52,18,12,25,0.59,,,63.0,22.0,22.0,86203,21547,4.0,-0.11,565,2918,19,15,24,-0.04,16,7.9,1.24,38.0,188.0,0.38,123,122,101,144,1.66,,,,,,,,,,,,,,,,7.5,0.39,No,-0.77,14,12,15,12,10,13,1,1,2,1,1,2,0.45,80,78,82,-0.29,,,,,,,,,,,,,,,,7598,41,38,45,1.4,
2,3,55003,Wisconsin,Ashland,,224.0,8020.0,6257.0,9783.0,0.76,,,,,,,,,,,,,,,,,,,,,18,16,21,1.07,4.5,4.1,4.9,1.21,4.5,4.2,4.9,1.05,,5.0,4.0,7.0,-0.94,6.0,2.0,9.0,,,,,,,,,,5.0,4.0,7.0,23,20,26,1.06,33,27.0,38.0,-0.15,7.4,2.01,19,14.0,24.0,-0.83,64,0.49,24,23,26,-1.99,1,12,8,0,27,-2.11,39.0,251.6,-0.29,20.0,15.0,25.0,0.54,37.0,23.0,57.0,,,,,,,,,,17.0,12.0,22.0,974,8,7,9,0.42,25,160,624,-2.75,11,71,1415,-0.35,52,334,299,-2.26,1685,-1.81,1521.0,,,,1633.0,47,0.41,34.0,,,,48.0,53,-0.54,44.0,,,,53.0,9832,10660,92,91.0,94.0,-0.14,2223,3359,66,59.0,73.0,-0.19,379,7915,4.8,1.13,23,17,30,1.43,42.0,,97.0,17.0,18.0,82475,17234,4.8,2.0,935,3459,27,22,32,1.18,18,11.5,0.04,42.0,262.0,0.96,87,111,89,137,1.16,226.0,140.0,346.0,,,,,,,,,,99.0,76.0,126.0,4.0,-2.59,Yes,1.28,11,9,13,9,7,11,1,1,2,1,1,2,-0.79,73,69,77,-2.48,61.0,54.0,68.0,,,,,,,,,,75.0,72.0,78.0,7114,16,13,18,-1.6,
3,4,55005,Wisconsin,Barron,,603.0,6599.0,5698.0,7500.0,0.03,,,,,,,,,,,,,,,,,,,,,17,14,19,0.36,4.0,3.5,4.4,0.01,4.3,3.8,4.6,0.2,,6.0,5.0,6.0,-0.87,14.0,6.0,21.0,,,,,,,,,,5.0,5.0,6.0,21,18,24,0.31,41,34.0,49.0,1.72,8.7,-0.23,20,15.0,26.0,-0.6,74,-0.15,26,24,27,-1.01,5,33,15,7,25,-1.62,126.0,278.4,-0.12,18.0,15.0,21.0,0.37,,,,,,,,,,,,,,,,2794,8,7,9,0.36,51,113,886,-1.4,31,69,1459,-0.27,40,88,1131,0.66,3255,-0.26,,,,,,51,-0.2,,,,55.0,52.0,45,0.34,31.0,64.0,35.0,34.0,45.0,29099,32261,90,89.0,91.0,0.68,5955,9940,60,55.0,64.0,0.59,978,24406,4.0,0.27,12,7,16,-0.44,82.0,,2.0,15.0,14.0,96183,24175,4.0,-0.16,2092,9779,21,17,26,0.28,76,16.8,-1.68,19.0,46.0,-0.75,203,90,77,102,0.16,,,,,,,,,,,,,,,,6.4,-0.55,No,-0.77,12,11,13,9,8,10,2,1,2,1,0,2,-0.45,81,80,83,0.17,,,,,,,,,,89.0,80.0,98.0,83.0,81.0,85.0,21683,20,19,22,-1.05,
4,5,55007,Wisconsin,Bayfield,,210.0,6764.0,4927.0,8601.0,0.12,,,,,,,,,,,,,,,,,,,,,15,13,17,-0.34,3.9,3.5,4.3,-0.12,4.2,3.8,4.5,-0.13,,5.0,4.0,7.0,-1.21,,,,,,,,,,,,,,,,19,17,22,-0.25,29,24.0,34.0,-0.96,7.9,1.15,22,17.0,27.0,-0.07,61,0.68,26,25,27,-0.46,9,22,41,30,51,0.24,29.0,193.2,-0.64,17.0,12.0,22.0,0.13,37.0,21.0,59.0,,,,,,,,,,11.0,7.0,17.0,973,9,8,10,0.88,5,33,3008,0.87,6,40,2506,0.8,33,219,456,-0.9,1790,-1.7,2307.0,,,,1699.0,52,-0.35,49.0,,,,53.0,50,-0.21,59.0,,,,49.0,10932,11499,95,94.0,96.0,-1.29,1875,2585,73,67.0,78.0,-0.98,426,7591,5.6,2.02,18,11,25,0.51,29.0,,6.0,35.0,15.0,99029,24707,4.0,-0.09,420,2600,16,12,20,-0.55,21,14.0,-0.74,32.0,209.0,0.55,76,101,80,127,0.71,176.0,96.0,295.0,,,,,,,,,,95.0,72.0,122.0,5.2,-1.57,No,-0.77,13,12,14,9,8,11,2,1,3,2,1,3,0.15,75,73,77,-1.73,67.0,55.0,79.0,,,,,,,,,,74.0,70.0,77.0,6843,31,29,34,0.23,
5,6,55009,Wisconsin,Brown,,2524.0,5698.0,5363.0,6032.0,-0.43,13215.0,10233.0,16198.0,,6617.0,4748.0,8977.0,,14294.0,11418.0,17675.0,,4027.0,3151.0,5071.0,,5287.0,4927.0,5647.0,,15,13,17,-0.4,3.9,3.5,4.2,-0.21,4.1,3.7,4.5,-0.26,,7.0,6.0,7.0,0.29,7.0,6.0,9.0,8.0,7.0,9.0,12.0,10.0,13.0,7.0,6.0,8.0,6.0,6.0,7.0,18,15,21,-0.78,34,29.0,38.0,0.05,8.7,-0.23,19,16.0,22.0,-0.78,92,-1.26,28,27,29,0.63,38,85,45,40,50,0.51,1203.0,459.1,0.97,18.0,17.0,19.0,0.29,54.0,44.0,67.0,26.0,20.0,33.0,55.0,46.0,65.0,41.0,37.0,46.0,10.0,9.0,11.0,15617,7,6,8,-0.08,189,72,1394,-0.23,213,81,1242,-0.71,548,207,483,-0.75,2830,-0.68,5681.0,2256.0,13457.0,1132.0,2658.0,49,0.11,24.0,32.0,19.0,35.0,50.0,55,-0.76,49.0,53.0,42.0,35.0,56.0,160839,174626,92,,,-0.09,48050,68513,70,,,-0.69,4397,141886,3.1,-0.72,12,10,15,-0.36,51.0,10.0,45.0,27.0,5.0,114768,28420,4.0,-0.01,13344,62407,21,19,24,0.28,223,8.5,1.04,625.0,250.0,0.87,910,70,65,74,-0.77,133.0,98.0,177.0,25.0,12.0,44.0,60.0,39.0,89.0,24.0,16.0,35.0,74.0,69.0,80.0,7.0,-0.04,No,-0.77,13,12,14,10,10,11,2,2,3,1,1,1,0.15,84,83,85,0.99,82.0,76.0,88.0,74.0,67.0,80.0,83.0,77.0,88.0,71.0,66.0,75.0,87.0,86.0,88.0,136941,15,14,16,-1.68,
6,7,55011,Wisconsin,Buffalo,,140.0,5343.0,3708.0,6979.0,-0.61,,,,,,,,,,,,,,,,,,,,,16,14,18,-0.08,3.8,3.4,4.3,-0.25,4.2,3.8,4.6,0.06,,7.0,5.0,8.0,0.2,,,,,,,,,,,,,,,,21,18,24,0.18,33,23.0,44.0,-0.13,8.7,-0.23,20,12.0,28.0,-0.63,67,0.32,27,26,29,0.2,3,12,25,10,42,-0.91,28.0,212.7,-0.52,8.0,5.0,13.0,-0.93,,,,,,,,,,,,,,,,794,8,7,9,0.27,2,15,6563,1.38,17,130,767,-2.57,1,8,13031,1.62,4000,0.47,,,,,,52,-0.35,,,,,,51,-0.32,,,,,,8678,9550,91,89.0,93.0,0.41,1754,2753,64,59.0,69.0,0.11,272,6466,4.2,0.49,12,8,17,-0.36,,,,5.0,10.0,98965,24708,4.0,-0.09,363,2681,14,9,18,-0.97,15,11.4,0.08,7.0,55.0,-0.68,37,56,40,78,-1.37,,,,,,,,,,,,,,,,6.9,-0.13,No,-0.77,13,11,14,10,8,12,1,1,2,2,1,3,-0.01,78,76,80,-0.84,,,,,,,,,,,,,,,,6721,40,36,43,1.2,
7,8,55013,Wisconsin,Burnett,,282.0,8655.0,6686.0,10625.0,1.09,,,,,,,,,,,,,,,,,,,,,16,14,19,0.22,4.1,3.7,4.4,0.23,4.3,3.9,4.6,0.26,,5.0,3.0,6.0,-1.71,,,,,,,,,,,,,,,,21,18,24,0.31,34,24.0,45.0,0.24,8.4,0.29,28,19.0,37.0,1.59,70,0.15,27,26,29,0.29,12,25,48,38,57,0.75,30.0,195.4,-0.63,20.0,15.0,26.0,0.61,,,,,,,,,,,,,,,,952,9,8,10,0.75,2,13,7696,1.44,6,39,2569,0.84,21,136,734,0.09,4712,1.17,,,,,,42,1.18,33.0,,,,42.0,30,1.98,29.0,,,,30.0,10934,11735,93,93.0,94.0,-0.52,1694,2630,64,60.0,69.0,0.03,381,7133,5.3,1.73,23,17,29,1.37,51.0,,,15.0,16.0,91955,23442,3.9,-0.31,604,2685,22,18,27,0.46,27,17.5,-1.91,35.0,227.0,0.69,67,88,68,111,0.07,,,,,,,,,,,,,,,,6.1,-0.81,No,-0.77,14,13,16,13,11,14,1,1,2,1,1,1,0.85,80,78,82,-0.26,61.0,52.0,70.0,,,,,,,,,,79.0,77.0,80.0,6542,38,35,41,1.02,
8,9,55015,Wisconsin,Calumet,,411.0,4724.0,4004.0,5445.0,-0.93,,,,,,,,,,,,,,,,,,,,,13,11,15,-1.2,3.5,3.1,3.9,-1.07,4.0,3.6,4.4,-0.65,,6.0,5.0,7.0,-0.27,,,,9.0,4.0,13.0,,,,7.0,4.0,10.0,6.0,5.0,7.0,17,14,20,-1.07,28,20.0,36.0,-1.24,9.3,-1.26,16,10.0,22.0,-1.52,79,-0.45,30,28,31,2.19,4,15,27,13,41,-0.79,117.0,233.7,-0.39,9.0,7.0,11.0,-0.85,,,,,,,,,,40.0,26.0,58.0,6.0,5.0,8.0,1872,4,4,5,-1.46,5,10,10032,1.53,17,34,2946,1.02,13,26,3853,1.4,2917,-0.59,,,,,,50,-0.04,,,,,,53,-0.54,,,,,,32065,34054,94,93.0,95.0,-0.92,8951,12002,75,70.0,79.0,-1.24,774,27565,2.8,-1.03,7,5,8,-1.33,,,65.0,18.0,7.0,127263,34385,3.7,-0.91,2034,12109,17,13,20,-0.45,35,7.0,1.52,61.0,121.0,-0.15,131,52,43,61,-1.55,,,,,,,,,,,,,,,,8.4,1.15,No,-0.77,9,8,11,8,7,9,1,1,2,1,1,2,-1.68,87,86,87,1.79,,,,,,,,,,,,,,,,27356,24,22,26,-0.64,
9,10,55017,Wisconsin,Chippewa,,718.0,5760.0,5058.0,6461.0,-0.4,,,,,,,,,,,,,,,,,,,,,15,13,18,-0.3,3.9,3.5,4.3,-0.23,4.0,3.6,4.4,-0.58,,6.0,5.0,7.0,-0.57,,,,,,,,,,,,,,,,20,17,23,-0.15,31,24.0,38.0,-0.58,8.6,-0.06,20,15.0,26.0,-0.52,64,0.49,27,26,29,0.22,15,42,36,28,44,-0.14,182.0,285.2,-0.08,13.0,11.0,15.0,-0.34,,,,,,,,,,,,,,,,3251,6,6,7,-0.42,52,81,1233,-0.49,35,54,1847,0.27,59,91,1096,0.63,4240,0.71,,,,,,56,-0.96,,55.0,,,56.0,55,-0.76,,52.0,55.0,43.0,55.0,41912,45181,93,92.0,93.0,-0.36,10397,15878,65,61.0,70.0,-0.11,1272,33181,3.8,0.08,12,8,16,-0.41,,,2.0,45.0,14.0,107359,26568,4.0,0.0,2416,14163,17,14,20,-0.41,72,11.2,0.14,80.0,125.0,-0.12,246,77,67,87,-0.42,,,,,,,,,,,,,,,,6.9,-0.13,No,-0.77,11,10,12,9,7,10,2,1,2,1,0,1,-0.88,82,81,83,0.42,,,,,,,,,,,,,,,,31494,26,24,27,-0.44,
