,Unnamed: 0,FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (AIAN),Life Expectancy (AIAN) 95% CI - Low,Life Expectancy (AIAN) 95% CI - High,Life Expectancy (Asian),Life Expectancy (Asian) 95% CI - Low,Life Expectancy (Asian) 95% CI - High,Life Expectancy (Black),Life Expectancy (Black) 95% CI - Low,Life Expectancy (Black) 95% CI - High,Life Expectancy (Hispanic),Life Expectancy (Hispanic) 95% CI - Low,Life Expectancy (Hispanic) 95% CI - High,Life Expectancy (White),Life Expectancy (White) 95% CI - Low,Life Expectancy (White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low.1,95% CI - High.1,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (AIAN) 95% CI - Low,Age-Adjusted Mortality (AIAN) 95% CI - High,Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Asian) 95% CI - Low,Age-Adjusted Mortality (Asian) 95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Black) 95% CI - Low,Age-Adjusted Mortality (Black) 95% CI - High,Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (Hispanic) 95% CI - Low,Age-Adjusted Mortality (Hispanic) 95% CI - High,Age-Adjusted Mortality (White),Age-Adjusted Mortality (White) 95% CI - Low,Age-Adjusted Mortality (White) 95% CI - High,# Deaths.1,Child Mortality Rate,95% CI - Low.2,95% CI - High.2,Child Mortality Rate (AIAN),Child Mortality Rate (AIAN) 95% CI - Low,Child Mortality Rate (AIAN) 95% CI - High,Child Mortality Rate (Asian),Child Mortality Rate (Asian) 95% CI - Low,Child Mortality Rate (Asian) 95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Black) 95% CI - Low,Child Mortality Rate (Black) 95% CI - High,Child Mortality Rate (Hispanic),Child Mortality Rate (Hispanic) 95% CI - Low,Child Mortality Rate (Hispanic) 95% CI - High,Child Mortality Rate (White),Child Mortality Rate (White) 95% CI - Low,Child Mortality Rate (White) 95% CI - High,# Deaths.2,Infant Mortality Rate,95% CI - Low.3,95% CI - High.3,Infant Mortality Rate (AIAN),Infant Mortality Rate (AIAN) 95% CI - Low,Infant Mortality Rate (AIAN) 95% CI - High,Infant Mortality Rate (Asian),Infant Mortality Rate (Asian) 95% CI - Low,Infant Mortality Rate (Asian) 95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Black) 95% CI - Low,Infant Mortality Rate (Black) 95% CI - High,Infant Mortality Rate (Hispanic),Infant Mortality Rate (Hispanic) 95% CI - Low,Infant Mortality Rate (Hispanic) 95% CI - High,Infant Mortality Rate (White),Infant Mortality Rate (White) 95% CI - Low,Infant Mortality Rate (White) 95% CI - High,% Frequent Physical Distress,95% CI - Low.4,95% CI - High.4,% Frequent Mental Distress,95% CI - Low.5,95% CI - High.5,% Adults with Diabetes,95% CI - Low.6,95% CI - High.6,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low.7,95% CI - High.7,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (AIAN) 95% CI - Low,Drug Overdose Mortality Rate (AIAN) 95% CI - High,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Asian) 95% CI - Low,Drug Overdose Mortality Rate (Asian) 95% CI - High,Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Black) 95% CI - Low,Drug Overdose Mortality Rate (Black) 95% CI - High,Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (Hispanic) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic) 95% CI - High,Drug Overdose Mortality Rate (White),Drug Overdose Mortality Rate (White) 95% CI - Low,Drug Overdose Mortality Rate (White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low.8,95% CI - High.8,MV Mortality Rate (AIAN),MV Mortality Rate (AIAN) 95% CI - Low,MV Mortality Rate (AIAN) 95% CI - High,MV Mortality Rate (Asian),MV Mortality Rate (Asian) 95% CI - Low,MV Mortality Rate (Asian) 95% CI - High,MV Mortality Rate (Black),MV Mortality Rate (Black) 95% CI - Low,MV Mortality Rate (Black) 95% CI - High,MV Mortality Rate (Hispanic),MV Mortality Rate (Hispanic) 95% CI - Low,MV Mortality Rate (Hispanic) 95% CI - High,MV Mortality Rate (White),MV Mortality Rate (White) 95% CI - Low,MV Mortality Rate (White) 95% CI - High,% Insufficient Sleep,95% CI - Low.9,95% CI - High.9,# Uninsured (Adults),% Uninsured (Adults),95% CI - Low (Adults),95% CI - High (Adults),# Uninsured (Children),% Uninsured (Children),95% CI - Low (Children),95% CI - High (Children),Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,95% CI - Low.10,95% CI - High.10,Average Grade Performance (Math),Average Grade Performance (Asian) (Math),Average Grade Performance (Black) (Math),Average Grade Performance (Hispanic) (Math),Average Grade Performance (White) (Math),Average Grade Performance (Reading),Average Grade Performance (Asian) (Reading),Average Grade Performance (Black) (Reading),Average Grade Performance (Hispanic) (Reading),Average Grade Performance (White) (Reading),Median Household Income,95% CI - Low.11,95% CI - High.11,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,% Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low.12,95% CI - High.12,Homicide Rate (AIAN),Homicide Rate (AIAN) 95% CI - Low,Homicide Rate (AIAN) 95% CI - High,Homicide Rate (Asian),Homicide Rate (Asian) 95% CI - Low,Homicide Rate (Asian) 95% CI - High,Homicide Rate (Black),Homicide Rate (Black) 95% CI - Low,Homicide Rate (Black) 95% CI - High,Homicide Rate (Hispanic),Homicide Rate (Hispanic) 95% CI - Low,Homicide Rate (Hispanic) 95% CI - High,Homicide Rate (White),Homicide Rate (White) 95% CI - Low,Homicide Rate (White) 95% CI - High,# Deaths.3,Suicide Rate (Age-Adjusted),95% CI - Low.13,95% CI - High.13,Crude Rate,Suicide Rate (AIAN),Suicide Rate (AIAN) 95% CI - Low,Suicide Rate (AIAN) 95% CI - High,Suicide Rate (Asian),Suicide Rate (Asian) 95% CI - Low,Suicide Rate (Asian) 95% CI - High,Suicide Rate (Black),Suicide Rate (Black) 95% CI - Low,Suicide Rate (Black) 95% CI - High,Suicide Rate (Hispanic),Suicide Rate (Hispanic) 95% CI - Low,Suicide Rate (Hispanic) 95% CI - High,Suicide Rate (White),Suicide Rate (White) 95% CI - Low,Suicide Rate (White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low.14,95% CI - High.14,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (AIAN) 95% CI - Low,Firearm Fatalities Rate (AIAN) 95% CI - High,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Asian) 95% CI - Low,Firearm Fatalities Rate (Asian) 95% CI - High,Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Black) 95% CI - Low,Firearm Fatalities Rate (Black) 95% CI - High,Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (Hispanic) 95% CI - Low,Firearm Fatalities Rate (Hispanic) 95% CI - High,Firearm Fatalities Rate (White),Firearm Fatalities Rate (White) 95% CI - Low,Firearm Fatalities Rate (White) 95% CI - High,Non-Petitioned Cases,Petitioned Cases,Denominator,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low.15,95% CI - High.15,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low.16,95% CI - High.16,% Broadband Access,Numerator,95% CI - Low.17,95% CI - High.17,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low.18,95% CI - High.18,% Female,# Rural,% Rural,Unnamed: 277
0,1,56000,Wyoming,,78.9,78.7,79.2,69.3,67.3,71.4,88.3,83.7,92.9,83.1,78.1,88.1,81.4,80.3,82.6,79.0,78.7,79.2,7052,344,336,353,762.0,669.0,856.0,152.0,100.0,221.0,341.0,265.0,432.0,287.0,258.0,315.0,340.0,331.0,349.0,273.0,50.0,44.0,56.0,102.0,60.0,161.0,,,,,,,45.0,31.0,62.0,49.0,43.0,56.0,273.0,5.0,5.0,6.0,,,,,,,,,,5.0,3.0,7.0,5.0,5.0,6.0,10,9,12,13,11,14,9,,,348.0,73.0,70640,12,48973,9,214.0,12.0,11.0,14.0,33.0,17.0,56.0,,,,,,,8.0,4.0,13.0,12.0,10.0,14.0,717.0,18.0,16.0,19.0,59.0,44.0,77.0,,,,,,,15.0,11.0,19.0,17.0,16.0,18.0,34,32,36,49923,15,13,16,9475,7,5,8,115,872,6919.0,82.0,7.0,6.0,8.0,3.2,3.3,3.0,3.0,3.3,3.3,3.3,2.9,3.0,3.4,66152,63899,68405,51277.0,45302.0,57252.0,54516.0,48273.0,60759.0,47386.0,26945.0,67827.0,52717.0,49215.0,56219.0,65727.0,64424.0,67030.0,36,68.0,38.0,3.0,3.0,4.0,16.0,9.0,26.0,,,,,,,3.0,2.0,5.0,3.0,2.0,4.0,775.0,27.0,25.0,29.0,27.0,31.0,19.0,49.0,,,,,,,14.0,10.0,20.0,28.0,26.0,30.0,584.0,20.0,18.0,22.0,19.0,10.0,33.0,,,,,,,8.0,5.0,12.0,22.0,20.0,24.0,,,,,208,161972,70,70,71,22371,10,10,11,83,192006,83,84,578759,23.1,17.1,6520,1.1,15778,2.7,6571,1.1,596,0.1,58609,10.1,484380,83.7,4735,1,1.0,1.0,49.1,198633,35.2,
1,2,56001,Wyoming,Albany,81.4,80.4,82.4,,,,,,,,,,90.8,79.3,102.2,81.0,80.0,82.1,261,251,219,283,,,,,,,,,,267.0,165.0,408.0,254.0,219.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,13,13,12,14,7,5.0,8.0,15.0,44.0,4920,13,5154,14,10.0,9.0,4.0,16.0,,,,,,,,,,,,,,,,29.0,11.0,7.0,16.0,,,,,,,,,,,,,,,,35,33,36,3584,14,11,16,328,5,3,7,111,904,284.0,82.0,,,,3.5,,,3.1,3.6,3.6,,,3.3,3.6,52216,46180,58252,,,,33036.0,23726.0,42346.0,,,,47222.0,39384.0,55060.0,50344.0,46780.0,53908.0,22,58.0,28.0,,,,,,,,,,,,,,,,,,,36.0,20.0,13.0,28.0,19.0,,,,,,,,,,,,,,,,26.0,14.0,9.0,20.0,,,,,,,,,,,,,,,,,,,,284,8138,51,49,53,2802,18,15,21,86,13775,85,88,38880,16.1,12.2,675,1.7,442,1.1,1516,3.9,45,0.1,3757,9.7,31844,81.9,278,1,0.0,1.0,48.2,4334,11.9,
2,3,56003,Wyoming,Big Horn,76.1,74.5,77.7,,,,,,,,,,,,,,,,216,476,407,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,14,13,15,14,11.0,18.0,5.0,51.0,1600,13,626,5,10.0,28.0,13.0,52.0,,,,,,,,,,,,,,,,26.0,31.0,20.0,46.0,,,,,,,,,,,,,,,,35,34,37,1262,20,17,23,331,11,7,14,51,1965,280.0,71.0,21.0,10.0,32.0,3.3,,,3.0,3.4,3.4,,,3.1,3.5,53018,45818,60218,,,,,,,,,,42891.0,19812.0,65970.0,54199.0,49640.0,58758.0,41,,35.0,,,,,,,,,,,,,,,,,,,12.0,23.0,11.0,41.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3276,73,70,76,310,8,5,10,79,3522,76,82,11790,24.6,21.9,78,0.7,178,1.5,55,0.5,4,0.0,1085,9.2,10322,87.5,119,1,0.0,2.0,49.9,11668,100.0,
3,4,56005,Wyoming,Campbell,78.3,77.4,79.2,,,,,,,,,,86.5,75.9,97.1,78.0,77.0,78.9,472,334,303,365,,,,,,,,,,,,,,,,28.0,54.0,36.0,78.0,,,,,,,,,,,,,,,,32.0,6.0,4.0,9.0,,,,,,,,,,,,,,,,12,10,13,13,12,15,8,6.0,10.0,21.0,57.0,5400,11,1890,4,17.0,12.0,7.0,20.0,,,,,,,,,,,,,,,,65.0,20.0,15.0,25.0,,,,,,,,,,,,,,,,36,34,37,3976,14,12,16,902,7,5,9,65,1545,624.0,83.0,10.0,4.0,17.0,3.0,,,2.8,3.0,2.9,,,2.7,2.9,83997,74882,93112,,,,,,,,,,67325.0,44951.0,89699.0,84021.0,79431.0,88611.0,32,,49.0,,,,,,,,,,,,,,,,,,,47.0,21.0,15.0,28.0,20.0,,,,,,,,,,,,,,,,25.0,11.0,7.0,16.0,,,,,,,,,,,,,,,,,,,,167,12900,73,70,77,1733,10,8,13,91,15987,89,93,46341,27.1,10.7,246,0.5,732,1.6,373,0.8,38,0.1,4117,8.9,40261,86.9,484,1,0.0,2.0,48.6,13412,29.1,
4,5,56007,Wyoming,Carbon,78.7,77.1,80.3,,,,,,,,,,79.0,75.4,82.6,78.6,76.7,80.4,202,362,310,415,,,,,,,,,,290.0,177.0,447.0,376.0,317.0,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,13,12,15,9,7.0,11.0,13.0,104.0,1890,12,2372,15,,,,,,,,,,,,,,,,,,,,30.0,28.0,19.0,40.0,,,,,,,,,,,,,,,,37,35,38,1433,17,15,20,289,8,6,11,101,987,198.0,83.0,,,,3.1,,,2.9,3.2,3.2,,,3.0,3.3,61626,54829,68423,112661.0,21426.0,203896.0,,,,,,,54135.0,37457.0,70813.0,61512.0,56440.0,66584.0,39,,31.0,,,,,,,,,,,,,,,,,,,25.0,35.0,23.0,52.0,33.0,,,,,,,,,,,,,,,,19.0,25.0,15.0,39.0,,,,,,,,,,,,,,,,,,,,103,4317,70,67,72,610,11,7,14,79,4925,76,83,14800,22.7,18.0,158,1.1,267,1.8,150,1.0,16,0.1,2742,18.5,11387,76.9,370,3,1.0,4.0,46.8,6613,41.6,
5,6,56009,Wyoming,Converse,78.9,77.3,80.5,,,,,,,,,,,,,,,,181,352,298,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,13,12,15,10,7.0,14.0,6.0,53.0,1680,12,417,3,,,,,,,,,,,,,,,,,,,,13.0,13.0,7.0,23.0,,,,,,,,,,,,,,,,34,32,36,1073,13,11,16,245,7,5,9,123,813,179.0,87.0,,,,3.5,,,,,3.6,,,,,72481,62326,82636,,,,,,,,,,91974.0,65706.0,118242.0,71563.0,60964.0,82162.0,32,,15.0,,,,,,,,,,,,,,,,,,,17.0,26.0,15.0,42.0,24.0,,,,,,,,,,,,,,,,15.0,22.0,12.0,35.0,,,,,,,,,,,,,,,,,,,,105,3964,74,69,78,265,5,2,8,80,4290,75,84,13822,24.4,17.2,67,0.5,171,1.2,73,0.5,11,0.1,1163,8.4,12223,88.4,46,0,0.0,1.0,48.9,7658,55.4,
6,7,56011,Wyoming,Crook,80.9,78.6,83.2,,,,,,,,,,,,,,,,90,302,237,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,12,13,11,14,9,7.0,12.0,,,700,10,448,6,,,,,,,,,,,,,,,,,,,,12.0,23.0,12.0,40.0,,,,,,,,,,,,,,,,34,32,36,641,16,13,18,177,9,7,12,53,1896,85.0,93.0,,,,3.4,,,,,3.3,,,,,64120,57215,71025,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,11.0,28.0,13.0,51.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,2387,82,77,86,334,12,7,17,73,2145,69,78,7584,24.7,21.1,105,1.4,73,1.0,18,0.2,1,0.0,186,2.5,7126,94.0,62,1,0.0,3.0,49.4,7083,100.0,
7,8,56013,Wyoming,Fremont,74.9,73.9,75.9,63.3,61.0,65.5,,,,,,,74.0,70.3,77.6,78.3,77.2,79.4,707,516,476,557,1072.0,926.0,1218.0,,,,,,,497.0,335.0,710.0,388.0,349.0,427.0,27.0,67.0,44.0,97.0,134.0,78.0,215.0,,,,,,,,,,44.0,21.0,81.0,,,,,,,,,,,,,,,,,,,,13,12,14,14,13,15,10,9.0,12.0,27.0,84.0,5670,14,1745,4,21.0,18.0,11.0,27.0,,,,,,,,,,,,,,,,78.0,28.0,22.0,35.0,74.0,54.0,100.0,,,,,,,,,,15.0,10.0,21.0,33,31,34,4648,21,19,24,974,9,7,12,107,935,493.0,75.0,12.0,8.0,16.0,3.0,,,2.9,3.3,3.0,,,3.2,3.4,57953,52993,62913,42124.0,40393.0,43855.0,53188.0,25724.0,80652.0,30278.0,3996.0,56560.0,47143.0,27261.0,67025.0,59125.0,56143.0,62107.0,53,55.0,56.0,11.0,7.0,16.0,26.0,14.0,43.0,,,,,,,,,,7.0,4.0,12.0,61.0,32.0,24.0,41.0,31.0,40.0,22.0,67.0,,,,,,,,,,30.0,21.0,41.0,52.0,26.0,20.0,34.0,24.0,12.0,44.0,,,,,,,,,,28.0,20.0,38.0,,,,,127,10503,70,69,72,1212,9,7,10,78,11632,76,80,39261,25.5,18.8,212,0.5,8656,22.0,203,0.5,24,0.1,2749,7.0,27275,69.5,66,0,0.0,1.0,49.7,20633,51.4,
8,9,56015,Wyoming,Goshen,79.9,78.3,81.6,,,,,,,,,,,,,,,,191,360,305,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,13,12,14,10,8.0,13.0,8.0,70.0,1620,12,1418,11,,,,,,,,,,,,,,,,,,,,21.0,22.0,14.0,34.0,,,,,,,,,,,,,,,,33,32,35,1170,17,15,20,238,9,6,12,61,1651,143.0,88.0,,,,3.0,,,2.7,3.1,2.9,,,2.5,3.0,55540,48750,62330,27500.0,14795.0,40205.0,,,,,,,39360.0,22549.0,56171.0,56657.0,51304.0,62010.0,44,,23.0,,,,,,,,,,,,,,,,,,,15.0,19.0,10.0,33.0,22.0,,,,,,,,,,,,,,,,12.0,18.0,9.0,31.0,,,,,,,,,,,,,,,,,,,,144,3836,74,70,77,456,9,6,12,76,3935,72,79,13211,19.6,22.3,132,1.0,194,1.5,151,1.1,9,0.1,1431,10.8,11253,85.2,78,1,0.0,2.0,47.4,6094,46.0,
9,10,56017,Wyoming,Hot Springs,74.1,70.9,77.2,,,,,,,,,,,,,,,,87,477,368,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,13,14,12,15,12,8.0,17.0,,,630,14,101,2,,,,,,,,,,,,,,,,,,,,12.0,37.0,19.0,64.0,,,,,,,,,,,,,,,,34,33,36,368,15,13,18,60,6,4,8,68,1471,,,,,,3.2,,,,,3.1,,,,,52344,44888,59800,86845.0,57979.0,115711.0,,,,,,,,,,48923.0,39272.0,58574.0,43,,11.0,,,,,,,,,,,,,,,,,,,13.0,59.0,29.0,109.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,1593,75,71,79,172,9,4,13,77,1641,71,84,4413,20.6,27.7,28,0.6,85,1.9,25,0.6,4,0.1,197,4.5,4012,90.9,6,0,0.0,1.0,49.5,1515,31.5,
