,Unnamed: 0,FIPS,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (White),YPLL Rate (White) 95% CI - Low,YPLL Rate (White) 95% CI - High,YPLL Rate (White) Unreliable,% Fair or Poor Health,95% CI - Low.1,95% CI - High.1,Z-Score.1,Average Number of Physically Unhealthy Days,95% CI - Low.2,95% CI - High.2,Z-Score.2,Average Number of Mentally Unhealthy Days,95% CI - Low.3,95% CI - High.3,Z-Score.3,Unreliable.1,% Low birthweight,95% CI - Low.4,95% CI - High.4,Z-Score.4,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (White),% LBW (White) 95% CI - Low,% LBW (White) 95% CI - High,% Smokers,95% CI - Low.5,95% CI - High.5,Z-Score.5,% Adults with Obesity,95% CI - Low.6,95% CI - High.6,Z-Score.6,Food Environment Index,Z-Score.7,% Physically Inactive,95% CI - Low.7,95% CI - High.7,Z-Score.8,% With Access to Exercise Opportunities,Z-Score.9,% Excessive Drinking,95% CI - Low.8,95% CI - High.8,Z-Score.10,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low.9,95% CI - High.9,Z-Score.11,# Chlamydia Cases,Chlamydia Rate,Z-Score.12,Teen Birth Rate,95% CI - Low.10,95% CI - High.10,Z-Score.13,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,Teen Birth Rate (White) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low.11,95% CI - High.11,Z-Score.14,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score.15,# Dentists,Dentist Rate,Dentist Ratio,Z-Score.16,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score.17,Preventable Hospitalization Rate,Z-Score.18,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (White),% With Annual Mammogram,Z-Score.19,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (White),% Vaccinated,Z-Score.20,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (White),# Completed High School,Population,% Completed High School,95% CI - Low.12,95% CI - High.12,Z-Score.21,# Some College,Population.1,% Some College,95% CI - Low.13,95% CI - High.13,Z-Score.22,# Unemployed,Labor Force,% Unemployed,Z-Score.23,% Children in Poverty,95% CI - Low.14,95% CI - High.14,Z-Score.24,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score.25,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low.15,95% CI - High.15,Z-Score.26,# Associations,Social Association Rate,Z-Score.27,Annual Average Violent Crimes,Violent Crime Rate,Z-Score.28,# Injury Deaths,Injury Death Rate,95% CI - Low.16,95% CI - High.16,Z-Score.29,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (White),Injury Death Rate (White) 95% CI - Low,Injury Death Rate (White) 95% CI - High,Average Daily PM2.5,Z-Score.30,Presence of Water Violation,Z-Score.31,% Severe Housing Problems,95% CI - Low.17,95% CI - High.17,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score.32,% Drive Alone to Work,95% CI - Low.18,95% CI - High.18,Z-Score.33,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (White),% Drive Alone (White) 95% CI - Low,% Drive Alone (White) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low.19,95% CI - High.19,Z-Score.34,Unnamed: 250
0,1,56000,Wyoming,,,7052.0,7236.0,6981.0,7490.0,,19465.0,16704.0,22227.0,,2245.0,1330.0,3548.0,x,8518.0,6417.0,11088.0,,5976.0,5279.0,6674.0,,7083.0,6806.0,7361.0,,15,14,17,,3.5,3.2,3.8,,4.0,3.6,4.3,,,9.0,9.0,9.0,,9.0,7.0,10.0,10.0,8.0,12.0,12.0,10.0,15.0,9.0,8.0,10.0,9.0,9.0,9.0,19,18,21,,29,,,,6.7,,23,,,,76,,20,18,22,,209,638,33,31,35,,2169.0,374.4,,26,25,27,,54.0,46.0,61.0,11.0,6.0,17.0,19.0,14.0,25.0,36.0,33.0,39.0,23.0,22.0,24.0,58689,12,11,14,,394,68,1466,,400,69,1447,,1998,345,290,,3421,,7495.0,1938.0,5936.0,4185.0,3322.0,36,,32.0,36.0,25.0,32.0,36.0,44,,40.0,48.0,30.0,41.0,44.0,363828,390516,93,93.0,94.0,,100909,151680,67,65.0,68.0,,10528,292260,3.6,,12,10,13,,31.0,7.0,11.0,23.0,10.0,117936,27689,4.3,,25004,135736,18,17,20,,800,13.8,,1286.0,220.0,,2764,95,92,99,,217.0,182.0,253.0,,,,65.0,44.0,94.0,60.0,51.0,69.0,97.0,93.0,101.0,4.2,,,,12,11,13,9,9,10,2,2,2,1,1,1,,77,77,78,,77.0,71.0,83.0,70.0,62.0,77.0,75.0,66.0,84.0,73.0,70.0,76.0,78.0,77.0,78.0,284575,15,14,15,,
1,2,56001,Wyoming,Albany,,261.0,5072.0,4204.0,5940.0,-0.99,,,,,,,,,,,,,,,,,,,,,15,14,17,-0.15,3.7,3.4,4.1,-0.07,4.1,3.7,4.4,0.28,,8.0,7.0,9.0,0.07,,,,13.0,7.0,19.0,,,,10.0,6.0,13.0,8.0,7.0,9.0,17,14,20,-1.21,25,22.0,29.0,-0.81,7.0,1.76,15,12.0,18.0,-2.03,91,-1.27,20,19,21,0.01,9,35,26,17,35,-0.3,189.0,493.1,1.4,9,7,11,-1.58,,,,,,,,,,19.0,12.0,29.0,8.0,6.0,10.0,3868,12,10,14,-0.54,26,67,1485,0.01,19,49,2046,0.47,207,532,188,-1.67,3007,0.01,,,,,,37,-0.53,,,,31.0,38.0,51,-1.25,,60.0,,50.0,51.0,20607,21477,96,95.0,97.0,-1.35,8836,10329,86,80.0,91.0,-2.62,621,20216,3.1,-0.92,12,7,17,-0.1,68.0,5.0,,26.0,8.0,103196,20513,5.0,1.97,562,6137,9,6,13,-1.2,44,11.4,-0.02,52.0,138.0,-0.44,118,61,50,73,-1.44,,,,,,,,,,60.0,30.0,107.0,65.0,52.0,77.0,3.9,-0.52,No,-1.02,21,18,25,19,16,22,2,1,4,1,1,2,2.8,71,68,74,-0.93,,,,49.0,33.0,64.0,,,,79.0,77.0,80.0,70.0,67.0,74.0,20741,9,7,11,-1.3,
2,3,56003,Wyoming,Big Horn,,216.0,9305.0,7275.0,11335.0,1.01,,,,,,,,,,,,,,,,,,,,,17,15,20,0.79,4.0,3.6,4.4,0.91,4.3,3.9,4.7,0.99,,7.0,5.0,9.0,-0.98,,,,,,,,,,,,,,,,21,18,24,0.8,33,28.0,38.0,0.76,7.7,0.12,27,23.0,32.0,0.68,68,0.55,20,19,21,-0.03,6,13,46,32,59,1.09,10.0,84.0,-1.56,14,10,19,-1.07,,,,,,,,,,24.0,12.0,43.0,11.0,7.0,16.0,1571,17,15,19,1.93,2,17,5941,1.68,5,42,2358,0.71,23,195,513,0.67,3712,0.73,,,,3695.0,3651.0,29,0.92,,,,26.0,29.0,30,1.07,,,,29.0,30.0,7206,8036,90,88.0,92.0,1.37,1631,2511,65,57.0,73.0,-0.11,223,5306,4.2,1.31,17,10,23,1.29,,,,14.0,18.0,96667,22372,4.3,0.29,403,3006,13,9,18,-0.48,10,8.4,0.58,10.0,100.0,-0.88,67,112,87,143,0.53,,,,,,,,,,,,,,,,4.6,0.1,No,-1.02,11,8,15,9,6,11,2,1,3,1,0,2,-0.03,79,76,81,0.7,,,,,,,,,,,,,,,,5003,22,18,26,0.42,
3,4,56005,Wyoming,Campbell,,472.0,7211.0,6314.0,8109.0,0.02,,,,,,,,,,,,,,,,,,,,,16,14,19,0.33,3.7,3.3,4.0,-0.15,3.8,3.5,4.2,-0.81,,10.0,9.0,11.0,1.37,,,,,,,,,,8.0,6.0,11.0,10.0,9.0,11.0,21,19,25,1.02,32,28.0,35.0,0.44,8.2,-1.05,25,22.0,28.0,0.18,56,1.54,21,20,22,0.44,8,30,27,17,37,-0.23,239.0,516.8,1.57,33,29,36,1.0,71.0,36.0,128.0,,,,,,,40.0,29.0,53.0,31.0,27.0,35.0,4812,12,10,13,-0.75,23,50,2006,0.59,17,37,2726,0.92,96,207,483,0.59,2145,-0.87,,,,,,29,0.92,,,,29.0,29.0,46,-0.7,23.0,,,48.0,46.0,28260,30412,93,91.0,95.0,-0.04,8161,14039,58,52.0,64.0,0.72,853,23242,3.7,0.26,9,5,12,-1.15,91.0,,,42.0,13.0,131991,31010,4.3,0.14,1967,13076,15,10,20,-0.2,41,8.9,0.48,136.0,278.0,1.17,167,71,60,81,-1.09,,,,,,,,,,,,,,,,4.1,-0.35,Yes,0.94,11,8,14,9,6,11,3,2,4,0,0,1,-0.14,78,76,81,0.69,,,,,,,,,,67.0,59.0,75.0,78.0,75.0,80.0,24170,17,14,21,-0.19,
4,5,56007,Wyoming,Carbon,,202.0,7514.0,5871.0,9157.0,0.16,,,,,,,,,,,,,,,,,,,,,18,16,20,1.41,3.9,3.5,4.3,0.56,4.2,3.9,4.5,0.76,,9.0,8.0,11.0,1.05,,,,,,,,,,11.0,7.0,14.0,9.0,7.0,11.0,22,19,25,1.15,34,30.0,39.0,0.92,7.1,1.53,30,26.0,34.0,1.19,74,0.1,20,19,21,-0.21,13,59,22,15,29,-0.55,34.0,222.2,-0.56,36,29,42,1.32,,,,,,,,,,39.0,26.0,56.0,35.0,27.0,44.0,1702,15,13,17,0.72,8,53,1871,0.47,7,47,2114,0.53,40,270,370,0.15,3176,0.18,,,,,,26,1.46,,,,18.0,27.0,36,0.41,,,,32.0,36.0,9513,10452,91,89.0,93.0,0.79,2229,3970,56,50.0,63.0,0.96,262,7982,3.3,-0.5,14,9,19,0.49,,,,23.0,12.0,112642,24704,4.6,0.86,743,3563,21,13,28,0.78,15,10.0,0.26,36.0,236.0,0.68,101,132,107,158,1.31,,,,,,,,,,86.0,44.0,150.0,143.0,114.0,177.0,4.6,0.1,Yes,0.94,11,8,14,8,5,11,3,2,5,0,0,1,-0.18,81,77,85,1.25,,,,,,,,,,76.0,67.0,86.0,81.0,77.0,84.0,7184,17,13,21,-0.26,
5,6,56009,Wyoming,Converse,,181.0,6893.0,5302.0,8485.0,-0.13,,,,,,,,,,,,,,,,,,,,,16,14,18,0.2,3.9,3.5,4.3,0.62,4.1,3.7,4.5,0.32,,9.0,7.0,10.0,0.33,,,,,,,,,,,,,,,,20,17,22,0.08,32,27.0,38.0,0.56,8.2,-1.05,25,20.0,30.0,0.18,84,-0.7,23,22,24,1.79,4,25,16,7,28,-0.96,39.0,282.4,-0.12,34,27,41,1.15,,,,,,,,,,,,,,,,1299,11,10,13,-0.85,7,51,1949,0.54,7,51,1975,0.4,30,217,461,0.52,4361,1.39,,,,8283.0,3755.0,34,0.02,,,,27.0,34.0,40,-0.03,,,,40.0,40.0,8638,9514,91,88.0,94.0,0.89,1981,3373,59,48.0,69.0,0.64,238,8694,2.7,-1.58,12,7,17,-0.1,,,,29.0,11.0,123172,31106,4.0,-0.56,608,3454,18,9,26,0.23,13,9.5,0.36,43.0,365.0,2.16,63,90,69,116,-0.32,,,,,,,,,,,,,,,,2.6,-1.69,No,-1.02,10,6,13,6,3,8,4,2,6,0,0,1,-0.57,75,71,79,-0.05,,,,,,,,,,,,,,,,6551,29,23,36,1.35,
6,7,56011,Wyoming,Crook,,90.0,6520.0,4430.0,9254.0,-0.3,,,,,,,,,,,,,,,,,,,,,14,12,16,-1.03,3.5,3.1,3.9,-0.76,3.9,3.5,4.3,-0.5,,7.0,5.0,8.0,-1.39,,,,,,,,,,,,,,,,19,16,22,-0.32,30,25.0,35.0,0.14,8.4,-1.52,26,21.0,31.0,0.44,71,0.36,21,20,22,0.78,7,16,44,31,56,0.93,12.0,161.9,-1.0,27,19,37,0.38,,,,,,,,,,,,,,,,806,14,12,16,0.26,3,40,2483,0.9,3,40,2528,0.81,5,66,1517,1.57,1785,-1.23,,,,,,41,-1.25,,,,,,39,0.08,,,,,,4812,5193,93,90.0,95.0,0.08,909,1567,58,45.0,71.0,0.73,117,3710,3.2,-0.76,10,6,15,-0.62,,,,,,109391,28250,3.9,-0.77,119,1840,6,1,12,-1.65,9,12.1,-0.15,9.0,120.0,-0.65,30,80,54,115,-0.71,,,,,,,,,,,,,,,,4.1,-0.35,Yes,0.94,9,5,12,6,2,9,2,0,3,2,0,4,-0.84,70,65,75,-1.12,,,,,,,,,,,,,,,,3374,41,30,51,2.76,
7,8,56013,Wyoming,Fremont,,707.0,12034.0,10742.0,13325.0,2.29,27347.0,23106.0,31589.0,,,,,,,,,,,,,,7894.0,6672.0,9116.0,,17,16,19,0.98,4.0,3.6,4.3,0.78,4.1,3.8,4.4,0.46,,9.0,8.0,10.0,0.46,9.0,7.0,10.0,,,,,,,9.0,6.0,13.0,9.0,7.0,10.0,21,19,24,0.93,29,26.0,32.0,-0.02,7.6,0.36,25,22.0,28.0,0.27,66,0.75,18,17,19,-1.42,45,64,70,67,74,2.73,211.0,530.1,1.67,44,39,48,2.22,62.0,52.0,72.0,,,,,,,54.0,39.0,73.0,31.0,26.0,36.0,5558,18,16,20,2.24,31,78,1275,-0.36,31,79,1266,-0.64,92,234,427,0.4,3371,0.38,7335.0,,,1472.0,2935.0,32,0.38,33.0,,,18.0,33.0,42,-0.26,43.0,,,42.0,42.0,24439,26531,92,91.0,93.0,0.31,5932,9182,65,60.0,69.0,-0.07,824,18635,4.4,1.74,17,10,24,1.41,30.0,,,29.0,8.0,106361,26551,4.0,-0.45,2845,10044,28,24,33,2.05,50,12.6,-0.27,65.0,161.0,-0.18,310,156,138,173,2.21,289.0,237.0,341.0,,,,,,,88.0,45.0,153.0,126.0,107.0,144.0,6.8,2.07,Yes,0.94,13,11,14,8,6,9,4,3,4,2,1,3,0.3,74,72,77,-0.19,74.0,67.0,81.0,,,,,,,81.0,74.0,88.0,74.0,71.0,77.0,17093,17,15,19,-0.2,
8,9,56015,Wyoming,Goshen,,191.0,6738.0,5080.0,8397.0,-0.2,,,,,,,,,,,,,,,,,,,,,16,14,19,0.35,3.7,3.3,4.1,-0.06,3.9,3.6,4.3,-0.29,,8.0,6.0,10.0,-0.24,,,,,,,,,,11.0,5.0,16.0,7.0,6.0,9.0,19,16,22,0.01,32,27.0,37.0,0.56,7.5,0.59,33,28.0,38.0,1.88,70,0.39,20,19,21,-0.22,3,10,30,13,48,-0.01,52.0,388.7,0.65,20,15,26,-0.37,,,,,,,,,,,,,,,,1392,15,13,17,0.88,10,75,1338,-0.24,7,53,1887,0.32,67,507,197,-1.49,3107,0.11,,,,,,35,-0.17,,,,26.0,35.0,34,0.63,,,,25.0,35.0,8648,9387,92,90.0,95.0,0.31,1870,2926,64,55.0,73.0,0.01,238,6625,3.6,0.11,16,9,22,1.01,,,,22.0,16.0,96987,23856,4.1,-0.31,627,2634,24,16,31,1.28,23,17.2,-1.17,47.0,350.0,2.0,56,84,63,109,-0.57,,,,,,,,,,,,,,,,3.7,-0.7,Yes,0.94,11,8,14,9,6,12,1,0,2,1,0,2,-0.28,80,75,85,0.95,,,,,,,,,,,,,,,,5926,18,13,23,-0.1,
9,10,56017,Wyoming,Hot Springs,,87.0,11982.0,7827.0,17557.0,2.27,,,,,,,,,,,,,,,,,,,,,16,14,18,0.0,3.8,3.4,4.1,0.1,4.2,3.8,4.5,0.57,,7.0,5.0,10.0,-0.63,,,,,,,,,,,,,,,,19,16,22,-0.11,30,23.0,36.0,0.04,8.0,-0.58,26,19.0,32.0,0.33,80,-0.41,20,19,21,-0.15,4,12,33,18,49,0.22,15.0,319.4,0.14,17,10,28,-0.71,,,,,,,,,,,,,,,,424,13,11,15,-0.21,4,88,1139,-0.67,5,113,883,-1.9,13,295,339,-0.02,713,-2.33,,,,,,29,0.92,,,,,,38,0.19,,,,,,3278,3462,95,92.0,97.0,-0.8,731,1073,68,55.0,81.0,-0.5,77,2176,3.5,0.0,15,9,22,0.85,,,,,,102000,23141,4.4,0.5,121,900,13,4,23,-0.47,6,13.2,-0.37,5.0,105.0,-0.82,35,152,106,211,2.05,,,,,,,,,,,,,,,,3.7,-0.7,No,-1.02,12,8,16,10,5,14,2,0,4,1,0,3,0.12,67,58,75,-1.9,,,,,,,,,,,,,,,,2141,18,11,26,-0.06,
