STATE,TAX RATE,RANK,,STATE,TAX RATE,RANK2,,
,(¢ per pack),,,,(¢ per pack),,,
,,,,,,,,
Alabama,67.5,41,,Nebraska,64,42,,
Alaska,200,18,,Nevada,180,25,,
Arizona,200,18,,New Hampshire,178,26,,
Arkansas,115,36,,New Jersey,270,13,,
California,287,12,,New Mexico,200,18,,
Colorado,194,24,,New York,435,2,,
Connecticut,435,2,,North Carolina,45,48,,
Delaware,210,16,,North Dakota,44,49,,
Florida,133.9,33,,Ohio,160,29,,
Georgia,37,50,,Oklahoma,203,17,,
Hawaii,320,7,,Oregon,333,6,,
Idaho,57,46,,Pennsylvania,260,14,,
Illinois,298,11,,Rhode Island,425,4,,
Indiana,99.5,39,,South Carolina,57,46,,
Iowa,136,32,,South Dakota,153,30,,
Kansas,129,34,,Tennessee,62,43,,
Kentucky,110,37,,Texas,141,31,,
Louisiana,108,38,,Utah,170,27,,
Maine,200,18,,Vermont,308,8,,
Maryland,200,18,,Virginia,60,44,,
Massachusetts,351,5,,Washington,302.5,10,,
Michigan,200,18,,West Virginia,120,35,,
Minnesota,304,9,,Wisconsin,252,15,,
Mississippi,68,40,,Wyoming,60,44,,
Missouri,17,51,,,,,,
Montana,170,27,,District of Columbia,450,1,,
,,,,U. S. Median,178,,,
