,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Alabama,,4903185,20,36,5.5,29,61,15,27,583.4,29,12,65.0,50.0,108.0,40,43,21,10,86,61,3.0,22,5.2,480.0,12.3,9.2,84,,14,86,35,22.2,17.3,26.5,1.5,0.1,0.7,4.6,65.3,1,69,76,22.0,16.0,55,51,51771,2.7,2.9,90,12,40,8,17,15,16,14,75.5,67.5,67.5,67.5,67.5,67.5
1,1,Alabama,Autauga,55869,20,33,6.7,31,69,14,33,504.5,24,10,47.0,34.0,29.0,39,42,20,9,89,60,2.7,16,5.1,272.0,12.2,10.4,68,No,14,86,38,23.2,16.0,19.9,1.2,0.1,0.5,3.0,73.8,1,73,81,17.0,19.0,47,24,58233,2.9,3.1,89,10,38,12,16,13,16,13,77.2,67.5,67.5,67.5,67.5,67.5
2,2,Alabama,Baldwin,223234,19,30,7.8,25,74,19,30,297.2,26,13,70.0,49.0,99.0,43,46,16,8,91,67,2.7,14,4.4,204.0,10.5,7.2,73,No,13,84,40,21.3,21.0,8.6,1.1,0.1,0.8,4.7,83.2,1,75,82,14.0,20.0,40,32,59871,3.0,3.2,88,13,36,5,13,10,15,12,78.2,67.5,67.5,67.5,67.5,67.5
3,3,Alabama,Barbour,24686,26,41,5.5,28,53,12,39,755.8,37,14,32.0,36.0,12.0,44,39,30,11,73,36,3.8,41,6.0,414.0,7.6,9.4,77,No,14,82,31,20.6,19.7,47.8,0.5,0.2,0.7,4.5,45.5,2,61,61,21.0,13.0,61,20,35972,2.0,2.4,82,14,41,11,22,18,19,18,74.1,67.5,67.5,67.5,67.5,67.5
4,4,Alabama,Bibb,22394,23,37,7.6,33,16,15,30,613.2,38,11,54.0,22.0,27.0,33,40,24,10,79,40,3.1,26,5.0,89.0,8.5,10.0,106,No,9,87,52,20.3,16.7,21.1,0.2,0.1,0.5,2.8,74.4,0,74,69,20.0,16.0,63,40,47918,2.6,2.7,88,11,40,3,15,14,17,15,73.4,67.5,67.5,67.5,67.5,67.5
5,5,Alabama,Blount,57826,23,33,7.9,33,16,16,18,303.4,31,14,21.0,19.0,17.0,37,40,22,7,80,56,2.7,21,4.4,483.0,7.8,10.6,108,No,10,88,58,22.9,18.7,1.5,0.3,0.1,0.6,9.7,86.8,2,79,73,21.0,20.0,50,22,52902,2.8,2.9,93,14,39,3,14,15,17,15,74.4,67.5,67.5,67.5,67.5,67.5
6,6,Alabama,Bullock,10101,25,47,5.0,42,3,12,55,1222.2,46,12,30.0,20.0,30.0,32,29,31,15,75,32,3.6,40,5.6,311.0,7.9,9.2,99,No,20,81,47,20.8,16.9,69.1,0.2,0.8,0.8,8.6,21.0,1,71,60,25.0,,76,36,31906,2.0,2.1,88,12,45,20,21,30,18,18,74.4,67.5,67.5,67.5,67.5,67.5
7,7,Alabama,Butler,19448,23,47,6.8,40,49,13,31,933.2,37,12,25.0,31.0,57.0,39,35,28,12,85,40,3.6,35,5.0,582.0,9.7,8.9,99,Yes,12,86,31,22.0,20.8,44.6,1.4,0.0,0.4,1.5,51.1,0,70,65,21.0,10.0,71,34,39944,2.1,2.5,83,12,42,3,19,20,19,17,74.2,67.5,67.5,67.5,67.5,67.5
8,8,Alabama,Calhoun,113605,21,40,6.6,31,48,14,15,595.3,32,11,64.0,68.0,122.0,33,40,24,9,84,59,3.5,25,4.8,756.0,14.3,10.8,92,No,13,84,31,21.5,18.1,21.0,0.9,0.1,0.5,4.1,71.7,1,70,75,27.0,21.0,59,41,47747,2.8,2.9,91,11,38,9,17,17,18,15,73.5,67.5,67.5,67.5,67.5,67.5
9,9,Alabama,Chambers,33254,23,42,6.7,29,62,14,30,711.9,42,12,42.0,18.0,3.0,36,43,25,13,82,50,2.9,30,4.8,529.0,18.1,10.2,91,No,15,86,30,20.8,20.2,39.8,1.1,0.0,0.3,2.6,55.1,0,67,69,25.0,24.0,70,24,42015,2.5,2.6,81,12,41,10,16,18,18,16,75.0,67.5,67.5,67.5,67.5,67.5
