,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Alaska,,731545,19,32,6.4,19,100.0,18,38.0,832.5,25.0,14,94.0,102.0,500.0,35.0,36.0,16,6.0,93,65,6.1,13,4.2,720.0,11.3,6.5,97.0,,20,69,16,24.6,12.5,3.3,6.5,1.4,15.6,7.3,60.2,2,64,86,24.0,27.0,42,44.0,77203,,,79.0,14,33,9,13,8,11,12,79.0
1,Alaska,Aleutians East,3337,21,52,5.4,27,100.0,15,,237.4,,26,,30.0,90.0,,,21,,85,45,2.8,13,4.3,,0.0,,,No,13,27,0,7.6,10.5,9.1,43.4,1.2,20.2,14.8,9.1,11,64,62,,,4,,66923,,,,26,39,35,12,15,11,13,113.5
2,Alaska,Aleutians West,5634,19,42,7.8,27,100.0,17,100.0,156.2,,18,35.0,106.0,142.0,,,18,7.0,89,55,3.6,5,3.0,295.0,0.0,,49.0,Yes,18,47,1,11.4,7.4,6.5,40.1,2.5,12.1,14.0,23.6,7,28,77,,,20,11.0,84726,,,,18,36,9,11,8,11,12,86.0
3,Alaska,Anchorage,288000,17,30,8.1,17,100.0,18,25.0,905.7,22.0,12,115.0,128.0,487.0,38.0,40.0,14,6.0,94,72,5.1,11,3.9,1007.0,11.4,6.4,87.0,Yes,17,76,13,24.0,11.7,5.3,10.0,2.8,9.1,9.4,57.1,2,61,90,23.0,23.0,37,32.0,82512,,,81.0,12,34,5,12,8,12,11,79.3
4,Alaska,Bethel,18386,35,34,2.9,28,100.0,17,67.0,3264.0,60.0,18,104.0,141.0,2322.0,4.0,7.0,32,6.0,81,33,12.9,32,5.7,,4.4,,204.0,Yes,59,23,0,35.6,7.9,0.9,1.0,0.2,83.9,2.7,9.6,2,58,73,31.0,53.0,92,57.0,48262,,,61.0,18,38,42,21,7,20,23,71.6
5,Alaska,Bristol Bay,836,22,43,6.8,28,100.0,21,0.0,,,16,0.0,120.0,0.0,32.0,35.0,17,,94,58,6.1,11,3.9,0.0,0.0,,229.0,No,11,60,3,17.8,16.3,0.6,1.8,0.2,35.0,7.4,39.6,0,54,78,,,100,,87950,,,,16,34,18,12,18,14,13,
6,Alaska,Denali,2097,19,23,5.8,21,100.0,20,29.0,337.5,,12,,0.0,,,,14,,98,71,8.5,9,3.1,,0.0,,,No,24,32,30,19.0,11.3,2.0,5.4,0.0,5.1,3.8,79.5,0,82,90,,,1,,78434,,,,12,32,23,15,8,12,12,79.8
7,Alaska,Dillingham,4916,30,31,4.8,26,100.0,19,50.0,2108.7,41.0,19,260.0,122.0,793.0,31.0,19.0,26,6.0,86,50,8.1,27,4.5,,0.0,,149.0,No,38,34,5,31.4,10.0,0.8,0.9,0.2,73.0,3.7,14.7,2,62,76,,,100,50.0,57436,,,,19,38,32,16,8,18,19,71.9
8,Alaska,Fairbanks North Star,96849,17,31,7.9,18,100.0,19,41.0,920.7,24.0,12,82.0,144.0,633.0,35.0,36.0,14,6.0,94,73,5.4,8,3.7,,9.3,13.9,84.0,No,23,74,17,23.8,11.2,4.8,3.4,0.6,8.2,8.2,69.2,1,59,86,26.0,27.0,22,15.0,74076,,,74.0,12,33,7,12,7,12,11,80.5
9,Alaska,Haines,2530,18,29,7.5,19,100.0,22,67.0,,,14,283.0,79.0,237.0,34.0,35.0,13,,98,72,8.9,14,5.2,156.0,0.0,,,No,17,57,0,18.0,21.7,0.6,0.9,0.0,10.8,3.6,77.1,0,66,84,,,57,,62548,,,,14,31,7,13,7,12,11,87.5
