,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Arizona,,7278717,14,28,6.8,21,85,18,25,581.6,25,13,66,63,140,40,45,19,7,87,64,4.7,19,4.5,435,5.6,6.3,86,,18,76,36,22.5,18.0,4.5,3.7,0.3,5.3,31.7,54.1,5,64,84,16.0,19.0,54,36,62027,,,79,13,35,8,13,10,13,13,80.0
1,Arizona,Apache,71887,25,35,2.2,26,19,15,34,905.0,34,21,39,74,100,24,36,31,7,80,51,9.9,45,7.7,109,3.2,6.0,202,Yes,31,79,42,27.0,15.8,0.5,0.5,0.1,75.0,6.6,18.0,5,79,38,16.0,31.0,72,92,35386,,,71,21,40,47,23,16,20,22,73.1
2,Arizona,Cochise,125922,17,31,6.7,24,60,20,30,373.5,31,11,54,60,122,36,33,20,8,87,64,5.7,26,4.6,333,8.2,3.9,90,Yes,14,79,23,21.4,23.1,3.8,2.3,0.4,1.8,35.7,54.8,4,69,80,20.0,24.0,60,28,48650,,,91,11,35,14,14,10,14,14,78.7
3,Arizona,Coconino,143476,17,25,6.8,17,83,20,23,753.7,16,13,82,78,212,31,39,18,8,91,71,5.5,15,5.0,357,9.2,6.3,107,No,25,69,16,20.0,13.0,1.3,2.1,0.2,27.4,14.3,54.1,2,61,78,15.0,27.0,50,61,58301,,,82,13,33,14,14,8,14,14,79.1
4,Arizona,Gila,54018,23,31,5.9,27,92,20,17,413.1,48,15,39,56,70,35,39,22,9,86,51,5.5,32,4.7,574,9.1,6.3,161,No,16,80,19,19.7,29.4,0.6,0.9,0.1,18.2,18.9,61.6,1,76,66,26.0,40.0,60,68,45980,,,74,15,40,16,18,14,16,16,74.3
5,Arizona,Graham,38837,20,34,6.2,23,56,19,30,437.7,39,12,53,62,41,35,39,22,8,85,56,4.8,25,5.0,109,5.0,5.7,74,No,16,79,17,26.7,14.0,1.5,0.7,0.2,13.5,33.2,51.0,2,70,76,14.0,18.0,48,74,50685,,,87,12,36,19,15,12,15,15,77.7
6,Arizona,Greenlee,9498,17,30,5.8,19,46,19,60,507.7,39,7,53,21,11,29,29,20,7,88,55,3.9,11,3.2,41,5.3,6.0,69,No,10,87,12,27.0,13.7,1.7,0.8,0.1,4.1,47.7,45.5,2,49,82,,,44,34,68066,,,96,7,35,31,12,12,13,13,81.0
7,Arizona,La Paz,21108,22,33,5.7,38,39,18,11,344.6,48,21,28,43,76,27,30,26,6,77,39,5.8,33,5.1,264,5.2,2.4,157,Yes,15,75,18,16.6,39.8,0.9,0.9,0.2,18.1,28.3,56.5,3,72,62,42.0,40.0,73,65,39407,,,79,21,39,19,18,18,16,17,77.2
8,Arizona,Maricopa,4485414,15,27,8.0,20,92,19,25,614.4,23,13,69,68,143,41,48,18,7,88,66,4.0,18,4.4,409,5.3,9.5,78,Yes,18,76,38,23.5,15.5,5.6,4.6,0.3,2.8,31.4,54.5,5,62,86,14.0,16.0,51,31,68634,,,78,13,35,4,12,9,13,13,80.5
9,Arizona,Mohave,212181,25,31,5.7,32,59,21,24,258.7,30,13,53,44,72,39,39,23,7,86,48,5.7,28,4.1,221,5.4,6.6,125,Yes,17,79,19,16.7,31.1,1.1,1.2,0.2,3.0,16.9,76.7,2,69,80,27.0,35.0,60,25,49712,,,84,13,39,20,17,14,15,15,76.0
