,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Arkansas,,3017804,24,35,5.1,30,64,17,26,587.9,36,10,66.0,48.0,236.0,38,48,23,9,87,59,3.5,22,4.8,516.0,12.0,9.1,83,,14,83,27,23.2,17.4,15.4,1.7,0.4,1.0,7.8,72.0,2,66,73,19.0,19.0,64,51,49020,2.8,2.9,89.0,10,37,9,17,14,17,15,76.0,115,115,115,115,115
1,1,Arkansas,Arkansas,17486,25,35,5.4,39,48,15,36,645.6,53,9,51.0,51.0,109.0,34,43,28,10,84,55,3.0,24,5.9,473.0,12.9,8.3,101,No,10,85,15,22.9,20.3,24.7,0.8,0.0,0.3,3.4,69.1,0,65,68,19.0,14.0,83,36,52539,2.6,2.7,92.0,9,36,18,19,19,17,17,74.2,115,115,115,115,115
2,2,Arkansas,Ashley,19657,26,42,5.9,45,50,16,29,601.5,43,10,40.0,41.0,76.0,34,43,28,12,83,50,5.4,25,5.4,321.0,14.5,8.3,89,Yes,13,83,24,22.4,20.9,24.2,0.3,0.1,0.8,5.7,68.5,2,77,61,23.0,15.0,64,20,47744,2.7,2.6,90.0,10,37,12,20,14,18,17,75.0,115,115,115,115,115
3,3,Arkansas,Baxter,41932,24,31,7.2,30,65,18,26,232.1,35,9,74.0,52.0,277.0,49,49,21,7,89,61,4.0,18,3.7,182.0,9.9,8.8,105,No,10,84,14,17.8,31.1,0.4,0.5,0.1,0.8,2.6,94.3,0,76,75,29.0,33.0,58,30,41950,2.9,3.1,89.0,9,32,4,16,16,16,15,77.0,115,115,115,115,115
4,4,Arkansas,Benton,279141,19,31,8.1,23,77,19,28,314.3,26,10,60.0,40.0,229.0,44,53,20,7,89,63,2.6,12,4.2,275.0,8.4,9.5,59,Yes,11,85,22,26.0,13.6,1.8,4.2,0.7,1.9,17.1,72.6,3,67,70,11.0,17.0,42,32,70775,3.1,3.3,90.0,10,33,5,12,10,14,13,79.9,115,115,115,115,115
5,5,Arkansas,Boone,37432,25,29,6.8,32,54,17,17,334.4,37,9,75.0,56.0,131.0,40,46,24,7,87,61,3.2,19,3.9,551.0,11.5,8.4,88,Yes,12,83,23,22.8,20.9,0.4,0.6,0.1,0.9,2.6,93.7,0,72,81,21.0,25.0,58,33,50083,3.2,3.3,90.0,9,35,10,16,11,17,16,76.7,115,115,115,115,115
6,6,Arkansas,Bradley,10763,25,31,6.5,37,67,15,17,589.1,41,11,55.0,37.0,28.0,31,52,29,10,81,47,4.1,31,4.9,261.0,11.9,9.1,84,No,16,81,32,24.0,19.2,27.0,0.5,0.0,1.6,15.9,55.1,4,65,67,18.0,18.0,100,13,39982,2.6,2.7,89.0,11,38,5,20,18,17,17,73.0,115,115,115,115,115
7,7,Arkansas,Calhoun,5189,26,26,4.6,40,11,16,17,438.3,30,8,19.0,,,35,34,27,9,84,55,4.4,20,5.1,211.0,13.3,9.2,119,No,12,84,30,18.9,22.0,21.1,0.2,0.0,0.8,4.1,72.1,0,85,63,,,73,9,48415,2.9,2.5,,8,37,33,17,10,17,17,73.0,115,115,115,115,115
8,8,Arkansas,Carroll,28380,22,30,7.6,34,52,17,40,250.5,43,13,53.0,28.0,81.0,36,46,24,6,86,44,3.1,19,4.4,337.0,13.5,8.3,113,Yes,16,81,24,21.4,23.9,0.6,2.0,1.4,1.4,15.2,78.4,4,76,69,15.0,26.0,73,28,43841,2.7,2.8,87.0,13,35,4,14,9,16,15,76.6,115,115,115,115,115
9,9,Arkansas,Chicot,10118,26,41,3.1,35,29,14,17,789.8,48,9,105.0,69.0,593.0,37,28,32,11,81,48,6.9,45,6.0,367.0,11.5,8.6,105,No,17,78,28,21.9,21.1,53.7,0.7,0.0,0.5,5.9,38.5,1,62,62,21.0,,100,53,37014,2.2,2.3,92.0,9,41,33,24,9,18,19,72.7,115,115,115,115,115
