,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,California,,39512223,11,24,8.8,18,93,18,29,585.3,17.0,8,80,87,373,36,43,18,7.0,83,66,4.0,16,5.2,421,5.9,8.1,52,,26,74,42,22.5,14.8,5.6,15.5,0.5,1.6,39.4,36.5,10,55,87,8.0,11.0,59,38.0,80423,2.7,2.9,87.0,8,35,3,11,9,11,12,81.7,87,287,287,287,287
1,1,California,Alameda,1671329,11,22,8.9,15,100,18,25,583.3,10.0,5,110,96,648,37,46,15,7.0,88,76,2.9,10,5.2,629,6.5,8.7,43,No,23,61,48,20.3,14.3,10.2,32.3,0.9,1.1,22.3,30.6,8,54,89,7.0,9.0,43,36.0,107589,3.0,3.1,87.0,5,33,1,9,7,11,11,83.1,87,287,287,287,287
2,2,California,Alpine,1129,18,17,6.8,20,100,21,27,1071.4,,7,0,0,354,41,32,20,,91,52,5.1,30,4.2,442,0.0,5.4,217,No,28,62,23,17.7,26.4,0.4,1.6,0.0,25.7,12.3,61.3,2,84,83,,,74,,58112,,,,7,35,12,15,7,16,15,,87,287,287,287,287
3,3,California,Amador,39752,16,30,8.3,24,76,25,32,163.1,16.0,6,63,68,241,42,47,17,6.0,90,62,3.8,13,4.4,237,6.9,9.0,96,No,18,79,45,15.1,27.5,2.5,1.7,0.3,2.3,14.5,77.3,1,77,85,18.0,28.0,42,14.0,62640,2.5,2.7,89.0,6,33,4,11,17,14,13,80.5,87,287,287,287,287
4,4,California,Butte,219186,17,30,7.4,23,84,22,32,573.9,16.0,8,61,75,717,40,40,19,6.0,89,69,5.1,16,5.4,327,7.5,7.6,97,No,22,76,24,20.3,18.4,1.6,5.0,0.3,2.5,17.2,70.9,3,59,85,14.0,20.0,59,28.0,58394,2.5,2.7,87.0,8,35,7,14,10,15,14,77.9,87,287,287,287,287
5,5,California,Calaveras,45905,16,28,8.2,27,60,23,40,262.8,13.0,7,42,48,166,42,42,16,6.0,90,56,3.8,20,4.2,327,8.8,8.0,100,Yes,21,77,60,17.1,28.0,0.9,1.9,0.3,2.0,13.0,79.9,1,78,82,22.0,27.0,53,22.0,68248,2.4,2.7,91.0,7,32,3,12,11,14,13,79.6,87,287,287,287,287
6,6,California,Colusa,21547,16,39,7.8,26,75,20,14,266.0,26.0,12,28,42,167,33,45,24,6.0,71,51,12.8,15,4.3,201,5.1,6.6,71,No,20,79,33,27.1,14.9,1.0,1.6,0.6,2.8,60.4,34.1,15,61,81,,9.0,75,6.0,59048,2.6,2.8,90.0,12,33,3,14,16,15,15,79.9,87,287,287,287,287
7,7,California,Contra Costa,1153526,11,25,8.9,16,97,18,30,539.4,10.0,6,103,89,351,40,48,15,7.0,89,72,3.1,10,4.7,336,5.5,8.1,47,No,20,68,52,22.4,16.3,8.7,18.3,0.6,1.0,26.0,42.7,6,66,92,8.0,10.0,41,37.0,106555,2.8,3.0,88.0,6,33,3,9,9,12,11,82.5,87,287,287,287,287
8,8,California,Del Norte,27812,19,34,6.3,33,89,21,22,324.0,38.0,7,61,79,428,29,38,23,6.0,80,42,5.7,26,5.0,609,3.6,5.8,104,Yes,20,75,10,20.9,18.4,3.3,3.1,0.2,9.7,20.1,62.0,2,63,80,15.0,17.0,67,21.0,48979,2.2,2.5,87.0,7,36,14,17,17,16,16,76.4,87,287,287,287,287
9,9,California,El Dorado,192843,13,26,8.5,18,90,24,26,236.5,9.0,6,79,78,346,41,48,13,7.0,93,69,3.5,9,4.8,218,5.6,8.3,72,No,18,77,40,19.8,21.9,0.9,4.8,0.2,1.3,13.2,77.2,2,76,87,11.0,18.0,30,27.0,86202,2.9,3.1,92.0,6,30,6,9,8,13,11,82.3,87,287,287,287,287
10,10,California,Fresno,999101,16,33,7.4,23,78,19,27,720.6,30.0,9,67,62,374,38,44,25,8.0,76,56,7.2,29,5.1,542,5.3,14.4,62,Yes,27,79,25,28.2,12.6,4.6,11.1,0.3,3.0,53.8,28.6,12,53,80,10.0,11.0,74,22.0,56926,2.7,2.9,87.0,9,38,4,15,10,14,15,78.9,87,287,287,287,287
11,11,California,Glenn,28393,17,34,7.7,21,66,20,26,416.5,25.0,12,14,77,109,36,35,23,7.0,75,46,6.1,18,5.0,408,8.2,7.6,93,No,21,79,32,26.6,15.8,0.8,3.1,0.2,3.2,42.5,50.5,10,59,72,20.0,26.0,70,19.0,55682,2.3,2.5,91.0,12,34,4,14,11,15,15,77.8,87,287,287,287,287
12,12,California,Humboldt,135558,17,25,7.5,16,85,20,42,576.9,15.0,8,64,81,483,28,40,18,6.0,90,68,3.6,21,5.0,432,8.9,6.1,109,Yes,24,71,17,18.9,18.6,1.2,2.9,0.3,6.4,12.1,73.8,2,57,84,17.0,24.0,59,27.0,51134,2.6,2.8,85.0,8,32,6,14,10,15,15,77.1,87,287,287,287,287
13,13,California,Imperial,181215,16,33,6.2,27,69,19,21,578.1,35.0,8,25,33,152,32,32,29,6.0,70,53,18.3,31,6.0,366,4.4,12.5,58,Yes,26,81,22,28.5,13.3,2.4,2.1,0.2,2.5,85.0,10.0,21,58,78,5.0,8.0,77,35.0,48102,2.5,2.6,88.0,8,34,9,19,9,15,16,81.9,87,287,287,287,287
14,14,California,Inyo,18039,15,27,7.7,27,42,23,19,377.2,29.0,8,111,67,466,33,39,17,8.0,89,61,3.5,15,3.9,600,7.8,6.6,83,Yes,18,68,16,20.7,23.4,1.0,1.7,0.2,13.5,23.4,60.8,3,65,80,13.0,21.0,55,38.0,59605,2.6,,87.0,8,33,12,11,12,14,13,78.9,87,287,287,287,287
15,15,California,Kern,900202,17,31,7.5,25,76,19,30,777.9,35.0,9,49,51,203,34,40,27,7.0,74,47,7.7,26,4.9,545,4.5,16.0,80,Yes,24,81,23,28.8,11.2,5.2,5.4,0.3,2.6,54.6,32.8,10,58,80,13.0,13.0,73,26.0,53245,2.4,2.7,87.0,9,34,5,14,10,15,17,77.5,87,287,287,287,287
16,16,California,Kings,152940,17,34,7.5,24,44,19,37,648.2,34.0,8,37,58,205,32,37,25,6.0,73,51,7.9,22,4.1,443,3.8,15.6,57,Yes,23,77,27,27.0,10.5,6.3,4.4,0.4,3.2,55.3,31.3,10,52,80,9.0,13.0,71,21.0,57297,2.5,2.7,89.0,8,36,5,14,13,15,16,79.7,87,287,287,287,287
17,17,California,Lake,64386,18,22,6.9,23,66,21,38,515.2,32.0,9,43,43,367,30,30,21,7.0,86,53,5.0,25,4.9,535,6.2,3.0,159,Yes,22,69,41,21.2,23.1,1.8,1.4,0.3,4.5,22.0,68.9,4,66,77,24.0,31.0,74,22.0,46897,2.3,2.6,79.0,9,35,9,16,11,16,16,74.6,87,287,287,287,287
18,18,California,Lassen,30573,18,33,7.7,34,54,23,37,365.8,25.0,5,29,108,304,32,33,21,8.0,83,36,4.6,15,4.3,587,5.2,7.0,106,No,15,80,18,17.3,15.5,8.0,1.6,0.9,4.3,19.3,64.7,2,68,79,15.0,25.0,49,25.0,53613,2.5,2.6,85.0,5,35,7,13,15,15,15,79.0,87,287,287,287,287
19,19,California,Los Angeles,10039107,13,22,8.4,17,98,18,24,667.9,17.0,10,73,90,363,33,39,21,7.0,79,64,4.4,18,5.3,488,5.8,12.0,41,Yes,33,74,51,21.4,14.1,8.0,15.4,0.4,1.4,48.6,26.1,13,46,84,7.0,9.0,69,35.0,72721,2.7,2.9,85.0,10,36,2,11,9,13,13,82.4,87,287,287,287,287
20,20,California,Madera,157327,17,37,7.4,30,70,19,31,584.5,33.0,11,45,43,163,36,37,26,6.0,72,46,6.9,26,4.3,620,4.4,12.1,67,Yes,25,77,40,27.4,14.3,3.2,2.6,0.3,4.4,58.8,33.2,13,64,80,8.0,11.0,79,26.0,61105,2.4,2.6,87.0,11,34,9,13,12,15,16,79.7,87,287,287,287,287
21,21,California,Marin,258826,10,18,9.2,13,97,23,32,310.0,6.0,5,145,119,782,43,50,12,6.0,93,77,2.3,7,5.8,178,9.4,6.4,56,Yes,22,64,46,19.8,23.0,2.6,6.6,0.3,1.0,16.3,71.1,4,64,91,6.0,16.0,28,35.0,112069,3.2,3.3,87.0,5,29,2,7,8,11,10,85.4,87,287,287,287,287
22,22,California,Mariposa,17203,16,16,7.6,18,49,22,57,182.1,21.0,8,29,58,291,38,30,17,7.0,91,64,4.6,22,4.5,431,8.0,9.1,107,No,19,61,39,16.1,28.9,1.2,1.6,0.2,3.5,12.1,79.3,1,68,75,18.0,28.0,66,18.0,52760,2.5,2.8,88.0,8,34,6,13,8,15,13,80.5,87,287,287,287,287
23,23,California,Mendocino,86749,17,30,7.6,16,72,22,32,494.2,24.0,10,88,86,671,34,30,20,7.0,87,58,4.0,20,4.8,640,7.3,6.4,107,Yes,27,73,22,21.1,23.1,0.8,2.3,0.3,6.3,25.8,64.3,5,60,81,15.0,21.0,74,17.0,52309,2.4,2.5,84.0,10,33,7,14,11,15,15,79.5,87,287,287,287,287
24,24,California,Merced,277680,16,33,7.2,27,70,17,31,601.8,27.0,9,45,46,189,37,43,28,6.0,69,49,8.1,23,4.5,555,4.2,12.0,68,Yes,25,79,31,29.3,11.4,2.9,7.8,0.4,2.5,61.0,26.5,14,52,84,9.0,10.0,77,20.0,59733,2.5,2.7,89.0,9,35,7,15,13,15,17,79.2,87,287,287,287,287
