,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Colorado,,5758736,15,22,8.4,15,90,21,34,519.4,18.0,9,83.0,82.0,372.0,41,49,14,9.0,92,72,2.8,11,4.4,326.0,8.8,4.9,80.0,,16,75,36,21.9,14.6,4.1,3.5,0.2,1.6,21.8,67.7,3,65,88,14.0,21.0,41,37.0,77104,3.0,3.1,81.0,9,30,5,10,7,11,10,80.6
1,Colorado,Adams,517421,18,29,8.5,19,93,20,34,580.9,24.0,11,46.0,66.0,348.0,35,47,18,9.0,84,58,2.9,12,3.7,372.0,4.8,9.2,77.0,Yes,18,78,47,26.1,10.7,3.3,4.5,0.2,2.3,40.8,49.0,6,66,85,13.0,19.0,51,27.0,75341,2.7,2.8,77.0,11,33,6,9,7,13,12,79.4
2,Colorado,Alamosa,16233,19,31,7.7,21,83,18,44,574.0,18.0,14,78.0,129.0,1454.0,31,43,22,11.0,87,61,3.6,25,4.5,,9.6,4.6,82.0,Yes,19,79,13,24.2,13.9,1.0,1.7,0.3,5.5,47.6,47.1,4,58,75,18.0,24.0,68,1.0,38213,2.9,3.0,82.0,14,33,3,15,8,14,14,76.0
3,Colorado,Arapahoe,656590,15,23,8.8,16,98,19,37,649.1,16.0,9,81.0,108.0,376.0,45,53,14,10.0,93,72,2.7,9,3.9,330.0,8.1,5.5,69.0,Yes,16,77,42,23.3,13.5,10.6,6.6,0.3,1.2,19.8,59.4,4,64,90,12.0,18.0,41,35.0,82364,3.0,3.1,83.0,9,30,2,9,7,12,10,81.3
4,Colorado,Archuleta,14029,15,24,7.8,12,89,20,23,165.2,18.0,13,80.0,43.0,157.0,40,34,14,8.0,92,67,3.2,20,3.9,190.0,10.9,4.8,92.0,No,19,73,18,17.7,27.3,0.6,1.2,0.1,3.4,18.4,76.8,0,72,83,24.0,26.0,50,19.0,57604,2.6,2.9,83.0,13,30,11,11,6,12,10,82.3
5,Colorado,Baca,3581,22,31,7.2,28,81,20,8,252.7,26.0,15,84.0,56.0,28.0,32,26,19,5.0,86,68,1.7,29,4.6,96.0,16.7,5.0,128.0,Yes,12,78,15,22.2,24.4,0.8,0.4,0.0,2.1,11.3,83.9,2,71,71,,,62,11.0,38945,,,,15,33,8,14,14,15,14,79.2
6,Colorado,Bent,5577,22,33,6.5,24,82,19,17,202.1,23.0,11,,18.0,72.0,39,35,22,11.0,85,28,2.9,31,4.5,133.0,5.1,5.0,117.0,No,23,76,21,15.4,18.9,7.0,1.5,0.1,3.6,32.2,57.0,2,60,73,,,63,,35764,3.1,3.1,82.0,11,35,12,17,12,14,14,74.9
7,Colorado,Boulder,326196,13,14,8.8,9,96,21,26,437.8,7.0,7,121.0,106.0,739.0,45,55,11,8.0,95,84,2.4,8,5.1,242.0,9.3,6.9,67.0,Yes,19,65,30,18.8,14.8,1.0,5.0,0.1,0.9,14.0,77.4,2,62,91,9.0,18.0,26,24.0,88341,3.3,3.4,89.0,7,27,3,9,6,11,9,82.8
8,Colorado,Broomfield,70465,12,20,8.9,12,99,21,57,376.1,8.0,5,98.0,97.0,166.0,50,58,10,8.0,97,88,2.4,5,3.8,51.0,6.2,8.4,62.0,No,13,75,44,22.1,14.3,1.3,6.9,0.1,0.8,12.7,76.4,1,65,93,12.0,18.0,18,14.0,106892,3.4,3.6,,5,29,5,8,7,10,8,82.8
9,Colorado,Chaffee,20356,17,16,8.5,16,97,21,30,152.8,13.0,11,90.0,54.0,201.0,38,46,14,9.0,94,62,2.4,13,4.5,61.0,16.5,3.8,98.0,No,12,69,20,15.1,26.0,1.7,0.9,0.1,1.5,10.0,85.2,1,78,81,20.0,38.0,34,41.0,60331,2.6,3.0,90.0,11,30,3,11,8,12,11,82.7
