,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Florida,,21477737,15,27,6.9,26,89,20,22,499.2,20,16,72.0,61.0,169.0,43,46,20,9,88,63,3.1,18,4.6,484,7.0,7.7,82,,20,79,42,19.7,20.9,15.5,3.0,0.1,0.5,26.4,53.2,7,65,83,13.0,16.0,55,43,59198,3.3,3.2,86,16,37,7,13,11,13,13,80.2,133.9,133.9,133.9,133.9,133.9
1,1,Florida,Alachua,269043,18,27,7.5,23,87,21,29,923.0,11,12,156.0,178.0,645.0,46,51,18,10,93,76,2.9,18,6.2,561,9.1,6.0,65,Yes,21,74,26,17.9,14.6,20.0,6.2,0.1,0.4,10.5,60.6,2,55,85,9.0,13.0,45,29,49880,3.3,3.3,88,12,36,6,14,9,15,13,79.2,133.9,133.9,133.9,133.9,133.9
2,2,Florida,Baker,29210,25,38,7.0,34,41,18,36,502.1,42,11,28.0,38.0,103.0,38,43,22,10,86,45,3.1,21,4.5,466,6.3,7.8,83,No,12,84,53,23.9,14.1,14.0,0.7,0.0,0.5,2.8,80.4,1,75,78,16.0,14.0,44,22,60454,3.5,3.5,76,11,43,13,14,15,17,15,75.5,133.9,133.9,133.9,133.9,133.9
3,3,Florida,Bay,174705,22,30,6.9,31,68,19,19,394.4,34,15,56.0,56.0,268.0,31,36,21,8,91,62,3.9,18,4.3,497,8.1,8.1,93,No,16,81,32,20.6,18.6,10.8,2.3,0.2,0.8,6.7,76.6,1,65,85,17.0,24.0,53,34,58376,3.4,3.2,81,15,40,11,15,12,17,14,76.4,133.9,133.9,133.9,133.9,133.9
4,4,Florida,Bradford,28201,27,37,7.4,35,65,18,23,384.6,42,14,25.0,25.0,96.0,46,36,25,11,80,38,3.1,27,5.6,454,10.8,7.7,113,No,14,86,52,19.4,18.0,20.2,0.6,0.0,0.6,4.7,72.2,0,69,71,14.0,15.0,60,31,47509,3.3,3.1,88,14,41,2,16,13,18,17,75.3,133.9,133.9,133.9,133.9,133.9
5,5,Florida,Brevard,601942,20,29,7.3,27,88,21,21,348.5,17,13,73.0,61.0,162.0,43,41,19,8,92,67,3.2,13,4.3,496,7.3,5.2,109,Yes,15,82,34,18.1,24.2,10.0,2.6,0.1,0.5,10.9,73.8,1,74,87,16.0,23.0,49,34,57582,3.3,3.3,88,13,41,12,13,13,15,13,77.8,133.9,133.9,133.9,133.9,133.9
6,6,Florida,Broward,1952778,17,25,8.3,24,97,19,13,584.9,14,17,73.0,77.0,187.0,37,39,20,10,89,67,3.0,16,4.8,398,5.6,9.1,69,No,24,80,45,21.0,17.1,28.4,3.9,0.1,0.4,31.1,34.8,8,62,85,10.0,12.0,60,42,61429,3.3,3.3,84,17,41,2,12,9,14,13,81.5,133.9,133.9,133.9,133.9,133.9
7,7,Florida,Calhoun,14105,26,37,7.3,41,20,18,25,393.6,41,15,41.0,57.0,21.0,32,20,26,8,77,35,4.1,28,4.8,174,8.9,8.0,76,No,13,77,41,19.9,18.9,12.3,0.9,0.1,1.3,5.7,77.8,1,81,68,,,53,40,41399,3.6,3.3,88,15,41,9,14,17,18,16,75.3,133.9,133.9,133.9,133.9,133.9
8,8,Florida,Charlotte,188910,21,28,6.9,26,81,20,28,153.3,20,16,60.0,48.0,113.0,51,53,18,8,91,52,3.7,20,4.1,200,5.9,7.2,74,Yes,16,79,31,11.8,40.8,5.4,1.4,0.1,0.4,7.7,83.8,2,80,85,15.0,21.0,50,33,54756,3.5,3.4,88,16,40,14,13,13,16,13,81.1,133.9,133.9,133.9,133.9,133.9
9,9,Florida,Citrus,149657,23,29,6.6,36,73,21,22,227.9,27,15,51.0,33.0,66.0,45,47,20,9,88,47,4.8,25,4.1,296,7.8,5.8,130,No,14,82,34,14.7,36.7,2.9,1.7,0.0,0.4,6.1,87.5,1,82,82,21.0,27.0,65,26,49762,3.3,3.3,84,15,43,13,16,13,17,15,75.7,133.9,133.9,133.9,133.9,133.9
