,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Georgia,,10617423,16,32,6.5,26,75,17,20,632.2,24,16,66.0,52.0,145.0,41,46,18,10.0,87,64,3.4,20,4.9,388.0,8.8,9.6,66.0,,16,79,42,23.6,14.3,31.6,4.4,0.1,0.5,9.9,52.0,3,63,81,15.0,14.0,60,48.0,61950,2.9,3.0,83.0,16,38,9.0,13,12,13,12,77.9
1,Georgia,Appling,18386,25,34,7.1,41,20,16,35,431.9,54,19,38.0,11.0,82.0,36,30,26,10.0,75,45,3.9,31,5.0,379.0,12.4,9.4,90.0,No,12,83,26,24.5,17.7,18.9,0.8,0.2,0.6,10.0,68.7,3,76,60,11.0,13.0,90,38.0,43821,2.8,2.8,89.0,19,41,7.0,16,17,17,17,75.1
2,Georgia,Atkinson,8165,26,31,6.6,30,0,15,21,599.4,66,25,,12.0,,35,36,30,7.0,67,33,3.0,37,4.3,,7.2,9.4,108.0,No,13,82,30,26.2,14.5,16.2,1.0,1.1,1.6,25.4,56.0,10,73,62,27.0,,84,23.0,38581,3.1,3.1,88.0,25,39,12.0,16,13,18,18,72.8
3,Georgia,Bacon,11164,25,44,7.0,38,61,16,21,477.1,38,19,72.0,27.0,9.0,28,35,25,11.0,82,37,3.5,31,5.7,,8.9,9.2,82.0,No,12,80,29,25.4,16.8,15.7,0.8,0.2,0.4,8.6,73.4,2,72,66,18.0,,74,27.0,41807,2.7,2.8,93.0,19,40,5.0,17,13,17,17,73.9
4,Georgia,Baker,3038,22,36,4.7,26,6,16,50,500.0,23,17,,0.0,33.0,42,28,24,11.0,81,49,4.7,40,6.3,,0.0,9.5,83.0,No,14,87,48,19.5,23.7,43.1,1.2,0.1,0.5,6.4,47.9,1,65,51,,,94,20.0,39515,2.3,2.4,,17,42,31.0,17,18,16,15,79.6
5,Georgia,Baldwin,44890,23,41,6.7,26,64,16,17,844.0,14,16,49.0,38.0,145.0,43,44,24,12.0,86,59,4.2,29,5.7,689.0,7.6,10.2,68.0,No,20,86,26,18.5,16.5,42.1,1.7,0.1,0.3,2.3,52.4,1,58,75,23.0,16.0,91,15.0,44429,2.4,2.5,92.0,16,42,9.0,17,12,16,15,74.9
6,Georgia,Banks,19234,23,33,8.4,36,37,18,6,166.4,27,22,21.0,5.0,,39,47,22,7.0,76,47,2.7,19,4.5,195.0,7.4,10.0,89.0,No,14,81,45,22.2,17.7,2.6,1.1,0.1,0.6,7.2,87.3,1,75,66,15.0,17.0,62,29.0,53481,3.0,2.9,93.0,22,39,1.0,12,9,16,15,75.9
7,Georgia,Barrow,83240,20,39,8.3,23,65,17,18,375.7,22,18,24.0,17.0,17.0,39,49,20,8.0,85,57,2.8,14,3.7,497.0,6.3,10.5,74.0,Yes,13,83,55,25.7,12.7,12.3,4.0,0.1,0.6,12.2,69.4,2,76,84,15.0,20.0,61,28.0,68924,2.9,3.1,86.0,18,39,5.0,11,14,15,13,76.4
8,Georgia,Bartow,107738,21,29,7.2,30,67,17,13,432.2,30,17,39.0,34.0,117.0,38,51,20,8.0,84,57,3.3,16,4.3,468.0,7.0,10.4,77.0,No,15,82,44,23.8,14.4,10.8,1.0,0.1,0.6,9.2,76.9,2,66,80,17.0,19.0,54,27.0,60254,3.0,3.1,88.0,17,38,14.0,12,9,15,14,76.7
9,Georgia,Ben Hill,16700,24,42,5.7,41,39,14,33,700.2,54,16,48.0,42.0,36.0,35,36,26,14.0,84,44,5.5,32,4.9,361.0,7.1,9.3,74.0,No,16,89,19,24.5,17.9,36.6,0.9,0.1,0.7,6.3,54.8,1,59,56,21.0,15.0,92,30.0,35931,2.4,2.7,80.0,16,41,13.0,20,21,17,16,73.0
