,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Idaho,,1787065,15,29,7.7,20,79,17,31,382.8,20.0,13,65.0,66.0,218.0,40,43,15,7.0,91,65,2.9,13,4.2,221,7.4,6.6,76.0,,14,79,23,25.1,16.3,0.8,1.6,0.2,1.7,12.8,81.6,2,70,83,15.0,22.0,39,31.0,60830,3.0,3.1,80.0,13,33,7,11,9,12,11,79.4,57,57,57,57,57
1,1,Idaho,Ada,481587,15,25,8.6,15,89,20,34,463.4,12.0,9,95.0,81.0,299.0,45,49,13,7.0,95,74,2.5,10,4.3,231,8.0,6.2,63.0,Yes,13,81,20,23.2,14.9,1.3,2.7,0.2,0.8,8.5,84.3,1,69,84,13.0,20.0,27,22.0,72295,3.2,3.3,78.0,9,33,4,9,8,12,10,81.0,57,57,57,57,57
2,2,Idaho,Adams,4294,21,32,7.7,19,33,20,13,192.9,,16,24.0,47.0,70.0,35,36,19,10.0,90,52,6.8,21,3.6,117,7.1,5.6,147.0,No,14,70,29,17.3,29.9,0.3,0.9,0.4,1.4,3.6,91.6,0,80,74,,,45,34.0,50042,2.4,2.4,,16,35,5,13,15,15,13,80.1,57,57,57,57,57
3,3,Idaho,Bannock,87808,19,31,7.7,22,75,19,29,355.3,21.0,12,76.0,101.0,411.0,35,45,17,8.0,92,67,2.8,15,4.6,254,6.2,7.1,92.0,Yes,15,77,13,25.9,14.7,0.9,1.6,0.3,3.8,8.9,83.4,1,68,85,20.0,30.0,43,32.0,53306,3.1,3.2,89.0,12,34,8,12,11,14,12,77.1,57,57,57,57,57
4,4,Idaho,Bear Lake,6125,18,30,7.9,26,49,19,40,82.9,21.0,11,83.0,49.0,65.0,32,24,17,9.0,94,56,2.9,15,4.3,176,0.0,5.9,83.0,No,11,72,22,26.9,20.7,0.3,0.5,0.1,1.1,4.3,93.1,0,77,85,,,40,9.0,54550,2.9,2.8,78.0,11,35,7,12,11,14,13,78.4,57,57,57,57,57
5,5,Idaho,Benewah,9298,22,30,7.1,28,72,18,30,457.3,36.0,15,54.0,97.0,258.0,34,28,20,7.0,88,46,5.2,23,3.7,272,5.4,7.9,111.0,No,15,79,28,22.1,22.8,0.4,0.4,0.1,8.4,3.8,84.6,0,73,72,28.0,33.0,55,49.0,49303,2.4,2.5,,15,36,10,14,13,16,14,74.4,57,57,57,57,57
6,6,Idaho,Bingham,46811,19,34,8.1,23,45,17,32,259.1,26.0,15,32.0,45.0,137.0,35,31,19,8.0,89,64,2.7,14,3.9,163,2.4,7.2,86.0,Yes,12,75,27,30.4,14.5,0.3,1.0,0.2,7.3,17.9,73.9,2,77,85,16.0,24.0,46,35.0,59959,3.0,2.9,90.0,15,35,8,10,11,15,13,77.2,57,57,57,57,57
7,7,Idaho,Blaine,23021,15,17,8.2,14,78,21,42,304.2,12.0,18,102.0,83.0,195.0,42,54,16,7.0,89,49,2.6,8,4.4,173,9.7,5.4,68.0,Yes,18,76,22,21.1,20.3,0.5,1.2,0.1,1.7,23.5,73.7,7,70,87,11.0,17.0,30,16.0,75778,3.1,3.1,86.0,18,31,8,9,6,13,11,85.3,57,57,57,57,57
8,8,Idaho,Boise,7831,17,30,6.3,25,80,20,43,164.6,12.0,14,13.0,,64.0,42,37,15,7.0,94,62,4.3,17,4.2,164,7.9,6.8,84.0,Yes,13,68,62,16.3,26.3,0.4,1.0,0.2,1.3,5.2,90.1,1,83,79,,32.0,37,,64443,3.3,3.2,,14,34,26,11,14,13,11,82.3,57,57,57,57,57
9,9,Idaho,Bonner,45739,19,25,7.7,19,79,21,26,254.8,20.0,15,54.0,55.0,212.0,32,35,17,7.0,91,59,4.2,18,4.5,166,10.1,9.2,90.0,Yes,18,73,36,19.7,25.4,0.3,0.8,0.2,0.9,3.4,92.6,0,76,76,23.0,27.0,35,30.0,56729,2.9,3.1,84.0,15,31,7,13,10,14,12,79.6,57,57,57,57,57
10,10,Idaho,Bonneville,119062,16,29,8.2,20,84,16,20,274.9,25.0,11,39.0,87.0,294.0,42,49,17,8.0,92,67,2.4,11,4.1,274,4.2,7.3,80.0,Yes,14,79,12,30.3,13.5,0.6,1.1,0.1,1.3,13.4,82.5,1,70,88,16.0,24.0,35,29.0,65165,2.9,3.0,79.0,11,35,7,10,10,14,12,77.8,57,57,57,57,57
11,11,Idaho,Boundary,12245,19,27,7.6,27,86,19,20,134.2,21.0,18,42.0,57.0,139.0,23,26,18,5.0,92,44,4.4,22,3.8,94,7.5,6.5,78.0,Yes,15,79,32,23.0,23.1,0.6,1.0,0.1,2.0,5.1,90.0,0,77,74,,27.0,53,4.0,50709,2.7,2.9,78.0,18,34,7,13,9,15,13,79.3,57,57,57,57,57
