,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Illinois,,12671821,16,30,8.7,22,91,22,31,604.0,19,8,81.0,81.0,245.0,43,49,16,8,89,70,4.0,16,5.0,403.0,10.0,8.7,65,,17,73,42,22.2,16.1,14.1,5.9,0.1,0.6,17.5,60.8,4,66,83,11.0,11.0,49,53.0,69212,2.9,3.0,87.0,8,34,4.0,10,10,12,10,79.4
1,Illinois,Adams,65435,21,38,8.5,29,82,22,26,360.8,25,6,94.0,76.0,275.0,52,42,17,8,93,66,3.4,18,4.0,346.0,14.8,8.6,83,Yes,12,83,16,22.6,20.7,3.8,0.9,0.0,0.3,1.8,91.4,0,72,78,12.0,19.0,53,39.0,55942,2.7,2.8,92.0,6,34,3.0,10,13,14,12,78.3
2,Illinois,Alexander,5761,27,18,5.9,19,58,17,20,475.1,52,7,17.0,52.0,469.0,40,37,26,9,87,42,6.2,39,4.2,1316.0,13.2,9.2,118,No,17,83,50,22.2,23.1,31.3,0.3,0.2,0.5,1.9,63.7,0,74,57,,,99,53.0,37408,2.2,2.0,,7,40,13.0,20,5,18,17,73.5
3,Illinois,Bond,16426,21,28,8.5,22,63,21,31,277.3,18,6,60.0,18.0,152.0,44,46,18,8,89,65,3.8,17,4.6,39.0,12.6,8.7,92,Yes,13,79,38,19.1,19.4,6.2,0.8,0.0,0.7,3.6,87.4,0,76,78,,,48,41.0,53447,3.1,3.0,92.0,6,35,3.0,10,7,14,13,78.6
4,Illinois,Boone,53544,19,34,8.7,26,89,21,29,383.1,16,8,54.0,34.0,43.0,41,49,18,7,86,58,5.6,12,4.2,171.0,7.1,9.1,53,No,13,82,38,24.5,16.1,2.4,1.5,0.1,0.8,22.8,71.9,3,81,86,6.0,8.0,48,19.0,72426,2.6,2.7,92.0,8,34,5.0,9,9,14,12,79.7
5,Illinois,Brown,6578,22,21,8.0,21,76,22,0,104.2,27,4,15.0,,319.0,50,31,19,6,83,46,2.4,13,4.7,134.0,13.7,8.1,45,No,7,84,20,15.9,14.1,18.5,0.3,0.0,1.3,6.9,73.4,1,75,75,,,46,,60254,2.9,3.0,,4,37,13.0,9,8,14,12,78.0
6,Illinois,Bureau,32628,20,32,7.9,34,78,22,34,291.8,17,7,52.0,37.0,64.0,45,43,17,6,91,59,4.6,14,4.0,132.0,15.2,8.8,95,Yes,10,83,20,21.1,22.5,0.8,1.1,0.0,0.5,9.5,87.3,1,77,79,9.0,18.0,49,42.0,57935,3.0,3.1,86.0,7,33,11.0,10,14,14,12,79.3
7,Illinois,Calhoun,4739,22,30,8.2,21,30,22,0,227.6,12,6,21.0,21.0,,36,43,17,6,92,67,4.8,13,5.0,,0.0,8.8,54,No,11,83,63,20.2,24.1,0.4,0.3,0.0,0.2,1.4,97.1,0,87,70,,,38,,63373,3.3,3.5,,6,35,4.0,11,10,15,13,82.4
8,Illinois,Carroll,14305,21,29,8.3,25,71,23,38,227.3,21,7,28.0,28.0,126.0,34,50,16,5,91,60,4.1,17,3.9,47.0,16.8,8.6,79,Yes,10,83,34,19.3,25.8,1.1,0.6,0.0,0.5,3.9,92.8,0,77,80,,,42,22.0,56468,3.4,3.3,94.0,7,34,6.0,10,10,14,12,79.4
9,Illinois,Cass,12147,22,33,8.6,24,60,20,28,463.8,35,9,,58.0,593.0,39,43,21,9,84,47,4.1,16,4.0,518.0,14.7,8.4,78,No,10,82,27,24.4,18.3,4.1,0.8,0.2,0.7,19.3,74.6,7,75,76,,16.0,67,42.0,51011,2.6,2.6,86.0,9,36,3.0,10,7,15,14,77.3
10,Illinois,Champaign,209689,17,30,8.2,22,84,21,26,781.8,12,6,96.0,65.0,264.0,44,50,16,9,95,79,3.8,19,6.3,487.0,11.9,7.6,62,Yes,21,71,13,18.7,13.3,13.4,10.9,0.1,0.4,6.3,66.6,2,53,83,7.0,12.0,50,40.0,53485,2.8,2.8,87.0,6,35,4.0,11,9,13,12,80.5
11,Illinois,Christian,32304,22,36,8.5,32,67,22,37,235.6,28,6,40.0,25.0,62.0,46,43,18,9,90,56,4.8,17,4.4,185.0,15.3,8.7,81,Yes,9,82,41,20.1,20.2,1.6,0.6,0.0,0.3,1.7,94.8,0,75,77,11.0,20.0,52,34.0,51573,2.9,3.0,91.0,6,36,3.0,11,11,15,13,77.4
12,Illinois,Clark,15441,22,31,8.3,35,61,22,25,234.7,26,6,38.0,19.0,26.0,36,39,17,8,93,66,4.5,16,4.1,189.0,16.7,8.7,85,Yes,8,81,30,22.3,20.2,0.5,0.4,0.0,0.2,1.5,96.5,0,77,76,18.0,24.0,44,31.0,58323,3.0,3.0,91.0,6,35,3.0,11,11,15,13,77.3
13,Illinois,Clay,13184,23,28,8.0,35,52,21,30,226.1,38,7,15.0,53.0,129.0,46,38,18,7,88,58,4.5,18,4.4,60.0,21.1,8.7,68,No,11,85,28,22.6,20.8,0.5,0.9,0.0,0.3,1.6,95.8,1,75,78,,15.0,54,21.0,49377,3.1,3.0,82.0,7,35,3.0,13,15,15,13,78.1
14,Illinois,Clinton,37562,20,31,8.7,21,64,22,11,316.4,15,6,40.0,32.0,51.0,48,41,16,7,90,69,3.1,9,3.9,146.0,12.0,9.1,61,No,9,84,41,21.1,18.0,3.5,0.6,0.1,0.4,3.2,91.2,0,80,77,6.0,10.0,35,29.0,67201,3.3,3.4,89.0,6,35,5.0,9,7,14,11,79.9
15,Illinois,Coles,50621,22,33,7.6,25,77,20,30,617.6,16,7,69.0,53.0,354.0,44,44,19,8,91,68,4.0,18,5.2,278.0,14.1,8.7,57,No,14,77,18,17.9,17.5,3.9,1.1,0.1,0.3,2.7,90.7,0,61,79,7.0,9.0,53,42.0,50467,2.6,2.8,94.0,7,34,6.0,13,13,15,13,78.9
16,Illinois,Cook,5150233,16,28,8.7,21,99,22,28,830.3,22,10,95.0,95.0,290.0,41,48,18,9,87,71,3.8,18,5.5,620.0,7.3,10.0,64,Yes,22,61,53,21.6,15.1,23.0,7.9,0.1,0.7,25.6,42.0,7,57,81,15.0,9.0,61,51.0,69375,2.8,3.0,84.0,10,36,2.0,10,10,12,11,79.7
