,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Indiana,,6732219,22,34,7.0,27,75,19,19,523.9,25,10,67.0,57.0,168.0,42,52,18,8,89,63,3.3,15,4.3,385.0,12.3,9.0,80,,13,83,32,23.3,16.1,9.6,2.6,0.1,0.4,7.3,78.4,1,69,80,14.0,15.0,49,54.0,57617,3.2,3.1,88.0,10,38,7.0,13,12,15,12,77.1,99.5,99.5,99.5,99.5,99.5
1,1,Indiana,Adams,35777,26,36,8.1,31,60,17,18,219.8,26,12,39.0,39.0,48.0,37,48,21,7,85,52,2.7,21,4.0,,14.6,9.2,57,No,18,74,25,31.4,15.9,0.5,0.4,0.0,0.3,4.5,93.6,1,77,71,6.0,7.0,40,36.0,53532,3.0,3.0,98.0,12,36,3.0,12,8,17,15,78.9,99.5,99.5,99.5,99.5,99.5
2,2,Indiana,Allen,379299,22,34,7.5,23,78,16,35,684.1,26,10,70.0,66.0,194.0,43,52,19,9,89,67,3.1,13,4.1,296.0,11.6,8.9,78,No,12,84,20,25.6,14.9,11.5,4.6,0.1,0.5,7.7,73.1,2,68,84,15.0,13.0,48,48.0,56838,3.1,3.1,90.0,10,36,10.0,13,11,15,12,77.2,99.5,99.5,99.5,99.5,99.5
3,3,Indiana,Bartholomew,83779,21,32,7.7,25,64,16,11,342.5,30,10,71.0,76.0,158.0,39,59,17,8,91,69,2.5,16,4.1,96.0,10.3,8.6,75,No,12,84,20,23.7,16.5,2.1,8.5,0.1,0.5,7.2,80.5,2,71,81,10.0,16.0,44,33.0,71181,3.2,3.1,91.0,10,35,9.0,12,12,14,12,78.3,99.5,99.5,99.5,99.5,99.5
4,4,Indiana,Benton,8748,25,36,8.0,29,58,18,0,209.0,25,10,,46.0,23.0,42,55,21,6,90,62,3.2,13,3.7,,8.1,8.3,72,No,10,81,48,25.0,18.0,0.8,0.2,0.1,0.3,5.4,92.1,1,74,78,,,47,22.0,55016,3.5,3.1,98.0,10,38,1.0,14,16,17,14,79.1,99.5,99.5,99.5,99.5,99.5
5,5,Indiana,Blackford,11758,26,29,8.0,28,58,18,43,350.7,35,9,67.0,17.0,26.0,37,53,20,9,89,52,4.0,18,3.5,49.0,17.6,8.8,106,No,12,85,37,21.5,21.9,0.7,0.6,0.0,0.3,1.8,95.2,0,75,73,,,56,41.0,46811,3.2,3.1,93.0,9,38,1.0,14,14,17,14,75.7,99.5,99.5,99.5,99.5,99.5
6,6,Indiana,Boone,67843,17,27,9.0,21,77,21,16,223.1,12,7,212.0,47.0,113.0,45,59,13,7,94,80,2.5,6,4.2,187.0,11.8,9.7,71,Yes,10,84,41,26.0,13.8,2.0,3.4,0.0,0.3,3.2,89.7,1,77,87,12.0,16.0,19,35.0,84137,3.7,3.5,96.0,7,33,1.0,9,10,12,10,78.6,99.5,99.5,99.5,99.5,99.5
7,7,Indiana,Brown,15092,22,32,8.6,23,63,19,0,106.4,17,11,33.0,7.0,60.0,37,50,17,7,92,60,3.0,15,4.7,187.0,10.5,8.3,88,No,15,81,55,17.3,25.4,0.6,0.5,0.0,0.6,1.8,95.3,1,84,77,20.0,24.0,52,43.0,59617,3.4,3.3,98.0,11,36,1.0,11,8,15,12,79.1,99.5,99.5,99.5,99.5,99.5
8,8,Indiana,Carroll,20257,23,41,8.4,31,52,18,25,259.5,20,10,15.0,39.0,74.0,36,53,18,7,88,54,3.0,12,3.9,,12.9,9.1,70,Yes,8,85,46,22.1,20.0,0.8,0.2,0.0,0.4,4.3,93.7,1,81,77,12.0,16.0,48,36.0,58965,3.3,3.2,95.0,10,35,1.0,12,10,15,13,80.1,99.5,99.5,99.5,99.5,99.5
9,9,Indiana,Cass,37689,24,35,8.2,30,73,17,13,468.5,36,12,42.0,24.0,257.0,43,53,22,8,85,48,3.5,16,4.1,70.0,13.4,9.1,82,No,12,84,23,22.9,18.3,1.7,2.1,0.2,1.2,16.5,78.4,4,74,76,15.0,20.0,55,44.0,51777,3.0,3.0,97.0,12,37,1.0,13,17,16,14,76.3,99.5,99.5,99.5,99.5,99.5
