,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Iowa,,3155070,17,34,8.5,23,83,26,27,466.7,18,6,74,69.0,165.0,52,54,13,7,92,70,2.7,13,4.2,282.0,15.0,7.5,68,,12,81,21,23.0,17.5,3.9,2.7,0.2,0.5,6.3,85.0,2,71,81,9.0,15.0,43,47.0,61807,3.1,3.1,91.0,6,33,6,10,10,11,9,79.4,136,136,136,136,136
1,1,Iowa,Adair,7152,20,29,8.9,25,72,25,29,269.4,16,5,42,56.0,,46,39,14,6,94,61,2.4,13,4.2,103.0,9.9,7.3,104,No,8,80,34,21.8,23.0,0.6,0.5,0.0,0.3,2.5,95.1,0,74,72,,,52,8.0,57977,2.9,3.0,,5,33,1,9,15,12,10,78.7,136,136,136,136,136
2,2,Iowa,Adams,3602,20,37,8.9,25,54,25,0,189.9,26,7,27,83.0,28.0,51,53,14,6,94,70,1.7,20,3.6,66.0,13.7,7.2,81,No,6,77,24,20.9,23.7,0.5,0.7,0.0,0.5,1.4,96.1,0,82,75,,,49,,53385,3.3,3.2,,7,32,1,9,10,12,10,79.8,136,136,136,136,136
3,3,Iowa,Allamakee,13687,20,41,9.0,24,72,23,55,165.7,21,9,58,29.0,22.0,56,43,16,5,88,61,3.5,16,4.2,39.0,15.9,7.5,82,No,12,77,29,23.5,23.5,1.5,0.5,0.3,0.7,7.1,90.0,2,79,72,,19.0,61,40.0,56240,3.0,3.0,89.0,9,34,2,8,9,12,11,78.1,136,136,136,136,136
4,4,Iowa,Appanoose,12426,21,45,7.9,34,69,23,42,291.5,27,6,72,32.0,121.0,43,39,16,8,90,66,3.6,24,4.7,219.0,12.1,7.6,96,No,14,83,24,22.6,22.9,0.8,0.7,0.1,0.3,2.2,94.6,0,71,70,,16.0,62,29.0,41672,3.0,3.0,91.0,6,33,5,13,15,13,11,77.1,136,136,136,136,136
5,5,Iowa,Audubon,5496,20,32,8.9,21,65,25,29,125.5,18,7,73,36.0,,45,37,14,5,89,71,2.5,17,3.9,70.0,20.0,7.4,153,No,6,81,18,21.1,24.7,0.4,0.7,0.0,0.2,1.9,95.9,0,77,75,,,47,,53197,3.0,3.1,,7,34,3,9,10,12,10,76.4,136,136,136,136,136
6,6,Iowa,Benton,25645,20,37,9.0,24,50,27,14,249.6,13,5,19,23.0,23.0,53,33,13,6,94,69,3.0,8,3.9,,14.4,8.3,87,No,8,84,40,23.2,19.0,0.6,0.4,0.1,0.3,1.6,96.1,0,83,80,11.0,17.0,30,30.0,70023,3.4,3.4,91.0,5,31,3,8,11,11,10,80.1,136,136,136,136,136
7,7,Iowa,Black Hawk,131228,19,31,7.8,22,83,26,18,756.9,17,6,92,74.0,184.0,55,60,15,7,91,71,3.2,15,4.3,511.0,11.9,7.6,62,No,14,81,9,21.7,16.9,9.5,2.5,0.4,0.4,4.6,80.6,2,65,81,8.0,15.0,48,46.0,60010,2.8,2.8,89.0,6,35,11,10,10,12,11,78.4,136,136,136,136,136
8,8,Iowa,Boone,26234,18,39,8.8,23,86,24,46,320.9,15,5,53,42.0,72.0,49,61,13,6,94,71,2.4,11,3.7,277.0,14.0,7.7,75,No,11,83,30,21.1,19.0,1.2,0.5,0.0,0.5,2.7,94.3,1,78,81,10.0,14.0,35,50.0,63975,3.1,3.3,93.0,5,32,4,8,8,12,10,79.5,136,136,136,136,136
9,9,Iowa,Bremer,25062,16,35,9.4,21,82,26,22,297.1,5,4,56,64.0,148.0,55,51,11,6,96,77,2.3,6,3.7,378.0,18.0,8.0,51,No,8,80,28,22.4,19.9,1.1,1.2,0.0,0.2,1.6,94.9,0,83,83,9.0,12.0,24,38.0,67229,3.3,3.2,94.0,4,32,2,7,9,11,9,82.0,136,136,136,136,136
10,10,Iowa,Buchanan,21175,19,39,8.8,28,75,26,23,358.5,12,5,47,38.0,113.0,46,38,13,5,94,72,2.8,14,4.3,48.0,10.4,8.1,71,No,9,79,35,25.9,18.3,0.5,0.6,0.0,0.2,1.7,95.8,0,79,79,9.0,15.0,31,54.0,67906,3.2,3.0,94.0,5,32,5,8,10,12,10,79.1,136,136,136,136,136
11,11,Iowa,Buena Vista,19620,20,36,8.9,27,74,22,20,333.2,28,10,50,61.0,41.0,47,51,18,7,78,49,2.1,14,3.7,311.0,20.6,7.3,44,No,15,71,15,25.7,16.7,2.9,10.0,1.8,0.6,26.4,58.0,11,65,84,,,62,45.0,57048,3.0,2.9,81.0,10,33,4,8,10,12,11,81.6,136,136,136,136,136
12,12,Iowa,Butler,14439,19,33,8.0,26,64,25,43,219.1,13,5,14,28.0,55.0,55,47,13,5,93,69,3.2,13,3.7,10.0,20.6,7.9,72,No,9,82,35,22.2,22.9,0.3,0.9,0.0,0.2,1.4,96.4,0,78,75,,,33,34.0,57080,3.2,3.0,95.0,5,33,13,8,12,12,10,77.7,136,136,136,136,136
13,13,Iowa,Calhoun,9668,20,35,8.9,33,74,25,60,205.2,15,6,72,52.0,21.0,47,43,14,8,94,64,2.6,14,4.1,46.0,24.7,7.5,78,Yes,10,84,26,21.3,23.5,2.4,0.3,0.0,0.5,2.1,93.7,0,79,80,,,42,15.0,57007,3.4,3.3,94.0,6,33,1,9,9,12,10,78.9,136,136,136,136,136
14,14,Iowa,Carroll,20165,19,37,9.2,24,76,26,33,255.9,15,5,89,64.0,99.0,53,63,13,5,94,72,1.9,9,4.4,63.0,19.8,7.5,51,Yes,9,83,13,24.5,20.7,1.2,0.5,0.0,0.3,2.9,94.3,1,76,79,,11.0,42,36.0,61379,3.1,3.2,95.0,5,30,1,8,10,11,10,80.1,136,136,136,136,136
15,15,Iowa,Cass,12836,21,33,8.1,25,77,22,19,273.9,22,7,54,109.0,390.0,45,32,15,5,88,63,2.8,19,4.7,238.0,19.3,7.4,92,No,9,80,17,22.1,23.5,0.4,0.5,0.5,0.5,2.8,94.9,1,69,74,,24.0,48,48.0,53692,3.3,3.2,89.0,7,32,8,10,13,13,11,76.2,136,136,136,136,136
