,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Kansas,,2913314,18,33,6.7,24,80,18,20.0,488.5,24.0,10,78.0,60.0,205.0,45,49,16,7.0,91,70,3.2,14,4.3,365.0,13.6,6.7,76.0,,13,82,21,24.0,16.3,5.7,3.2,0.1,1.2,12.2,75.4,2,66,82,14.0,18.0,47,42.0,62028,3.0,3.1,87.0,10,34,8,13,11,13,11,78.5
1,Kansas,Allen,12369,21,39,6.1,33,78,18,8.0,255.6,26.0,9,64.0,57.0,121.0,31,40,19,7.0,92,61,3.5,24,4.7,319.0,10.4,7.6,81.0,Yes,9,85,15,22.2,21.0,2.1,1.2,0.0,1.0,3.8,89.5,0,71,75,18.0,19.0,52,35.0,46690,3.0,3.2,86.0,9,35,20,15,17,15,13,76.0
2,Kansas,Anderson,7858,22,35,7.5,24,55,20,31.0,166.0,25.0,11,38.0,25.0,51.0,45,28,18,5.0,91,61,3.3,13,4.3,237.0,10.2,7.2,110.0,No,13,75,40,25.7,21.5,0.6,0.7,0.0,0.7,2.1,94.1,0,74,70,,,49,,51352,3.2,3.2,92.0,11,34,8,13,12,15,13,76.2
3,Kansas,Atchison,16073,23,37,7.4,30,74,18,13.0,281.7,21.0,7,49.0,68.0,162.0,40,30,18,6.0,93,65,5.2,17,4.5,288.0,12.4,7.6,84.0,Yes,13,79,24,22.8,17.6,4.7,0.7,0.1,0.8,3.2,88.2,0,69,73,,16.0,61,26.0,51860,3.0,3.1,86.0,7,35,6,15,12,15,13,77.9
4,Kansas,Barber,4427,22,30,7.9,28,55,18,0.0,414.3,28.0,14,45.0,,23.0,35,24,18,6.0,91,62,2.5,20,5.3,297.0,29.1,6.7,104.0,No,10,83,25,23.2,23.1,0.9,0.5,0.0,1.4,4.7,91.3,1,72,77,,,52,8.0,50660,2.7,2.8,,14,36,3,14,10,15,13,75.5
5,Kansas,Barton,25779,21,37,7.3,28,75,18,15.0,336.2,32.0,12,57.0,47.0,237.0,40,32,19,7.0,89,61,3.1,17,4.4,364.0,19.1,6.1,81.0,No,12,84,10,23.6,19.9,1.4,0.3,0.1,1.0,15.3,81.0,2,70,78,17.0,23.0,62,24.0,50754,3.1,3.0,83.0,12,34,9,14,14,15,13,78.5
6,Kansas,Bourbon,14534,23,37,6.9,27,43,17,0.0,284.7,38.0,10,48.0,28.0,69.0,47,51,19,7.0,91,59,4.2,22,4.3,522.0,15.0,7.6,70.0,Yes,12,76,20,25.5,20.2,3.0,1.1,0.0,0.9,2.8,89.7,0,71,74,,,57,25.0,47452,2.5,2.8,87.0,10,37,8,16,14,16,13,76.1
7,Kansas,Brown,9564,21,40,7.9,34,56,18,29.0,248.9,38.0,10,104.0,52.0,335.0,36,28,18,5.0,93,61,3.2,21,3.5,213.0,22.9,7.4,93.0,Yes,9,79,20,25.3,20.7,1.3,0.6,0.1,9.6,5.3,82.2,0,70,75,,,56,34.0,47558,2.7,2.9,86.0,10,34,4,13,13,15,13,74.3
8,Kansas,Butler,66911,19,37,8.0,27,68,17,22.0,288.6,17.0,8,66.0,28.0,120.0,39,51,16,7.0,92,72,3.2,10,3.9,182.0,12.0,7.9,73.0,Yes,13,84,35,25.4,15.7,2.0,1.4,0.1,1.1,5.1,88.2,0,74,82,14.0,22.0,27,25.0,66199,3.2,3.2,89.0,8,36,7,11,10,14,11,77.7
9,Kansas,Chase,2648,20,42,5.3,22,68,18,12.0,223.6,,10,,0.0,,50,40,17,,92,66,2.8,16,4.1,150.0,0.0,6.9,105.0,Yes,8,75,30,19.7,25.9,1.2,0.3,0.0,0.8,4.8,91.3,0,81,71,,,37,,51022,3.1,3.2,,10,34,35,12,11,14,12,79.7
