,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Kentucky,,4467673,24,35,6.9,29,71,17,25.0,436.4,31,7,65.0,67,240.0,40,46,22,9,86,62,4.3,21,5.0,222,10.6,8.7,96,,14,82,31,22.4,16.8,8.2,1.6,0.1,0.3,3.9,84.1,1,67,78,16.0,17.0,57,51.0,52256,3.0,3.1,91.0,7,42,6.0,15,13,17,14,75.6
1,Kentucky,Adair,19202,27,40,7.2,34,60,15,18.0,272.0,22,8,36.0,21,203.0,39,31,27,8,80,47,5.3,30,4.6,40,4.7,8.8,93,No,12,85,31,19.9,19.2,2.8,0.4,0.1,0.3,2.2,93.0,0,76,69,14.0,19.0,69,47.0,37650,2.9,2.8,98.0,8,43,5.0,16,14,19,18,76.5
2,Kentucky,Allen,21315,28,37,7.8,40,37,15,36.0,281.9,35,7,14.0,28,61.0,33,42,26,11,82,50,4.2,24,4.5,102,3.8,8.9,105,No,14,78,42,23.0,18.1,1.2,0.3,0.0,0.3,2.4,94.6,0,75,69,22.0,21.0,62,70.0,47307,3.2,3.2,92.0,7,41,0.0,15,13,18,17,74.8
3,Kentucky,Anderson,22747,22,41,7.8,31,76,17,30.0,288.3,33,6,26.0,48,70.0,39,50,21,8,90,61,3.7,14,3.9,89,10.1,8.7,95,No,11,85,43,23.5,16.3,2.1,0.7,0.0,0.3,1.9,93.4,0,76,78,9.0,17.0,46,28.0,61308,2.9,2.9,98.0,6,43,6.0,12,16,16,15,75.3
4,Kentucky,Ballard,7888,25,38,7.7,36,48,16,19.0,335.9,41,7,,25,13.0,45,51,23,9,87,65,5.7,24,5.1,66,15.0,8.9,127,No,10,92,31,20.9,21.9,3.4,0.5,0.1,0.4,1.5,92.0,0,81,75,27.0,,58,9.0,48053,2.7,2.9,98.0,7,43,2.0,15,17,18,16,76.1
5,Kentucky,Barren,44249,28,36,7.1,38,66,15,20.0,429.2,42,8,77.0,36,156.0,41,49,27,8,83,52,4.5,26,4.6,124,7.5,9.0,90,No,16,82,26,23.5,18.0,4.0,0.8,0.2,0.4,3.4,90.0,0,67,79,18.0,25.0,57,52.0,44859,2.9,3.0,92.0,8,43,4.0,17,15,19,18,75.9
6,Kentucky,Bath,12500,29,46,7.3,40,40,15,40.0,258.5,46,8,8.0,8,296.0,32,40,28,8,77,44,6.2,29,4.4,29,4.0,8.4,120,No,13,80,38,25.6,17.0,1.3,0.4,0.1,0.3,1.7,94.8,0,72,74,24.0,,71,27.0,42248,3.4,3.2,93.0,8,44,0.0,18,14,19,18,72.7
7,Kentucky,Bell,26032,33,39,4.9,35,84,12,21.0,226.8,57,7,49.0,58,27.0,29,37,35,10,70,43,6.4,41,5.1,170,9.8,9.8,138,No,20,79,32,21.0,19.7,2.4,0.4,0.1,0.3,1.2,94.0,0,66,63,19.0,21.0,78,49.0,30940,2.9,3.0,97.0,7,44,12.0,25,17,22,22,71.5
8,Kentucky,Boone,133581,18,37,8.5,23,85,18,28.0,267.7,18,4,63.0,66,109.0,46,55,17,7,93,73,3.4,9,3.9,132,6.2,9.4,73,No,11,83,32,25.8,14.1,3.7,2.4,0.2,0.2,4.4,87.3,2,75,90,9.0,15.0,37,32.0,78806,3.1,3.2,94.0,4,40,6.0,9,12,14,12,78.9
9,Kentucky,Bourbon,19788,25,33,7.4,29,72,16,24.0,384.4,28,8,69.0,71,111.0,43,54,23,8,84,55,3.8,20,4.4,127,9.9,8.8,99,Yes,13,81,37,22.5,19.7,5.6,0.5,0.0,0.4,6.8,85.1,3,63,74,11.0,12.0,64,27.0,47046,2.7,3.0,90.0,8,42,8.0,14,11,17,16,75.9
10,Kentucky,Boyd,46718,25,40,6.7,35,74,14,32.0,187.6,39,6,104.0,71,738.0,40,50,24,10,88,64,5.7,32,5.1,150,16.5,7.7,112,Yes,13,84,25,21.3,20.0,2.8,0.6,0.0,0.3,1.9,93.1,0,69,81,16.0,21.0,56,30.0,50017,2.9,3.1,93.0,6,46,9.0,17,16,18,16,74.2
11,Kentucky,Boyle,30060,24,24,7.0,25,71,16,38.0,310.8,29,6,70.0,93,246.0,36,50,23,8,87,59,4.7,19,5.1,145,13.0,8.7,91,No,13,80,24,19.9,19.6,8.0,1.0,0.0,0.3,3.4,85.2,1,67,78,15.0,21.0,56,34.0,53644,3.2,3.3,98.0,6,42,12.0,14,17,17,15,77.3
12,Kentucky,Bracken,8303,26,35,8.1,30,0,16,42.0,181.4,31,6,24.0,24,24.0,39,36,24,9,86,54,4.9,19,5.8,50,12.1,8.5,154,No,14,78,58,23.5,17.2,0.6,0.1,0.0,0.4,1.7,95.8,0,74,68,,24.0,58,43.0,53289,3.0,3.1,96.0,6,43,0.0,14,10,18,16,73.9
13,Kentucky,Breathitt,12630,31,40,5.2,36,57,13,33.0,154.5,56,7,55.0,16,222.0,27,24,32,12,76,53,7.5,38,7.1,30,3.1,9.0,141,Yes,13,79,47,20.8,17.7,0.6,0.6,0.1,0.2,1.2,96.3,0,71,62,29.0,29.0,75,40.0,33407,2.7,2.9,92.0,7,46,9.0,25,17,22,21,69.6
14,Kentucky,Breckinridge,20477,27,30,7.4,24,43,16,26.0,223.8,33,8,25.0,15,103.0,40,35,24,8,84,47,5.3,25,4.6,62,11.3,8.8,107,No,11,78,44,22.5,19.8,2.1,0.4,0.0,0.5,1.9,93.7,1,81,70,17.0,18.0,57,27.0,46069,3.2,3.3,93.0,8,43,4.0,15,12,18,17,76.5
15,Kentucky,Bullitt,81676,23,36,7.8,27,74,16,25.0,191.9,22,5,19.0,34,91.0,44,53,21,8,88,59,4.1,11,3.7,122,6.4,9.2,87,No,11,85,50,21.6,16.2,1.3,0.6,0.1,0.4,2.3,94.0,0,80,82,16.0,21.0,46,36.0,66335,3.0,3.0,89.0,5,41,9.0,11,16,17,14,78.5
16,Kentucky,Butler,12879,28,35,7.3,31,20,15,19.0,311.7,46,8,8.0,8,70.0,36,45,27,7,80,45,4.8,27,4.5,78,14.1,8.8,121,No,10,83,46,22.7,18.8,0.6,0.3,0.0,0.4,3.4,94.4,2,72,69,16.0,,54,21.0,46305,2.4,2.6,93.0,8,42,4.0,16,13,19,18,73.7
17,Kentucky,Caldwell,12747,25,36,7.5,30,6,17,19.0,253.2,48,6,47.0,39,55.0,38,51,24,9,87,59,5.0,22,5.3,193,16.5,8.5,98,Yes,7,83,39,22.4,21.3,5.4,0.5,0.0,0.3,1.7,90.8,0,76,75,16.0,22.0,59,25.0,44144,3.2,3.1,98.0,6,42,4.0,15,16,17,16,75.7
18,Kentucky,Calloway,39001,22,34,7.5,29,73,16,24.0,328.9,17,7,41.0,44,74.0,36,50,22,7,89,66,4.1,19,5.7,162,11.8,8.5,71,No,18,77,17,17.9,17.5,3.9,1.8,0.1,0.3,2.7,89.8,0,62,82,18.0,21.0,57,32.0,45574,3.6,3.4,97.0,7,40,5.0,15,9,17,16,77.3
19,Kentucky,Campbell,93584,20,35,7.9,25,95,20,33.0,362.2,22,4,67.0,46,153.0,47,56,18,8,91,75,3.5,13,4.9,164,8.4,8.1,104,No,13,80,31,20.8,16.1,2.9,1.1,0.0,0.2,2.2,92.2,0,70,82,8.0,13.0,46,41.0,66520,3.2,3.2,96.0,4,39,8.0,11,11,16,13,77.4
20,Kentucky,Carlisle,4760,27,28,8.0,31,8,15,11.0,144.4,39,8,42.0,21,,42,50,27,6,83,49,4.2,25,4.7,41,10.5,8.8,100,No,13,86,40,23.0,21.6,1.4,0.3,0.0,0.7,2.5,93.1,0,82,80,,,56,,49659,2.8,3.1,,8,43,1.0,14,9,19,18,75.0
21,Kentucky,Carroll,10631,28,26,6.1,28,72,15,11.0,410.7,53,7,28.0,38,66.0,33,39,28,8,78,36,4.0,22,5.5,92,9.3,8.6,108,No,20,82,24,25.8,15.7,1.7,0.6,0.1,0.4,7.0,88.2,1,64,64,,28.0,57,29.0,51672,2.5,2.7,93.0,7,43,18.0,16,13,19,18,72.2
22,Kentucky,Carter,26797,28,42,6.7,39,50,15,29.0,169.5,45,7,22.0,26,190.0,31,45,29,8,79,51,8.3,28,5.9,54,4.4,6.6,107,Yes,11,81,53,22.3,19.4,0.7,0.3,0.0,0.3,1.4,96.4,0,77,60,13.0,15.0,64,56.0,43492,3.2,3.3,100.0,7,45,3.0,20,16,19,19,73.5
23,Kentucky,Casey,16159,29,29,7.0,32,0,15,60.0,165.1,48,8,6.0,12,105.0,29,34,31,8,76,39,4.2,33,5.4,35,5.7,8.7,123,No,9,80,44,22.9,20.4,1.0,0.4,0.0,0.4,2.9,94.4,1,77,69,23.0,34.0,69,27.0,34751,3.1,3.0,98.0,8,46,3.0,18,14,20,20,75.3
24,Kentucky,Christian,70461,26,37,6.5,30,55,15,23.0,803.8,55,7,60.0,153,480.0,37,42,26,9,86,61,5.6,25,4.6,225,13.3,8.3,72,No,16,79,18,27.1,12.7,21.5,1.5,0.3,0.7,8.1,65.2,1,48,76,19.0,17.0,71,39.0,46390,2.8,2.7,91.0,7,44,12.0,17,12,18,17,74.7
25,Kentucky,Clark,36263,24,39,7.8,25,79,16,11.0,441.1,40,6,47.0,61,88.0,40,49,23,9,86,63,3.9,18,4.6,179,10.2,8.9,109,Yes,12,84,38,22.2,18.2,4.7,0.7,0.0,0.3,3.1,90.0,1,67,78,12.0,16.0,59,45.0,55428,3.2,3.2,98.0,6,42,2.0,14,11,17,15,74.8
26,Kentucky,Clay,19901,34,38,5.6,34,99,13,41.0,166.9,55,8,35.0,15,55.0,19,20,36,12,65,35,7.0,43,6.3,81,7.0,9.3,101,No,16,73,51,21.0,15.6,3.9,0.2,0.0,0.2,2.1,92.5,0,68,69,23.0,15.0,73,56.0,30175,3.0,3.4,83.0,8,47,5.0,24,12,22,23,71.7
27,Kentucky,Clinton,10218,30,38,7.5,36,30,14,0.0,194.6,49,9,39.0,20,176.0,27,35,31,10,73,40,5.5,33,4.5,54,4.9,8.6,106,No,10,84,17,22.2,19.7,0.5,0.3,0.4,0.3,2.9,94.9,0,70,56,,,75,35.0,34005,2.6,2.7,98.0,9,44,0.0,17,12,21,21,75.2
28,Kentucky,Crittenden,8806,26,38,7.8,28,7,16,15.0,110.1,41,7,45.0,11,,30,28,25,8,84,51,4.9,32,4.4,82,16.8,8.7,102,No,13,81,33,22.0,21.3,1.0,0.2,0.1,0.4,1.2,96.0,0,82,66,,24.0,61,44.0,44595,3.0,2.8,93.0,7,43,2.0,15,12,18,17,73.7
29,Kentucky,Cumberland,6614,27,34,7.7,22,11,15,30.0,119.3,45,7,45.0,45,227.0,28,15,27,8,82,47,4.2,33,5.3,37,4.5,8.6,111,No,11,78,30,21.0,22.8,2.9,0.2,0.0,0.2,1.5,93.4,0,73,64,,,81,16.0,34897,3.1,3.0,98.0,7,43,1.0,15,13,19,18,74.9
30,Kentucky,Daviess,101511,22,30,7.8,28,79,19,25.0,500.1,36,6,53.0,61,293.0,48,53,21,8,90,66,3.9,20,4.5,177,12.7,8.6,74,No,13,86,19,24.3,17.3,4.9,1.9,0.1,0.2,3.3,87.6,1,68,83,15.0,20.0,58,32.0,52620,3.1,3.2,91.0,6,41,5.0,13,13,17,15,76.8
31,Kentucky,Edmonson,12150,27,40,7.4,25,43,15,9.0,335.4,33,8,8.0,16,41.0,39,47,26,6,78,52,4.9,22,4.6,83,2.4,8.8,77,No,15,82,49,17.8,21.4,1.9,0.4,0.0,0.5,1.5,94.7,0,80,78,,,63,13.0,47482,3.3,3.4,93.0,8,43,1.0,17,15,19,18,75.8
32,Kentucky,Elliott,7517,31,40,6.5,28,42,14,63.0,79.8,57,6,13.0,40,173.0,30,36,31,11,75,39,8.2,32,5.7,26,0.0,8.0,106,No,13,86,54,17.7,20.4,3.7,0.2,0.2,0.3,1.2,93.7,0,75,66,,,71,,34262,2.8,3.0,98.0,6,44,0.0,22,11,20,20,77.4
33,Kentucky,Estill,14106,31,35,6.1,34,63,14,20.0,273.2,41,7,28.0,50,64.0,36,30,31,9,76,40,5.0,32,5.3,45,12.0,8.6,146,Yes,16,78,51,21.4,19.2,0.4,0.1,0.0,0.4,1.3,97.0,0,72,67,27.0,31.0,63,42.0,35004,2.8,2.8,93.0,7,44,5.0,21,15,21,20,71.9
34,Kentucky,Fayette,323152,18,28,7.7,22,99,20,32.0,737.4,18,8,125.0,149,414.0,45,55,19,9,91,77,3.3,17,4.9,369,11.0,8.2,84,No,17,79,21,20.8,13.9,15.1,4.1,0.1,0.3,7.4,70.7,2,54,87,13.0,12.0,46,34.0,58981,3.1,3.1,87.0,8,39,7.0,13,11,15,13,78.6
35,Kentucky,Fleming,14581,28,39,7.3,27,52,17,44.0,166.1,34,9,49.0,27,34.0,34,38,25,7,80,55,5.4,33,4.9,55,6.9,8.4,76,No,12,80,36,24.4,18.0,1.4,0.3,0.0,0.1,1.5,95.6,0,73,74,,14.0,61,38.0,43943,3.2,3.1,98.0,9,44,3.0,16,12,19,17,75.0
36,Kentucky,Floyd,35589,29,41,6.2,40,48,13,10.0,193.0,58,7,59.0,67,2408.0,30,34,31,11,75,47,6.4,34,5.9,52,6.7,9.2,118,Yes,16,88,31,21.9,18.8,1.1,0.3,0.0,0.2,0.9,96.8,0,70,72,19.0,19.0,76,42.0,35828,3.4,3.5,97.0,7,45,3.0,22,18,21,20,71.0
