,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Louisiana,,4648794,21,36,5.2,28,75,20,32,774.8,32,9,68.0,56.0,304.0,42,44,21,11,85,57,4.8,26,5.7,541,9.5,8.7,90,,16,83,34,23.4,15.9,32.3,1.8,0.1,0.8,5.3,58.4,1,66,75,21.0,15.0,53,51,51108,,,83.0,9,38,10,16,13,16,14,76.1,108,108,108,108,108
1,1,Louisiana,Acadia,62045,27,41,7.3,32,43,19,25,527.2,44,10,37.0,39.0,85.0,48,49,25,9,79,46,5.3,27,5.9,443,7.9,8.7,83,Yes,13,85,38,25.8,15.8,17.7,0.3,0.0,0.4,2.8,77.3,1,71,77,21.0,16.0,52,48,44728,,,93.0,10,38,1,18,13,19,16,74.9,108,108,108,108,108
2,2,Louisiana,Allen,25627,27,28,6.7,33,73,20,14,308.3,50,9,12.0,27.0,98.0,35,33,24,9,80,40,5.7,26,5.3,124,11.3,8.5,95,Yes,12,86,40,22.4,15.2,22.3,0.6,0.0,2.3,2.3,70.9,2,75,71,17.0,23.0,47,34,47111,,,95.0,9,39,12,16,14,17,15,75.1,108,108,108,108,108
3,3,Louisiana,Ascension,126604,20,35,7.9,25,73,20,36,507.5,21,7,41.0,31.0,103.0,45,50,18,9,89,67,4.1,13,4.7,337,5.2,10.1,67,Yes,11,86,50,26.6,12.3,23.6,1.4,0.1,0.4,6.0,67.5,1,82,87,13.0,13.0,41,37,83072,,,88.0,7,37,8,11,13,15,12,79.5,108,108,108,108,108
4,4,Louisiana,Assumption,21891,27,36,6.3,28,35,20,24,768.0,28,9,13.0,9.0,27.0,41,49,25,11,74,35,6.1,25,6.5,319,4.9,9.0,84,Yes,11,87,51,21.2,18.7,29.3,0.4,0.1,0.8,3.3,65.4,1,78,72,16.0,12.0,58,48,51763,,,94.0,9,39,14,17,20,18,16,77.1,108,108,108,108,108
5,5,Louisiana,Avoyelles,40144,28,45,6.4,36,24,20,41,927.3,56,10,27.0,25.0,182.0,38,41,28,12,77,43,5.8,34,6.4,584,8.4,8.8,97,Yes,14,84,40,23.4,17.3,29.5,0.5,0.1,1.2,2.1,64.9,0,69,68,23.0,22.0,53,29,38316,,,87.0,10,42,9,18,12,19,17,74.0,108,108,108,108,108
6,6,Louisiana,Beauregard,37497,25,38,6.6,33,15,21,21,373.7,41,10,40.0,24.0,69.0,33,42,22,9,85,53,5.2,19,5.2,109,12.3,8.6,74,No,11,82,47,24.9,15.9,11.8,0.7,0.1,1.2,3.8,80.5,0,77,77,15.0,14.0,53,41,55343,,,94.0,10,39,14,15,14,17,15,75.7,108,108,108,108,108
7,7,Louisiana,Bienville,13241,28,47,5.8,27,21,17,24,989.9,46,8,15.0,23.0,340.0,36,39,29,14,84,40,5.9,33,6.9,410,15.8,9.4,66,Yes,12,89,54,22.2,21.7,41.2,0.3,0.0,0.4,2.1,54.5,0,73,65,,,43,41,37198,,,93.0,8,43,12,20,21,19,17,73.8,108,108,108,108,108
8,8,Louisiana,Bossier,127039,20,35,7.5,28,76,19,22,686.3,28,8,44.0,60.0,227.0,46,49,20,11,90,66,4.3,26,4.8,480,7.2,9.9,60,Yes,15,87,23,24.7,14.9,22.7,1.9,0.1,0.6,6.9,65.9,1,63,67,14.0,14.0,42,30,54080,,,86.0,8,39,8,13,10,15,13,77.8,108,108,108,108,108
9,9,Louisiana,Caddo,240204,23,42,6.1,29,85,18,38,1040.2,40,8,116.0,81.0,686.0,43,45,25,14,87,57,5.4,36,5.7,688,12.2,10.0,85,Yes,18,86,19,23.4,17.7,49.6,1.3,0.1,0.5,2.9,44.3,0,60,70,27.0,14.0,53,56,45613,,,81.0,8,41,14,17,14,17,14,74.9,108,108,108,108,108
