,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Maine,,1344212,19,30,8.0,21,70,22,35,325.2,14,10,111,67,495,46,46,17,7,93,68,3.0,14,4.5,126,11.3,6.6,93,,14,79,33,18.5,21.2,1.6,1.3,0.0,0.7,1.8,93.0,1,72,82,11,19,44,38,58824,3.0,3.1,86.0,10,35,4,13,10,16,13,78.7
1,Maine,Androscoggin,108277,22,33,7.8,23,84,21,28,528.6,21,10,87,55,489,42,49,18,8,90,67,3.0,15,4.4,139,8.2,5.6,88,Yes,14,79,34,21.5,18.2,4.3,0.9,0.0,0.4,1.9,90.2,1,64,82,10,20,54,31,58958,2.7,2.7,77.0,10,40,4,14,12,16,13,77.1
2,Maine,Aroostook,67055,23,38,7.2,31,56,16,30,252.8,18,14,110,60,565,55,37,22,8,89,65,4.6,20,5.2,120,10.7,7.4,82,Yes,13,80,20,18.3,24.9,1.1,0.5,0.0,1.9,1.4,93.7,1,72,69,15,17,52,36,40675,3.0,3.1,86.0,14,37,5,16,15,17,15,78.6
3,Maine,Cumberland,295003,14,23,8.3,15,84,25,29,358.6,7,8,168,104,732,45,55,12,7,95,78,2.4,9,4.4,128,13.5,6.5,81,Yes,15,77,31,18.3,19.0,3.1,2.4,0.0,0.4,2.2,90.1,1,69,87,7,14,31,39,75254,3.2,3.3,89.0,8,30,5,11,8,12,10,80.2
4,Maine,Franklin,30199,20,32,8.3,22,47,23,43,240.1,13,11,107,36,295,51,43,16,8,93,63,3.8,17,4.2,111,9.7,6.4,97,Yes,11,76,36,17.7,22.7,0.5,0.5,0.0,0.5,1.3,95.6,0,79,78,17,22,50,22,51136,2.7,2.8,87.0,11,34,1,13,10,15,12,78.1
5,Maine,Hancock,54987,18,27,8.2,18,70,22,46,231.2,15,12,142,51,404,45,52,14,7,94,65,3.5,14,4.4,60,14.0,4.6,94,Yes,15,73,35,17.0,25.3,0.9,1.2,0.0,0.5,1.6,94.5,0,76,82,11,20,43,31,58926,2.8,3.0,87.0,12,30,2,12,10,14,12,79.6
6,Maine,Kennebec,122302,22,32,8.0,22,77,20,44,298.8,14,9,120,85,513,46,48,17,7,93,67,2.9,14,4.5,168,14.7,5.7,98,No,14,80,32,19.1,20.6,0.7,1.0,0.0,0.6,1.7,94.4,0,71,82,12,19,47,26,55358,3.0,3.0,84.0,9,34,3,13,10,16,13,78.1
7,Maine,Knox,39772,18,28,8.0,17,45,22,36,286.5,17,12,101,73,536,48,50,16,7,94,61,2.9,18,4.2,53,14.8,6.6,102,No,15,77,19,17.6,26.0,0.8,0.7,0.0,0.5,1.6,95.0,0,77,85,12,22,42,25,55910,2.9,2.9,86.0,12,32,5,12,8,14,12,79.0
8,Maine,Lincoln,34634,19,25,8.2,19,57,24,35,269.0,18,13,114,35,214,43,37,15,9,93,57,3.0,16,4.2,154,11.6,6.6,97,No,14,78,37,16.8,28.2,0.6,0.8,0.0,0.4,1.3,95.7,0,79,80,12,23,42,32,58619,2.9,2.9,84.0,13,34,1,13,10,15,12,80.2
9,Maine,Oxford,57975,22,32,7.8,24,41,20,45,289.0,19,12,61,36,259,48,34,19,7,92,56,3.6,18,4.2,112,9.0,6.9,93,No,14,83,42,18.2,22.6,0.6,0.8,0.0,0.5,1.5,95.0,0,81,77,13,21,60,34,50344,2.9,2.9,83.0,12,36,2,14,11,16,14,77.5
10,Maine,Penobscot,152148,22,34,7.5,24,63,18,35,367.2,13,12,130,85,561,42,43,19,7,92,67,3.2,14,4.8,86,9.9,8.0,95,No,14,80,26,18.0,19.1,0.9,1.2,0.0,1.3,1.5,93.4,0,69,82,13,19,46,40,50702,3.1,3.1,86.0,12,37,5,14,12,16,14,77.7
11,Maine,Piscataquis,16785,24,36,7.2,27,48,21,31,256.4,20,12,60,30,220,42,34,21,8,90,49,3.7,24,4.7,118,9.5,6.1,109,No,14,79,34,16.8,27.4,0.5,1.1,0.0,0.7,1.5,94.7,0,76,69,17,24,65,22,43509,2.8,2.8,,12,38,2,18,13,17,15,76.7
12,Maine,Sagadahoc,35856,18,24,8.5,18,81,21,21,285.4,15,9,62,59,220,38,41,15,7,94,68,2.3,11,4.0,37,7.0,6.6,80,No,14,81,31,19.0,22.8,0.8,0.9,0.0,0.5,1.9,94.4,0,75,83,16,24,38,21,65841,3.0,3.0,85.0,9,31,3,11,9,14,11,80.0
13,Maine,Somerset,50484,26,34,6.9,27,59,20,31,304.2,25,12,55,18,174,47,43,20,8,88,56,4.5,23,5.0,136,10.5,6.8,113,Yes,16,81,36,18.8,21.3,0.6,0.7,0.0,0.6,1.2,95.4,0,76,76,21,28,65,32,45333,2.7,2.8,84.0,12,38,7,17,12,17,15,76.5
14,Maine,Waldo,39715,20,31,8.0,20,50,23,38,195.8,20,11,73,35,262,45,41,17,7,92,65,3.2,19,4.5,73,7.8,6.7,92,Yes,14,77,41,18.2,23.3,0.6,0.6,0.0,0.5,1.6,95.3,0,79,80,14,24,55,26,51073,2.7,2.9,85.0,11,32,3,13,11,15,12,78.6
15,Maine,Washington,31379,25,34,7.1,27,52,22,44,297.5,24,16,57,48,593,44,34,21,8,89,54,4.6,25,4.8,123,5.7,5.5,127,Yes,13,74,26,18.9,24.8,0.6,0.5,0.0,5.3,2.6,89.3,0,77,74,15,24,61,52,39068,3.1,3.1,,16,38,5,16,12,17,16,76.6
16,Maine,York,207641,17,30,8.4,21,78,24,34,290.9,12,9,75,49,415,50,52,15,7,93,70,2.7,10,3.9,151,7.9,6.6,99,Yes,14,81,42,18.4,21.2,1.0,1.4,0.0,0.4,1.8,93.9,0,74,85,10,19,36,33,66803,3.2,3.2,89.0,9,34,3,11,10,14,11,79.2
