,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Maryland,,6045680,13,32,8.7,22,93,15,29,586.3,16,7,89,79,275,42,52,15,9,90,70,3.6,12,4.5,459,9.0,8.0,82,,16,74,50,22.1,15.9,29.9,6.7,0.1,0.6,10.6,50.0,3,67,86,12.0,10.0,46,55,86644,,,87,7,38,3,11,11,11,10,79.2
1,Maryland,Allegany,70416,20,35,6.7,29,82,17,47,337.9,24,5,61,77,312,48,45,20,9,90,53,5.2,21,4.5,311,17.5,7.5,103,No,14,83,21,17.3,20.6,8.1,1.1,0.1,0.2,1.9,86.7,0,69,75,12.0,19.0,56,37,48170,,,90,5,41,13,15,14,15,14,76.7
2,Maryland,Anne Arundel,579234,14,31,8.7,20,92,20,33,404.0,13,5,68,70,204,41,54,13,8,92,74,3.1,8,3.7,453,8.1,8.2,80,No,13,80,48,22.3,15.0,17.5,4.2,0.1,0.4,8.4,66.7,2,74,91,8.0,13.0,32,40,100916,,,89,5,35,5,9,10,11,10,79.3
3,Maryland,Baltimore,827370,15,31,8.4,23,96,17,25,536.1,14,6,100,78,327,45,55,17,9,91,71,3.7,11,4.2,511,8.4,8.7,103,No,16,79,47,21.6,17.6,29.6,6.3,0.1,0.4,5.8,55.8,2,66,86,13.0,11.0,50,51,76972,,,89,6,38,3,11,11,13,11,78.1
4,Maryland,Calvert,92525,15,31,8.8,21,61,19,30,294.0,10,4,51,51,197,40,54,13,7,95,73,3.2,7,3.4,150,6.3,8.2,82,No,12,83,63,23.0,15.5,12.9,1.9,0.1,0.5,4.4,77.5,0,85,90,8.0,13.0,21,14,111056,,,94,4,35,5,8,12,12,10,79.5
5,Maryland,Caroline,33406,21,41,8.1,31,48,16,28,250.1,21,8,33,57,45,39,49,21,7,84,45,3.6,20,4.4,259,10.2,8.0,99,No,18,84,49,23.6,16.7,13.6,1.2,0.3,0.9,7.8,75.1,2,73,80,14.0,18.0,55,32,60143,,,89,8,40,2,13,15,16,14,76.8
6,Maryland,Carroll,168447,15,31,8.9,23,87,20,23,242.6,7,4,45,59,224,43,56,13,7,93,72,2.9,6,3.8,188,9.7,8.8,87,Yes,11,85,59,21.6,17.3,3.7,2.1,0.1,0.3,3.9,88.3,1,82,87,6.0,13.0,19,25,101810,,,96,4,34,3,8,9,12,10,78.6
7,Maryland,Cecil,102855,19,36,8.1,28,81,18,25,327.0,19,5,42,41,217,39,51,17,8,89,58,4.0,14,4.2,427,6.5,7.8,112,No,13,83,46,22.5,16.2,6.8,1.4,0.1,0.4,4.7,84.6,1,73,84,12.0,18.0,44,39,75307,,,91,5,39,7,11,11,14,12,75.7
8,Maryland,Charles,163257,15,40,8.7,25,77,16,36,690.7,14,5,39,72,168,36,45,15,9,93,66,3.6,9,3.5,357,5.6,8.3,70,No,14,82,66,23.8,12.9,48.9,3.4,0.1,0.8,6.3,37.2,1,77,87,12.0,11.0,36,37,102510,,,93,5,42,5,9,12,12,10,78.6
9,Maryland,Dorchester,31929,21,40,7.4,32,68,15,20,640.5,34,7,47,69,257,46,51,21,10,88,54,4.8,24,4.7,456,10.6,7.9,85,Yes,18,78,42,21.0,22.1,27.9,1.2,0.1,0.5,6.1,62.3,2,68,77,15.0,17.0,100,42,48709,,,82,7,39,6,15,19,15,13,75.6
10,Maryland,Frederick,259547,14,31,8.8,21,92,20,26,334.9,10,6,63,68,233,40,54,13,7,93,74,3.2,7,3.9,249,10.4,8.8,67,No,13,80,49,23.1,14.8,9.9,5.0,0.1,0.5,10.5,71.7,2,75,89,7.0,12.0,26,39,102951,,,92,6,33,3,9,10,12,9,80.6
11,Maryland,Garrett,29014,18,36,8.3,27,73,16,39,130.0,23,7,55,45,162,42,41,17,8,90,56,4.4,18,4.3,223,13.0,5.7,81,No,12,78,32,18.4,23.1,1.1,0.4,0.0,0.2,1.2,96.2,0,79,77,13.0,20.0,46,27,59253,,,90,7,37,1,12,13,15,13,78.3
12,Maryland,Harford,255441,16,32,8.7,24,90,16,24,385.9,10,5,55,65,199,45,55,16,7,93,75,3.3,9,4.1,234,7.6,7.7,82,No,13,84,52,22.2,16.6,14.3,3.1,0.1,0.3,4.8,75.1,1,79,89,9.0,12.0,33,44,91492,,,89,5,38,4,9,11,12,11,79.0
13,Maryland,Howard,325690,9,26,9.2,16,96,15,28,364.4,6,4,192,85,309,47,59,11,8,95,86,2.7,6,3.8,214,8.9,9.7,46,No,13,81,48,24.2,14.3,19.6,19.3,0.1,0.4,7.3,50.3,3,73,94,4.0,9.0,19,20,121329,,,92,4,34,2,7,8,10,7,83.2
14,Maryland,Kent,19422,17,30,8.4,27,57,19,27,376.6,11,8,88,46,185,42,56,16,10,89,62,4.0,18,4.8,220,13.9,6.1,87,No,16,69,37,15.4,27.1,14.4,1.4,0.1,0.4,4.5,77.8,1,69,75,,13.0,52,19,65615,,,93,8,33,0,12,13,13,12,79.0
15,Maryland,Montgomery,1050688,9,22,9.1,16,100,14,21,416.5,11,8,138,124,329,40,55,12,7,91,77,2.9,9,4.5,173,9.0,6.5,40,No,17,65,54,23.1,16.1,18.7,15.6,0.1,0.7,20.1,42.9,7,65,92,3.0,8.0,33,33,110012,,,88,8,34,2,8,8,10,8,84.6
16,Maryland,Prince George's,909327,13,38,8.4,23,98,13,32,877.9,21,11,55,63,159,37,41,18,9,87,62,3.8,13,3.8,423,8.1,8.6,56,No,19,67,61,22.1,13.9,61.7,4.4,0.2,1.2,19.5,12.3,7,62,87,11.0,6.0,66,43,85357,,,78,11,45,4,10,13,12,11,79.6
17,Maryland,Queen Anne's,50381,16,28,9.0,21,82,21,37,249.1,11,5,36,36,105,40,55,13,7,93,68,3.1,7,3.8,233,7.2,8.2,80,No,12,79,56,21.4,19.2,6.1,1.2,0.1,0.5,4.3,86.3,1,81,87,10.0,15.0,24,17,101350,,,96,5,33,3,8,10,12,10,79.8
18,Maryland,St. Mary's,113510,17,37,8.5,23,77,17,43,447.3,14,6,37,52,121,38,47,16,7,90,67,3.3,11,3.9,221,6.5,8.0,67,Yes,12,82,40,23.9,13.4,14.4,2.9,0.1,0.5,5.6,73.5,1,71,84,8.0,12.0,35,42,89123,,,95,6,39,4,10,12,13,11,78.7
19,Maryland,Somerset,25616,22,42,6.5,33,61,15,22,721.5,21,7,35,211,293,41,49,24,9,81,41,6.1,33,5.7,357,11.3,7.5,82,No,25,78,34,16.9,17.3,40.8,1.0,0.1,0.5,4.0,51.4,1,65,74,,,100,36,38731,,,88,7,42,12,17,16,16,15,75.5
20,Maryland,Talbot,37181,16,29,8.4,21,76,20,38,277.6,15,8,100,81,487,49,55,14,7,91,68,3.4,13,4.7,243,12.4,8.0,79,No,16,77,30,18.2,29.7,12.3,1.4,0.2,0.4,7.2,77.4,1,70,86,7.0,15.0,49,24,75714,,,94,8,34,2,11,11,12,10,80.4
21,Maryland,Washington,151049,19,37,7.7,28,75,16,26,380.5,26,6,56,62,252,39,53,18,9,87,57,3.9,17,4.7,312,12.3,7.7,106,No,15,81,39,21.7,17.5,12.0,1.9,0.1,0.3,5.8,77.4,1,66,78,11.0,15.0,49,31,59785,,,93,6,37,6,13,15,15,13,76.8
22,Maryland,Wicomico,103609,19,36,7.4,26,77,16,28,811.3,19,8,62,83,346,43,47,18,9,87,60,4.6,23,4.4,469,9.1,7.8,79,Yes,20,83,26,21.9,16.3,26.7,3.0,0.1,0.4,5.5,62.0,3,58,80,10.0,10.0,63,35,54351,,,83,8,39,9,13,13,15,12,76.7
23,Maryland,Worcester,52276,17,37,7.8,27,90,20,44,381.1,15,7,85,57,249,45,52,16,6,91,67,7.4,16,4.4,334,17.4,7.5,84,No,17,81,30,17.0,28.2,12.7,1.5,0.0,0.4,3.7,80.0,1,75,83,9.0,13.0,43,40,65821,,,93,7,34,4,13,13,13,11,79.7
24,Maryland,Baltimore City,593490,21,35,7.2,26,100,18,21,1310.1,34,7,104,77,494,41,48,21,12,85,65,5.1,31,6.3,1566,9.9,8.8,180,No,22,60,43,20.2,14.5,61.8,2.7,0.1,0.5,5.7,27.7,2,48,74,44.0,9.0,100,62,49780,,,72,7,44,1,18,13,15,13,72.8
