,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Massachusetts,,6892503,14,25,9.2,20,94,24,30,444.0,9,3,103,108,654,54,55,14,8,91,74,2.9,12,5.4,384.0,9.4,6.0,68,,17,70,44,19.6,17.0,7.3,7.2,0.1,0.5,12.4,71.1,5,62,86,4.0,10.0,,47,85700,3.2,3.4,88,3,34,4,9,9,13,11,80.6
1,Massachusetts,Barnstable,212990,16,23,8.5,17,92,26,37,255.8,7,4,94,107,530,55,55,13,7,95,66,3.9,10,4.4,400.0,12.7,5.9,96,No,17,80,27,14.8,31.4,3.2,1.6,0.1,0.7,3.4,89.5,1,80,88,4.0,15.0,,35,82686,3.3,3.4,90,4,33,10,8,10,13,10,79.7
2,Massachusetts,Berkshire,124944,19,27,8.3,20,85,26,28,200.3,12,3,118,90,905,51,53,15,8,91,66,3.5,16,4.8,420.0,10.8,6.7,96,No,15,76,24,16.7,23.9,3.2,1.7,0.1,0.3,5.1,87.7,1,69,82,6.0,14.0,,37,58805,3.0,3.2,87,3,38,6,10,11,15,12,78.2
3,Massachusetts,Bristol,565217,19,29,8.5,24,95,24,30,370.1,13,4,53,69,509,58,54,16,8,86,64,3.7,16,5.4,504.0,8.0,5.5,86,Yes,17,82,40,20.5,17.3,5.0,2.5,0.1,0.6,8.6,81.8,4,63,82,4.0,12.0,,42,69857,3.2,3.3,88,4,36,5,10,10,16,13,78.7
4,Massachusetts,Dukes,17332,15,28,9.3,19,88,26,50,496.4,5,4,52,69,704,48,55,12,5,95,65,4.1,12,4.7,,24.2,5.5,75,No,24,74,3,17.8,25.1,4.3,1.1,0.1,1.3,3.9,86.9,1,72,79,,15.0,,16,76036,3.3,3.5,91,4,34,1,7,8,13,10,81.9
5,Massachusetts,Essex,789034,15,26,8.8,19,96,25,24,432.5,12,4,74,92,594,55,55,15,8,89,67,3.0,12,5.4,368.0,8.8,5.3,73,Yes,19,75,44,21.1,17.6,3.5,3.9,0.2,0.9,22.2,69.0,7,64,86,3.0,10.0,,53,83253,3.2,3.3,87,4,35,4,8,10,13,11,80.2
6,Massachusetts,Franklin,70180,18,28,8.6,20,79,23,23,199.4,12,3,68,67,839,50,56,15,6,93,69,2.7,12,4.4,407.0,12.5,5.4,75,No,16,76,37,17.1,23.1,1.3,1.7,0.2,0.5,4.2,90.4,1,69,82,5.0,13.0,,32,60143,3.0,3.2,82,3,34,6,9,11,14,12,80.3
7,Massachusetts,Hampden,466372,19,31,8.1,26,95,23,32,611.5,20,4,67,90,986,50,53,19,8,86,60,4.1,20,5.6,616.0,8.7,6.4,81,Yes,19,82,29,21.3,17.3,7.8,2.7,0.2,0.8,26.3,61.4,5,61,79,7.0,11.0,,44,59918,3.0,3.1,83,4,36,5,12,10,15,14,78.2
8,Massachusetts,Hampshire,160830,16,21,8.3,17,85,23,27,319.5,2,3,138,73,959,53,60,14,7,95,78,2.7,10,4.7,271.0,9.5,5.0,57,No,16,72,35,14.4,17.9,2.9,5.7,0.1,0.3,5.9,83.3,1,67,88,4.0,11.0,,37,74142,3.1,3.3,91,3,34,10,8,7,14,11,80.6
9,Massachusetts,Middlesex,1611699,12,22,9.2,17,98,23,25,337.6,5,3,126,102,602,54,58,11,7,93,82,2.3,7,4.9,185.0,9.6,7.3,54,Yes,16,67,49,19.6,15.7,5.3,13.1,0.1,0.3,8.3,71.2,4,62,90,2.0,9.0,,33,106543,3.5,3.5,92,3,33,3,7,7,11,10,82.4
