,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Michigan,,9986857,20,32,7.0,23,85,21,29,507.8,18.0,7,79.0,76,281.0,44,47,18,9.0,91,68,4.1,18,4.6,443.0,9.8,7.1,78,,15,82,34,21.5,17.7,13.8,3.4,0.0,0.7,5.3,74.7,1,71,82,12.0,15.0,50,59.0,59522,2.8,3.0,82.0,7,40,6.0,14,11,15,13,78.1,200,200,200,200,200
1,1,Michigan,Alcona,10405,24,32,7.3,23,72,21,50,144.9,21.0,9,58.0,10,58.0,49,30,20,8.0,89,58,6.3,27,4.1,120.0,13.5,6.6,112,No,11,80,36,12.6,36.1,0.5,0.4,0.1,0.7,1.6,95.3,0,89,72,25.0,37.0,68,24.0,41491,2.4,2.8,,9,39,4.0,16,11,17,15,76.9,200,200,200,200,200
2,2,Michigan,Alger,9108,24,36,6.8,25,94,23,0,76.7,16.0,8,77.0,44,66.0,51,32,20,7.0,90,36,7.8,17,4.1,207.0,11.0,5.4,81,No,11,70,33,15.0,26.3,7.2,0.5,0.0,4.5,1.7,83.4,0,84,74,,,57,21.0,52285,2.7,2.9,,8,39,14.0,14,12,16,14,80.0,200,200,200,200,200
3,3,Michigan,Allegan,118081,21,32,8.8,21,68,23,25,328.0,20.0,5,22.0,35,92.0,42,43,17,7.0,91,58,3.1,16,3.7,246.0,11.0,7.0,66,Yes,11,86,35,23.8,17.0,1.3,0.9,0.0,0.7,7.5,88.1,1,83,79,9.0,14.0,43,32.0,66568,3.1,3.2,84.0,5,37,1.0,10,9,15,13,79.0,200,200,200,200,200
4,4,Michigan,Alpena,28405,24,35,7.8,25,75,22,50,207.3,22.0,6,67.0,92,338.0,47,46,19,8.0,92,68,4.7,18,4.7,304.0,13.8,6.6,83,No,11,85,13,18.7,23.9,0.5,0.6,0.0,0.6,1.5,95.5,0,78,77,12.0,23.0,58,32.0,43676,2.7,2.8,78.0,6,40,2.0,14,12,16,15,77.8,200,200,200,200,200
5,5,Michigan,Antrim,23324,22,32,8.3,28,67,22,29,201.8,19.0,8,64.0,34,34.0,43,49,17,7.0,92,59,5.1,17,3.9,118.0,10.3,6.4,71,No,12,77,35,17.7,28.0,0.3,0.3,0.1,1.3,2.5,94.4,0,87,80,15.0,22.0,55,29.0,58317,2.6,2.8,88.0,8,37,0.0,13,10,15,13,80.9,200,200,200,200,200
6,6,Michigan,Arenac,14883,26,39,6.5,28,70,21,17,265.9,24.0,8,33.0,47,215.0,48,42,21,8.0,88,54,6.6,26,3.9,256.0,7.3,7.1,89,No,11,84,38,18.1,25.8,0.5,0.3,0.1,1.4,2.0,94.3,0,84,72,20.0,19.0,57,24.0,44017,2.7,3.1,90.0,8,39,12.0,17,17,17,16,77.7,200,200,200,200,200
7,7,Michigan,Baraga,8209,26,30,7.4,23,26,20,67,165.9,19.0,8,96.0,73,146.0,43,29,22,6.0,89,47,6.3,18,4.5,333.0,6.0,4.8,98,No,13,82,20,17.0,22.7,7.9,0.4,0.0,14.3,1.7,72.0,0,80,74,,24.0,61,15.0,48371,3.0,2.9,,8,42,5.0,15,15,17,16,76.0,200,200,200,200,200
8,8,Michigan,Barry,61550,22,34,8.8,29,57,22,12,264.1,17.0,6,34.0,28,122.0,45,46,17,6.0,93,58,3.2,11,3.6,171.0,10.1,8.9,67,No,11,85,45,21.9,18.9,0.6,0.5,0.0,0.6,3.1,93.8,0,84,80,13.0,18.0,44,17.0,67703,3.0,3.1,86.0,6,37,1.0,10,15,15,13,79.7,200,200,200,200,200
9,9,Michigan,Bay,103126,21,36,7.4,26,86,22,34,395.2,20.0,7,38.0,68,263.0,46,50,19,7.0,90,67,4.7,20,4.2,328.0,9.9,6.8,79,No,12,86,25,19.9,21.0,1.6,0.6,0.0,0.6,5.5,89.8,0,77,82,11.0,19.0,52,29.0,50130,2.8,3.0,80.0,7,39,8.0,14,10,16,14,77.2,200,200,200,200,200
10,10,Michigan,Benzie,17766,21,32,,29,89,23,35,233.3,20.0,8,62.0,56,146.0,47,54,16,6.0,93,67,5.1,16,3.9,126.0,13.5,6.3,76,No,12,82,37,17.7,27.0,0.6,0.5,0.0,1.5,2.5,93.7,0,90,84,,,58,12.0,56934,,,82.0,8,37,,12,16,15,13,80.0,200,200,200,200,200
11,11,Michigan,Berrien,153401,22,34,7.2,22,87,19,34,622.3,28.0,8,80.0,60,239.0,46,46,19,8.0,90,67,4.0,22,4.9,428.0,12.8,7.3,71,No,14,82,21,21.6,20.3,14.5,2.1,0.1,0.7,5.8,74.8,1,71,75,14.0,16.0,57,56.0,50659,2.8,2.8,62.0,8,42,10.0,14,12,16,14,77.8,200,200,200,200,200
12,12,Michigan,Branch,43517,25,39,8.2,25,62,20,41,299.5,30.0,9,44.0,53,152.0,42,46,21,7.0,89,53,3.9,18,3.7,277.0,11.2,9.0,81,Yes,12,83,25,23.0,18.7,2.2,0.7,0.0,0.5,5.1,90.0,2,74,78,10.0,19.0,59,32.0,52255,2.8,2.8,79.0,9,39,1.0,13,10,16,15,76.8,200,200,200,200,200
13,13,Michigan,Calhoun,134159,22,37,7.3,27,77,20,42,783.6,30.0,6,58.0,69,344.0,47,51,19,9.0,91,57,4.1,20,4.5,644.0,11.3,9.0,100,No,14,82,23,22.6,18.2,10.8,3.0,0.0,0.8,5.5,77.1,1,70,79,15.0,21.0,59,43.0,50205,2.5,2.7,79.0,6,39,8.0,14,15,15,14,76.1,200,200,200,200,200
14,14,Michigan,Cass,51787,22,36,8.1,27,62,22,32,356.2,25.0,8,21.0,33,100.0,41,49,18,7.0,88,61,4.3,20,3.8,223.0,8.9,9.4,72,No,12,82,38,20.6,21.5,5.0,0.8,0.1,1.2,4.1,86.3,0,80,78,15.0,22.0,54,32.0,55029,2.9,3.0,85.0,8,38,3.0,13,16,16,14,78.0,200,200,200,200,200
