,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Minnesota,,5639632,16,29,8.9,20,87,23,30.0,422.6,13.0,5,89.0,75.0,267.0,45,50,13,7,93,75,3.2,11,4.3,236,12.9,6.3,67,,13,78,31,23.1,16.3,6.8,5.2,0.1,1.4,5.6,79.1,2,72,85,8.0,14.0,36,48.0,74529,3.3,3.1,84.0,5,29,6,8,9,11,9,80.9
1,Minnesota,Aitkin,15886,22,30,7.5,27,50,22,17.0,157.9,13.0,7,82.0,31.0,69.0,52,29,16,5,91,62,6.2,20,4.1,112,16.4,5.7,125,No,15,81,36,16.5,33.8,0.5,0.3,0.0,2.7,1.4,93.8,0,82,74,13.0,27.0,46,31.0,51936,3.1,3.1,88.0,7,32,12,12,12,14,12,78.7
2,Minnesota,Anoka,356921,18,31,9.0,20,95,22,36.0,367.1,10.0,4,51.0,64.0,173.0,38,48,13,6,94,73,3.1,8,3.4,127,6.9,6.7,56,Yes,11,82,44,23.7,14.5,7.2,5.0,0.1,0.9,4.9,79.7,2,80,89,8.0,14.0,34,32.0,83363,3.4,3.2,85.0,4,31,6,6,9,12,10,81.5
3,Minnesota,Becker,34423,20,32,7.9,27,65,25,46.0,319.7,19.0,7,73.0,58.0,209.0,48,51,15,7,93,68,4.0,15,4.0,75,16.6,3.8,91,Yes,13,79,26,24.1,21.1,0.6,0.5,0.0,8.1,2.3,86.1,0,79,80,15.0,19.0,41,49.0,61311,3.3,3.1,88.0,7,31,13,9,8,13,11,78.3
4,Minnesota,Beltrami,47188,22,34,7.9,23,80,25,42.0,470.8,31.0,9,92.0,72.0,356.0,49,46,17,6,92,69,4.3,23,4.7,257,12.4,4.9,93,No,14,75,18,25.1,16.5,0.8,0.8,0.1,22.2,2.6,71.7,0,67,80,14.0,19.0,55,52.0,54638,3.0,2.7,68.0,9,31,7,12,10,14,13,77.9
5,Minnesota,Benton,40889,20,30,8.5,20,74,26,30.0,355.6,13.0,4,25.0,37.0,15.0,45,45,15,6,92,71,3.9,10,3.9,142,12.6,6.4,73,No,15,85,24,25.4,14.3,5.1,1.1,0.0,0.6,2.8,88.6,1,67,83,13.0,16.0,34,47.0,63395,3.3,3.0,91.0,4,32,5,10,11,13,11,78.8
6,Minnesota,Big Stone,4991,21,38,7.7,24,70,24,33.0,99.5,14.0,6,140.0,20.0,20.0,60,47,15,7,93,62,4.2,14,4.6,30,26.1,6.7,88,No,11,78,21,21.6,26.8,0.4,0.3,0.0,0.7,2.1,95.5,0,73,77,,,40,,52692,3.4,3.4,,6,32,13,10,11,13,11,81.5
7,Minnesota,Blue Earth,67653,19,34,7.7,22,83,22,16.0,679.4,7.0,4,89.0,93.0,325.0,53,58,15,7,95,77,2.8,13,4.3,200,12.6,7.9,57,No,15,81,16,19.9,14.2,4.2,2.5,0.1,0.4,3.9,87.2,1,62,85,8.0,16.0,34,41.0,60408,3.5,3.3,90.0,4,29,16,9,8,12,11,80.8
8,Minnesota,Brown,25008,20,36,8.8,25,82,25,27.0,234.2,15.0,4,112.0,68.0,216.0,58,49,14,6,94,75,3.6,9,3.6,73,19.9,8.0,65,No,8,82,15,21.8,21.3,0.5,0.9,0.0,0.3,4.6,93.1,1,79,81,12.0,16.0,37,29.0,62904,3.3,3.1,87.0,4,33,6,7,11,12,10,79.8
9,Minnesota,Carlton,35871,21,33,8.3,22,73,24,43.0,304.2,18.0,5,73.0,56.0,151.0,38,53,15,6,94,72,4.5,10,3.7,172,12.0,5.1,76,No,12,84,33,22.3,17.5,1.7,0.6,0.0,6.0,1.8,87.9,0,80,77,8.0,13.0,33,50.0,65749,3.5,3.4,88.0,5,32,7,9,11,13,11,78.9
10,Minnesota,Carver,105089,13,26,9.7,16,96,25,27.0,198.8,5.0,3,88.0,50.0,177.0,40,54,10,6,96,86,2.8,4,3.9,62,9.7,7.0,41,No,10,82,40,26.4,12.6,2.1,3.4,0.0,0.3,4.4,88.3,1,82,91,6.0,12.0,15,29.0,101891,3.5,3.3,96.0,3,27,3,4,8,9,8,83.3
11,Minnesota,Cass,29779,23,33,8.2,27,72,23,48.0,313.4,33.0,10,41.0,67.0,87.0,49,41,16,7,92,65,5.5,20,4.2,236,19.3,5.9,109,No,14,76,29,20.8,26.5,0.4,0.4,0.0,12.4,2.3,83.0,0,81,77,15.0,23.0,58,65.0,54267,3.0,2.9,70.0,10,31,5,11,11,14,12,77.6
12,Minnesota,Chippewa,11800,22,34,8.9,26,65,23,30.0,217.0,27.0,6,92.0,42.0,76.0,49,47,15,5,89,65,3.9,13,4.7,91,30.2,6.3,93,No,9,78,20,24.1,21.8,0.8,1.1,1.4,1.5,8.1,86.0,2,67,74,,17.0,42,27.0,54984,3.2,3.1,78.0,6,32,2,9,16,13,11,78.9
13,Minnesota,Chisago,56579,19,28,9.4,21,79,26,29.0,240.5,12.0,4,45.0,42.0,133.0,38,49,12,7,95,65,3.8,6,3.2,68,9.8,7.0,60,No,10,81,55,22.7,15.8,1.3,1.4,0.0,0.8,2.4,92.8,0,86,86,7.0,14.0,24,24.0,84811,3.3,3.1,85.0,4,31,2,6,9,12,10,80.2
14,Minnesota,Clay,64222,17,29,9.1,19,87,22,29.0,350.8,9.0,4,22.0,53.0,237.0,53,53,13,7,95,79,3.0,12,4.5,135,11.6,6.0,57,No,14,80,18,24.8,13.4,4.3,1.4,0.1,1.8,4.7,86.0,0,67,81,6.0,13.0,34,35.0,64874,3.3,3.0,83.0,4,30,2,8,8,12,10,80.2
15,Minnesota,Clearwater,8818,24,31,6.7,28,64,22,50.0,236.5,26.0,8,45.0,34.0,23.0,45,28,18,4,86,56,8.2,15,4.7,220,20.4,5.6,88,No,16,78,36,24.7,20.5,0.7,0.3,0.0,9.5,2.4,84.1,0,81,77,,,49,29.0,54896,3.1,2.9,92.0,8,32,15,14,11,14,13,77.2
16,Minnesota,Cook,5463,17,25,8.0,20,99,24,,185.3,,8,148.0,55.0,92.0,36,32,13,9,97,76,4.3,12,3.6,67,20.4,3.7,56,No,18,68,20,15.1,29.3,1.2,1.0,0.0,8.6,2.4,84.6,1,77,81,,,39,31.0,58664,3.2,3.2,,8,29,10,10,11,11,10,82.7
17,Minnesota,Cottonwood,11196,20,38,7.7,27,78,23,36.0,212.5,20.0,7,71.0,63.0,125.0,47,39,15,7,89,59,3.7,15,3.5,117,19.5,8.5,79,No,12,80,20,24.6,23.1,1.2,4.1,0.4,0.9,8.4,84.7,2,78,76,,18.0,48,30.0,53725,3.5,3.3,,7,32,14,10,13,12,11,80.1
