,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Mississippi,,2976149,21,39,4.1,30,54,15,20,740.1,34.0,14,53.0,49.0,169.0,39,43,22,12,85,60,5.4,28,5.3,279.0,12.7,8.7,88.0,,15,85,33,23.5,16.4,37.4,1.1,0.1,0.6,3.4,56.4,1,68,72,21.0,14.0,74.0,47.0,45928,3.0,3.0,84.0,14,38,11.0,19,15,16,14,74.9,68,68,68,68,68
1,1,Mississippi,Adams,30693,25,38,5.2,29,69,13,29,812.8,48.0,17,90.0,49.0,101.0,45,44,31,13,78,46,7.1,41,6.0,304.0,14.4,8.2,120.0,No,14,87,16,19.9,19.6,52.6,0.6,0.0,0.5,10.1,35.5,6,62,73,31.0,11.0,100.0,44.0,34583,2.7,2.4,84.0,17,40,13.0,23,15,18,18,73.6,68,68,68,68,68
2,2,Mississippi,Alcorn,36953,25,39,7.1,31,31,16,19,387.0,43.0,16,38.0,54.0,287.0,34,44,23,11,81,59,4.7,24,4.7,,11.6,8.5,105.0,No,11,87,25,22.5,18.8,12.2,0.4,0.0,0.4,3.2,82.7,0,69,71,25.0,23.0,62.0,44.0,43496,2.8,3.1,91.0,16,35,5.0,17,17,18,16,73.6,68,68,68,68,68
3,3,Mississippi,Amite,12297,25,40,6.2,41,27,14,18,281.2,31.0,17,16.0,24.0,8.0,39,25,27,11,82,46,7.0,29,6.7,,13.8,8.4,79.0,No,10,83,52,20.3,24.1,39.6,0.2,0.0,0.4,1.3,57.9,0,85,61,,16.0,100.0,16.0,41575,2.3,2.6,78.0,17,40,9.0,19,18,18,16,77.0,68,68,68,68,68
4,4,Mississippi,Attala,18174,24,43,5.8,31,33,14,17,790.2,39.0,15,49.0,33.0,28.0,39,50,27,14,78,52,6.2,35,5.9,,14.7,8.7,105.0,No,16,82,36,24.9,19.5,43.4,0.4,0.0,0.4,2.0,53.0,0,72,68,22.0,15.0,75.0,24.0,36905,3.2,3.0,79.0,15,38,12.0,20,17,18,17,74.1,68,68,68,68,68
5,5,Mississippi,Benton,8259,26,43,5.2,38,80,14,14,457.2,54.0,15,12.0,24.0,36.0,31,43,27,11,73,44,6.1,31,4.3,,8.5,8.3,131.0,Yes,9,88,49,21.3,19.0,35.5,0.1,0.0,0.4,2.6,60.1,1,81,59,,,81.0,39.0,37875,3.4,3.1,88.0,15,41,22.0,19,20,18,17,73.5,68,68,68,68,68
6,6,Mississippi,Bolivar,30628,25,40,3.9,32,39,14,13,851.5,40.0,16,51.0,42.0,59.0,34,41,30,14,78,59,7.0,49,6.9,,15.3,8.7,78.0,No,20,84,25,24.4,16.3,63.2,1.1,0.0,0.2,2.2,32.7,1,54,61,23.0,6.0,94.0,55.0,30309,2.5,2.7,83.0,16,40,24.0,24,15,19,19,71.5,68,68,68,68,68
7,7,Mississippi,Calhoun,14361,26,37,6.6,39,38,15,26,696.9,39.0,19,14.0,21.0,7.0,34,43,27,12,78,46,5.5,26,4.7,,15.2,8.8,106.0,Yes,13,88,40,23.2,19.5,27.9,0.2,0.0,0.4,6.3,64.3,1,75,64,,,78.0,23.0,38648,3.1,3.1,88.0,19,39,4.0,20,19,18,17,75.4,68,68,68,68,68
8,8,Mississippi,Carroll,9947,23,29,5.8,34,21,15,11,532.6,35.0,16,20.0,20.0,,41,44,23,13,80,54,6.3,24,5.8,,7.1,8.4,77.0,No,16,90,39,18.7,24.2,32.7,0.3,0.0,0.3,1.6,64.2,0,81,62,26.0,,91.0,17.0,44885,2.5,2.7,73.0,16,38,20.0,17,17,16,14,77.6,68,68,68,68,68
9,9,Mississippi,Chickasaw,17103,25,44,7.1,33,23,14,7,851.5,50.0,17,52.0,29.0,23.0,38,41,29,13,75,49,5.6,33,5.0,,10.5,8.9,99.0,No,17,85,37,24.9,17.5,43.9,0.5,0.0,0.4,5.4,48.7,1,70,61,17.0,,87.0,16.0,37533,3.1,2.9,85.0,17,40,2.0,18,18,18,17,74.4,68,68,68,68,68
