,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Missouri,,6137428,20,33,7.0,26,77,21,27,568.1,24.0,11,70.0,60.0,204.0,44,47,19,8,90,67,3.3,17,4.5,481.0,11.6,8.1,91,,13,82,32,22.3,17.3,11.6,2.2,0.2,0.6,4.4,79.1,1,67,80,20.0,19.0,50,57.0,57375,3.0,3.0,91.0,11,35,7,13,11,15,13,77.3,17,17,17,17,17
1,1,Missouri,Adair,25343,22,29,7.2,29,78,18,25,338.9,11.0,13,91.0,71.0,229.0,42,53,21,9,90,66,3.9,19,6.4,248.0,11.8,7.8,64,Yes,18,78,16,17.9,15.1,3.2,2.6,0.1,0.4,2.6,89.4,2,60,75,13.0,18.0,30,30.0,43044,2.5,2.8,91.0,13,35,9,14,8,16,15,76.9,17,17,17,17,17
2,2,Missouri,Andrew,17712,20,29,8.5,20,64,20,11,262.0,18.0,9,11.0,23.0,23.0,41,50,18,6,92,66,2.8,11,4.3,184.0,8.5,7.9,65,No,10,87,26,22.9,19.4,1.1,0.6,0.0,0.3,2.7,93.9,0,80,76,14.0,17.0,34,53.0,62823,3.1,3.2,96.0,9,33,3,10,9,15,13,80.1,17,17,17,17,17
3,3,Missouri,Atchison,5143,21,37,8.0,18,76,20,29,94.8,11.0,12,39.0,39.0,58.0,40,48,18,5,91,61,3.7,18,4.2,103.0,29.0,7.5,95,No,8,82,22,20.2,26.2,0.4,0.4,0.1,0.4,1.5,96.1,0,70,75,,,42,,50516,3.5,3.5,,12,36,5,12,16,15,13,78.1,17,17,17,17,17
4,4,Missouri,Audrain,25388,25,34,7.6,30,73,18,13,694.2,30.0,13,51.0,39.0,209.0,48,32,22,9,86,47,3.4,24,3.6,183.0,9.0,8.4,70,No,9,82,30,22.5,18.2,6.7,0.5,0.1,0.6,3.3,87.2,1,68,74,15.0,23.0,78,27.0,45609,3.0,2.9,86.0,13,37,6,14,12,17,15,75.8,17,17,17,17,17
5,5,Missouri,Barry,35789,25,40,7.4,34,49,18,29,213.1,38.0,18,64.0,31.0,73.0,41,36,24,7,84,48,3.5,30,4.3,242.0,14.2,8.6,93,No,15,79,29,22.7,21.0,0.5,2.4,0.2,1.3,9.9,84.5,3,74,67,15.0,17.0,62,23.0,47155,2.6,2.8,95.0,18,36,5,15,13,17,16,76.3,17,17,17,17,17
6,6,Missouri,Barton,11754,25,29,6.8,29,35,19,29,379.7,36.0,15,34.0,9.0,68.0,38,41,23,8,87,56,3.4,22,4.9,283.0,11.0,7.8,64,Yes,12,83,34,23.2,21.2,0.5,0.6,0.1,1.6,2.9,92.4,0,70,68,,,55,45.0,46397,2.8,2.9,89.0,15,36,11,16,13,17,16,78.3,17,17,17,17,17
7,7,Missouri,Bates,16172,25,38,8.2,25,37,19,6,183.7,31.0,13,18.0,37.0,56.0,38,32,21,7,87,53,4.0,25,4.3,473.0,12.9,7.4,104,Yes,11,74,49,23.0,19.6,1.2,0.3,0.1,0.9,2.3,93.8,0,73,70,,16.0,54,9.0,48442,3.0,3.1,91.0,13,36,1,13,15,17,15,76.1,17,17,17,17,17
8,8,Missouri,Benton,19443,25,34,7.1,30,31,18,31,194.0,32.0,16,26.0,31.0,77.0,43,39,22,7,84,46,4.8,29,4.2,435.0,14.5,7.6,126,Yes,15,77,39,17.3,31.2,0.5,0.4,0.1,0.8,2.1,94.5,0,82,71,30.0,37.0,78,28.0,42144,3.0,3.0,92.0,16,36,5,17,15,17,16,75.5,17,17,17,17,17
9,9,Missouri,Bollinger,12133,27,38,6.9,32,26,18,38,243.8,29.0,16,8.0,25.0,33.0,42,40,24,7,80,43,3.9,21,4.3,438.0,9.9,8.7,74,No,13,71,52,21.2,21.1,0.5,0.2,0.0,0.9,1.5,95.9,0,81,71,18.0,,56,18.0,45868,2.8,2.9,94.0,16,36,11,15,14,18,16,77.4,17,17,17,17,17
