,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Montana,,1068778,19,27,7.4,22,75,22,45.0,468.1,23.0,10,81.0,74.0,317.0,43,43,14,7.0,94,68,3.5,15,4.4,346.0,14.3,5.1,93.0,,15,76,17,21.4,19.3,0.5,0.9,0.1,6.7,4.1,85.9,0,68,81,20.0,27.0,39,49.0,57248,3.0,3.1,85.0,10,31,8,10,9,12,11,78.9
1,Montana,Beaverhead,9453,19,27,8.0,20,80,23,27.0,487.6,12.0,12,149.0,63.0,201.0,50,56,14,8.0,95,70,2.9,17,5.1,107.0,10.6,5.6,81.0,Yes,15,72,13,17.4,22.3,0.3,0.5,0.6,1.9,5.5,89.5,1,68,76,21.0,30.0,48,12.0,49771,3.1,3.1,88.0,12,32,9,10,7,13,11,82.0
2,Montana,Big Horn,13319,29,39,5.3,25,59,19,71.0,1257.5,80.0,16,52.0,53.0,90.0,32,41,26,8.0,90,52,7.4,32,4.6,533.0,6.0,5.8,195.0,No,23,69,25,33.5,13.3,0.4,0.7,0.0,66.4,6.6,26.5,1,63,66,27.0,24.0,66,50.0,43718,2.1,,71.0,16,37,25,16,17,18,18,68.2
3,Montana,Blaine,6681,28,39,5.6,27,39,20,63.0,924.3,47.0,16,59.0,75.0,210.0,30,28,23,8.0,90,60,3.5,27,4.7,133.0,8.8,5.2,144.0,Yes,17,76,21,29.5,15.8,0.4,0.2,0.0,50.6,3.7,43.8,0,58,70,,42.0,56,79.0,44090,3.0,2.9,,16,37,20,18,15,18,16,73.9
4,Montana,Broadwater,6237,19,29,8.4,23,60,23,30.0,269.5,19.0,10,33.0,32.0,80.0,40,46,14,4.0,93,59,4.0,12,3.8,438.0,6.6,4.9,74.0,No,9,82,45,19.6,24.0,0.4,0.3,0.1,1.5,2.9,93.3,0,83,73,,,38,11.0,60622,3.2,3.0,,10,32,7,9,10,13,11,80.4
5,Montana,Carbon,10725,18,24,8.1,22,45,24,35.0,224.4,10.0,12,47.0,65.0,93.0,46,50,13,6.0,94,66,3.4,13,3.8,234.0,9.3,5.2,111.0,No,12,69,39,17.0,26.8,0.5,0.3,0.0,1.3,2.4,94.0,1,76,78,26.0,25.0,35,26.0,57585,3.0,3.1,,12,33,10,9,7,13,10,82.0
6,Montana,Carter,1252,20,23,5.6,22,22,23,33.0,,,15,0.0,0.0,,44,21,15,,93,70,2.8,21,5.1,0.0,24.2,4.4,,No,10,55,32,21.6,26.1,0.1,0.1,0.0,1.0,1.1,95.8,0,72,78,,,64,,49057,,,,15,33,38,9,11,14,12,
7,Montana,Cascade,81366,21,31,7.9,24,83,22,51.0,598.9,31.0,9,76.0,90.0,338.0,52,44,17,8.0,92,64,3.4,18,4.4,241.0,13.4,5.0,102.0,Yes,12,80,9,22.4,19.1,1.5,1.0,0.1,4.9,4.7,84.9,0,64,77,19.0,27.0,46,25.0,51732,3.1,3.2,80.0,9,36,9,11,10,14,12,77.7
8,Montana,Chouteau,5635,22,31,5.5,26,37,22,31.0,104.1,,16,,18.0,71.0,49,26,18,8.0,93,65,2.7,20,4.1,,10.4,4.8,108.0,Yes,10,60,27,22.5,21.2,0.2,0.4,0.1,19.1,2.9,76.8,0,64,71,,,44,47.0,48017,3.6,3.6,,16,34,35,12,12,15,13,79.8
9,Montana,Custer,11402,19,30,7.1,23,72,25,17.0,256.0,31.0,9,86.0,61.0,368.0,40,39,15,7.0,92,72,2.9,14,4.4,210.0,6.9,5.0,99.0,No,10,77,8,20.7,20.7,0.6,0.7,0.1,2.3,3.7,91.1,0,69,76,,24.0,47,46.0,49379,2.9,3.0,93.0,9,33,20,10,11,14,11,78.3
