,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Nebraska,,1934408,17,33,7.6,23,84,24,33.0,418.0,20.0,9,76.0,79.0,276.0,48,50,14,7.0,91,72,3.0,12,4.2,286.0,14.0,5.7,60.0,,13,82,19,24.6,16.2,4.9,2.7,0.1,1.5,11.4,78.2,3,66,83,9.0,14.0,45,45.0,63290,3.2,3.1,87.0,9,32,6,12,10,11,10,79.6
1,Nebraska,Adams,31363,17,37,7.4,27,82,23,37.0,268.3,24.0,9,89.0,80.0,383.0,52,61,15,7.0,90,70,3.2,13,4.3,231.0,13.3,6.3,68.0,Yes,12,83,15,23.4,18.9,1.0,1.3,0.1,1.3,11.0,85.1,2,66,79,,17.0,52,28.0,55182,2.9,3.1,86.0,9,32,9,13,12,12,11,78.8
2,Nebraska,Antelope,6298,18,34,7.7,22,50,23,10.0,94.3,11.0,11,32.0,32.0,48.0,48,33,14,5.0,93,75,2.6,16,3.8,98.0,26.8,5.9,66.0,No,11,77,19,23.6,24.1,0.3,0.5,0.0,0.5,3.4,94.9,1,76,76,,,44,16.0,50771,3.5,3.3,,11,31,7,13,11,13,11,82.1
3,Nebraska,Arthur,463,16,32,4.4,22,0,23,,,,13,0.0,0.0,0.0,44,39,14,,94,80,5.4,20,4.0,0.0,0.0,4.4,,No,14,62,36,25.3,21.4,0.0,0.2,0.0,0.4,4.3,94.2,0,66,74,,,0,,46417,,,,13,30,44,13,7,12,10,
4,Nebraska,Banner,745,17,30,4.5,19,4,23,,,,9,0.0,0.0,0.0,24,33,14,,97,83,3.7,19,4.5,,0.0,4.4,,No,10,56,50,24.4,24.0,1.3,0.3,0.0,0.3,5.8,91.8,2,70,78,,,58,,54706,,,,9,32,45,12,13,12,10,
5,Nebraska,Blaine,465,17,34,5.0,26,10,25,0.0,,,13,0.0,0.0,0.0,31,38,13,,95,74,5.0,28,2.5,,0.0,4.6,,No,9,61,41,18.5,26.9,0.4,0.0,0.0,0.2,1.5,96.8,0,74,86,,,53,,45411,,,,13,29,35,14,8,12,10,
6,Nebraska,Boone,5192,17,36,8.4,28,48,26,50.0,74.7,16.0,9,153.0,77.0,39.0,56,32,14,7.0,95,78,2.7,12,3.3,,13.4,6.1,95.0,No,9,77,19,23.2,23.4,0.4,0.4,0.0,0.3,2.2,96.2,0,76,79,,,40,,58204,3.5,3.4,,9,29,6,10,11,12,10,81.3
7,Nebraska,Box Butte,10783,18,35,7.4,25,73,21,14.0,220.5,34.0,9,46.0,74.0,195.0,32,40,15,8.0,91,66,3.2,14,3.8,221.0,20.4,4.2,84.0,No,9,82,6,25.4,19.3,1.0,0.7,0.0,4.6,12.9,80.7,1,69,81,,29.0,52,17.0,61522,2.8,2.9,84.0,9,32,13,12,12,12,11,77.8
8,Nebraska,Boyd,1919,18,36,4.6,28,1,23,0.0,,,12,153.0,0.0,,41,33,14,,96,71,3.3,22,4.4,,20.5,5.1,,No,8,67,26,18.5,31.0,0.1,1.4,0.1,1.4,2.5,94.4,0,82,73,,,60,,46548,2.8,2.8,,12,30,41,13,11,12,11,79.5
9,Nebraska,Brown,2955,20,41,7.8,27,76,22,33.0,,16.0,11,101.0,102.0,34.0,34,13,17,6.0,95,63,3.5,17,4.6,0.0,20.2,4.5,67.0,No,11,76,11,21.6,27.0,0.5,0.2,0.1,1.2,2.7,94.6,1,75,79,,,46,,48843,3.1,3.2,,11,33,4,14,11,13,12,78.7
10,Nebraska,Buffalo,49659,15,33,7.8,22,89,23,28.0,309.7,16.0,9,91.0,83.0,369.0,48,63,14,7.0,93,71,2.6,10,4.6,193.0,14.7,6.0,57.0,No,13,83,14,23.3,15.0,1.1,1.5,0.1,0.6,9.3,86.6,2,65,84,8.0,16.0,39,33.0,64759,3.4,3.2,87.0,9,31,8,12,10,11,10,80.8
11,Nebraska,Burt,6459,19,37,8.2,34,47,21,25.0,244.8,16.0,12,46.0,31.0,15.0,53,20,15,7.0,91,68,3.4,13,4.2,82.0,18.5,7.3,98.0,No,10,83,33,22.5,24.4,0.6,0.4,0.1,2.3,3.5,92.1,1,77,72,,,41,31.0,54554,3.0,3.0,,12,31,0,13,11,13,11,78.0
12,Nebraska,Butler,8016,18,33,8.3,24,42,24,60.0,235.9,9.0,8,99.0,25.0,12.0,43,50,14,6.0,93,71,2.6,9,3.8,61.0,13.7,6.9,82.0,No,11,80,35,23.0,21.3,0.6,0.5,0.0,0.5,4.5,93.4,1,78,79,,,37,,63310,3.7,3.1,,8,33,5,10,11,12,10,77.7
