,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Nevada,,3080156,16,27,7.6,23,93,18,29,584.0,25.0,13,58.0,63.0,219.0,34,38,19,9.0,87,59,3.9,18,4.3,657,4.4,5.4,78.0,,19,78,32,22.5,16.1,9.3,8.7,0.8,1.7,29.2,48.2,6,56,83,17.0,21.0,61,32.0,63268,2.8,2.9,83.0,13,37,5,13,11,13,13,78.7
1,Nevada,Churchill,24909,20,32,7.5,28,87,22,26,416.8,29.0,14,53.0,64.0,229.0,33,36,19,7.0,92,60,3.5,17,3.9,211,9.0,6.5,116.0,Yes,16,81,20,22.9,19.1,2.2,3.0,0.4,5.5,14.5,72.5,3,65,85,22.0,30.0,43,24.0,56335,3.0,3.0,76.0,14,37,9,13,12,15,13,75.4
2,Nevada,Clark,2266715,18,27,7.9,23,97,17,28,621.3,24.0,13,57.0,64.0,206.0,31,36,22,9.0,86,58,4.0,19,4.3,757,3.5,10.8,72.0,Yes,20,79,34,23.0,15.1,11.9,10.4,0.9,1.2,31.6,41.7,7,54,83,16.0,19.0,66,26.0,62131,2.8,3.0,84.0,13,39,4,13,11,14,14,79.0
3,Nevada,Douglas,48905,17,26,7.5,20,91,23,21,248.4,13.0,12,58.0,74.0,131.0,46,48,16,8.0,93,63,3.9,12,3.7,152,7.2,6.9,90.0,No,15,77,34,16.0,29.7,0.8,1.9,0.2,2.2,13.2,80.2,1,71,89,19.0,29.0,36,26.0,76296,3.0,3.2,89.0,12,35,13,11,8,13,12,80.7
4,Nevada,Elko,52778,22,28,8.1,24,69,21,31,311.5,33.0,12,38.0,47.0,76.0,29,35,19,8.0,86,55,3.0,14,3.8,404,4.6,5.4,87.0,No,10,64,17,27.2,11.8,1.0,1.2,0.3,6.4,24.7,66.5,2,71,84,30.0,31.0,34,46.0,83287,2.7,2.9,91.0,12,38,9,10,9,15,14,79.4
5,Nevada,Esmeralda,873,24,24,3.7,34,13,19,11,,,14,121.0,0.0,0.0,23,21,25,,88,46,3.7,14,3.8,118,0.0,4.4,,Yes,6,62,18,14.1,35.7,3.4,0.6,0.1,7.1,19.2,66.3,2,58,54,,,61,,50675,,,,14,40,52,13,7,17,17,
6,Nevada,Eureka,2029,20,24,6.2,25,34,23,25,204.0,,7,,99.0,,21,21,17,9.0,95,45,2.4,13,4.7,338,0.0,4.4,,No,8,53,42,24.4,16.4,1.0,1.0,0.1,3.2,13.2,80.3,0,74,82,,,27,,71541,2.8,3.1,,7,37,27,11,8,14,13,82.4
7,Nevada,Humboldt,16831,21,32,8.1,18,60,24,40,320.9,34.0,16,48.0,42.0,101.0,21,16,20,7.0,82,50,2.9,15,4.3,327,8.3,5.8,102.0,Yes,11,59,15,26.9,14.4,0.8,0.9,0.3,4.9,27.5,64.7,4,71,81,30.0,32.0,51,18.0,73106,2.7,2.7,91.0,16,38,9,10,8,15,14,78.2
8,Nevada,Lander,5532,22,30,8.4,20,91,21,15,263.5,44.0,12,18.0,18.0,54.0,17,16,22,10.0,88,47,3.2,15,5.2,620,7.2,4.5,109.0,Yes,9,59,21,26.2,16.0,0.7,1.2,0.0,5.9,23.2,69.1,5,73,86,,,44,,81239,2.9,3.1,88.0,12,39,6,10,14,15,15,77.3
9,Nevada,Lincoln,5183,21,28,5.5,30,54,23,20,153.2,11.0,12,38.0,19.0,39.0,21,34,18,6.0,86,52,4.0,17,3.4,39,0.0,4.5,101.0,No,11,77,15,19.7,25.3,3.0,0.7,0.4,1.9,7.8,84.5,0,75,76,,,52,4.0,58782,3.1,3.3,88.0,12,37,32,12,11,15,13,83.1
10,Nevada,Lyon,57510,21,33,7.5,23,68,20,39,362.1,27.0,13,16.0,21.0,146.0,35,38,21,9.0,87,54,4.7,17,3.9,270,4.8,6.9,101.0,No,14,79,47,21.4,21.2,1.2,1.6,0.3,3.4,18.1,73.8,2,71,85,22.0,26.0,60,22.0,59406,2.8,2.8,85.0,13,38,9,13,12,16,15,77.0
11,Nevada,Mineral,4505,24,38,4.4,31,77,19,8,336.5,36.0,12,66.0,44.0,89.0,19,22,24,9.0,89,47,4.0,23,4.8,135,0.0,4.9,98.0,No,17,78,21,19.6,25.4,4.0,3.4,0.2,18.2,13.2,60.9,0,71,68,,,57,69.0,43771,2.5,2.9,,12,40,34,17,18,17,17,73.4
12,Nevada,Nye,46523,24,33,5.8,27,22,20,25,219.4,30.0,13,33.0,19.0,174.0,28,31,21,10.0,86,45,5.1,27,4.2,167,5.5,6.0,125.0,Yes,15,77,22,16.6,30.3,3.3,1.9,0.6,1.9,15.3,75.1,2,71,73,29.0,36.0,82,20.0,48490,2.4,2.7,80.0,13,39,21,16,15,16,15,74.2
13,Nevada,Pershing,6725,21,39,7.9,28,23,21,10,199.8,35.0,14,15.0,45.0,74.0,22,24,22,7.0,81,38,4.0,19,4.3,713,0.0,5.2,109.0,No,16,71,15,16.2,16.4,4.3,1.4,0.4,4.7,24.8,64.2,3,67,75,,39.0,61,,58562,2.3,2.7,,14,38,6,12,8,14,14,78.7
14,Nevada,Storey,4123,18,28,8.4,25,41,22,43,174.7,,9,,,146.0,33,41,16,,94,70,3.7,12,3.4,892,0.0,6.4,89.0,Yes,7,80,55,12.1,32.2,1.6,2.4,0.5,1.9,8.0,83.6,0,90,74,,,29,,88003,2.6,2.7,,9,36,1,12,11,14,12,82.5
15,Nevada,Washoe,471519,17,24,7.9,18,92,22,39,576.7,24.0,13,76.0,70.0,327.0,41,47,18,8.0,89,64,3.2,12,4.2,439,6.5,7.0,89.0,Yes,19,77,23,21.3,16.8,2.3,5.8,0.7,2.2,25.0,62.3,4,58,86,16.0,22.0,46,30.0,71733,2.8,2.9,84.0,13,35,8,11,8,14,13,78.7
16,Nevada,White Pine,9580,21,31,7.3,24,59,21,25,125.1,32.0,11,74.0,31.0,344.0,25,33,20,9.0,88,42,3.0,17,4.3,221,0.0,4.4,98.0,No,9,79,15,20.3,18.3,4.9,1.1,0.2,5.1,16.7,71.0,1,76,77,23.0,31.0,46,2.0,60086,2.3,2.5,68.0,11,38,14,12,16,15,14,79.5
17,Nevada,Carson City,55916,20,31,7.5,20,100,19,11,502.3,31.0,14,74.0,95.0,272.0,41,47,21,8.0,87,59,3.9,17,4.2,291,7.4,4.5,116.0,No,18,80,26,20.3,20.7,2.0,2.6,0.4,2.9,24.8,66.4,3,57,82,18.0,30.0,59,14.0,58126,2.7,2.9,74.0,14,39,5,15,11,15,14,75.0
