,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,New Hampshire,,1359711,17,29,8.8,21,88,20,32,278.1,10,7,91,77,322,49,52,13,7,93,71,2.5,8,4.3,197,10.4,5.7,89,,14,81,39,18.8,18.7,1.5,3.0,0.0,0.3,4.0,89.8,1,71,88,11,19,27,40,78571,3.2,3.2,89,7,35,5,9,10,15,10,79.7,178,178,178,178,178
1,1,New Hampshire,Belknap,61303,17,28,8.6,21,87,21,33,223.7,11,8,62,69,560,49,52,14,7,93,66,2.5,11,4.2,239,12.1,4.4,107,Yes,15,80,39,18.3,22.8,0.6,1.2,0.0,0.3,1.8,94.8,0,76,87,13,21,34,25,68752,3.1,3.1,89,8,35,4,9,10,14,11,77.6,178,178,178,178,178
2,2,New Hampshire,Carroll,48910,17,28,8.9,23,81,22,25,158.1,14,10,90,72,243,47,49,14,6,94,66,2.5,13,4.1,181,12.3,5.7,116,Yes,15,81,36,15.3,29.0,0.6,0.8,0.0,0.4,1.6,95.6,0,79,87,15,24,37,45,64495,3.0,3.2,94,10,34,1,10,11,14,11,79.6,178,178,178,178,178
3,3,New Hampshire,Cheshire,76085,17,32,8.7,21,75,22,38,231.7,10,8,68,76,335,45,51,14,6,93,66,2.6,11,4.2,187,9.5,5.9,86,Yes,16,77,28,17.8,20.7,0.8,1.7,0.0,0.3,2.0,93.8,0,69,84,14,21,36,29,65326,3.1,3.1,87,8,33,3,10,10,14,11,79.0,178,178,178,178,178
4,4,New Hampshire,Coos,31563,20,37,7.9,26,74,20,42,319.3,22,9,117,63,200,42,41,19,8,88,53,3.2,18,4.2,159,12.0,5.6,121,No,14,76,23,16.1,24.2,0.8,0.6,0.0,0.5,1.9,94.8,0,71,78,18,24,47,39,49156,2.9,2.9,84,9,39,5,13,15,16,13,77.3,178,178,178,178,178
5,5,New Hampshire,Grafton,89886,16,25,8.5,19,90,22,27,298.7,6,8,207,86,464,46,42,13,7,93,71,2.2,10,4.6,167,13.0,5.1,81,Yes,14,74,32,16.0,21.3,1.2,3.9,0.0,0.4,2.5,90.4,1,69,83,12,18,29,37,62468,3.3,3.4,93,8,32,5,10,8,13,11,80.7,178,178,178,178,178
6,6,New Hampshire,Hillsborough,417025,16,29,8.6,22,92,19,34,332.9,12,7,86,83,320,51,55,12,7,92,71,2.6,8,4.3,273,9.4,4.3,90,Yes,15,81,40,20.2,16.2,2.5,4.5,0.1,0.3,7.3,83.8,2,66,90,10,19,30,37,82862,3.1,3.1,87,7,36,6,9,10,13,10,79.6,178,178,178,178,178
7,7,New Hampshire,Merrimack,151391,17,28,8.7,20,93,21,21,231.9,9,7,109,77,425,54,55,13,7,93,70,2.3,7,4.2,158,14.1,5.8,89,Yes,14,81,39,18.9,18.7,1.6,2.2,0.0,0.3,2.3,92.1,1,72,87,10,21,27,47,75800,3.2,3.2,87,7,33,5,9,9,13,10,79.7,178,178,178,178,178
8,8,New Hampshire,Rockingham,309769,14,27,8.9,18,88,23,41,228.2,5,6,77,76,250,52,54,11,6,95,76,2.7,5,4.0,117,9.6,5.7,77,Yes,13,83,46,19.1,18.6,0.8,2.2,0.0,0.2,3.3,92.2,0,78,91,8,16,14,33,91416,3.4,3.4,92,6,33,6,7,9,12,10,80.9,178,178,178,178,178
9,9,New Hampshire,Strafford,130633,17,32,8.6,23,89,21,23,378.7,8,7,63,74,267,42,53,14,7,93,73,2.3,8,4.2,236,7.4,6.0,94,Yes,16,79,38,18.2,15.4,1.2,3.7,0.1,0.3,2.8,90.2,1,66,86,9,16,30,31,71486,,3.2,87,7,35,5,9,11,14,11,78.0,178,178,178,178,178
10,10,New Hampshire,Sullivan,43146,18,33,8.5,26,78,19,14,190.4,17,8,76,39,178,51,42,17,7,91,56,2.3,13,4.3,175,7.6,5.7,81,Yes,14,82,37,18.6,22.1,0.8,1.0,0.0,0.4,1.7,94.6,0,73,82,15,22,41,29,63518,3.0,3.2,82,8,32,4,10,10,15,12,79.8,178,178,178,178,178
