,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,New Jersey,,8882190,13,27,9.4,27,95,16,22,405.5,12,9,85,88,241,41,52,16,8,90,70,3.6,12,5.2,253,8.7,8.6,60,,21,71,43,21.8,16.6,12.9,10.0,0.1,0.6,20.9,54.6,6,64,86,5,9,38,47,85786,3.2,3.3,91,9,38,4,9,10,11,11,80.5
1,New Jersey,Atlantic,263670,18,33,7.8,32,91,17,30,488.3,16,10,83,61,173,41,50,19,8,87,61,5.1,15,5.0,373,8.3,7.3,96,Yes,24,78,28,21.1,18.6,14.6,8.1,0.1,0.7,19.4,56.0,6,67,83,9,13,57,48,62678,2.9,3.0,91,10,41,8,11,13,14,13,77.3
2,New Jersey,Bergen,932202,13,22,9.5,24,99,18,13,246.4,4,9,118,132,259,43,54,14,8,93,78,2.9,6,5.0,84,10.1,9.9,42,Yes,21,68,41,21.1,17.7,5.5,17.0,0.1,0.5,21.0,55.1,7,65,90,2,8,20,33,107971,3.6,3.7,95,9,36,1,7,9,11,10,83.2
3,New Jersey,Burlington,445349,16,30,8.8,25,82,20,21,365.6,9,5,85,75,780,42,55,15,8,94,73,3.3,7,4.0,163,8.7,9.9,70,Yes,15,83,43,20.7,17.4,16.9,5.4,0.1,0.3,8.5,66.6,2,75,89,5,11,25,40,88443,3.2,3.3,95,5,37,6,8,12,13,11,79.6
4,New Jersey,Camden,506471,18,33,8.4,29,90,17,20,656.7,20,8,103,82,326,39,54,18,9,89,68,4.0,15,5.3,465,8.1,10.1,89,Yes,20,76,41,22.6,16.1,18.7,6.0,0.1,0.7,17.6,55.8,4,67,84,9,11,45,47,73168,3.0,3.1,88,8,41,5,10,13,14,12,77.2
5,New Jersey,Cape May,92039,18,28,7.7,28,95,21,32,317.5,18,8,61,60,110,47,53,15,7,93,66,7.2,15,4.6,236,13.7,7.8,98,Yes,20,80,26,17.3,27.3,4.1,1.0,0.1,0.4,8.1,85.0,1,78,85,6,11,39,49,66565,3.1,3.1,90,8,39,9,12,12,14,12,77.1
6,New Jersey,Cumberland,149527,23,37,7.5,32,79,18,30,628.0,34,11,42,67,103,38,49,25,10,79,40,5.5,20,5.1,516,10.0,7.8,101,Yes,24,81,31,23.7,15.6,18.7,1.4,0.2,1.6,31.8,45.4,7,65,78,9,10,63,25,54179,2.6,2.7,83,11,43,10,13,13,16,16,75.3
7,New Jersey,Essex,798975,16,29,8.2,29,100,17,14,801.6,19,12,85,95,224,40,46,21,10,86,63,4.5,18,7.0,606,8.3,8.9,68,Yes,28,61,45,23.7,13.9,38.6,5.9,0.1,0.8,23.8,30.2,8,44,80,12,6,51,59,64522,3.1,3.2,87,12,41,1,13,11,14,13,79.8
8,New Jersey,Gloucester,291636,17,33,8.5,29,83,19,18,383.6,8,5,54,46,125,40,52,15,8,93,73,3.7,8,4.3,116,8.1,7.4,83,Yes,15,84,49,21.6,16.3,10.4,3.1,0.1,0.3,6.7,77.8,1,80,88,5,11,27,30,87996,3.2,3.3,93,5,39,9,8,11,13,11,77.6
9,New Jersey,Hudson,672391,15,24,8.7,29,100,18,15,487.4,19,13,53,65,69,34,40,20,9,85,73,3.3,20,6.0,342,5.4,9.6,43,No,28,37,53,20.3,12.2,10.7,16.4,0.2,1.1,42.7,29.0,13,32,86,4,7,68,33,77738,3.1,3.3,86,13,38,0,11,7,12,12,82.6
