,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,New Mexico,,2096829,16,27,4.2,19,77,17,30,670.5,32.0,12,75.0,70.0,404,35,40,20,9.0,86,60,4.9,24,5.1,650.0,8.1,5.6,108.0,,17,80,27,22.7,18.0,1.9,1.8,0.2,11.0,49.3,36.8,4,68,75,20.0,24.0,72,41.0,52021,2.7,,74.0,12,33,14,15,10,15,13,78.0
1,New Mexico,Bernalillo,679121,15,24,7.6,15,91,16,29,746.2,24.0,11,104.0,87.0,471,38,38,19,9.0,89,68,4.4,20,5.0,945.0,7.8,7.6,110.0,Yes,19,81,26,21.4,16.9,2.6,2.9,0.1,6.3,50.3,38.3,4,63,80,21.0,23.0,68,23.0,56148,2.6,,68.0,11,33,7,13,7,14,13,78.4
2,New Mexico,Catron,3527,21,26,3.0,24,74,18,71,,,8,56.0,0.0,57,29,25,20,8.0,94,43,6.2,38,2.7,158.0,8.4,4.5,187.0,No,6,68,21,11.7,43.3,0.6,0.3,0.0,4.0,19.0,74.9,1,88,54,,57.0,88,,37190,,,,8,32,45,19,10,16,14,81.7
3,New Mexico,Chaves,64615,20,34,6.8,26,71,19,26,527.2,44.0,12,66.0,56.0,133,34,43,25,8.0,78,52,4.9,24,4.7,622.0,9.3,6.7,107.0,Yes,15,84,18,26.0,16.1,1.5,1.2,0.3,2.4,57.8,37.9,5,69,69,26.0,19.0,88,29.0,43687,2.9,,70.0,12,33,13,14,10,15,15,75.7
4,New Mexico,Cibola,26675,25,34,5.0,29,66,16,29,916.1,41.0,12,56.0,67.0,371,26,40,29,10.0,83,49,6.3,33,5.7,543.0,4.5,5.3,121.0,Yes,20,75,26,23.2,16.8,1.0,0.6,0.1,43.9,38.5,18.9,2,69,58,19.0,26.0,100,64.0,40436,2.7,,63.0,12,38,22,19,15,18,18,76.3
5,New Mexico,Colfax,11941,18,28,4.9,28,76,16,17,279.3,35.0,9,33.0,42.0,971,36,47,22,15.0,88,58,4.7,27,4.9,274.0,13.2,4.6,126.0,Yes,16,76,18,17.9,27.4,0.5,0.8,0.2,2.9,49.2,46.9,1,71,67,26.0,38.0,89,14.0,42754,2.5,,,9,34,29,17,14,15,14,78.8
6,New Mexico,Curry,48954,19,32,6.5,29,78,16,30,879.3,56.0,11,55.0,82.0,603,32,41,22,8.0,82,62,4.1,26,4.2,407.0,10.9,6.2,94.0,Yes,18,84,11,26.2,12.8,5.5,1.8,0.2,2.1,43.4,46.5,5,57,81,18.0,21.0,73,28.0,45623,2.7,,84.0,11,32,15,15,9,15,15,76.5
7,New Mexico,De Baca,1748,20,35,7.3,28,85,18,45,437.4,,11,56.0,114.0,915,31,11,24,,84,30,4.3,30,5.8,218.0,28.1,5.3,134.0,Yes,5,75,12,22.4,28.7,0.5,0.5,0.0,2.2,45.9,50.0,0,63,68,,,100,,34746,2.9,,,11,34,7,15,20,16,15,76.3
8,New Mexico,Dona Ana,218195,16,26,6.0,16,78,18,23,713.4,34.0,13,63.0,63.0,307,39,41,24,8.0,79,61,5.7,31,5.5,283.0,6.1,9.7,74.0,Yes,19,80,23,24.3,16.2,1.6,1.3,0.2,2.3,68.8,26.7,9,63,73,13.0,17.0,85,21.0,43618,2.7,,82.0,13,33,19,16,10,15,14,80.0
9,New Mexico,Eddy,58460,18,37,7.4,25,70,18,19,564.9,53.0,9,33.0,33.0,121,32,40,21,8.0,84,52,3.1,15,4.7,567.0,9.7,6.9,126.0,Yes,13,87,19,26.5,14.6,1.3,0.9,0.1,2.4,50.5,45.3,3,69,79,31.0,31.0,48,19.0,63671,3.1,,72.0,9,34,13,11,12,14,13,74.7
