,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,New York,,19453561,13,26,9.0,23,93,19,21,602.4,14.0,6,84,85.0,304,42,50,16,8,87,69,4.0,18,5.7,379,8.1,6.6,50,,24,53,39,20.7,16.9,14.5,9.0,0.1,1.0,19.3,55.3,7,54,83,4.0,9.0,54,61.0,72038,,,82.0,6,39,2,11,10,11,11,81.4,435,435,435,435,435
1,1,New York,Albany,305506,17,28,8.4,20,92,22,27,624.0,10.0,4,97,93.0,375,46,55,13,8,92,77,3.6,16,4.9,348,14.8,6.6,48,No,15,75,21,18.3,17.4,12.8,6.8,0.1,0.3,6.3,71.6,2,56,84,6.0,10.0,41,44.0,69408,,,85.0,4,39,5,10,10,12,10,79.9,435,435,435,435,435
2,2,New York,Allegany,46091,22,37,8.0,28,62,20,31,336.9,14.0,6,45,35.0,236,49,49,18,7,91,62,5.5,27,4.2,195,15.5,6.6,59,Yes,14,76,30,20.1,19.6,1.3,1.3,0.0,0.3,1.7,94.3,1,76,75,12.0,15.0,50,40.0,49411,,,89.0,6,40,3,13,11,15,13,77.9,435,435,435,435,435
3,3,New York,Bronx,1418207,18,29,7.4,30,100,16,13,1202.4,24.0,9,61,55.0,215,32,40,29,10,73,52,5.4,37,6.8,586,2.7,8.2,49,No,39,23,54,24.6,13.3,29.2,4.6,0.4,2.9,56.4,9.0,16,20,76,4.0,5.0,86,37.0,41470,,,67.0,9,42,0,18,13,15,16,80.9,435,435,435,435,435
4,4,New York,Broome,190488,22,30,8.0,23,89,22,34,321.7,15.0,5,82,71.0,226,46,53,17,8,91,67,4.7,25,5.0,315,11.5,7.4,71,No,16,81,15,19.3,19.4,5.6,4.4,0.1,0.3,4.4,82.7,1,65,82,5.0,11.0,52,44.0,52179,,,84.0,5,39,3,13,11,14,12,78.6,435,435,435,435,435
5,5,New York,Cattaraugus,76117,24,39,8.1,29,63,21,26,279.3,22.0,6,43,49.0,142,45,47,20,8,89,56,5.1,22,4.5,197,14.8,7.2,70,No,14,83,27,21.9,19.7,1.3,0.8,0.0,3.6,2.1,90.4,1,72,72,9.0,16.0,49,48.0,50783,,,86.0,6,37,3,13,14,16,14,77.6,435,435,435,435,435
6,6,New York,Cayuga,76576,23,34,8.6,25,80,23,33,333.7,18.0,5,26,47.0,193,55,56,17,7,88,58,4.3,21,4.1,241,10.5,6.5,60,Yes,13,83,34,19.5,19.8,4.0,0.7,0.1,0.5,3.1,89.9,0,71,80,3.0,11.0,46,43.0,58055,,,84.0,5,37,2,11,12,14,12,79.8,435,435,435,435,435
7,7,New York,Chautauqua,126903,24,34,7.7,27,80,22,18,469.6,24.0,6,55,58.0,176,47,53,18,8,89,58,4.7,24,4.9,271,17.4,5.8,74,Yes,16,81,19,20.2,20.7,2.2,0.7,0.1,0.7,7.8,87.1,1,69,76,8.0,13.0,52,44.0,50143,,,84.0,6,38,7,13,13,15,13,78.0,435,435,435,435,435
8,8,New York,Chemung,83456,24,35,7.9,30,83,20,13,372.9,27.0,4,76,61.0,291,53,52,18,7,90,61,4.2,20,4.5,193,11.8,6.9,85,Yes,14,82,19,21.2,19.5,5.9,1.5,0.0,0.4,3.2,86.1,0,68,80,6.0,12.0,49,37.0,58400,,,76.0,4,39,6,12,13,15,13,76.5,435,435,435,435,435
9,9,New York,Chenango,47207,23,39,8.2,24,74,20,16,206.8,22.0,5,36,36.0,199,44,50,18,7,88,56,4.4,20,4.5,183,10.7,6.6,56,No,14,79,34,20.6,20.9,0.9,0.6,0.0,0.4,2.3,94.5,1,74,78,9.0,14.0,50,18.0,51894,,,86.0,5,41,2,12,14,15,14,77.4,435,435,435,435,435
10,10,New York,Clinton,80485,22,36,7.6,28,74,22,14,374.2,12.0,5,69,62.0,283,50,51,17,8,88,53,4.4,17,4.3,157,7.3,5.9,55,Yes,14,81,20,17.9,17.7,3.9,1.4,0.0,0.4,3.0,90.0,0,66,80,6.0,13.0,45,31.0,59069,,,88.0,5,39,10,12,11,15,13,79.4,435,435,435,435,435
11,11,New York,Columbia,59461,20,27,8.4,22,74,22,23,331.7,14.0,6,40,40.0,177,46,53,15,6,90,60,3.2,15,4.5,146,10.2,6.9,74,No,15,75,37,17.0,24.4,4.7,2.0,0.1,0.3,5.0,86.1,2,74,80,10.0,18.0,51,34.0,71563,,,84.0,6,34,5,10,10,13,12,79.9,435,435,435,435,435
12,12,New York,Cortland,47581,22,34,8.3,25,87,21,28,424.8,12.0,4,40,34.0,366,52,53,17,8,91,62,4.9,19,4.2,90,11.1,6.3,62,No,14,78,30,19.2,16.9,1.8,1.1,0.0,0.4,2.8,92.3,0,66,74,4.0,12.0,51,24.0,55143,,,89.0,4,36,3,11,12,14,12,78.4,435,435,435,435,435
