,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,North Carolina,,10488084,18,32,6.8,23,74,18,28.0,647.8,22,13,71.0,58.0,257.0,46,52,18,9,88,67,3.9,19,4.7,351.0,11.5,8.5,77,,15,81,34,21.9,16.7,21.4,3.2,0.1,1.6,9.8,62.6,2,65,81,14.0,14.0,56,45.0,57388,3.1,3.1,86.0,13,36,7.0,14,12,13,11,78.1,45,45,45,45,45
1,1,North Carolina,Alamance,169509,21,38,7.2,23,80,18,35.0,575.2,21,14,44.0,52.0,147.0,44,53,21,9,86,62,3.8,22,4.7,382.0,9.6,9.2,87,No,16,86,33,22.0,17.1,20.1,1.7,0.1,1.5,13.1,62.9,3,65,78,13.0,14.0,56,38.0,57963,2.8,3.0,82.0,14,38,10.0,14,11,15,13,77.3,45,45,45,45,45
2,2,North Carolina,Alexander,37497,24,39,7.8,28,20,20,24.0,201.1,27,13,24.0,24.0,53.0,48,46,21,8,82,46,3.3,17,4.3,193.0,16.3,9.3,82,No,13,84,36,19.9,20.4,5.7,1.0,0.1,0.5,4.8,86.7,1,76,74,21.0,20.0,45,43.0,54960,3.1,3.1,85.0,13,36,3.0,14,17,16,14,77.1,45,45,45,45,45
3,3,North Carolina,Alleghany,11137,25,30,7.1,25,27,17,25.0,326.4,41,18,108.0,18.0,233.0,39,54,25,9,77,45,4.8,26,4.6,140.0,12.5,7.7,105,No,12,82,31,17.0,28.0,1.5,0.8,0.0,0.5,9.9,86.7,2,76,76,18.0,29.0,61,25.0,41420,3.3,3.0,93.0,18,36,2.0,18,13,17,16,77.8,45,45,45,45,45
4,4,North Carolina,Anson,24446,25,41,7.2,37,6,16,28.0,720.3,36,13,44.0,20.0,82.0,37,46,26,13,81,44,4.2,31,5.0,428.0,10.5,8.4,98,No,16,84,44,19.8,19.3,48.1,1.5,0.1,0.9,4.1,44.3,1,66,75,26.0,14.0,99,30.0,40826,2.6,2.8,84.0,13,42,4.0,17,13,16,15,74.3,45,45,45,45,45
5,5,North Carolina,Ashe,27203,22,26,7.8,31,59,19,13.0,148.4,27,15,44.0,37.0,169.0,43,53,19,9,85,61,3.7,23,4.2,81.0,9.2,7.7,82,No,10,75,38,17.4,26.6,0.7,0.5,0.1,0.4,5.1,92.3,1,76,70,16.0,21.0,57,43.0,41542,3.2,3.2,87.0,15,35,2.0,14,14,15,13,79.2,45,45,45,45,45
6,6,North Carolina,Avery,17557,23,24,7.9,29,100,19,17.0,165.4,20,18,29.0,34.0,433.0,35,49,21,10,84,57,3.7,24,4.4,174.0,18.3,8.0,93,Yes,13,78,27,14.7,22.9,4.5,0.6,0.1,0.6,5.1,88.5,1,75,71,14.0,18.0,56,50.0,45823,2.8,3.0,90.0,18,36,0.0,15,12,15,14,77.4,45,45,45,45,45
7,7,North Carolina,Beaufort,46994,22,45,7.3,31,53,17,15.0,615.9,27,13,51.0,40.0,153.0,55,55,22,10,88,60,4.6,30,5.3,298.0,12.5,7.3,106,Yes,14,87,31,19.8,24.6,24.0,0.5,0.1,1.0,8.0,65.9,2,70,69,19.0,21.0,92,28.0,49410,3.2,3.2,83.0,13,39,4.0,16,10,16,14,76.1,45,45,45,45,45
8,8,North Carolina,Bertie,18947,25,45,7.0,31,33,15,28.0,858.3,35,13,16.0,11.0,53.0,50,39,27,12,78,45,4.8,32,5.2,169.0,24.7,7.3,101,No,20,81,34,17.4,23.6,60.7,0.8,0.1,0.7,2.4,34.7,0,74,58,13.0,13.0,98,20.0,37899,2.6,2.6,84.0,13,43,3.0,18,22,16,16,76.8,45,45,45,45,45
9,9,North Carolina,Bladen,32722,25,49,6.8,31,36,15,26.0,427.1,34,18,21.0,40.0,73.0,42,32,26,10,81,51,4.8,30,5.0,224.0,13.3,7.9,113,No,18,87,38,20.3,22.8,33.3,0.3,0.0,3.1,7.8,54.9,2,71,70,20.0,11.0,92,27.0,42260,2.8,2.9,88.0,18,39,3.0,19,22,17,16,75.7,45,45,45,45,45
