,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,North Dakota,,762062,20,34,8.9,23,74,24,42.0,466.6,20.0,8,77.0,66.0,196.0,53,50,14,6.0,93,73,2.4,11,4.4,258.0,16.0,4.7,71.0,,12,82,14,23.6,15.7,3.3,1.7,0.1,5.6,4.1,83.7,1,62,81,12.0,18.0,31,43.0,67402,3.1,3.1,86.0,8,33,7,7,9,12,10,79.7,44,44,44,44,44
1,1,North Dakota,Adams,2216,19,32,9.2,22,42,24,0.0,,,9,436.0,45.0,90.0,49,58,14,,95,68,2.2,15,5.1,64.0,13.1,4.0,,No,8,69,11,19.3,28.5,0.9,2.8,0.0,0.7,1.6,92.2,0,74,78,,,21,,55880,2.9,3.2,,9,32,7,5,13,12,10,80.2,44,44,44,44,44
2,2,North Dakota,Barnes,10415,19,35,8.9,23,64,22,42.0,195.6,13.0,9,104.0,77.0,86.0,61,57,15,6.0,92,64,3.0,10,5.0,181.0,19.9,5.3,74.0,No,9,80,24,19.6,23.2,1.7,0.9,0.1,1.1,2.2,92.5,0,69,77,,,37,36.0,60689,3.3,3.3,88.0,9,32,6,7,10,12,10,78.6,44,44,44,44,44
3,3,North Dakota,Benson,6832,33,42,6.3,34,63,21,77.0,1427.3,90.0,13,,15.0,59.0,47,38,28,7.0,86,56,4.2,34,6.0,29.0,4.3,5.1,134.0,No,16,73,28,35.2,14.4,0.5,0.2,0.0,55.6,4.1,40.5,1,67,58,,29.0,83,71.0,45709,2.6,2.5,,13,41,17,15,14,17,18,72.2,44,44,44,44,44
4,4,North Dakota,Billings,928,19,30,7.4,27,67,24,25.0,,,8,0.0,0.0,0.0,44,41,14,,90,73,2.6,10,3.9,54.0,0.0,2.9,,No,11,76,46,20.8,22.7,0.0,4.1,0.2,0.6,2.6,91.9,0,79,70,,,8,,69528,,,,8,32,26,5,5,11,10,,44,44,44,44,44
5,5,North Dakota,Bottineau,6282,21,36,8.4,26,56,25,60.0,199.1,16.0,9,31.0,32.0,16.0,53,36,15,5.0,92,74,3.3,12,4.5,82.0,23.4,5.0,95.0,No,8,75,21,21.4,24.5,0.7,0.6,0.0,3.3,2.2,91.2,0,79,80,31.0,31.0,35,49.0,62904,3.0,2.9,,9,34,12,7,11,12,10,76.1,44,44,44,44,44
6,6,North Dakota,Bowman,3024,19,23,9.6,35,74,23,0.0,157.9,28.0,10,33.0,165.0,,47,18,14,7.0,89,74,1.6,10,4.4,108.0,16.3,4.1,,No,7,78,15,24.4,22.2,0.2,0.2,0.1,2.5,5.5,92.0,1,75,83,,,17,22.0,65411,3.4,3.3,,10,32,4,4,10,12,10,81.8,44,44,44,44,44
7,7,North Dakota,Burke,2115,20,34,7.3,24,44,24,33.0,,29.0,8,,0.0,,42,38,15,6.0,93,77,2.3,9,3.9,63.0,23.8,1.5,,No,7,77,33,24.8,21.2,0.7,0.6,0.1,1.6,3.0,92.4,0,79,74,,,22,,67545,2.5,2.5,,8,33,31,4,8,12,10,84.0,44,44,44,44,44
8,8,North Dakota,Burleigh,95626,16,32,9.4,20,85,20,37.0,483.0,18.0,6,107.0,85.0,272.0,57,59,12,6.0,94,79,2.4,7,4.3,250.0,16.4,4.9,56.0,No,11,86,10,23.3,16.6,2.3,0.9,0.1,4.3,2.8,88.2,0,69,83,11.0,15.0,23,29.0,73565,3.3,3.1,89.0,6,32,4,5,9,11,9,81.6,44,44,44,44,44
9,9,North Dakota,Cass,181923,18,33,9.4,19,87,23,39.0,494.4,13.0,7,99.0,80.0,289.0,57,59,13,7.0,95,80,2.0,9,4.5,309.0,10.6,5.1,53.0,No,13,83,9,22.5,12.5,6.2,3.4,0.1,1.5,2.8,84.4,1,52,85,9.0,17.0,28,29.0,63977,3.2,3.1,86.0,7,31,3,6,8,11,9,80.8,44,44,44,44,44
