,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Ohio,,11689100,21,34,6.8,26,84,18,32,542.3,22,8,77,64,261,43,51,18,9,90,66,4.1,18,4.7,293.0,11.0,9.0,91,,14,83,31,22.1,17.5,12.7,2.5,0.1,0.3,4.0,78.4,1,66,82,13.0,15.0,36.0,58.0,58704,3.0,3.1,83,8,41,7,14,12,16,12,77.0
1,Ohio,Adams,27698,30,36,6.7,38,42,16,46,202.0,40,10,43,32,155,33,42,25,9,80,43,6.8,30,5.2,86.0,8.3,8.7,118,No,16,80,48,23.8,18.5,0.5,0.4,0.0,0.6,1.0,96.2,0,71,64,13.0,21.0,56.0,27.0,43145,2.9,3.0,86,10,44,4,19,17,20,17,73.6
2,Ohio,Allen,102351,24,36,7.6,27,76,17,33,597.9,29,7,68,60,228,44,49,19,9,90,61,4.0,20,4.3,395.0,16.5,8.0,75,No,14,86,20,23.0,18.1,12.2,0.8,0.0,0.3,3.3,80.6,0,67,81,10.0,13.0,44.0,47.0,58271,3.1,3.2,82,7,42,5,14,13,16,14,76.9
3,Ohio,Ashland,53484,24,35,8.1,31,60,18,44,229.4,18,9,45,43,226,44,48,19,6,88,54,4.2,19,3.7,103.0,19.2,8.9,62,No,12,84,31,22.3,19.1,0.8,0.7,0.1,0.3,1.5,95.5,1,74,79,6.0,10.0,45.0,43.0,52554,3.1,3.3,88,9,39,1,13,13,16,13,77.9
4,Ohio,Ashtabula,97241,28,37,6.7,31,73,18,35,325.1,30,10,33,38,175,40,49,23,8,86,45,4.8,27,4.7,135.0,12.5,9.1,100,Yes,15,85,34,22.0,19.6,3.5,0.5,0.0,0.3,4.4,89.3,1,71,75,14.0,21.0,54.0,40.0,47388,2.9,3.0,85,10,43,10,16,14,18,15,75.2
5,Ohio,Athens,65327,24,35,6.0,23,83,18,19,674.2,8,9,73,21,534,39,49,21,9,90,65,5.3,25,6.4,112.0,8.7,6.5,59,Yes,21,71,22,14.4,13.6,2.7,3.1,0.1,0.4,1.9,89.7,1,58,76,9.0,13.0,51.0,36.0,43621,2.8,3.1,87,9,41,14,18,12,18,15,78.0
6,Ohio,Auglaize,45656,23,35,8.7,30,78,20,7,253.4,23,6,41,35,48,42,48,16,7,93,64,3.0,9,3.7,58.0,15.1,9.5,52,No,10,88,20,24.0,18.9,0.6,0.6,0.1,0.2,1.8,95.7,0,76,85,8.0,10.0,39.0,35.0,64227,3.3,3.4,86,6,38,2,10,11,15,12,79.5
7,Ohio,Belmont,67006,24,35,7.7,31,47,19,36,264.6,28,7,36,45,201,43,41,19,8,90,58,5.6,16,4.5,137.0,15.0,8.3,86,Yes,8,90,31,18.8,21.4,4.2,0.5,0.0,0.2,1.1,92.4,0,76,74,14.0,17.0,50.0,52.0,50166,3.1,3.3,90,7,40,5,14,15,16,14,76.6
8,Ohio,Brown,43432,25,32,7.6,31,50,18,17,319.0,31,8,28,16,74,36,48,20,8,88,54,5.0,18,4.5,67.0,6.0,9.1,117,No,13,81,58,22.9,18.3,0.9,0.3,0.0,0.3,1.2,96.2,0,72,75,15.0,19.0,53.0,18.0,58441,3.1,3.0,86,8,40,4,15,12,17,14,74.7
9,Ohio,Butler,383134,21,32,7.8,23,84,19,28,396.7,18,7,54,52,241,42,54,17,8,91,64,3.8,14,4.5,270.0,8.3,11.6,99,No,13,84,37,23.3,15.1,8.8,3.9,0.1,0.3,5.0,79.8,1,68,87,11.0,13.0,37.0,34.0,68611,3.0,3.1,87,7,37,7,12,12,15,13,76.7
10,Ohio,Carroll,26914,25,41,8.0,33,31,17,24,252.0,23,9,22,41,52,36,49,20,8,89,48,5.0,18,3.7,,14.0,9.5,87,No,11,82,43,20.9,21.6,0.6,0.4,0.0,0.3,1.3,96.2,0,79,74,12.0,15.0,49.0,36.0,56999,3.2,3.3,91,9,42,2,13,15,17,14,76.7
11,Ohio,Champaign,38885,24,36,8.3,35,59,19,31,267.8,26,7,21,33,108,36,46,18,7,91,48,3.7,11,3.4,104.0,11.4,9.1,86,No,10,84,39,22.3,18.5,2.0,0.5,0.0,0.4,1.7,93.2,0,73,84,16.0,21.0,45.0,39.0,62077,2.9,3.0,87,7,39,1,12,12,16,13,77.2
12,Ohio,Clark,134083,26,37,6.9,30,86,17,28,616.8,34,9,43,57,167,39,48,21,9,89,57,4.3,21,4.2,368.0,10.8,8.4,126,No,13,82,28,22.3,19.7,8.7,0.7,0.1,0.4,3.6,83.9,1,66,83,16.0,18.0,43.0,50.0,50832,2.6,2.9,76,9,43,11,15,14,17,15,74.2
13,Ohio,Clermont,206428,22,38,7.8,29,78,19,33,291.9,21,7,69,42,108,43,53,17,7,90,66,3.7,12,4.3,111.0,7.4,9.7,85,No,11,84,48,22.7,16.9,1.6,1.4,0.1,0.2,2.1,93.2,0,74,86,10.0,15.0,35.0,25.0,68724,3.3,3.3,92,7,37,9,11,13,15,12,77.9
14,Ohio,Clinton,41968,24,36,7.2,28,52,18,21,390.4,29,7,71,31,245,42,47,19,8,88,57,4.7,22,4.3,82.0,9.3,9.1,104,No,13,83,39,22.8,17.6,2.1,0.6,0.1,0.3,1.7,93.3,0,65,81,9.0,15.0,43.0,35.0,52870,3.1,3.1,90,7,41,9,14,10,16,14,75.2
15,Ohio,Columbiana,101883,27,36,7.3,30,77,17,42,261.9,29,9,40,26,113,41,51,21,7,89,52,4.8,18,4.1,58.0,16.2,10.0,96,No,12,86,36,20.2,21.2,2.3,0.3,0.0,0.2,1.9,93.7,0,74,78,12.0,18.0,48.0,50.0,52693,3.1,3.1,86,9,39,8,14,17,17,14,76.4
16,Ohio,Coshocton,36600,27,38,7.2,32,46,17,48,292.8,29,10,33,36,85,43,45,22,7,85,48,5.8,19,4.1,107.0,11.5,8.8,71,No,11,78,32,23.9,19.8,1.2,0.4,0.0,0.3,1.2,95.6,0,74,70,13.0,14.0,56.0,47.0,49679,3.2,3.2,89,10,40,7,15,12,18,15,76.5
