,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Oklahoma,,3956971,20,35,5.8,28,71,15,27,559.0,33,17,61.0,62.0,410.0,38,49,21,8,88,60,3.3,20,4.6,428,11.5,8.2,94.0,,14,82,27,24.1,16.1,7.4,2.4,0.2,9.4,11.1,65.0,2,66,79,18.0,20.0,60,28.0,54447,2.9,2.9,82.0,17,38,9,15,12,16,14,76.0
1,Oklahoma,Adair,22194,32,43,6.6,22,28,13,30,529.5,60,23,27.0,27.0,221.0,30,48,33,7,81,34,4.2,33,5.1,454,8.6,9.1,98.0,No,16,84,38,27.0,15.8,0.5,0.8,0.1,46.1,7.1,39.4,1,69,50,15.0,20.0,86,23.0,39589,2.8,2.8,78.0,23,43,4,20,20,22,22,73.2
2,Oklahoma,Alfalfa,5702,21,40,6.7,30,39,17,44,118.5,30,19,35.0,53.0,18.0,39,35,19,6,85,45,2.1,19,4.1,136,24.3,7.2,107.0,Yes,7,78,28,19.4,20.3,4.5,0.4,0.1,4.2,6.0,83.1,1,80,76,,,49,16.0,57497,3.4,3.1,,19,37,21,12,9,15,13,78.9
3,Oklahoma,Atoka,13758,26,31,5.8,30,36,14,32,669.7,51,20,14.0,22.0,1170.0,29,40,25,9,83,45,4.3,26,4.9,105,11.6,8.4,107.0,Yes,12,80,35,22.4,20.0,3.8,0.8,0.0,14.8,3.6,70.2,0,73,68,25.0,25.0,79,16.0,41872,3.3,3.3,80.0,20,40,18,17,12,18,17,76.2
4,Oklahoma,Beaver,5311,20,32,7.6,25,2,15,20,357.5,19,21,,19.0,,27,39,21,7,84,50,2.0,16,3.6,55,22.6,5.7,138.0,No,9,78,23,26.2,19.8,0.8,0.4,0.1,2.5,25.9,69.5,5,77,78,,,56,19.0,55397,3.2,3.1,,21,37,14,10,13,15,14,77.3
5,Oklahoma,Beckham,21859,21,34,7.8,26,65,15,15,500.2,53,17,69.0,50.0,316.0,34,53,21,8,85,50,3.2,29,4.7,177,16.1,6.5,124.0,No,9,84,20,25.0,14.7,4.0,1.1,0.0,3.7,14.7,75.0,1,66,77,21.0,24.0,60,15.0,50512,3.0,3.1,85.0,17,38,4,13,13,16,14,73.5
6,Oklahoma,Blaine,9429,23,35,6.7,31,58,15,24,326.4,46,16,42.0,64.0,371.0,30,46,23,7,83,42,2.0,22,4.2,133,21.1,7.3,152.0,Yes,9,89,25,25.6,20.2,3.0,0.4,0.1,9.9,12.5,71.4,4,73,71,21.0,23.0,65,16.0,50574,3.3,3.1,,16,37,18,13,14,17,15,72.1
7,Oklahoma,Bryan,47995,25,33,6.9,30,44,15,35,561.3,43,20,42.0,38.0,836.0,35,46,23,8,86,55,3.0,20,4.7,206,10.4,8.5,97.0,Yes,15,81,19,23.3,18.0,1.8,0.6,0.1,14.8,6.3,70.2,1,62,72,13.0,22.0,67,10.0,44074,3.3,3.1,86.0,20,39,8,16,13,17,16,75.2
8,Oklahoma,Caddo,28762,25,43,6.3,32,53,14,23,531.3,42,18,21.0,17.0,45.0,29,50,25,8,85,43,3.6,29,4.4,259,13.5,7.6,127.0,Yes,11,83,31,24.9,16.9,2.7,0.5,0.1,25.5,13.3,56.8,4,71,69,23.0,23.0,75,31.0,45755,3.0,3.1,82.0,18,39,15,16,15,17,16,73.0
9,Oklahoma,Canadian,148306,18,36,8.2,25,84,16,32,353.8,21,13,38.0,46.0,206.0,44,52,17,7,91,65,2.9,11,3.6,432,6.7,8.5,71.0,Yes,11,85,35,26.0,13.3,3.3,3.3,0.1,5.2,9.8,75.0,1,75,87,14.0,18.0,42,16.0,75111,3.2,3.2,93.0,13,35,6,11,11,14,12,78.4
10,Oklahoma,Carter,48111,23,36,7.5,37,45,14,28,439.9,48,20,54.0,67.0,470.0,33,48,22,9,88,55,3.4,18,4.2,669,11.6,8.2,115.0,Yes,15,84,21,24.9,17.2,6.4,1.3,0.1,10.2,7.7,69.5,1,68,66,22.0,25.0,59,22.0,51895,3.0,3.0,61.0,20,38,3,15,13,17,14,74.7
11,Oklahoma,Cherokee,48657,27,42,6.6,32,70,14,19,552.3,29,23,51.0,64.0,417.0,35,47,26,8,87,55,4.0,27,4.8,234,5.8,9.3,97.0,Yes,15,80,30,21.7,17.0,1.3,1.0,0.1,36.4,7.3,47.1,1,68,69,15.0,19.0,75,10.0,45544,3.0,2.9,90.0,23,41,11,16,19,19,18,75.3
12,Oklahoma,Choctaw,14672,29,34,4.4,42,35,14,23,511.3,56,19,41.0,34.0,845.0,34,33,29,10,82,49,4.8,32,6.0,306,11.6,8.6,144.0,Yes,16,85,29,24.2,21.1,10.5,0.5,0.1,18.5,4.8,60.0,0,69,63,32.0,27.0,76,17.0,37131,2.8,2.9,79.0,19,43,27,21,20,20,19,74.0
13,Oklahoma,Cimarron,2137,21,27,6.9,29,36,15,11,,43,23,,47.0,,31,22,22,6,83,56,1.7,27,3.4,134,23.2,5.1,,No,10,90,15,25.5,25.4,0.6,0.4,0.0,1.0,23.3,72.3,3,73,63,,,61,,47602,2.6,2.6,,23,37,15,13,12,16,14,81.1
14,Oklahoma,Cleveland,284014,18,36,8.0,22,87,16,28,485.6,16,13,50.0,44.0,340.0,42,54,17,7,92,71,2.8,11,3.9,345,7.9,7.5,72.0,Yes,15,83,33,21.2,13.8,5.2,4.7,0.1,5.3,9.2,70.8,1,64,88,12.0,19.0,48,18.0,64706,3.1,3.2,86.0,13,38,6,12,10,15,13,78.7
15,Oklahoma,Coal,5495,27,29,6.1,28,48,15,50,514.0,45,20,18.0,18.0,36.0,34,33,26,8,83,49,3.9,25,5.4,96,12.7,8.1,179.0,Yes,12,77,35,23.7,21.0,0.8,0.3,0.0,19.9,4.4,67.7,0,74,64,43.0,43.0,67,10.0,41273,3.1,3.0,,20,39,13,18,12,19,17,71.4
