,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Oregon,,4217737,16,29,7.8,17,88,19,31,464.0,17.0,8,94,83,551.0,42,44,18,7.0,91,70,3.7,14,4.6,249.0,10.2,6.4,75.0,,19,72,30,20.5,18.2,2.0,4.9,0.5,1.8,13.4,75.1,3,62,86,13.0,20.0,49,33.0,66955,2.8,2.9,79.0,8,33,5,12,10,15,15,79.9,132,133,133,133,333
1,1,Oregon,Baker,16124,21,30,6.2,25,73,21,39,205.6,26.0,8,81,50,670.0,37,38,19,7.0,91,62,4.6,22,4.5,264.0,19.4,6.3,136.0,Yes,15,71,14,19.8,26.5,0.6,0.9,0.1,1.6,4.7,89.7,1,71,76,27.0,37.0,52,17.0,48530,,,79.0,8,35,19,15,13,16,15,77.5,132,133,133,133,333
2,2,Oregon,Benton,93053,15,22,8.1,14,90,18,25,508.0,4.0,6,114,72,992.0,48,55,16,5.0,96,85,2.9,11,5.7,128.0,12.6,7.0,55.0,Yes,22,67,19,16.1,16.8,1.1,7.0,0.3,0.9,7.8,79.8,1,57,90,9.0,14.0,36,23.0,69148,3.0,3.1,86.0,6,32,7,11,6,14,12,83.0,132,133,133,133,333
3,3,Oregon,Clackamas,418187,17,28,8.8,16,91,22,39,338.5,10.0,7,91,84,330.0,44,48,15,6.0,93,74,3.4,7,4.2,160.0,8.9,8.2,62.0,Yes,16,76,47,21.2,18.8,1.0,4.9,0.3,1.1,9.0,81.1,2,71,88,11.0,17.0,29,26.0,80539,3.0,3.1,85.0,7,33,3,9,9,13,12,81.1,132,133,133,133,333
4,4,Oregon,Clatsop,40224,18,32,7.8,21,93,21,29,370.1,20.0,10,65,70,328.0,44,41,18,6.0,92,64,3.7,16,4.0,163.0,13.3,5.1,92.0,Yes,16,73,22,18.6,23.4,0.7,1.6,0.3,1.4,8.6,85.1,2,62,83,13.0,24.0,52,34.0,59339,2.8,2.9,77.0,10,34,6,12,9,15,14,79.1,132,133,133,133,333
5,5,Oregon,Columbia,52354,21,34,8.1,23,78,24,25,309.0,17.0,6,34,59,388.0,42,38,18,6.0,91,57,4.5,12,4.3,133.0,7.3,6.4,77.0,Yes,14,78,58,20.8,19.2,0.7,1.1,0.2,1.5,5.6,87.8,1,75,85,16.0,23.0,42,23.0,72285,2.4,2.7,81.0,6,37,4,12,13,16,14,79.7,132,133,133,133,333
6,6,Oregon,Coos,64487,22,38,7.3,25,77,20,37,258.3,24.0,9,90,91,425.0,40,46,21,6.0,89,55,4.9,22,4.5,170.0,12.7,6.0,118.0,Yes,18,77,19,18.3,26.5,0.5,1.3,0.3,3.0,6.8,84.9,0,66,78,19.0,31.0,58,20.0,49504,2.5,2.7,61.0,9,34,5,16,14,17,16,76.8,132,133,133,133,333
7,7,Oregon,Crook,24404,21,33,7.3,23,75,20,45,449.8,27.0,9,29,45,467.0,40,41,21,7.0,90,59,5.3,17,3.7,346.0,11.3,6.8,103.0,No,19,79,39,19.8,25.2,0.4,0.7,0.1,1.7,7.6,88.0,0,72,81,24.0,29.0,50,9.0,58739,2.8,3.1,78.0,9,36,8,14,14,17,15,78.9,132,133,133,133,333
8,8,Oregon,Curry,22925,20,36,7.5,26,92,21,36,220.6,22.0,9,79,61,423.0,32,37,19,6.0,90,55,5.2,20,4.8,108.0,9.2,5.7,127.0,Yes,18,74,17,14.2,35.0,0.5,0.8,0.2,2.6,7.4,85.7,1,71,77,33.0,47.0,58,16.0,51267,2.6,2.9,75.0,9,34,5,15,12,16,14,77.9,132,133,133,133,333
9,9,Oregon,Deschutes,197692,16,26,8.3,16,90,22,27,319.5,13.0,8,103,83,469.0,46,54,15,7.0,94,73,3.9,11,4.0,169.0,9.9,7.0,78.0,No,19,74,20,19.8,20.5,0.5,1.3,0.2,1.1,8.3,86.8,1,67,89,14.0,21.0,39,25.0,71880,,,83.0,8,34,5,11,9,14,13,81.7,132,133,133,133,333
10,10,Oregon,Douglas,110980,22,34,6.9,21,65,21,27,306.2,27.0,8,64,74,294.0,42,35,21,7.0,90,57,4.9,18,4.2,219.0,10.6,6.7,111.0,Yes,16,79,19,19.3,26.3,0.5,1.1,0.2,2.1,6.1,87.5,1,68,81,21.0,31.0,57,17.0,48940,2.6,2.8,69.0,8,37,11,15,13,17,15,76.9,132,133,133,133,333
11,11,Oregon,Gilliam,1912,20,31,6.8,27,82,21,33,,,7,53,0,157.0,41,21,19,11.0,90,58,3.7,16,4.0,0.0,15.8,5.9,,No,11,76,16,19.1,27.6,0.3,0.9,0.5,2.1,7.4,87.4,1,67,74,,,45,,61205,3.0,2.7,,7,34,17,13,13,16,14,84.6,132,133,133,133,333
12,12,Oregon,Grant,7199,21,23,6.2,21,62,20,25,292.1,16.0,9,84,69,389.0,34,20,20,7.0,89,52,6.9,21,4.6,69.0,11.1,5.1,142.0,Yes,14,75,19,17.6,31.4,0.3,0.7,0.1,1.7,3.9,91.3,0,71,79,,45.0,53,19.0,49792,2.5,2.8,,9,34,18,16,8,17,15,79.0,132,133,133,133,333
13,13,Oregon,Harney,7393,21,32,6.5,26,71,20,7,246.9,31.0,9,82,68,649.0,33,34,20,6.0,92,63,5.3,20,3.8,230.0,9.6,8.1,137.0,No,15,68,10,20.1,24.9,1.0,0.6,0.0,4.4,5.1,86.4,0,72,78,38.0,38.0,52,13.0,39874,2.8,2.9,84.0,9,35,15,15,15,17,16,78.6,132,133,133,133,333
14,14,Oregon,Hood River,23382,17,30,9.1,19,80,20,55,423.5,19.0,12,209,124,376.0,43,44,20,5.0,81,58,3.2,12,3.9,147.0,13.7,5.4,55.0,No,17,68,20,23.6,16.3,0.5,1.8,0.2,1.3,31.9,63.0,10,67,82,,13.0,52,22.0,68835,2.9,2.9,86.0,12,33,2,8,9,15,14,81.2,132,133,133,133,333
15,15,Oregon,Jackson,220944,21,27,7.6,16,83,20,38,457.5,21.0,9,93,86,497.0,45,46,19,7.0,90,64,4.4,18,4.7,335.0,9.8,7.2,85.0,Yes,21,76,17,20.4,22.6,0.8,1.6,0.4,1.6,13.5,80.1,2,63,85,17.0,27.0,56,26.0,56367,2.7,2.9,80.0,9,33,7,13,11,15,14,79.1,132,133,133,133,333
16,16,Oregon,Jefferson,24658,22,37,7.3,25,76,21,39,707.1,34.0,12,45,53,239.0,36,43,23,8.0,87,56,5.1,22,4.2,222.0,8.3,6.2,98.0,No,16,75,34,23.3,19.8,0.8,0.9,0.2,18.3,19.9,60.7,2,68,81,14.0,21.0,77,53.0,52543,2.7,2.8,80.0,12,37,9,14,18,17,17,78.3,132,133,133,133,333
