,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Pennsylvania,,12801989,18,31,8.4,22,84,20,26,463.4,17,7,81.0,71.0,220,45,53,18,8,91,66,4.4,17,4.8,315,12.2,9.0,89,,15,76,38,20.6,18.7,10.9,3.8,0.1,0.4,7.8,75.7,2,69,82,12.0,15.0,51,59.0,63455,3.1,3.1,86.0,7,39,5,11,11,15,12,78.4
1,Pennsylvania,Adams,103009,20,31,8.9,23,61,21,23,205.2,16,7,53.0,34.0,94,47,57,17,8,89,59,3.3,10,3.7,134,12.2,7.3,73,Yes,11,82,40,19.8,21.1,1.6,0.9,0.0,0.4,7.3,88.7,1,78,81,11.0,14.0,40,30.0,67706,3.2,3.2,93.0,7,37,3,8,12,15,12,79.9
2,Pennsylvania,Allegheny,1216045,18,29,8.2,20,92,22,25,462.8,12,5,112.0,98.0,349,41,49,16,8,95,80,4.1,14,5.1,395,12.2,12.7,105,No,14,71,40,18.6,19.3,13.2,4.2,0.0,0.2,2.3,78.1,1,64,84,14.0,16.0,49,50.0,64799,3.4,3.4,90.0,5,38,6,11,9,14,11,78.1
3,Pennsylvania,Armstrong,64735,23,44,8.3,34,79,22,44,169.1,22,6,43.0,31.0,111,44,40,19,8,90,55,5.1,16,4.4,108,19.5,10.5,122,Yes,10,83,45,19.1,22.6,0.9,0.3,0.0,0.1,0.8,97.0,0,76,75,15.0,19.0,67,42.0,56259,3.3,3.2,91.0,6,41,3,12,15,17,13,76.6
4,Pennsylvania,Beaver,163929,21,37,7.7,24,84,20,17,352.1,17,5,42.0,53.0,115,43,47,17,7,93,69,4.5,18,4.4,265,14.8,9.5,97,Yes,11,81,39,19.2,22.0,6.3,0.6,0.0,0.2,1.8,89.1,0,73,81,12.0,15.0,50,54.0,60323,3.2,3.2,70.0,5,40,12,11,12,15,12,76.9
5,Pennsylvania,Bedford,47888,24,31,8.4,27,62,20,20,130.0,20,7,25.0,46.0,134,44,38,19,6,88,48,4.7,14,4.2,80,18.3,8.7,99,Yes,11,81,35,19.1,23.4,0.6,0.4,0.0,0.2,1.3,96.7,0,79,73,17.0,23.0,48,20.0,54251,3.1,3.2,93.0,7,40,2,11,12,17,14,78.3
6,Pennsylvania,Berks,421164,20,34,8.6,22,86,21,27,475.0,21,7,62.0,56.0,147,43,55,19,8,87,59,4.3,16,4.4,300,11.4,11.3,74,Yes,15,80,33,22.2,17.6,4.3,1.6,0.2,0.9,22.5,70.3,4,72,83,11.0,16.0,52,50.0,67418,2.8,2.9,86.0,7,36,3,10,10,15,12,79.3
7,Pennsylvania,Blair,121829,24,32,7.7,25,75,21,23,311.8,23,6,82.0,62.0,250,41,43,18,7,91,58,4.5,22,4.5,224,18.5,8.2,88,No,14,83,21,20.2,21.3,1.9,0.7,0.0,0.2,1.3,94.5,0,70,78,9.0,15.0,49,36.0,51004,3.0,3.0,90.0,6,40,8,12,10,16,13,77.1
8,Pennsylvania,Bradford,60323,23,39,8.4,32,60,21,28,223.5,29,7,95.0,53.0,73,50,47,19,6,90,53,4.4,21,4.1,181,13.2,8.1,95,Yes,11,81,32,21.8,21.9,0.7,0.7,0.0,0.3,1.6,95.7,0,74,79,12.0,21.0,54,29.0,51356,2.9,3.0,89.0,7,41,4,11,16,16,13,78.2
9,Pennsylvania,Bucks,628270,16,28,9.1,18,89,23,30,245.1,6,5,85.0,87.0,258,46,60,13,8,94,74,3.8,7,4.3,96,7.7,10.8,79,Yes,15,82,45,20.2,19.2,4.1,5.2,0.1,0.3,5.7,83.3,2,77,89,6.0,14.0,27,36.0,93587,3.4,3.4,93.0,5,35,4,7,11,13,10,79.9
10,Pennsylvania,Butler,187853,18,33,8.9,18,82,24,24,233.0,9,5,65.0,75.0,169,43,49,14,6,95,76,3.9,8,4.4,100,13.0,10.8,82,Yes,10,84,42,19.7,19.4,1.3,1.5,0.0,0.2,1.6,94.5,0,76,85,10.0,14.0,25,37.0,72576,3.4,3.4,94.0,5,37,3,8,10,14,11,78.8
11,Pennsylvania,Cambria,130192,23,29,7.5,27,80,21,22,260.0,20,5,80.0,59.0,203,42,41,19,9,92,63,5.3,23,4.6,169,20.1,8.9,128,Yes,12,82,29,19.1,23.2,3.5,0.5,0.0,0.2,1.8,92.6,0,74,76,16.0,18.0,53,58.0,48798,3.1,3.1,94.0,5,41,9,13,16,16,13,76.1
