,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,South Carolina,,5148714,19,34,6.7,26,68,18,32,674.9,25,13,67,57,183,47,49,18,10,88,63,2.8,20,4.8,500,11.6,9.0,88,,15,82,36,21.6,18.2,26.4,1.8,0.1,0.5,6.0,63.7,1,69,78,18,16.0,62,42,56360,2.9,2.9,81.0,13,39,9,12,13,15,12,77.1,57,57,57,57,57
1,1,South Carolina,Abbeville,24527,23,37,7.9,28,59,17,32,566.3,27,14,53,12,61,45,35,22,9,82,55,3.4,22,5.4,341,11.8,9.9,87,Yes,14,78,46,19.8,22.4,27.4,0.4,0.0,0.3,1.6,68.9,1,75,69,21,18.0,67,35,46499,3.3,3.0,84.0,14,43,1,14,17,17,15,76.2,57,57,57,57,57
2,2,South Carolina,Aiken,170872,19,36,8.1,28,68,19,29,625.5,28,13,31,42,154,46,53,19,10,88,56,2.9,19,4.6,453,9.8,10.3,95,No,13,85,37,21.4,19.9,24.8,1.2,0.1,0.6,5.9,65.8,2,73,79,23,21.0,66,26,56824,2.7,2.8,89.0,13,37,7,11,13,15,13,76.5,57,57,57,57,57
3,3,South Carolina,Allendale,8688,26,37,6.2,30,61,15,44,1421.9,47,10,79,46,115,46,25,31,13,80,36,5.3,47,7.4,482,4.5,8.9,87,Yes,17,83,40,19.0,20.9,72.3,0.9,0.1,0.4,3.7,22.3,1,68,55,31,,100,17,32147,2.3,1.9,73.0,10,45,12,18,22,18,18,72.4,57,57,57,57,57
4,4,South Carolina,Anderson,202558,20,35,7.7,29,52,16,25,613.8,31,12,69,44,169,55,53,19,9,85,61,2.7,19,4.7,600,12.9,10.7,95,No,13,86,32,22.7,18.3,16.0,1.0,0.0,0.3,4.0,77.1,1,72,77,22,19.0,55,36,54496,3.0,3.0,86.0,12,38,11,11,15,16,13,76.3,57,57,57,57,57
5,5,South Carolina,Bamberg,14066,22,40,6.3,36,7,15,44,1001.3,21,13,35,57,43,40,25,25,12,80,61,5.6,34,5.2,419,16.8,8.9,97,No,14,85,41,18.8,22.4,59.7,0.5,0.1,0.4,2.3,36.2,0,71,63,26,,100,24,35364,2.7,2.7,80.0,13,42,14,17,21,17,16,73.5,57,57,57,57,57
6,6,South Carolina,Barnwell,20866,23,41,7.4,31,56,15,64,735.5,38,12,19,29,163,38,35,25,12,80,52,4.3,39,6.3,730,15.6,9.3,85,No,15,87,43,23.7,18.9,43.4,1.0,0.0,0.7,2.7,50.8,1,70,65,25,9.0,100,23,36675,2.7,2.7,85.0,12,43,1,17,18,17,16,73.6,57,57,57,57,57
7,7,South Carolina,Beaufort,192122,16,25,8.1,17,83,25,28,467.8,23,14,67,112,157,51,54,14,8,93,64,2.6,18,4.1,389,8.7,8.6,70,No,17,77,31,18.2,28.0,17.2,1.5,0.1,0.4,11.1,68.5,2,73,85,14,13.0,54,46,73890,3.0,2.8,86.0,14,35,11,9,8,13,11,82.9,57,57,57,57,57
8,8,South Carolina,Berkeley,227907,17,38,8.2,25,79,19,30,499.2,22,12,32,26,115,49,49,18,9,89,66,2.5,15,3.9,338,6.6,8.7,79,Yes,14,82,47,23.8,14.2,24.0,2.7,0.1,0.7,7.0,63.3,2,72,82,16,16.0,56,26,68690,2.8,3.0,84.0,12,38,9,9,14,14,12,78.8,57,57,57,57,57
9,9,South Carolina,Calhoun,14553,20,45,8.3,35,5,18,22,557.7,22,14,21,34,14,43,29,21,11,86,60,3.6,28,6.0,313,13.1,9.1,87,No,18,90,49,18.7,23.9,39.6,0.3,0.1,0.6,3.9,54.6,0,80,69,19,16.0,100,17,47090,2.5,2.7,88.0,14,39,0,13,15,16,14,76.0,57,57,57,57,57
10,10,South Carolina,Charleston,411406,14,29,8.3,20,80,24,35,707.2,17,11,124,110,362,48,51,14,9,92,74,2.3,16,5.3,426,11.6,7.8,83,No,18,79,34,19.4,17.0,25.9,1.8,0.1,0.4,5.3,65.2,2,62,78,19,15.0,56,48,70980,2.9,2.9,84.0,11,32,7,10,11,13,11,79.0,57,57,57,57,57
11,11,South Carolina,Cherokee,57300,23,44,7.5,37,69,16,52,936.9,41,13,37,26,54,47,47,22,11,80,53,3.1,23,4.9,390,16.3,10.1,91,Yes,10,85,30,22.9,17.1,20.3,0.6,0.1,0.5,4.6,72.6,1,69,66,20,21.0,82,45,46905,2.6,2.6,83.0,13,39,8,13,16,17,15,73.8,57,57,57,57,57
