,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,South Dakota,,884659,20,32,6.6,22,74,24,36.0,509.6,24.0,11,77.0,62.0,189.0,50,48,13,7.0,92,68,3.3,15,4.1,373.0,16.3,5.0,82.0,,12,81,15,24.5,17.2,2.2,1.5,0.1,9.0,4.2,81.5,1,68,81,12.0,20.0,37.0,57.0,60414,3.0,3.1,81.0,11,30,11,11,10,9,9,78.9,153,153,153,153,153
1,1,South Dakota,Aurora,2751,18,31,7.1,21,58,25,29.0,438.3,,16,,0.0,73.0,52,37,13,6.0,87,70,2.8,14,3.4,18.0,14.3,5.2,,No,5,73,24,24.8,20.7,0.6,0.7,0.0,2.9,7.2,87.8,2,75,72,,,35.0,,56360,3.2,,,16,29,23,9,21,10,9,80.0,153,153,153,153,153
2,2,South Dakota,Beadle,18453,21,37,7.9,20,68,22,58.0,258.9,54.0,15,53.0,54.0,287.0,46,54,16,7.0,84,55,3.2,16,3.7,258.0,16.9,5.4,77.0,No,14,79,9,27.1,17.8,1.0,10.1,0.4,1.6,10.7,75.2,6,66,72,12.0,21.0,53.0,51.0,51844,2.7,2.9,70.0,15,31,8,11,9,11,11,78.8,153,153,153,153,153
3,3,South Dakota,Bennett,3365,32,42,2.0,25,4,22,0.0,1244.9,65.0,20,,59.0,,25,6,26,6.0,80,42,5.4,44,4.2,451.0,8.7,3.6,151.0,No,21,73,22,33.8,13.3,0.6,0.6,0.1,59.3,6.2,32.5,1,60,66,,,100.0,9.0,36345,2.8,2.9,,20,33,59,18,15,16,17,69.4,153,153,153,153,153
4,4,South Dakota,Bon Homme,6901,21,40,8.5,24,67,25,13.0,157.5,8.0,11,57.0,43.0,14.0,59,31,15,5.0,87,47,3.2,17,4.2,14.0,21.5,5.9,92.0,Yes,8,71,25,19.4,20.8,1.3,0.3,0.0,8.3,3.1,86.2,0,74,72,,,29.0,35.0,52660,3.3,3.2,,11,31,4,10,9,11,11,80.4,153,153,153,153,153
5,5,South Dakota,Brookings,35077,17,30,7.5,16,84,22,14.0,391.2,7.0,9,57.0,46.0,137.0,53,59,12,5.0,95,79,3.3,10,4.2,114.0,15.0,4.5,49.0,No,14,78,11,20.6,12.5,1.3,2.8,0.1,1.2,3.5,89.9,1,59,83,,13.0,21.0,22.0,59036,3.0,3.1,87.0,9,28,16,9,8,10,9,82.4,153,153,153,153,153
6,6,South Dakota,Brown,38839,18,35,8.2,22,79,21,40.0,390.5,16.0,11,64.0,62.0,366.0,61,56,14,6.0,93,70,3.1,10,4.0,312.0,16.5,5.7,69.0,No,12,82,9,23.7,17.9,2.2,2.8,0.2,3.4,3.6,86.2,1,64,80,10.0,14.0,31.0,42.0,61447,3.2,3.4,88.0,11,32,8,10,12,10,10,81.1,153,153,153,153,153
7,7,South Dakota,Brule,5297,21,35,7.2,27,63,23,0.0,338.9,20.0,17,153.0,38.0,113.0,49,48,16,6.0,89,70,3.1,18,4.2,662.0,15.3,5.0,102.0,Yes,13,70,13,25.8,19.7,0.5,0.4,0.0,10.0,3.2,83.3,0,62,72,,,48.0,47.0,65008,3.4,3.2,84.0,17,32,13,13,8,12,11,80.5,153,153,153,153,153
8,8,South Dakota,Buffalo,1962,38,50,0.1,27,0,17,67.0,1901.0,72.0,19,,204.0,306.0,46,37,35,9.0,78,33,6.6,46,7.9,,0.0,4.8,266.0,No,29,70,19,38.7,7.5,0.7,0.1,0.1,80.6,5.4,14.9,1,46,54,,118.0,,,26671,,,,19,40,72,22,18,19,23,64.5,153,153,153,153,153
9,9,South Dakota,Butte,10429,22,33,7.8,22,72,23,57.0,366.1,30.0,13,29.0,58.0,38.0,43,34,16,8.0,91,50,3.4,18,4.0,155.0,10.8,4.5,70.0,Yes,12,70,23,24.7,20.5,0.5,0.4,0.1,2.5,3.8,91.0,0,77,76,,,45.0,18.0,50105,2.6,2.8,92.0,13,30,9,11,12,12,11,77.3,153,153,153,153,153
10,10,South Dakota,Campbell,1376,18,28,6.4,22,22,25,25.0,,,11,0.0,0.0,,65,32,12,,90,79,3.6,10,4.0,37.0,36.3,4.5,,No,4,69,27,16.4,29.3,0.2,0.5,0.0,1.4,2.7,94.8,0,86,72,,,35.0,,56043,,,,11,29,32,8,8,10,9,,153,153,153,153,153
11,11,South Dakota,Charles Mix,9292,26,41,7.8,18,55,23,71.0,625.8,45.0,17,54.0,43.0,65.0,45,24,20,6.0,89,58,3.7,30,4.5,161.0,15.0,5.6,137.0,Yes,11,76,8,29.8,18.6,0.6,0.3,0.0,32.7,3.7,62.1,0,71,66,,23.0,78.0,41.0,51340,3.1,3.0,,17,33,4,13,9,14,14,74.7,153,153,153,153,153
12,12,South Dakota,Clark,3736,21,33,7.4,28,42,23,0.0,163.6,20.0,13,,54.0,,49,30,15,7.0,91,65,4.0,19,4.5,111.0,10.7,5.1,65.0,Yes,9,67,32,26.9,21.8,1.4,0.6,0.0,0.6,3.5,93.3,1,79,75,,,38.0,,54158,3.2,3.0,,13,31,15,11,12,11,11,80.0,153,153,153,153,153
13,13,South Dakota,Clay,14070,18,31,7.4,20,85,24,29.0,493.2,6.0,10,50.0,71.0,50.0,46,58,14,5.0,95,86,3.3,15,5.1,243.0,11.4,6.4,41.0,No,20,69,23,17.4,12.6,1.6,2.7,0.1,3.8,3.2,87.2,1,54,88,,,30.0,20.0,51039,3.0,3.2,88.0,10,31,11,12,11,11,11,79.0,153,153,153,153,153
14,14,South Dakota,Codington,28009,20,34,7.9,23,83,25,36.0,245.6,22.0,9,93.0,89.0,257.0,59,59,13,7.0,92,66,3.2,12,4.2,287.0,15.7,5.1,63.0,Yes,15,85,10,23.7,18.3,0.7,0.7,0.0,2.7,2.4,92.5,0,65,81,9.0,13.0,32.0,26.0,63442,3.2,3.3,87.0,9,31,10,11,10,11,10,80.6,153,153,153,153,153
15,15,South Dakota,Corson,4086,35,45,1.5,28,2,22,40.0,1808.2,60.0,21,,49.0,98.0,28,10,30,9.0,84,48,5.8,53,6.6,12.0,7.2,4.4,202.0,No,21,58,38,36.6,12.0,0.4,0.6,0.0,65.4,5.3,29.0,0,54,61,,48.0,99.0,35.0,32848,2.3,2.6,,21,38,58,21,20,17,20,65.2,153,153,153,153,153
16,16,South Dakota,Custer,8972,18,33,7.9,25,79,23,40.0,276.1,21.0,12,46.0,11.0,56.0,44,44,13,8.0,94,53,4.4,16,4.3,47.0,11.5,1.9,124.0,Yes,14,74,44,14.8,31.7,0.6,0.6,0.0,3.8,4.4,89.2,1,84,79,,28.0,34.0,8.0,63665,3.0,2.9,98.0,12,30,8,11,16,11,10,80.0,153,153,153,153,153
17,17,South Dakota,Davison,19775,19,30,8.0,24,84,26,75.0,411.1,23.0,10,71.0,96.0,152.0,53,63,14,7.0,92,71,2.9,13,4.1,415.0,17.2,5.6,82.0,No,12,85,6,23.0,19.1,0.8,0.7,0.1,3.5,3.7,89.9,0,60,82,,15.0,34.0,22.0,57367,3.4,3.4,92.0,10,30,6,11,11,11,10,78.6,153,153,153,153,153
18,18,South Dakota,Day,5424,22,39,6.8,28,33,23,100.0,326.0,21.0,14,36.0,18.0,,53,21,16,6.0,90,64,4.6,18,4.6,,20.0,5.1,116.0,Yes,9,73,19,22.4,26.2,0.4,0.6,0.0,9.9,2.5,85.3,0,75,70,,,33.0,58.0,51516,3.5,3.4,,14,31,18,13,11,12,11,76.7,153,153,153,153,153
19,19,South Dakota,Deuel,4351,19,41,6.5,22,35,26,0.0,140.2,,11,23.0,23.0,,54,43,13,4.0,91,64,4.8,11,3.4,35.0,18.4,5.0,,No,8,76,33,23.1,22.0,0.8,0.2,0.0,0.7,3.9,93.3,1,79,76,,,26.0,,65217,3.0,3.4,,11,29,27,10,11,11,10,81.8,153,153,153,153,153
20,20,South Dakota,Dewey,5892,32,43,5.3,30,54,20,0.0,2570.7,68.0,18,17.0,68.0,34.0,21,28,27,8.0,85,48,8.3,33,4.7,0.0,13.6,4.3,182.0,No,18,76,18,37.9,9.9,0.6,0.2,0.0,74.1,5.0,19.7,0,61,58,,48.0,50.0,44.0,47640,3.3,3.6,65.0,18,37,20,19,19,16,18,68.1,153,153,153,153,153
21,21,South Dakota,Douglas,2921,19,28,6.5,24,50,26,0.0,170.6,,15,34.0,34.0,34.0,47,40,13,5.0,88,68,2.8,16,3.9,83.0,20.4,5.4,116.0,Yes,9,74,16,26.1,24.0,0.4,0.1,0.0,2.6,2.0,93.7,0,80,72,,,31.0,,56030,,,,15,30,30,9,12,11,10,81.3,153,153,153,153,153
22,22,South Dakota,Edmunds,3829,18,32,7.8,31,45,25,0.0,,,11,52.0,0.0,,57,46,13,,93,73,3.0,15,4.1,25.0,18.1,5.1,112.0,No,6,76,20,23.1,22.0,0.3,0.7,0.0,1.1,2.2,95.1,0,82,76,,,27.0,,59905,3.3,3.4,,11,30,18,7,9,11,9,82.5,153,153,153,153,153
23,23,South Dakota,Fall River,6713,21,39,7.2,24,93,23,56.0,209.4,29.0,11,59.0,74.0,626.0,31,21,15,8.0,94,66,4.3,18,4.9,172.0,16.3,3.2,142.0,Yes,14,73,19,16.8,29.9,1.1,1.6,0.1,6.8,3.8,84.2,1,78,81,,30.0,47.0,19.0,49965,3.1,2.9,84.0,11,31,13,12,14,11,11,75.8,153,153,153,153,153
24,24,South Dakota,Faulk,2299,18,40,6.8,27,5,24,40.0,,,11,43.0,0.0,,40,22,13,7.0,93,65,3.3,25,3.8,0.0,12.9,4.9,103.0,Yes,9,71,11,25.7,23.6,0.7,0.4,0.0,0.6,1.0,97.1,0,80,72,,,8.0,,49198,3.5,4.0,,11,30,22,10,9,11,10,81.7,153,153,153,153,153
