,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Tennessee,,6829174,21,33,6.2,27,70,17,25,569.0,29,12,72.0,56.0,158.0,41,50,21,9,87,61,3.4,19,4.7,621,11.3,8.8,92,,14,83,35,22.1,16.7,16.7,2.0,0.1,0.5,5.7,73.5,2,66,78,18.0,17.0,,57.0,56047,2.9,3.0,90.0,12,41,8.0,14,13,16,15,76.0
1,Tennessee,Anderson,76978,24,34,7.2,28,66,15,27,351.4,33,12,51.0,73.0,94.0,48,58,21,9,87,58,3.6,22,4.7,401,15.6,10.4,110,Yes,13,86,37,21.2,20.3,4.0,1.5,0.1,0.5,3.2,88.9,1,68,80,15.0,21.0,,43.0,50973,2.8,3.0,93.0,12,42,9.0,14,15,17,15,74.9
2,Tennessee,Bedford,49713,26,34,7.7,32,49,16,42,363.7,41,15,31.0,26.0,68.0,42,47,25,9,82,44,3.7,19,3.8,425,8.0,9.2,81,No,16,79,34,25.4,15.2,7.6,1.0,0.2,1.2,13.1,76.1,3,69,75,14.0,15.0,,41.0,50539,2.6,2.8,91.0,15,43,7.0,13,10,18,17,74.9
3,Tennessee,Benton,16160,30,33,6.8,26,48,15,40,306.5,45,13,19.0,19.0,43.0,35,50,27,8,82,47,4.5,28,4.8,152,10.5,8.2,145,No,15,89,30,19.9,23.9,2.5,0.6,0.0,0.6,2.7,92.3,0,77,64,25.0,27.0,,26.0,42322,2.8,2.9,98.0,13,42,7.0,18,11,20,18,72.1
4,Tennessee,Bledsoe,15064,28,37,7.2,31,24,16,36,992.1,38,18,7.0,20.0,27.0,40,37,27,8,76,37,5.4,41,5.3,173,4.1,8.9,106,No,14,76,51,14.5,18.8,7.7,0.3,0.0,0.6,2.8,87.3,2,74,71,24.0,27.0,,44.0,42730,2.8,3.0,93.0,18,42,2.0,18,10,19,18,77.9
5,Tennessee,Blount,133088,22,36,7.6,25,68,17,29,447.9,26,11,69.0,58.0,132.0,46,56,20,8,89,58,3.2,14,4.2,354,10.4,8.6,90,No,12,87,36,19.9,20.6,2.9,1.0,0.1,0.4,3.6,90.6,1,75,79,14.0,18.0,,38.0,59368,3.0,3.1,95.0,11,40,12.0,11,11,16,14,77.0
6,Tennessee,Bradley,108110,25,37,7.1,30,77,16,27,419.7,30,14,52.0,50.0,102.0,43,46,22,9,85,57,3.5,17,4.3,554,13.8,10.2,79,No,14,83,26,21.9,17.3,4.9,1.2,0.1,0.6,6.6,85.1,2,66,79,13.0,15.0,,31.0,52534,2.9,3.1,93.0,14,39,12.0,14,15,17,16,76.6
7,Tennessee,Campbell,39842,29,31,6.6,31,65,15,20,282.5,45,13,48.0,28.0,50.0,41,41,27,10,77,43,4.6,31,4.9,419,9.9,9.8,109,No,11,83,44,20.3,21.0,0.5,0.4,0.1,0.3,1.6,96.1,0,68,63,19.0,23.0,,40.0,42500,2.5,2.7,92.0,13,43,10.0,17,15,20,18,71.9
8,Tennessee,Cannon,14678,27,39,8.1,26,21,16,43,232.1,32,13,21.0,27.0,14.0,41,48,24,9,85,44,3.1,20,4.3,177,8.3,8.8,145,No,10,86,63,21.5,18.5,1.6,0.4,0.1,0.4,2.5,93.9,0,75,70,20.0,21.0,,12.0,52960,2.7,2.9,93.0,13,42,1.0,13,11,18,16,74.0
9,Tennessee,Carroll,27767,26,34,7.3,33,24,15,15,477.4,28,12,43.0,29.0,50.0,39,53,25,8,84,53,4.8,24,4.7,254,11.8,8.4,98,No,14,87,36,21.5,20.6,9.9,0.4,0.1,0.6,2.9,84.3,0,73,69,20.0,18.0,,18.0,43258,2.9,3.1,93.0,12,43,3.0,16,12,18,17,74.1
10,Tennessee,Carter,56391,28,38,5.7,30,81,16,34,364.7,28,13,39.0,27.0,30.0,45,45,26,9,84,53,4.1,28,4.9,271,13.8,8.7,106,No,15,86,31,18.1,22.4,1.6,0.4,0.0,0.3,2.0,94.4,0,71,66,17.0,18.0,,49.0,39964,2.7,3.0,91.0,13,42,20.0,17,19,19,17,75.2
11,Tennessee,Cheatham,40667,24,30,8.7,19,49,18,23,367.0,25,12,57.0,20.0,74.0,35,51,20,9,87,57,2.6,12,3.6,283,7.7,8.8,136,No,13,82,61,21.8,15.5,2.0,0.4,0.1,0.6,3.4,92.2,1,77,81,22.0,25.0,,27.0,62786,3.1,3.0,91.0,12,39,1.0,10,9,17,14,74.4
12,Tennessee,Chester,17297,25,35,7.6,26,34,17,23,408.9,21,13,23.0,29.0,87.0,36,47,22,6,85,57,3.4,19,4.5,263,9.3,8.1,91,No,12,85,42,21.8,17.3,9.3,0.7,0.0,0.5,2.9,85.0,0,77,77,18.0,16.0,,41.0,50769,3.2,3.2,95.0,13,43,6.0,14,17,18,16,76.6
13,Tennessee,Claiborne,31959,28,31,6.6,29,54,15,22,303.7,34,12,72.0,19.0,19.0,35,40,26,9,80,56,4.2,27,4.9,317,6.0,9.7,110,No,15,87,32,19.1,20.3,1.1,0.9,0.0,0.4,1.4,94.9,0,71,63,22.0,23.0,,34.0,40116,2.7,2.9,93.0,12,41,10.0,17,17,19,18,74.0
14,Tennessee,Clay,7615,31,32,7.3,32,26,15,33,272.6,29,13,26.0,13.0,,36,45,28,11,80,40,6.0,28,5.4,283,5.2,8.6,166,No,12,83,46,20.0,25.3,1.5,0.1,0.1,0.5,2.5,94.3,2,78,60,44.0,44.0,,1.0,36694,2.6,2.9,98.0,13,43,0.0,18,15,20,19,74.5
15,Tennessee,Cocke,36004,31,41,6.2,32,38,15,47,393.7,46,12,45.0,19.0,42.0,46,48,27,9,80,37,4.5,41,4.9,608,10.1,9.3,113,No,13,85,44,20.2,21.6,2.0,0.5,0.1,0.6,2.6,92.9,0,67,64,20.0,25.0,,47.0,40528,2.9,3.0,92.0,12,42,12.0,18,19,20,19,71.5
16,Tennessee,Coffee,56520,25,31,7.6,34,73,16,29,321.6,41,12,66.0,80.0,225.0,36,51,22,9,85,46,3.3,21,4.1,458,10.2,9.1,100,No,13,86,34,24.0,17.4,3.8,1.2,0.1,0.5,4.7,88.0,0,68,71,14.0,24.0,,28.0,54931,2.7,2.9,91.0,12,40,7.0,13,15,17,15,74.6
17,Tennessee,Crockett,14230,27,46,7.9,39,3,16,19,407.7,35,14,,49.0,7.0,40,42,27,8,81,47,3.5,23,4.5,404,18.1,8.4,87,No,14,89,31,23.3,19.2,13.6,0.4,0.0,0.8,11.0,73.5,1,72,70,21.0,21.0,,18.0,45642,3.3,3.1,98.0,14,43,0.0,15,17,19,18,73.8
18,Tennessee,Cumberland,60520,27,35,7.3,30,63,17,23,287.8,45,13,67.0,30.0,33.0,48,50,22,8,86,45,4.5,23,4.0,297,9.2,9.1,102,No,12,82,24,17.2,31.2,0.6,0.6,0.1,0.5,3.1,94.2,0,78,79,23.0,25.0,,36.0,49142,2.9,3.0,92.0,13,40,8.0,14,16,18,15,76.6
19,Tennessee,Davidson,694144,20,29,7.7,23,91,17,28,777.2,28,14,96.0,81.0,335.0,39,52,19,9,89,73,2.5,18,4.4,1105,13.4,8.9,98,No,17,78,36,20.6,12.5,26.9,4.0,0.1,0.5,10.4,56.3,5,54,85,18.0,14.0,,40.0,63846,2.6,2.7,76.0,14,39,7.0,12,9,15,14,77.0
20,Tennessee,Decatur,11663,28,34,7.6,35,48,16,26,212.7,30,12,34.0,43.0,94.0,35,48,24,8,86,56,5.3,23,5.0,257,6.8,8.0,97,Yes,13,85,34,20.7,24.1,2.9,0.6,0.1,0.4,3.6,91.4,0,81,71,,,,23.0,45215,3.3,3.4,93.0,12,41,3.0,15,15,19,17,75.6
21,Tennessee,DeKalb,20490,26,35,8.0,28,34,16,19,226.7,41,15,45.0,20.0,49.0,37,55,24,10,80,39,4.3,26,4.8,303,8.4,8.8,109,No,12,82,40,21.5,18.8,1.4,1.1,0.0,0.5,8.6,87.4,0,68,72,17.0,21.0,,20.0,46407,2.6,2.9,93.0,15,43,1.0,14,22,18,16,73.6
22,Tennessee,Dickson,53948,25,28,8.0,22,68,16,19,348.1,32,13,36.0,70.0,102.0,42,54,22,8,84,49,3.0,14,4.0,497,8.2,8.4,120,No,13,83,47,22.9,16.7,3.9,0.7,0.1,0.5,3.9,89.3,1,75,75,23.0,23.0,,30.0,59126,3.0,3.1,94.0,13,40,5.0,12,14,18,15,74.8
23,Tennessee,Dyer,37159,27,38,6.5,38,62,17,20,694.0,39,11,38.0,57.0,54.0,30,49,24,11,84,51,4.9,23,4.6,771,11.8,6.0,74,No,12,87,22,23.7,17.9,14.2,0.7,0.0,0.4,3.6,79.5,1,62,77,17.0,19.0,,37.0,48770,3.0,3.0,92.0,11,41,14.0,16,15,18,16,73.1
24,Tennessee,Fayette,41133,23,44,8.2,31,48,16,29,512.0,23,10,37.0,29.0,10.0,36,50,21,10,86,58,3.6,17,5.2,258,9.6,8.7,79,No,11,87,61,18.5,22.1,27.2,0.7,0.0,0.4,3.0,67.8,0,80,76,16.0,13.0,,29.0,67345,2.2,2.6,93.0,10,42,2.0,12,14,16,14,78.1
25,Tennessee,Fentress,18523,30,31,7.5,27,55,15,26,253.6,36,13,55.0,5.0,32.0,35,46,27,9,83,47,4.2,28,4.2,167,6.6,8.6,96,Yes,12,82,33,20.5,22.4,0.4,0.4,0.0,0.4,1.6,96.3,0,75,68,12.0,15.0,,39.0,38608,2.8,3.0,93.0,13,42,0.0,17,13,20,19,74.1
26,Tennessee,Franklin,42208,25,33,7.6,25,55,17,24,295.3,23,12,64.0,31.0,52.0,41,53,21,9,88,52,3.3,18,4.5,382,11.0,9.1,94,No,11,83,32,19.8,20.3,5.1,0.9,0.1,0.5,3.7,88.0,1,74,71,15.0,22.0,,19.0,54319,2.5,2.8,91.0,12,43,7.0,13,13,17,15,76.1
