,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Texas,,28995881,14,31,5.9,23,81,19,26.0,517.6,31.0,20,61.0,60.0,121.0,37.0,46.0,19,8.0,84,62,3.5,19,4.8,420.0,7.5,7.3,58.0,,17,81,39,25.5,12.9,12.1,5.2,0.1,1.0,39.7,41.2,7,62,82,12.0,13.0,61.0,40.0,64044,3.1,2.9,90.0,20,34,9.0,15,10,12,12,79.2,141,141,141,141,141
1,1,Texas,Anderson,57735,22,38,6.4,27,26,20,18.0,427.8,44.0,20,33.0,40.0,43.0,34.0,44.0,24,7.0,81,38,2.9,24,4.3,417.0,9.8,8.5,88.0,Yes,14,84,28,19.0,15.0,21.0,0.9,0.2,0.7,18.2,58.3,3,70,68,15.0,30.0,63.0,39.0,48461,2.9,2.8,96.0,20,38,15.0,15,12,15,15,73.3,141,141,141,141,141
2,2,Texas,Andrews,18705,17,31,7.8,27,94,20,29.0,417.6,56.0,21,50.0,21.0,16.0,27.0,24.0,23,7.0,72,37,2.2,13,4.0,494.0,6.6,6.3,82.0,Yes,14,79,31,31.0,9.8,1.5,0.7,0.0,1.5,56.6,39.9,9,74,86,,19.0,41.0,21.0,74918,2.9,2.9,95.0,21,36,12.0,10,7,14,13,76.8,141,141,141,141,141
3,3,Texas,Angelina,86715,20,40,6.3,33,65,17,18.0,484.0,39.0,21,59.0,51.0,136.0,40.0,49.0,25,9.0,82,55,4.0,23,4.3,312.0,10.9,9.0,69.0,Yes,17,80,18,25.4,16.6,15.0,1.1,0.1,0.8,22.7,59.9,4,66,82,13.0,14.0,68.0,35.0,51750,2.9,2.8,94.0,21,37,11.0,18,15,16,16,76.3,141,141,141,141,141
4,4,Texas,Aransas,23510,20,38,5.4,34,81,19,8.0,406.7,37.0,24,38.0,26.0,81.0,46.0,49.0,23,10.0,84,44,4.3,32,5.0,477.0,5.5,7.4,104.0,Yes,15,77,27,17.7,28.9,1.3,2.1,0.1,1.3,27.9,66.8,3,80,82,27.0,31.0,67.0,22.0,53085,2.9,2.7,93.0,24,37,20.0,18,13,15,14,76.8,141,141,141,141,141
5,5,Texas,Archer,8553,18,29,7.7,18,23,22,25.0,147.6,23.0,16,,,,38.0,47.0,17,6.0,90,62,2.8,13,5.1,202.0,9.1,7.2,83.0,No,10,85,17,21.5,19.6,0.8,0.5,0.1,1.5,8.2,88.3,1,84,75,,25.0,33.0,29.0,63731,3.4,3.2,96.0,16,35,5.0,13,12,14,12,80.3,141,141,141,141,141
6,6,Texas,Armstrong,1887,17,22,6.7,21,3,22,20.0,5215.5,,17,0.0,0.0,,40.0,27.0,16,7.0,87,78,2.7,17,4.0,153.0,21.1,5.8,,No,9,71,55,22.6,24.9,0.8,0.4,0.0,1.3,9.2,88.1,1,88,82,,,41.0,,64424,3.1,2.8,,17,34,20.0,12,11,14,11,78.8,141,141,141,141,141
7,7,Texas,Atascosa,51153,17,40,7.6,36,41,18,14.0,869.7,45.0,20,22.0,41.0,39.0,29.0,36.0,25,8.0,77,41,3.6,19,4.3,222.0,6.8,7.8,61.0,No,15,80,50,27.2,14.9,0.9,0.6,0.1,1.3,64.8,32.8,4,75,80,13.0,14.0,66.0,21.0,57309,2.8,2.5,95.0,20,36,8.0,13,17,14,14,78.0,141,141,141,141,141
8,8,Texas,Austin,30032,17,32,7.9,27,26,21,14.0,261.9,28.0,20,17.0,40.0,40.0,34.0,41.0,19,8.0,84,59,3.4,17,4.8,238.0,11.3,8.5,74.0,No,15,83,41,23.8,19.8,8.5,0.8,0.0,0.8,27.8,61.4,5,76,74,19.0,23.0,56.0,19.0,68311,2.8,2.8,94.0,20,36,3.0,13,10,14,12,78.8,141,141,141,141,141
9,9,Texas,Bailey,7000,18,26,7.9,19,82,18,30.0,452.2,61.0,29,28.0,43.0,29.0,37.0,42.0,26,8.0,77,45,3.7,26,3.4,160.0,7.1,5.9,104.0,No,19,70,26,30.8,14.8,1.2,0.9,0.1,3.4,64.0,33.0,11,75,71,,,86.0,,46174,2.7,2.4,98.0,29,36,4.0,13,7,14,14,79.1,141,141,141,141,141
