,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Utah,,3205958,9,27,8.0,17,86,11,21,339.8,16.0,10,58.0,69,343,40,48,15,7.0,92,71,2.6,10,3.8,229.0,3.5,5.8,67.0,,14,76,25,29.0,11.4,1.2,2.7,1.1,1.6,14.4,77.8,2,70,88,12.0,21.0,33,41.0,75705,3.1,3.2,,10,31,6,11,8,12,10,80.1,170,170,170,170,170
1,1,Utah,Beaver,6710,13,27,8.2,19,78,12,0,140.9,32.0,12,91.0,75,75,28,21,17,8.0,89,58,3.0,12,3.7,54.0,0.0,4.9,108.0,No,12,75,19,32.4,14.1,0.2,0.8,0.4,2.1,12.4,83.8,3,74,74,31.0,40.0,47,39.0,58309,3.5,3.7,,12,34,4,11,10,14,12,76.8,170,170,170,170,170
2,2,Utah,Box Elder,56046,12,34,7.9,18,76,11,13,209.0,22.0,9,33.0,66,462,43,45,16,7.0,93,63,2.6,9,3.3,130.0,2.9,8.2,81.0,Yes,9,78,34,31.2,13.2,0.4,0.8,0.2,1.1,9.7,86.7,1,78,87,13.0,24.0,35,29.0,69380,3.1,3.2,,9,37,7,12,10,13,12,79.0,170,170,170,170,170
3,3,Utah,Cache,128289,10,25,7.6,14,86,10,12,217.0,10.0,10,45.0,66,172,44,51,15,6.0,93,75,2.2,11,3.9,65.0,3.2,8.7,51.0,Yes,14,74,12,30.1,9.8,0.8,2.3,0.5,1.1,10.9,83.5,2,63,88,7.0,15.0,35,30.0,63180,3.4,3.4,,10,33,10,12,6,13,11,81.5,170,170,170,170,170
4,4,Utah,Carbon,20463,15,30,6.9,23,72,12,16,305.5,21.0,9,49.0,93,195,40,50,18,11.0,92,74,3.7,18,4.6,131.0,5.9,5.8,113.0,No,15,82,15,25.6,18.0,0.5,0.7,0.2,1.6,13.4,82.9,1,74,81,22.0,27.0,47,18.0,52110,3.4,3.2,,9,36,11,15,11,14,13,76.2,170,170,170,170,170
5,5,Utah,Daggett,950,12,28,7.2,20,99,13,25,,,8,0.0,0,0,34,54,14,,94,81,3.8,7,3.9,87.0,0.0,4.9,,Yes,8,51,25,22.5,27.3,0.2,0.5,0.1,1.5,4.4,92.2,0,87,88,,,20,,63433,,,,8,33,20,9,14,13,11,,170,170,170,170,170
6,6,Utah,Davis,355481,8,27,8.4,16,94,10,20,327.9,12.0,7,48.0,69,217,42,51,12,7.0,96,75,2.4,6,3.1,103.0,2.2,8.4,53.0,No,10,81,29,31.7,10.3,1.2,2.1,0.8,0.8,10.2,83.2,1,77,91,9.0,18.0,20,30.0,87610,3.3,3.3,,7,32,6,10,8,11,10,80.7,170,170,170,170,170
7,7,Utah,Duchesne,19938,15,32,7.5,22,54,12,7,204.7,33.0,15,45.0,60,171,23,42,18,7.0,89,54,3.9,15,3.9,424.0,1.5,5.9,121.0,No,13,79,24,33.4,12.4,0.4,0.5,0.3,4.9,8.3,84.6,1,75,85,26.0,40.0,38,22.0,59437,2.9,2.9,,15,34,7,14,9,14,13,76.4,170,170,170,170,170
8,8,Utah,Emery,10012,13,32,7.9,19,43,12,21,168.7,18.0,9,10.0,30,110,33,36,17,7.0,94,68,4.0,14,4.0,167.0,0.0,5.7,140.0,Yes,10,80,22,28.4,17.7,0.3,0.5,0.1,1.2,6.5,90.6,1,77,80,28.0,30.0,50,,61893,3.1,3.1,,9,33,1,14,12,14,13,76.5,170,170,170,170,170
9,9,Utah,Garfield,5051,14,21,5.2,25,39,12,20,137.8,22.0,14,39.0,20,119,41,28,17,7.0,93,57,6.2,13,3.9,,0.0,4.9,119.0,Yes,12,72,16,23.0,24.0,0.4,1.1,0.3,3.0,6.5,88.2,1,79,81,40.0,44.0,48,31.0,54625,3.1,3.1,,14,34,25,17,9,14,13,77.5,170,170,170,170,170
