,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Vermont,,623989,15,27,8.7,18,76,20,34,274.5,11,5,112,73,481,45,49,13,7,93,69,2.4,11,4.5,129,13.4,5.4,86,,17,76,32,18.3,20.0,1.3,1.9,0.0,0.4,2.0,92.6,1,71,82,12.0,18.0,36,37,63293,,,86.0,5,30,3,11,9,13,11,79.8
1,Vermont,Addison,36777,14,26,8.9,20,72,22,31,198.5,8,5,114,52,302,43,57,12,7,93,69,2.3,9,3.8,79,10.3,5.4,64,No,15,73,39,16.5,20.7,1.2,1.8,0.0,0.3,2.3,92.6,0,76,83,7.0,12.0,31,28,73574,,,89.0,5,30,1,10,8,13,10,81.7
2,Vermont,Bennington,35470,17,30,8.1,20,100,20,35,230.4,17,6,104,96,479,48,50,14,8,91,63,2.9,13,4.6,156,13.8,5.0,90,No,15,77,22,18.6,23.4,1.2,1.1,0.1,0.3,2.2,93.7,0,74,81,13.0,19.0,64,34,56948,,,80.0,6,34,4,12,11,14,12,77.8
3,Vermont,Caledonia,29993,19,30,8.3,23,60,22,53,301.7,12,5,79,77,367,42,38,15,6,91,59,3.0,15,4.2,113,12.9,5.0,106,No,15,77,32,19.1,22.1,0.8,0.9,0.0,0.5,1.7,94.7,0,73,76,20.0,32.0,51,27,50942,,,88.0,5,31,2,12,9,15,12,78.7
4,Vermont,Chittenden,163774,13,22,8.6,14,87,19,26,364.0,5,4,182,98,653,46,59,11,6,94,81,1.8,8,4.5,130,12.1,5.5,67,No,18,73,26,17.4,15.6,2.4,4.6,0.0,0.2,2.5,88.3,2,62,85,7.0,13.0,25,36,76483,,,87.0,4,29,3,10,7,12,11,81.8
5,Vermont,Essex,6163,21,30,7.1,28,44,21,33,160.5,13,6,16,49,49,39,40,18,5,87,47,3.2,19,4.1,16,6.4,5.2,123,No,16,80,40,17.1,26.5,0.6,0.7,0.0,0.6,1.5,95.1,0,81,71,,,58,38,45796,,,,6,35,13,13,13,16,14,78.1
6,Vermont,Franklin,49402,17,35,8.9,26,49,19,53,289.6,20,5,55,49,259,45,45,14,7,91,61,2.3,11,3.7,140,8.9,5.6,83,Yes,15,82,42,21.9,16.7,0.7,0.8,0.0,1.0,1.7,93.5,0,75,82,11.0,18.0,38,24,65056,,,85.0,5,34,1,9,11,14,11,78.6
7,Vermont,Grand Isle,7235,15,30,9.1,22,62,24,25,171.5,14,5,56,14,28,46,49,13,5,93,69,2.9,11,4.0,43,5.6,5.7,105,Yes,17,78,64,18.0,21.5,0.8,0.6,0.1,1.5,2.1,92.3,0,84,84,,28.0,37,30,68364,,,,5,31,0,8,10,13,11,79.9
8,Vermont,Lamoille,25362,17,24,8.6,19,68,23,43,276.3,13,5,91,51,481,44,58,14,6,93,71,3.1,11,5.0,53,8.3,4.6,66,No,19,78,41,20.2,17.9,1.1,0.7,0.0,0.4,1.8,94.3,0,73,82,10.0,18.0,38,27,60555,,,85.0,5,32,1,11,8,14,12,80.7
9,Vermont,Orange,28892,17,29,8.4,18,52,20,29,207.1,11,5,83,31,343,45,44,14,7,92,59,2.4,11,3.8,19,10.0,5.3,89,Yes,16,76,45,18.1,22.0,0.6,0.6,0.0,0.4,1.4,95.6,0,80,79,15.0,19.0,44,23,59758,,,87.0,5,33,3,11,10,14,12,79.7
10,Vermont,Orleans,27037,21,32,7.8,25,51,22,33,286.9,24,6,71,52,270,45,31,16,7,88,52,4.2,18,4.5,139,9.7,5.4,102,No,19,77,29,19.4,23.3,0.8,0.5,0.0,0.6,1.7,94.7,0,78,76,14.0,17.0,57,33,48826,,,81.0,6,36,6,13,10,15,13,78.5
11,Vermont,Rutland,58191,18,33,8.2,22,85,21,38,199.7,13,5,75,76,320,44,47,14,6,93,63,2.8,12,4.4,162,12.3,6.4,101,Yes,19,81,27,17.6,22.7,0.6,1.0,0.0,0.3,1.6,95.1,0,71,80,14.0,21.0,39,47,51903,,,88.0,5,32,5,11,11,15,12,77.4
12,Vermont,Washington,58409,15,22,8.3,16,83,24,19,329.4,12,4,107,86,550,47,56,12,7,94,70,2.3,9,4.5,101,21.8,5.0,80,Yes,16,74,33,18.5,20.2,0.9,1.0,0.0,0.3,2.0,94.1,0,70,83,14.0,15.0,29,24,65879,,,87.0,4,29,5,11,8,14,11,80.3
13,Vermont,Windham,42222,17,25,8.0,17,70,21,28,219.3,18,5,98,66,739,47,40,14,7,92,60,2.6,13,4.8,167,14.3,5.9,113,Yes,20,72,29,17.6,23.9,1.4,1.2,0.1,0.3,2.4,92.7,0,67,74,12.0,26.0,43,25,52068,,,79.0,5,30,5,12,8,14,12,78.6
14,Vermont,Windsor,55062,16,28,8.5,17,82,23,30,181.5,12,5,98,62,534,48,40,13,7,93,70,2.1,10,4.4,91,14.1,5.9,101,Yes,16,79,32,17.9,24.2,0.9,1.0,0.0,0.3,1.8,94.3,0,74,83,13.0,21.0,35,24,61843,,,84.0,5,32,3,10,10,14,11,79.9
