,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Virginia,,8535519,15,31,8.8,22,82,18,30.0,507.3,16.0,10,75.0,71.0,188.0,43.0,51.0,17,8.0,90,71,2.8,13,4.8,207,11.3,7.7,65,,15,77,41,21.8,15.9,19.1,6.9,0.1,0.5,9.8,61.2,3,66,84,12.0,14.0,44,41.0,76471,,3.2,88.0,10,39,4.0,10,11,12,11,79.5
1,Virginia,Accomack,32316,23,37,8.1,33,37,18,25.0,734.4,30.0,17,40.0,43.0,114.0,43.0,46.0,24,10.0,81,45,3.5,29,4.0,226,11.1,7.3,88,No,13,74,31,20.7,24.6,28.2,0.8,0.2,0.7,9.1,59.9,5,67,68,15.0,18.0,69,21.0,47335,,2.9,83.0,17,41,2.0,13,15,16,15,76.8
2,Virginia,Albemarle,109330,14,23,8.8,15,77,20,39.0,340.8,5.0,10,142.0,102.0,144.0,50.0,62.0,14,7.0,92,79,2.5,7,4.6,100,10.5,7.1,57,No,13,76,23,19.7,19.3,9.4,5.5,0.1,0.4,5.8,76.9,2,63,85,8.0,12.0,30,29.0,86332,,3.2,,10,34,4.0,8,8,12,10,82.7
3,Virginia,Alleghany,14860,24,33,7.7,31,100,19,33.0,218.2,28.0,10,47.0,27.0,27.0,38.0,51.0,21,8.0,86,51,3.4,19,5.6,196,17.4,7.2,80,No,12,86,33,18.3,25.5,4.6,0.3,0.1,0.3,1.6,91.4,0,76,70,13.0,16.0,53,29.0,53341,,2.9,86.0,10,40,5.0,14,15,17,15,76.3
4,Virginia,Amelia,13145,22,44,8.3,29,8,19,47.0,422.4,16.0,14,8.0,30.0,61.0,39.0,47.0,20,8.0,84,47,3.2,14,5.1,117,10.0,7.9,120,No,14,87,73,20.8,20.1,20.3,0.6,0.0,0.6,3.2,74.0,1,84,72,29.0,28.0,50,0.0,60096,,3.1,93.0,14,38,6.0,10,13,15,13,76.1
5,Virginia,Amherst,31605,22,29,8.1,27,54,18,28.0,310.2,20.0,12,25.0,22.0,19.0,31.0,50.0,20,8.0,86,61,3.2,17,4.2,133,14.2,8.0,73,No,12,82,30,19.3,21.6,18.9,0.6,0.0,0.9,2.4,74.9,0,77,69,14.0,15.0,54,18.0,56218,,3.1,91.0,12,38,6.0,11,17,15,14,78.0
6,Virginia,Appomattox,15911,22,41,8.5,30,55,18,29.0,331.6,26.0,12,13.0,13.0,19.0,32.0,52.0,20,9.0,86,65,3.5,19,5.0,114,15.2,7.9,80,No,11,82,51,21.0,21.2,18.4,0.4,0.1,0.3,1.9,77.1,0,78,69,22.0,20.0,49,7.0,54609,,3.0,93.0,12,40,1.0,11,18,15,14,77.4
7,Virginia,Arlington,236842,10,19,9.5,12,100,22,21.0,450.7,10.0,7,75.0,69.0,198.0,40.0,52.0,11,7.0,94,91,1.9,9,3.9,149,14.0,7.7,28,No,16,51,45,18.1,11.1,9.1,11.0,0.1,0.6,15.6,61.4,4,43,91,3.0,7.0,29,32.0,118986,,3.5,85.0,7,31,0.0,7,5,10,8,85.9
8,Virginia,Augusta,75558,19,35,8.8,26,51,18,35.0,270.1,17.0,10,50.0,32.0,74.0,51.0,56.0,17,6.0,87,50,2.4,11,3.8,125,13.9,7.7,72,No,10,86,32,18.5,21.9,4.5,0.6,0.0,0.3,3.1,90.2,1,79,76,13.0,19.0,41,28.0,63621,,3.0,92.0,10,37,4.0,9,17,14,12,80.8
9,Virginia,Bath,4147,25,26,8.0,25,100,18,25.0,256.0,28.0,13,23.0,48.0,24.0,50.0,32.0,22,5.0,90,64,2.5,14,3.8,111,11.6,6.6,97,No,12,84,33,15.1,28.0,4.5,0.5,0.0,0.2,2.2,91.1,1,75,69,,,53,,54385,,2.9,,13,41,9.0,10,8,17,15,76.5
