,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy
0,Washington,,7614893,12,29,8.2,16,86,17,33,465.2,16.0,7,84.0,83,399,40,47,15,6,91,71,4.3,12,4.4,294,8.5,6.4,67.0,,17,72,37,21.8,15.9,4.0,9.6,0.8,1.9,13.0,67.5,4,63,88,11.0,16.0,43,38.0,78674,3.0,3.0,89.0,7,32,6,11,9,12,11,80.4
1,Washington,Adams,19983,17,35,7.6,23,62,15,15,466.5,44.0,13,51.0,120,170,34,37,29,7,67,32,5.7,22,4.2,248,11.6,8.7,57.0,No,23,72,22,35.9,11.3,0.6,1.4,0.1,6.2,64.7,32.5,16,63,75,,,77,26.0,53535,2.7,2.4,90.0,13,33,7,13,9,16,18,80.2
2,Washington,Asotin,22582,18,32,7.7,19,98,19,50,252.9,29.0,7,80.0,62,381,49,48,18,6,91,63,4.1,19,4.0,211,7.1,7.8,81.0,No,12,80,9,20.0,24.0,0.7,1.0,0.3,1.8,4.4,89.8,1,71,81,20.0,25.0,51,21.0,54776,2.9,2.9,76.0,7,33,6,13,13,15,14,79.3
3,Washington,Benton,204390,14,35,8.2,16,77,18,32,449.1,23.0,9,70.0,72,286,43,52,17,7,90,65,5.2,16,4.3,195,8.9,9.3,62.0,Yes,15,82,22,26.6,15.4,1.5,3.3,0.3,1.3,22.6,69.4,4,69,85,12.0,18.0,52,25.0,72847,2.9,3.0,86.0,9,33,4,11,9,13,13,80.4
4,Washington,Chelan,77200,14,33,8.2,20,85,20,33,373.7,23.0,11,122.0,83,407,39,34,18,6,83,52,4.9,16,4.2,148,14.4,5.1,74.0,Yes,15,76,18,23.2,19.6,0.5,1.2,0.3,2.0,28.2,67.6,7,64,81,12.0,18.0,55,34.0,59838,2.7,2.8,92.0,11,30,6,11,8,13,13,80.6
5,Washington,Clallam,77331,17,31,7.1,21,77,19,37,251.7,23.0,10,93.0,93,358,36,50,17,6,92,60,6.6,17,4.4,280,9.4,4.6,106.0,No,17,77,24,16.7,30.5,0.9,1.9,0.2,5.6,6.6,82.4,1,70,85,19.0,29.0,50,36.0,57571,3.1,3.1,92.0,10,35,9,15,14,14,13,78.8
6,Washington,Clark,488241,14,32,8.4,16,93,19,35,414.2,16.0,7,73.0,71,360,46,45,16,6,93,68,4.7,12,3.8,220,6.9,6.6,67.0,No,15,79,36,23.5,16.0,2.1,5.0,0.9,1.2,10.2,77.5,3,67,90,9.0,17.0,40,24.0,80407,2.9,3.0,89.0,7,32,5,10,10,13,12,80.1
7,Washington,Columbia,3985,16,32,7.1,23,39,20,75,98.8,16.0,7,74.0,75,301,25,20,17,10,91,83,5.5,17,6.3,38,12.3,6.5,120.0,No,13,65,32,18.0,28.5,0.6,1.4,2.0,1.8,7.9,84.4,2,68,78,,,52,,56338,3.3,3.2,,7,32,11,14,12,14,13,78.6
8,Washington,Cowlitz,110593,18,38,7.1,22,74,18,33,467.7,26.0,8,62.0,61,447,46,47,20,6,89,59,6.0,18,4.4,259,8.6,5.9,85.0,Yes,17,82,31,22.8,19.3,0.9,1.6,0.4,2.1,9.3,83.2,1,66,83,14.0,21.0,55,22.0,57316,2.5,2.6,92.0,8,37,9,15,13,15,14,76.9
9,Washington,Douglas,43429,16,31,6.9,18,77,21,25,431.5,23.0,11,23.0,51,69,39,39,20,6,82,50,5.6,15,3.8,99,6.8,6.5,57.0,No,17,83,17,25.8,18.2,0.5,1.1,0.3,2.1,32.3,63.4,7,69,80,10.0,13.0,62,25.0,63086,2.7,2.9,87.0,11,34,17,12,8,14,14,82.7
