,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,West Virginia,,1792147,27,38,6.9,28,59,14,25,198.2,31,8,78,57.0,138,39,42,24,9,87,56,4.9,21,5.0,330.0,13.0,7.8,124,,11,82,33,20.1,20.5,3.5,0.8,0.0,0.3,1.7,92.0,0,73,76,18.0,20.0,50,48.0,48659,2.8,2.9,90,8,43,7,14,15,20,17,74.8,120,120,120,120,120
1,1,West Virginia,Barbour,16441,27,40,7.5,31,36,15,29,194.0,28,8,42,30.0,97,37,39,26,8,85,42,6.0,25,4.4,451.0,5.4,7.0,113,Yes,9,80,39,19.7,20.7,1.0,0.3,0.0,0.6,1.1,95.5,0,72,70,18.0,25.0,48,37.0,39710,2.6,2.6,93,8,45,4,15,15,20,18,76.3,120,120,120,120,120
2,2,West Virginia,Berkeley,119171,25,39,8.1,27,44,17,36,338.5,27,8,43,51.0,172,37,48,20,8,89,58,3.5,15,3.7,168.0,7.8,8.6,128,No,13,84,38,23.0,15.0,7.5,1.1,0.0,0.3,4.8,83.6,1,75,83,17.0,19.0,53,18.0,63012,2.7,2.8,94,8,42,8,10,13,17,15,75.7,120,120,120,120,120
3,3,West Virginia,Boone,21457,28,42,7.1,32,5,14,12,89.5,49,8,36,23.0,28,30,32,29,12,80,41,5.5,25,4.9,250.0,7.3,8.4,147,Yes,13,87,56,20.7,20.9,0.7,0.1,0.0,0.2,0.6,97.6,0,77,77,20.0,20.0,57,49.0,43697,2.7,2.8,88,8,48,3,18,21,22,19,71.5,120,120,120,120,120
4,4,West Virginia,Braxton,13957,29,37,7.0,27,13,14,19,84.3,31,9,43,43.0,50,39,31,27,9,80,37,7.4,25,4.8,262.0,9.2,7.3,142,Yes,11,79,33,19.2,23.7,0.7,0.2,0.0,0.4,0.9,96.6,0,81,67,30.0,25.0,55,7.0,39651,2.3,2.6,88,9,41,9,15,12,20,18,75.7,120,120,120,120,120
5,5,West Virginia,Brooke,21939,24,35,7.8,28,84,16,67,124.8,21,6,23,18.0,14,34,47,22,8,91,64,5.2,16,4.3,131.0,14.9,9.1,92,Yes,9,84,37,17.4,24.6,1.4,0.5,0.0,0.2,0.9,95.6,0,76,74,11.0,13.0,31,34.0,50900,2.6,2.8,94,6,42,7,12,18,18,15,76.7,120,120,120,120,120
6,6,West Virginia,Cabell,91945,26,37,7.5,28,89,15,24,388.6,27,8,169,60.0,286,36,46,23,11,88,65,4.2,22,6.0,461.0,14.6,8.2,197,No,15,82,22,19.7,19.4,4.7,1.3,0.0,0.2,1.4,90.1,0,62,71,18.0,18.0,49,42.0,42125,2.8,2.9,83,8,43,4,15,14,19,16,71.3,120,120,120,120,120
7,7,West Virginia,Calhoun,7109,29,30,6.7,24,1,15,20,95.8,34,9,41,42.0,42,39,27,27,10,81,41,13.0,25,4.6,219.0,4.1,7.7,115,Yes,7,79,48,18.1,25.6,0.4,0.2,0.0,0.4,1.1,96.9,0,79,69,,,50,,37307,3.0,3.3,93,9,44,8,17,15,21,18,75.9,120,120,120,120,120
8,8,West Virginia,Clay,8508,31,38,6.1,29,12,14,22,125.5,39,8,12,35.0,47,38,35,30,9,77,32,8.5,31,5.1,,4.6,7.6,153,Yes,9,76,55,22.2,21.2,0.3,0.1,0.0,0.4,0.9,97.3,0,81,74,34.0,23.0,66,,41923,2.8,3.2,98,8,44,10,20,15,22,20,72.7,120,120,120,120,120
9,9,West Virginia,Doddridge,8448,26,38,8.5,23,52,16,0,233.6,33,8,12,,12,46,40,23,9,82,46,4.4,22,4.5,271.0,7.1,7.5,76,No,9,79,61,14.8,21.8,2.2,0.3,0.0,0.4,0.7,94.9,0,88,67,24.0,29.0,45,,50642,2.8,3.0,98,8,43,1,12,9,18,16,80.6,120,120,120,120,120
