,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Wisconsin,,5822434,17,32,9.0,20,85,27,36,483.6,15.0,7,79,71,212,49,53,15,7.0,92,70,3.3,14,4.2,298.0,11.5,7.0,84,,14,81,28,21.8,17.5,6.4,3.0,0.1,1.2,7.1,80.9,1,67,83,11.0,15.0,39,55.0,64177,3.0,3.0,90.0,7,33,5.0,9,10,13,11,79.5,252,252,252,252,252
1,1,Wisconsin,Adams,20220,23,32,8.1,26,53,26,68,245.3,21.0,9,10,10,59,43,34,19,8.0,88,48,5.2,18,4.0,188.0,7.9,7.5,122,No,14,80,41,14.1,30.2,2.7,0.6,0.0,1.2,4.2,90.3,1,83,74,13.0,22.0,67,21.0,53156,2.6,2.5,93.0,9,35,3.0,12,18,14,14,77.5,252,252,252,252,252
2,2,Wisconsin,Ashland,15562,23,33,7.4,19,64,24,8,251.6,20.0,8,160,71,334,47,53,18,5.0,92,66,4.8,23,4.8,262.0,11.5,4.0,111,Yes,11,73,16,22.0,20.2,0.5,0.6,0.0,11.7,3.0,82.2,0,68,71,24.0,23.0,60,55.0,47202,2.9,3.0,95.0,8,34,13.0,12,10,15,14,76.7,252,252,252,252,252
3,3,Wisconsin,Barron,45244,21,41,8.7,20,74,26,15,278.4,18.0,8,113,69,88,51,45,17,6.0,90,60,4.0,12,4.0,46.0,16.8,6.4,90,No,12,81,20,21.5,22.6,1.5,0.7,0.0,1.1,2.6,93.0,1,75,75,13.0,16.0,45,44.0,54372,2.8,2.9,95.0,8,34,3.0,9,11,14,13,78.8,252,252,252,252,252
4,4,Wisconsin,Bayfield,15036,19,29,7.9,22,61,26,41,193.2,17.0,9,33,40,219,52,50,15,5.0,95,73,5.6,18,4.0,209.0,14.0,5.2,101,No,13,75,31,17.3,28.2,0.6,0.5,0.0,10.5,2.2,84.2,0,83,81,20.0,27.0,49,58.0,58065,3.4,3.5,,9,32,10.0,10,7,13,12,80.5,252,252,252,252,252
5,5,Wisconsin,Brown,264542,18,34,8.7,19,92,28,45,459.1,18.0,7,72,81,207,49,55,15,7.0,92,70,3.1,12,4.0,250.0,8.5,7.0,70,No,13,84,15,23.5,15.4,2.7,3.4,0.1,3.4,9.0,80.3,2,65,85,8.0,16.0,40,38.0,65494,2.9,3.0,91.0,7,33,6.0,8,10,13,12,79.9,252,252,252,252,252
6,6,Wisconsin,Buffalo,13031,21,33,8.7,20,67,27,25,212.7,8.0,8,15,130,8,52,51,16,7.0,91,64,4.2,12,4.0,55.0,11.4,6.9,56,No,13,78,40,20.5,22.8,0.5,0.5,0.0,0.4,2.3,95.4,1,76,81,,,38,29.0,58407,3.0,3.1,91.0,8,33,7.0,8,13,13,12,80.8,252,252,252,252,252
7,7,Wisconsin,Burnett,15414,21,34,8.4,28,70,27,48,195.4,20.0,9,13,39,136,42,30,16,5.0,93,64,5.3,23,3.9,227.0,17.5,6.1,88,No,14,80,38,17.4,29.4,0.8,0.5,0.1,4.6,2.0,90.2,0,82,76,,,52,28.0,51519,3.0,3.0,85.0,9,33,3.0,11,12,14,13,78.7,252,252,252,252,252
8,8,Wisconsin,Calumet,50089,17,28,9.3,16,79,30,27,233.7,9.0,4,10,34,26,50,53,13,6.0,94,75,2.8,7,3.7,121.0,7.0,8.4,52,No,9,87,24,23.3,15.7,0.8,2.4,0.1,0.5,4.5,90.6,1,81,87,7.0,10.0,28,51.0,80354,3.3,3.2,95.0,4,31,4.0,6,9,12,10,81.1,252,252,252,252,252
9,9,Wisconsin,Chippewa,64658,20,31,8.6,20,64,27,36,285.2,13.0,6,81,54,91,56,55,15,6.0,93,65,3.8,12,4.0,125.0,11.2,6.9,77,No,11,82,26,21.9,18.4,1.7,1.5,0.1,0.6,1.9,93.3,0,73,83,13.0,20.0,40,30.0,60713,3.2,3.1,88.0,6,33,5.0,9,10,13,12,79.7,252,252,252,252,252
