,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
0,0,Wyoming,,578759,19,29,6.7,23,76,20,33,374.4,26,12,68,69,345,36,44,15,9.0,93,67,3.6,12,4.3,220.0,13.8,4.2,95,,12,77,15,23.1,17.1,1.1,1.1,0.1,2.7,10.1,83.7,1,70,83,20.0,27.0,36,38.0,66152,3.3,3.2,82.0,12,34,9,12,9,13,10,78.9,60,60,60,60,60
1,1,Wyoming,Albany,38880,17,25,7.0,15,91,20,26,493.1,9,12,67,49,532,37,51,15,8.0,96,86,3.1,12,5.0,138.0,11.4,3.9,61,No,21,71,9,16.1,12.2,1.7,3.9,0.1,1.1,9.7,81.9,1,51,86,14.0,19.0,22,28.0,52216,3.6,3.5,82.0,12,35,14,13,7,13,12,81.4,60,60,60,60,60
2,2,Wyoming,Big Horn,11790,21,33,7.7,27,68,20,46,84.0,14,17,17,42,195,29,30,17,7.0,90,65,4.2,17,4.3,100.0,8.4,4.6,112,No,11,79,22,24.6,21.9,0.7,0.5,0.0,1.5,9.2,87.5,1,73,79,,20.0,41,35.0,53018,3.4,3.3,71.0,17,35,5,13,14,14,12,76.1,60,60,60,60,60
3,3,Wyoming,Campbell,46341,21,32,8.2,25,56,21,27,516.8,33,12,50,37,207,29,46,16,10.0,93,58,3.7,9,4.3,278.0,8.9,4.1,71,Yes,11,78,17,27.1,10.7,0.5,0.8,0.1,1.6,8.9,86.9,1,73,91,11.0,20.0,32,49.0,83997,2.9,3.0,83.0,12,36,4,11,8,13,12,78.3,60,60,60,60,60
4,4,Wyoming,Carbon,14800,22,34,7.1,30,74,20,22,222.2,36,15,53,47,270,26,36,18,9.0,91,56,3.3,14,4.6,236.0,10.0,4.6,132,Yes,11,81,17,22.7,18.0,1.1,1.0,0.1,1.8,18.5,76.9,3,70,79,25.0,33.0,39,31.0,61626,3.2,3.1,83.0,15,37,15,12,9,13,12,78.7,60,60,60,60,60
5,5,Wyoming,Converse,13822,20,32,8.2,25,84,23,16,282.4,34,11,51,51,217,34,40,16,9.0,91,59,2.7,12,4.0,365.0,9.5,2.6,90,No,10,75,29,24.4,17.2,0.5,0.5,0.1,1.2,8.4,88.4,0,74,80,22.0,24.0,32,15.0,72481,3.6,3.5,87.0,11,34,3,12,10,13,12,78.9,60,60,60,60,60
6,6,Wyoming,Crook,7584,19,30,8.4,26,71,21,44,161.9,27,14,40,40,66,41,39,14,7.0,93,58,3.2,10,3.9,120.0,12.1,4.1,80,Yes,9,70,41,24.7,21.1,1.4,0.2,0.0,1.0,2.5,94.0,1,82,73,,29.0,38,,64120,3.3,3.4,93.0,14,34,6,10,9,13,11,80.9,60,60,60,60,60
7,7,Wyoming,Fremont,39261,21,29,7.6,25,66,18,70,530.1,44,18,78,79,234,32,42,17,9.0,92,65,4.4,17,4.0,161.0,12.6,6.8,156,Yes,13,74,17,25.5,18.8,0.5,0.5,0.1,22.0,7.0,69.5,0,70,78,26.0,31.0,53,56.0,57953,3.0,3.0,75.0,18,33,4,14,10,14,13,74.9,60,60,60,60,60
8,8,Wyoming,Goshen,13211,19,32,7.5,33,70,20,30,388.7,20,15,75,53,507,35,34,16,8.0,92,64,3.6,16,4.1,350.0,17.2,3.7,84,Yes,11,80,18,19.6,22.3,1.0,1.1,0.1,1.5,10.8,85.2,1,74,76,18.0,22.0,44,23.0,55540,2.9,3.0,88.0,15,33,11,12,10,13,12,79.9,60,60,60,60,60
9,9,Wyoming,Hot Springs,4413,19,30,8.0,26,80,20,33,319.4,17,13,88,113,295,29,38,16,7.0,95,68,3.5,15,4.4,105.0,13.2,3.7,152,No,12,67,18,20.6,27.7,0.6,0.6,0.1,1.9,4.5,90.9,0,75,77,,56.0,43,11.0,52344,3.1,3.2,,13,34,2,14,12,14,12,74.1,60,60,60,60,60
